,"Live births, Total, MF (N.º)","Live births, Total, M (N.º)","Live births, Total, F (N.º)","Live births, Outside marriage, Total (N.º)","Live births, Outside marriage, Cohabitant parents (N.º)","Deaths, Total, MF (N.º)","Deaths, Total, M (N.º)","Deaths, Total, F (N.º)","Deaths, Aged under 1 year, F (N.º)"
Portugal,86579,44539,42040,49140,33163,111793,55824,55969,246
Continente,82556,42450,40106,47003,31742,106842,53408,53434,236
Norte,27275,14023,13252,13379,8883,34947,17649,17298,68
Alto Minho,1561,768,793,768,645,3065,1431,1634,5
Arcos de Valdevez,110,50,60,51,40,337,156,181,0
Caminha,116,56,60,78,63,219,105,114,0
Melgaço,35,13,22,22,21,179,90,89,1
Monção,100,50,50,51,42,296,136,160,0
Paredes de Coura,57,25,32,27,26,121,57,64,0
Ponte da Barca,64,26,38,30,25,159,76,83,1
Ponte de Lima,287,148,139,91,74,472,216,256,0
Valença,91,40,51,48,41,178,93,85,0
Viana do Castelo,629,323,306,327,277,977,432,545,3
Vila Nova de Cerveira,72,37,35,43,36,127,70,57,0
Cávado,3394,1779,1615,1394,1023,3148,1565,1583,6
Amares,149,84,65,55,39,189,101,88,1
Barcelos,867,440,427,308,226,838,428,410,2
Braga,1677,895,782,745,559,1326,643,683,3
Esposende,279,149,130,121,87,286,151,135,0
Terras de Bouro,31,16,15,16,13,87,45,42,0
Vila Verde,391,195,196,149,99,422,197,225,0
Ave,3226,1667,1559,1422,975,3604,1984,1620,6
Cabeceiras de Basto,86,45,41,38,29,158,96,62,1
Fafe,333,176,157,162,109,449,243,206,0
Guimarães,1255,657,598,531,355,1268,686,582,2
Mondim de Basto,32,16,16,12,10,94,58,36,1
Póvoa de Lanhoso,143,72,71,58,40,217,114,103,0
Vieira do Minho,67,36,31,37,22,170,83,87,0
Vila Nova de Famalicão,1107,564,543,482,345,1099,620,479,2
Vizela,203,101,102,102,65,149,84,65,0
A. M. Porto,13878,7106,6772,7379,4691,16094,8103,7991,41
Arouca,129,64,65,59,36,223,121,102,0
Espinho,215,118,97,123,75,356,194,162,2
Gondomar,1345,653,692,804,508,1441,733,708,4
Maia,1076,536,540,541,387,1066,570,496,1
Matosinhos,1419,721,698,824,516,1582,795,787,2
Oliveira de Azeméis,459,245,214,217,148,620,326,294,0
Paredes,691,369,322,329,174,655,363,292,5
Porto,1976,1038,938,1122,666,2993,1391,1602,6
Póvoa de Varzim,519,253,266,222,146,546,268,278,3
Santa Maria da Feira,1056,541,515,523,337,1157,592,565,6
Santo Tirso,460,239,221,213,143,639,318,321,2
São João da Madeira,144,72,72,85,62,197,86,111,0
Trofa,279,143,136,127,81,296,144,152,3
Vale de Cambra,141,75,66,53,32,232,134,98,0
Valongo,794,396,398,437,286,679,365,314,0
Vila do Conde,692,366,326,319,213,732,364,368,0
Vila Nova de Gaia,2483,1277,1206,1381,881,2680,1339,1341,7
Alto Tâmega,426,209,217,234,165,1306,629,677,2
Boticas,24,14,10,15,10,95,47,48,0
Chaves,212,109,103,110,76,499,234,265,1
Montalegre,33,13,20,17,11,168,79,89,0
Ribeira de Pena,36,20,16,20,14,89,53,36,1
Valpaços,72,30,42,46,34,284,124,160,0
Vila Pouca de Aguiar,49,23,26,26,20,171,92,79,0
Tâmega e Sousa,3063,1607,1456,1215,709,3648,1894,1754,6
Amarante,339,163,176,149,98,505,252,253,0
Baião,126,64,62,46,31,213,109,104,0
Castelo de Paiva,96,51,45,42,18,145,70,75,0
Celorico de Basto,118,71,47,40,29,209,106,103,0
Cinfães,139,71,68,66,34,279,140,139,0
Felgueiras,444,224,220,157,81,416,212,204,2
Lousada,395,217,178,133,88,364,201,163,0
Marco de Canaveses,346,179,167,127,74,420,218,202,1
Paços de Ferreira,460,258,202,194,98,388,214,174,3
Penafiel,548,285,263,242,145,569,305,264,0
Resende,52,24,28,19,13,140,67,73,0
Douro,1087,543,544,563,403,2368,1173,1195,0
Alijó,56,26,30,30,17,179,78,101,0
Armamar,26,14,12,15,10,80,42,38,0
Carrazeda de Ansiães,34,15,19,23,16,89,46,43,0
Freixo de Espada à Cinta,23,12,11,17,14,60,35,25,0
Lamego,150,75,75,70,45,281,143,138,0
Mesão Frio,17,9,8,8,5,63,26,37,0
Moimenta da Beira,53,23,30,31,23,126,60,66,0
Murça,19,11,8,10,7,70,39,31,0
Penedono,12,8,4,6,4,43,26,17,0
Peso da Régua,109,58,51,56,50,176,85,91,0
Sabrosa,34,15,19,17,12,83,34,49,0
Santa Marta de Penaguião,24,13,11,16,8,105,53,52,0
São João da Pesqueira,36,20,16,21,17,86,43,43,0
Sernancelhe,20,8,12,9,9,59,31,28,0
Tabuaço,27,11,16,12,9,68,31,37,0
Tarouca,47,22,25,22,12,83,46,37,0
Torre de Moncorvo,43,26,17,27,24,132,65,67,0
Vila Nova de Foz Côa,37,15,22,22,17,139,71,68,0
Vila Real,320,162,158,151,104,446,219,227,0
Terras de Trás-os-Montes,640,344,296,404,272,1714,870,844,2
Alfândega da Fé,27,18,9,16,11,79,30,49,1
Bragança,248,141,107,165,103,489,246,243,0
Macedo de Cavaleiros,73,34,39,45,35,222,110,112,0
Miranda do Douro,21,9,12,13,11,110,55,55,0
Mirandela,151,76,75,98,65,302,161,141,0
Mogadouro,26,14,12,11,8,139,71,68,1
Vila Flor,39,25,14,21,14,104,44,60,0
Vimioso,28,11,17,13,11,117,63,54,0
Vinhais,27,16,11,22,14,152,90,62,0
Centro,15871,8152,7719,8794,6377,28066,13795,14271,36
Oeste,2893,1494,1399,1808,1262,4145,2058,2087,2
Alcobaça,388,203,185,223,141,616,332,284,0
Alenquer,413,227,186,251,172,455,200,255,1
Arruda dos Vinhos,132,66,66,78,53,123,50,73,0
Bombarral,77,33,44,52,33,176,91,85,0
Cadaval,78,41,37,52,40,186,100,86,0
Caldas da Rainha,364,171,193,232,147,579,272,307,1
Lourinhã,223,130,93,146,100,313,151,162,0
Nazaré,117,50,67,70,53,195,96,99,0
Óbidos,98,51,47,62,49,144,70,74,0
Peniche,241,132,109,175,127,351,190,161,0
Sobral de Monte Agraço,82,43,39,46,32,109,63,46,0
Torres Vedras,680,347,333,421,315,898,443,455,0
Região de Aveiro,2984,1548,1436,1642,1147,3721,1837,1884,9
Águeda,361,181,180,215,150,443,215,228,2
Albergaria-a-Velha,186,104,82,110,84,252,125,127,0
Anadia,187,102,85,116,79,371,181,190,2
Aveiro,699,378,321,370,258,743,361,382,2
Estarreja,196,102,94,117,84,288,136,152,0
Ílhavo,357,171,186,201,144,362,184,178,1
Murtosa,84,34,50,39,28,125,65,60,0
Oliveira do Bairro,212,111,101,98,68,226,103,123,0
Ovar,431,231,200,237,166,470,250,220,1
Sever do Vouga,70,40,30,36,19,141,76,65,0
Vagos,201,94,107,103,67,300,141,159,1
Região de Coimbra,3058,1571,1487,1625,1177,5479,2687,2792,7
Arganil,62,32,30,38,28,185,85,100,0
Cantanhede,236,103,133,134,92,465,249,216,2
Coimbra,1150,575,575,595,424,1532,720,812,2
Condeixa-a-Nova,121,61,60,62,47,178,80,98,0
Figueira da Foz,396,215,181,227,161,766,363,403,0
Góis,17,8,9,7,6,69,29,40,0
Lousã,104,54,50,56,49,156,67,89,0
Mealhada,144,78,66,81,56,242,112,130,0
Mira,99,59,40,53,35,158,76,82,0
Miranda do Corvo,69,32,37,31,27,144,75,69,0
Montemor-o-Velho,176,89,87,76,62,298,166,132,0
Mortágua,60,35,25,36,24,140,76,64,0
Oliveira do Hospital,137,76,61,75,53,248,143,105,1
Pampilhosa da Serra,9,6,3,8,4,90,45,45,0
Penacova,56,25,31,24,19,190,94,96,0
Penela,21,12,9,13,8,91,43,48,0
Soure,89,50,39,43,34,266,134,132,1
Tábua,72,43,29,47,31,181,92,89,1
Vila Nova de Poiares,40,18,22,19,17,80,38,42,0
Região de Leiria,2173,1107,1066,1170,875,3267,1642,1625,6
Alvaiázere,34,20,14,20,15,118,57,61,0
Ansião,67,37,30,36,29,184,83,101,0
Batalha,123,61,62,59,48,130,69,61,0
Castanheira de Pêra,4,2,2,2,2,47,27,20,0
Figueiró dos Vinhos,34,17,17,22,16,109,62,47,1
Leiria,1062,537,525,541,407,1220,615,605,4
Marinha Grande,291,140,151,175,132,404,209,195,1
Pedrógão Grande,15,6,9,9,7,74,31,43,0
Pombal,354,182,172,196,134,711,349,362,0
Porto de Mós,189,105,84,110,85,270,140,130,0
Viseu Dão Lafões,1700,868,832,808,579,3280,1615,1665,7
Aguiar da Beira,23,13,10,11,8,152,75,77,0
Carregal do Sal,59,31,28,32,18,129,64,65,0
Castro Daire,79,46,33,42,26,213,129,84,0
Mangualde,115,55,60,46,33,267,136,131,0
Nelas,93,46,47,46,39,176,76,100,0
Oliveira de Frades,78,45,33,38,28,115,43,72,1
Penalva do Castelo,28,13,15,15,13,108,55,53,0
Santa Comba Dão,65,38,27,38,28,146,62,84,0
São Pedro do Sul,91,50,41,50,36,214,92,122,0
Sátão,73,34,39,26,20,150,75,75,0
Tondela,132,69,63,67,44,391,177,214,0
Vila Nova de Paiva,22,14,8,11,8,81,38,43,0
Viseu,777,385,392,353,255,996,511,485,5
Vouzela,65,29,36,33,23,142,82,60,1
Beira Baixa,424,233,191,261,205,1375,676,699,1
Castelo Branco,324,171,153,196,155,718,369,349,1
Idanha-a-Nova,46,28,18,35,27,210,90,120,0
Oleiros,13,8,5,7,5,100,51,49,0
Penamacor,13,8,5,9,8,121,56,65,0
Proença-a-Nova,17,13,4,8,5,148,70,78,0
Vila Velha de Ródão,11,5,6,6,5,78,40,38,0
Médio Tejo,1486,768,718,861,639,3321,1594,1727,2
Abrantes,201,112,89,149,117,528,263,265,1
Alcanena,80,43,37,47,30,193,88,105,0
Constância,29,12,17,17,14,47,23,24,0
Entroncamento,187,92,95,115,82,187,98,89,0
Ferreira do Zêzere,39,24,15,16,13,129,64,65,1
Mação,25,13,12,17,12,127,64,63,0
Ourém,333,171,162,141,107,598,302,296,0
Sardoal,23,13,10,19,14,58,24,34,0
Sertã,74,39,35,43,31,229,108,121,0
Tomar,208,104,104,122,88,530,251,279,0
Torres Novas,226,112,114,136,97,504,223,281,0
Vila de Rei,11,5,6,7,5,77,33,44,0
Vila Nova da Barquinha,50,28,22,32,29,114,53,61,0
Beiras e Serra da Estrela,1153,563,590,619,493,3478,1686,1792,2
Almeida,23,10,13,13,9,158,79,79,0
Belmonte,36,17,19,19,16,82,40,42,0
Celorico da Beira,33,21,12,12,9,113,52,61,0
Covilhã,259,112,147,154,130,670,326,344,0
Figueira de Castelo Rodrigo,23,11,12,18,13,123,56,67,0
Fornos de Algodres,22,10,12,9,7,89,38,51,0
Fundão,130,77,53,82,70,423,227,196,0
Gouveia,69,36,33,35,28,229,117,112,0
Guarda,271,136,135,140,109,490,237,253,1
Manteigas,23,12,11,11,10,58,33,25,0
Mêda,22,11,11,9,8,80,40,40,1
Pinhel,28,12,16,11,7,142,63,79,0
Sabugal,61,26,35,39,32,314,152,162,0
Seia,119,59,60,56,37,365,161,204,0
Trancoso,34,13,21,11,8,142,65,77,0
A. M. Lisboa,29652,15198,14454,18196,11885,28270,13998,14272,104
Alcochete,158,83,75,92,71,137,64,73,0
Almada,1701,826,875,1114,638,2097,1036,1061,4
Amadora,2079,1033,1046,1377,841,1674,865,809,16
Barreiro,664,327,337,473,282,918,467,451,5
Cascais,1969,1031,938,1100,716,2142,1061,1081,5
Lisboa,5926,3036,2890,3129,2129,6601,3088,3513,22
Loures,2250,1150,1100,1405,906,1855,933,922,7
Mafra,752,377,375,432,320,649,353,296,3
Moita,653,336,317,498,309,727,361,366,3
Montijo,619,316,303,375,280,576,275,301,1
Odivelas,1926,986,940,1126,759,1256,653,603,5
Oeiras,1648,860,788,899,651,1655,812,843,4
Palmela,574,273,301,367,239,721,337,384,1
Seixal,1639,850,789,1086,647,1438,725,713,9
Sesimbra,455,241,214,308,199,488,255,233,0
Setúbal,1075,594,481,735,453,1308,679,629,3
Sintra,4251,2185,2066,2864,1876,2971,1498,1473,15
Vila Franca de Xira,1313,694,619,816,569,1057,536,521,1
Alentejo,5350,2813,2537,3657,2696,10442,5208,5234,16
Alentejo Litoral,734,385,349,506,357,1288,682,606,5
Alcácer do Sal,83,37,46,61,36,176,84,92,0
Grândola,89,52,37,75,50,191,97,94,1
Odemira,237,130,107,138,94,394,218,176,2
Santiago do Cacém,207,100,107,149,116,356,196,160,2
Sines,118,66,52,83,61,171,87,84,0
Baixo Alentejo,982,525,457,706,576,1904,922,982,5
Aljustrel,82,46,36,56,47,144,68,76,0
Almodôvar,50,28,22,33,23,127,72,55,0
Alvito,15,8,7,14,10,35,14,21,0
Barrancos,12,7,5,6,5,26,9,17,0
Beja,323,178,145,231,188,476,215,261,2
Castro Verde,63,36,27,42,37,125,57,68,0
Cuba,34,18,16,27,20,81,28,53,1
Ferreira do Alentejo,51,24,27,38,31,133,61,72,0
Mértola,28,13,15,24,22,113,61,52,0
Moura,132,68,64,90,82,205,108,97,0
Ourique,40,18,22,33,20,125,66,59,1
Serpa,99,48,51,69,57,231,114,117,1
Vidigueira,53,33,20,43,34,83,49,34,0
Lezíria do Tejo,1775,942,833,1150,798,3076,1532,1544,3
Almeirim,156,81,75,107,76,320,161,159,0
Alpiarça,38,26,12,22,14,115,45,70,0
Azambuja,158,82,76,107,79,223,110,113,1
Benavente,243,133,110,154,113,281,146,135,0
Cartaxo,194,103,91,122,84,310,145,165,0
Chamusca,60,34,26,46,35,142,69,73,0
Coruche,117,59,58,84,63,291,148,143,1
Golegã,36,20,16,28,21,95,44,51,0
Rio Maior,180,90,90,113,79,256,135,121,0
Salvaterra de Magos,166,86,80,109,60,297,155,142,0
Santarém,427,228,199,258,174,746,374,372,1
Alto Alentejo,709,363,346,492,350,1915,946,969,1
Alter do Chão,16,5,11,12,10,78,34,44,0
Arronches,16,8,8,9,5,84,51,33,0
Avis,22,9,13,18,12,62,32,30,0
Campo Maior,59,31,28,39,31,95,46,49,0
Castelo de Vide,19,10,9,13,8,64,33,31,0
Crato,18,12,6,11,6,87,36,51,0
Elvas,151,79,72,118,82,340,177,163,0
Fronteira,17,10,7,13,10,52,28,24,0
Gavião,10,8,2,4,4,102,45,57,0
Marvão,15,5,10,13,10,78,38,40,0
Monforte,24,10,14,18,13,48,20,28,0
Nisa,28,19,9,14,11,142,68,74,0
Ponte de Sor,114,62,52,81,53,238,128,110,1
Portalegre,173,81,92,111,83,366,173,193,0
Sousel,27,14,13,18,12,79,37,42,0
Alentejo Central,1150,598,552,803,615,2259,1126,1133,2
Alandroal,18,10,8,14,11,91,43,48,0
Arraiolos,37,22,15,27,22,92,43,49,0
Borba,41,19,22,29,23,113,56,57,0
Estremoz,90,50,40,63,44,210,111,99,0
Évora,484,251,233,320,237,674,329,345,1
Montemor-o-Novo,100,61,39,76,58,265,130,135,0
Mora,24,14,10,14,12,88,45,43,0
Mourão,22,12,10,20,16,43,19,24,0
Portel,39,23,16,33,22,102,59,43,0
Redondo,47,20,27,35,27,90,51,39,0
Reguengos de Monsaraz,81,41,40,57,50,140,78,62,1
Vendas Novas,77,33,44,51,40,153,75,78,0
Viana do Alentejo,46,23,23,31,25,79,34,45,0
Vila Viçosa,44,19,25,33,28,119,53,66,0
Algarve,4408,2264,2144,2977,1901,5117,2758,2359,12
Albufeira,495,269,226,323,200,359,195,164,3
Alcoutim,11,9,2,10,8,83,42,41,0
Aljezur,49,25,24,36,30,95,56,39,0
Castro Marim,60,34,26,48,32,109,64,45,0
Faro,674,349,325,460,300,664,346,318,1
Lagoa,215,107,108,158,91,243,117,126,0
Lagos,282,143,139,182,113,367,205,162,0
Loulé,670,321,349,424,263,785,450,335,2
Monchique,41,15,26,32,20,104,60,44,0
Olhão,436,214,222,307,191,460,244,216,0
Portimão,630,322,308,425,264,657,347,310,3
São Brás de Alportel,100,48,52,64,49,107,50,57,1
Silves,370,201,169,259,165,451,254,197,0
Tavira,200,111,89,126,86,347,178,169,1
Vila do Bispo,40,24,16,32,24,53,29,24,1
Vila Real de Santo António,135,72,63,91,65,233,121,112,0
R. A. Açores,2131,1098,1033,1018,803,2271,1132,1139,5
Santa Maria,37,13,24,22,18,58,28,30,0
Vila do Porto,37,13,24,22,18,58,28,30,0
São Miguel,1286,671,615,568,438,1124,576,548,2
Lagoa (R.A.A.),127,70,57,53,40,106,49,57,0
Nordeste,40,22,18,19,17,64,36,28,0
Ponta Delgada,623,309,314,299,236,572,287,285,2
Povoação,35,13,22,13,10,55,30,25,0
Ribeira Grande,370,199,171,149,109,229,129,100,0
Vila Franca do Campo,91,58,33,35,26,98,45,53,0
Terceira,448,225,223,213,163,566,270,296,0
Angra do Heroísmo,291,142,149,149,114,375,172,203,0
Vila da Praia da Vitória,157,83,74,64,49,191,98,93,0
Graciosa,40,23,17,27,18,57,25,32,0
Santa Cruz da Graciosa,40,23,17,27,18,57,25,32,0
São Jorge,56,27,29,35,30,126,66,60,1
Calheta (R.A.A.),27,14,13,19,18,50,32,18,0
Velas,29,13,16,16,12,76,34,42,1
Pico,110,60,50,60,51,137,76,61,0
Lajes do Pico,34,18,16,20,16,48,31,17,0
Madalena,53,27,26,28,25,49,23,26,0
São Roque do Pico,23,15,8,12,10,40,22,18,0
Faial,122,62,60,68,62,142,67,75,1
Horta,122,62,60,68,62,142,67,75,1
Flores,31,16,15,24,22,52,19,33,1
Lajes das Flores,15,10,5,9,9,24,10,14,1
Santa Cruz das Flores,16,6,10,15,13,28,9,19,0
Corvo,1,1,0,1,1,9,5,4,0
Corvo,1,1,0,1,1,9,5,4,0
R. A. Madeira,1891,990,901,1119,618,2679,1283,1396,5
Calheta (R.A.M.),70,38,32,34,17,154,66,88,0
Câmara de Lobos,313,167,146,207,94,270,132,138,1
Funchal,743,401,342,470,245,1235,584,651,2
Machico,129,68,61,61,39,216,99,117,0
Ponta do Sol,62,29,33,25,17,90,50,40,0
Porto Moniz,11,7,4,3,3,43,24,19,0
Ribeira Brava,102,50,52,51,35,142,73,69,0
Santa Cruz,365,190,175,213,131,301,147,154,2
Santana,40,18,22,22,16,100,39,61,0
São Vicente,24,11,13,9,6,82,42,40,0
Porto Santo,32,11,21,24,15,46,27,19,0
