,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Portugal,16277,9243,7034,30178,26768,3410,23802,21279,2523
Continente,15007,8354,6653,27669,24540,3129,21994,19545,2449
Norte,5312,3273,2039,9990,9118,872,8038,7342,696
Alto Minho,324,237,87,605,590,15,551,540,11
Arcos de Valdevez,23,12,11,41,41,0,39,39,0
Caminha,25,18,7,45,45,0,38,38,0
Melgaço,7,5,2,19,19,0,12,12,0
Monção,22,18,4,40,40,0,38,38,0
Paredes de Coura,15,9,6,20,20,0,18,18,0
Ponte da Barca,13,10,3,19,19,0,23,23,0
Ponte de Lima,57,54,3,108,108,0,102,102,0
Valença,16,14,2,43,43,0,35,35,0
Viana do Castelo,131,84,47,240,225,15,229,218,11
Vila Nova de Cerveira,15,13,2,30,30,0,17,17,0
Cávado,646,416,230,1220,1113,107,906,811,95
Amares,20,18,2,42,42,0,41,41,0
Barcelos,181,147,34,335,323,12,240,215,25
Braga,315,154,161,577,485,92,429,360,69
Esposende,52,32,20,108,108,0,80,79,1
Terras de Bouro,11,9,2,14,14,0,16,16,0
Vila Verde,67,56,11,144,141,3,100,100,0
Ave,565,311,254,1096,1043,53,878,804,74
Cabeceiras de Basto,25,20,5,51,51,0,38,38,0
Fafe,76,42,34,134,125,9,117,107,10
Guimarães,213,105,108,382,362,20,326,304,22
Mondim de Basto,9,6,3,16,16,0,15,15,0
Póvoa de Lanhoso,31,25,6,56,56,0,53,53,0
Vieira do Minho,13,12,1,29,29,0,29,29,0
Vila Nova de Famalicão,167,80,87,358,342,16,238,213,25
Vizela,31,21,10,70,62,8,62,45,17
A. M. Porto,2520,1326,1194,4481,3890,591,3665,3233,432
Arouca,31,24,7,61,61,0,50,50,0
Espinho,44,32,12,74,74,0,83,75,8
Gondomar,220,138,82,362,330,32,300,283,17
Maia,195,102,93,332,308,24,297,272,25
Matosinhos,241,115,126,402,347,55,322,303,19
Oliveira de Azeméis,77,45,32,154,143,11,118,118,0
Paredes,106,83,23,219,204,15,195,186,9
Porto,438,114,324,751,481,270,657,451,206
Póvoa de Varzim,91,32,59,179,163,16,172,159,13
Santa Maria da Feira,181,115,66,335,312,23,240,224,16
Santo Tirso,97,62,35,170,151,19,145,123,22
São João da Madeira,45,28,17,88,81,7,64,60,4
Trofa,50,36,14,92,87,5,72,66,6
Vale de Cambra,32,30,2,45,45,0,39,39,0
Valongo,139,82,57,237,211,26,204,190,14
Vila do Conde,125,74,51,226,218,8,168,161,7
Vila Nova de Gaia,408,214,194,754,674,80,539,473,66
Alto Tâmega,137,101,36,297,285,12,213,212,1
Boticas,8,6,2,13,13,0,12,12,0
Chaves,79,56,23,180,168,12,106,105,1
Montalegre,7,7,0,14,14,0,18,18,0
Ribeira de Pena,7,4,3,17,17,0,17,17,0
Valpaços,21,15,6,40,40,0,39,39,0
Vila Pouca de Aguiar,15,13,2,33,33,0,21,21,0
Tâmega e Sousa,614,502,112,1275,1219,56,993,930,63
Amarante,75,59,16,152,140,12,125,83,42
Baião,23,14,9,43,43,0,48,48,0
Castelo de Paiva,30,25,5,45,45,0,34,34,0
Celorico de Basto,22,21,1,49,49,0,48,48,0
Cinfães,24,24,0,60,60,0,45,45,0
Felgueiras,86,59,27,163,151,12,143,142,1
Lousada,66,55,11,160,147,13,116,105,11
Marco de Canaveses,92,88,4,170,170,0,114,114,0
Paços de Ferreira,73,52,21,158,144,14,133,124,9
Penafiel,109,91,18,238,233,5,163,163,0
Resende,14,14,0,37,37,0,24,24,0
Douro,318,240,78,605,584,21,514,497,17
Alijó,17,11,6,31,31,0,26,26,0
Armamar,6,5,1,14,14,0,14,14,0
Carrazeda de Ansiães,8,5,3,14,14,0,18,18,0
Freixo de Espada à Cinta,4,2,2,9,9,0,11,11,0
Lamego,46,36,10,79,73,6,51,49,2
Mesão Frio,6,6,0,13,13,0,12,12,0
Moimenta da Beira,16,12,4,33,33,0,32,32,0
Murça,11,9,2,18,18,0,13,13,0
Penedono,4,2,2,8,8,0,12,12,0
Peso da Régua,21,9,12,41,41,0,35,35,0
Sabrosa,11,9,2,15,15,0,21,21,0
Santa Marta de Penaguião,7,3,4,26,26,0,13,13,0
São João da Pesqueira,12,12,0,18,18,0,19,19,0
Sernancelhe,6,4,2,13,13,0,13,13,0
Tabuaço,8,8,0,11,11,0,15,15,0
Tarouca,15,12,3,17,17,0,22,22,0
Torre de Moncorvo,14,13,1,17,17,0,17,17,0
Vila Nova de Foz Côa,9,5,4,12,12,0,14,14,0
Vila Real,97,77,20,216,201,15,156,141,15
Terras de Trás-os-Montes,188,140,48,411,394,17,318,315,3
Alfândega da Fé,12,11,1,20,20,0,17,17,0
Bragança,64,42,22,169,154,15,119,116,3
Macedo de Cavaleiros,23,18,5,62,62,0,39,39,0
Miranda do Douro,8,7,1,20,20,0,18,18,0
Mirandela,42,30,12,66,64,2,63,63,0
Mogadouro,14,11,3,28,28,0,17,17,0
Vila Flor,13,11,2,17,17,0,18,18,0
Vimioso,3,3,0,8,8,0,15,15,0
Vinhais,9,7,2,21,21,0,12,12,0
Centro,3380,2144,1236,6067,5744,323,4718,4315,403
Oeste,495,312,183,1003,957,46,766,685,81
Alcobaça,76,31,45,143,138,5,103,103,0
Alenquer,55,41,14,128,125,3,104,101,3
Arruda dos Vinhos,22,15,7,52,52,0,30,1,29
Bombarral,14,10,4,23,23,0,26,26,0
Cadaval,15,12,3,37,37,0,28,28,0
Caldas da Rainha,75,50,25,141,124,17,96,85,11
Lourinhã,35,25,10,66,66,0,65,65,0
Nazaré,16,11,5,38,38,0,25,25,0
Óbidos,19,16,3,33,33,0,24,24,0
Peniche,36,18,18,87,87,0,68,68,0
Sobral de Monte Agraço,11,7,4,28,28,0,29,29,0
Torres Vedras,121,76,45,227,206,21,168,130,38
Região de Aveiro,527,281,246,929,891,38,767,715,52
Águeda,58,29,29,113,111,2,94,90,4
Albergaria-a-Velha,35,19,16,76,72,4,63,54,9
Anadia,37,18,19,69,60,9,53,39,14
Aveiro,132,55,77,212,196,16,181,169,12
Estarreja,42,22,20,67,65,2,57,57,0
Ílhavo,58,33,25,87,87,0,83,83,0
Murtosa,13,9,4,30,30,0,31,31,0
Oliveira do Bairro,35,20,15,61,61,0,38,38,0
Ovar,72,41,31,133,128,5,111,111,0
Sever do Vouga,14,12,2,22,22,0,17,17,0
Vagos,31,23,8,59,59,0,39,26,13
Região de Coimbra,615,334,281,1094,997,97,883,787,96
Arganil,15,13,2,27,27,0,15,15,0
Cantanhede,53,32,21,92,86,6,82,61,21
Coimbra,202,62,140,359,284,75,298,230,68
Condeixa-a-Nova,16,12,4,32,32,0,35,35,0
Figueira da Foz,82,42,40,145,130,15,106,105,1
Góis,6,3,3,10,10,0,7,7,0
Lousã,22,18,4,45,45,0,35,35,0
Mealhada,27,16,11,53,53,0,37,37,0
Mira,13,10,3,28,28,0,15,15,0
Miranda do Corvo,19,14,5,39,39,0,30,30,0
Montemor-o-Velho,33,21,12,52,52,0,43,43,0
Mortágua,13,9,4,15,15,0,17,17,0
Oliveira do Hospital,33,22,11,59,58,1,47,47,0
Pampilhosa da Serra,5,2,3,12,12,0,15,15,0
Penacova,15,15,0,24,24,0,26,26,0
Penela,6,6,0,15,15,0,12,12,0
Soure,25,14,11,41,41,0,25,19,6
Tábua,20,17,3,26,26,0,24,24,0
Vila Nova de Poiares,10,6,4,20,20,0,14,14,0
Região de Leiria,430,285,145,799,745,54,570,487,83
Alvaiázere,7,7,0,15,15,0,12,12,0
Ansião,16,10,6,27,27,0,22,22,0
Batalha,23,15,8,34,34,0,32,29,3
Castanheira de Pêra,4,4,0,7,7,0,8,8,0
Figueiró dos Vinhos,7,5,2,12,12,0,10,10,0
Leiria,205,121,84,372,334,38,269,224,45
Marinha Grande,57,40,17,113,101,12,81,75,6
Pedrógão Grande,3,2,1,10,10,0,9,9,0
Pombal,75,56,19,138,135,3,82,62,20
Porto de Mós,33,25,8,71,70,1,45,36,9
Viseu Dão Lafões,453,354,99,776,752,24,653,628,25
Aguiar da Beira,8,8,0,11,11,0,11,11,0
Carregal do Sal,14,14,0,25,25,0,23,23,0
Castro Daire,22,20,2,41,41,0,35,35,0
Mangualde,28,21,7,48,48,0,42,42,0
Nelas,34,22,12,44,42,2,31,31,0
Oliveira de Frades,15,12,3,24,24,0,30,30,0
Penalva do Castelo,9,9,0,23,23,0,23,23,0
Santa Comba Dão,13,11,2,27,27,0,21,21,0
São Pedro do Sul,28,25,3,44,44,0,35,35,0
Sátão,19,18,1,36,36,0,30,30,0
Tondela,39,34,5,59,59,0,61,61,0
Vila Nova de Paiva,10,10,0,15,15,0,14,14,0
Viseu,198,136,62,350,328,22,269,244,25
Vouzela,16,14,2,29,29,0,28,28,0
Beira Baixa,116,70,46,227,212,15,183,182,1
Castelo Branco,83,48,35,168,154,14,130,130,0
Idanha-a-Nova,14,10,4,21,21,0,12,12,0
Oleiros,7,5,2,9,9,0,10,10,0
Penamacor,2,1,1,8,7,1,13,12,1
Proença-a-Nova,7,3,4,16,16,0,11,11,0
Vila Velha de Ródão,3,3,0,5,5,0,7,7,0
Médio Tejo,346,240,106,633,598,35,439,400,39
Abrantes,43,29,14,87,86,1,70,69,1
Alcanena,22,16,6,33,33,0,25,25,0
Constância,12,12,0,25,25,0,12,12,0
Entroncamento,35,21,14,56,46,10,46,45,1
Ferreira do Zêzere,10,8,2,18,18,0,16,16,0
Mação,6,6,0,12,12,0,10,10,0
Ourém,65,49,16,118,114,4,78,53,25
Sardoal,4,4,0,11,11,0,14,14,0
Sertã,27,19,8,35,35,0,25,22,3
Tomar,49,34,15,104,96,8,38,38,0
Torres Novas,55,26,29,105,93,12,76,67,9
Vila de Rei,6,5,1,11,11,0,7,7,0
Vila Nova da Barquinha,12,11,1,18,18,0,22,22,0
Beiras e Serra da Estrela,398,268,130,606,592,14,457,431,26
Almeida,10,10,0,13,13,0,16,16,0
Belmonte,12,8,4,16,16,0,15,15,0
Celorico da Beira,19,12,7,19,19,0,19,19,0
Covilhã,69,41,28,128,122,6,120,113,7
Figueira de Castelo Rodrigo,12,7,5,16,16,0,12,12,0
Fornos de Algodres,10,10,0,9,9,0,12,12,0
Fundão,41,24,17,68,68,0,57,50,7
Gouveia,22,14,8,40,40,0,27,26,1
Guarda,96,66,30,147,139,8,69,62,7
Manteigas,5,4,1,7,7,0,8,8,0
Mêda,6,4,2,11,11,0,11,11,0
Pinhel,20,16,4,26,26,0,15,15,0
Sabugal,22,17,5,27,27,0,16,13,3
Seia,36,21,15,59,59,0,39,38,1
Trancoso,18,14,4,20,20,0,21,21,0
A. M. Lisboa,4519,1805,2714,8098,6342,1756,6338,5106,1232
Alcochete,36,16,20,61,53,8,50,37,13
Almada,270,116,154,511,445,66,381,345,36
Amadora,218,98,120,451,406,45,375,333,42
Barreiro,120,61,59,218,194,24,178,166,12
Cascais,388,88,300,615,325,290,425,204,221
Lisboa,1175,338,837,1817,1034,783,1525,956,569
Loures,284,138,146,560,490,70,426,380,46
Mafra,128,91,37,261,249,12,153,122,31
Moita,79,54,25,171,164,7,135,135,0
Montijo,74,43,31,155,142,13,125,110,15
Odivelas,200,113,87,386,353,33,296,279,17
Oeiras,283,84,199,410,323,87,341,298,43
Palmela,95,51,44,196,158,38,158,131,27
Seixal,209,88,121,417,368,49,329,293,36
Sesimbra,76,48,28,142,137,5,127,125,2
Setúbal,180,57,123,367,320,47,301,263,38
Sintra,492,248,244,1011,864,147,724,660,64
Vila Franca de Xira,212,73,139,349,317,32,289,269,20
Alentejo,1151,776,375,2132,2078,54,1704,1654,50
Alentejo Litoral,148,105,43,273,273,0,209,199,10
Alcácer do Sal,14,11,3,34,34,0,30,30,0
Grândola,21,17,4,40,40,0,38,38,0
Odemira,38,27,11,75,75,0,50,40,10
Santiago do Cacém,40,27,13,79,79,0,54,54,0
Sines,35,23,12,45,45,0,37,37,0
Baixo Alentejo,218,160,58,404,400,4,309,296,13
Aljustrel,18,14,4,32,32,0,19,19,0
Almodôvar,12,10,2,21,21,0,17,17,0
Alvito,5,5,0,9,9,0,5,5,0
Barrancos,3,3,0,5,5,0,8,8,0
Beja,63,30,33,127,123,4,91,78,13
Castro Verde,12,10,2,19,19,0,16,16,0
Cuba,7,7,0,15,15,0,13,13,0
Ferreira do Alentejo,15,11,4,29,29,0,11,11,0
Mértola,8,7,1,14,14,0,10,10,0
Moura,32,27,5,52,52,0,44,44,0
Ourique,9,7,2,14,14,0,16,16,0
Serpa,24,21,3,46,46,0,45,45,0
Vidigueira,10,8,2,21,21,0,14,14,0
Lezíria do Tejo,348,223,125,680,656,24,539,532,7
Almeirim,36,19,17,73,68,5,56,56,0
Alpiarça,11,8,3,14,14,0,14,14,0
Azambuja,36,16,20,66,66,0,56,56,0
Benavente,44,32,12,80,80,0,66,66,0
Cartaxo,25,13,12,57,57,0,58,58,0
Chamusca,16,15,1,29,29,0,16,16,0
Coruche,20,13,7,53,53,0,34,34,0
Golegã,8,6,2,15,15,0,11,11,0
Rio Maior,34,24,10,62,53,9,56,56,0
Salvaterra de Magos,29,20,9,55,55,0,50,50,0
Santarém,89,57,32,176,166,10,122,115,7
Alto Alentejo,183,126,57,337,329,8,291,283,8
Alter do Chão,6,6,0,7,7,0,8,8,0
Arronches,4,3,1,7,7,0,8,8,0
Avis,6,6,0,12,12,0,14,14,0
Campo Maior,17,7,10,26,26,0,27,27,0
Castelo de Vide,4,3,1,9,9,0,7,7,0
Crato,5,3,2,11,11,0,8,8,0
Elvas,35,21,14,79,73,6,59,51,8
Fronteira,5,4,1,12,12,0,11,11,0
Gavião,5,4,1,11,11,0,14,14,0
Marvão,4,4,0,7,7,0,11,11,0
Monforte,6,6,0,12,12,0,12,12,0
Nisa,8,8,0,15,15,0,17,17,0
Ponte de Sor,26,17,9,46,44,2,33,33,0
Portalegre,44,28,16,68,68,0,49,49,0
Sousel,8,6,2,15,15,0,13,13,0
Alentejo Central,254,162,92,438,420,18,356,344,12
Alandroal,5,5,0,12,12,0,9,9,0
Arraiolos,9,5,4,15,15,0,17,17,0
Borba,13,10,3,20,20,0,15,15,0
Estremoz,17,13,4,38,38,0,27,27,0
Évora,105,48,57,160,146,14,126,116,10
Montemor-o-Novo,21,16,5,40,40,0,32,32,0
Mora,7,6,1,11,11,0,10,10,0
Mourão,6,6,0,14,14,0,13,13,0
Portel,11,8,3,15,15,0,13,13,0
Redondo,10,9,1,16,16,0,16,16,0
Reguengos de Monsaraz,16,13,3,30,30,0,27,27,0
Vendas Novas,14,9,5,31,27,4,21,19,2
Viana do Alentejo,8,6,2,16,16,0,13,13,0
Vila Viçosa,12,8,4,20,20,0,17,17,0
Algarve,645,356,289,1382,1258,124,1196,1128,68
Albufeira,71,52,19,146,146,0,106,105,1
Alcoutim,4,1,3,6,6,0,6,6,0
Aljezur,9,9,0,12,12,0,16,16,0
Castro Marim,10,5,5,22,22,0,14,14,0
Faro,82,21,61,195,172,23,162,151,11
Lagoa,39,20,19,83,61,22,73,61,12
Lagos,51,14,37,97,77,20,89,78,11
Loulé,103,72,31,229,217,12,202,188,14
Monchique,6,6,0,16,16,0,12,12,0
Olhão,56,32,24,139,132,7,137,129,8
Portimão,80,48,32,161,142,19,149,147,2
São Brás de Alportel,15,12,3,35,35,0,27,27,0
Silves,54,27,27,103,94,9,84,78,6
Tavira,40,19,21,71,64,7,53,51,2
Vila do Bispo,5,5,0,17,12,5,13,12,1
Vila Real de Santo António,20,13,7,50,50,0,53,53,0
R. A. Açores,504,383,121,1043,987,56,1094,1061,33
Santa Maria,10,10,0,21,21,0,26,26,0
Vila do Porto,10,10,0,21,21,0,26,26,0
São Miguel,282,221,61,619,575,44,651,626,25
Lagoa (R.A.A.),29,27,2,61,61,0,69,69,0
Nordeste,10,10,0,21,21,0,27,27,0
Ponta Delgada,141,98,43,299,255,44,308,283,25
Povoação,15,14,1,28,28,0,36,36,0
Ribeira Grande,66,55,11,160,160,0,156,156,0
Vila Franca do Campo,21,17,4,50,50,0,55,55,0
Terceira,117,79,38,226,218,8,224,216,8
Angra do Heroísmo,76,46,30,144,136,8,142,134,8
Vila da Praia da Vitória,41,33,8,82,82,0,82,82,0
Graciosa,11,8,3,18,18,0,17,17,0
Santa Cruz da Graciosa,11,8,3,18,18,0,17,17,0
São Jorge,18,11,7,34,34,0,45,45,0
Calheta (R.A.A.),7,4,3,13,13,0,20,20,0
Velas,11,7,4,21,21,0,25,25,0
Pico,31,27,4,53,53,0,58,58,0
Lajes do Pico,10,9,1,16,16,0,21,21,0
Madalena,15,13,2,26,26,0,23,23,0
São Roque do Pico,6,5,1,11,11,0,14,14,0
Faial,26,20,6,52,48,4,50,50,0
Horta,26,20,6,52,48,4,50,50,0
Flores,8,7,1,18,18,0,20,20,0
Lajes das Flores,3,3,0,6,6,0,0,0,0
Santa Cruz das Flores,5,4,1,12,12,0,20,20,0
Corvo,1,0,1,2,2,0,3,3,0
Corvo,1,0,1,2,2,0,3,3,0
R. A. Madeira,766,506,260,1466,1241,225,714,673,41
Calheta (R.A.M.),29,24,5,86,81,5,35,35,0
Câmara de Lobos,103,67,36,182,182,0,102,102,0
Funchal,354,184,170,654,483,171,301,260,41
Machico,72,59,13,113,103,10,53,53,0
Ponta do Sol,32,31,1,65,65,0,25,25,0
Porto Moniz,9,9,0,10,10,0,6,6,0
Ribeira Brava,39,35,4,80,80,0,49,49,0
Santa Cruz,89,60,29,176,151,25,105,105,0
Santana,16,15,1,42,37,5,13,13,0
São Vicente,12,12,0,30,30,0,15,15,0
Porto Santo,11,10,1,28,19,9,10,10,0
