,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Portugal,5792,3540,2252,4140,x,3623,517,1184,918,266,1462,1142,320,959,580,379
Continente,5486,3338,2148,3905,183,3417,488,1118,860,258,1396,1082,314,893,538,355
Norte,1972,1321,651,1373,19,1238,135,388,308,80,499,381,118,343,196,147
Alto Minho,115,82,33,86,0,84,2,26,25,1,34,29,5,33,19,14
Arcos de Valdevez,10,6,4,4,0,4,0,3,3,0,3,3,0,2,1,1
Caminha,11,8,3,10,0,10,0,2,2,0,2,2,0,4,2,2
Melgaço,3,2,1,2,0,2,0,1,1,0,1,1,0,2,1,1
Monção,6,5,1,5,0,5,0,2,2,0,4,3,1,2,1,1
Paredes de Coura,5,2,3,1,0,1,0,1,1,0,1,1,0,2,1,1
Ponte da Barca,4,3,1,3,0,3,0,1,1,0,2,2,0,2,1,1
Ponte de Lima,19,18,1,14,0,14,0,4,4,0,7,6,1,4,3,1
Valença,9,8,1,7,0,7,0,1,1,0,1,1,0,2,1,1
Viana do Castelo,44,27,17,37,0,35,2,10,9,1,12,9,3,11,7,4
Vila Nova de Cerveira,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Cávado,249,188,61,191,3,177,14,45,33,12,60,44,16,32,16,16
Amares,7,6,1,6,0,6,0,1,1,0,2,2,0,1,1,0
Barcelos,81,70,11,65,1,63,2,11,8,3,17,11,6,11,6,5
Braga,100,63,37,75,1,64,11,22,13,9,26,18,8,15,6,9
Esposende,23,15,8,19,0,19,0,4,4,0,6,5,1,2,1,1
Terras de Bouro,7,5,2,4,1,4,0,2,2,0,2,2,0,1,1,0
Vila Verde,31,29,2,22,0,21,1,5,5,0,7,6,1,2,1,1
Ave,231,146,85,167,3,158,9,42,35,7,52,38,14,33,15,18
Cabeceiras de Basto,10,9,1,7,0,7,0,2,2,0,3,2,1,2,1,1
Fafe,28,18,10,22,1,21,1,6,5,1,7,5,2,3,1,2
Guimarães,85,49,36,61,0,59,2,17,14,3,19,14,5,11,5,6
Mondim de Basto,5,4,1,2,1,2,0,1,1,0,1,1,0,1,1,0
Póvoa de Lanhoso,11,9,2,5,0,5,0,2,2,0,3,3,0,2,1,1
Vieira do Minho,5,4,1,4,0,4,0,1,1,0,1,1,0,1,1,0
Vila Nova de Famalicão,76,44,32,55,1,50,5,10,8,2,14,9,5,9,3,6
Vizela,11,9,2,11,0,10,1,3,2,1,4,3,1,4,2,2
A. M. Porto,877,521,356,601,4,513,88,177,126,51,225,162,63,155,81,74
Arouca,13,12,1,12,1,12,0,2,2,0,2,2,0,2,2,0
Espinho,11,6,5,6,0,6,0,5,4,1,7,4,3,6,3,3
Gondomar,69,47,22,50,1,45,5,12,9,3,16,13,3,8,5,3
Maia,66,35,31,39,0,35,4,10,7,3,10,8,2,8,6,2
Matosinhos,68,31,37,41,0,33,8,15,12,3,21,16,5,11,6,5
Oliveira de Azeméis,41,28,13,29,0,26,3,8,8,0,8,8,0,4,4,0
Paredes,33,27,6,17,0,15,2,8,7,1,10,9,1,7,6,1
Porto,134,43,91,83,0,49,34,39,20,19,52,27,25,52,17,35
Póvoa de Varzim,35,17,18,22,0,21,1,6,5,1,8,7,1,4,3,1
Santa Maria da Feira,84,59,25,54,1,51,3,13,10,3,13,11,2,6,3,3
Santo Tirso,41,31,10,37,0,32,5,10,7,3,14,9,5,9,4,5
São João da Madeira,15,10,5,11,0,9,2,4,3,1,5,4,1,6,4,2
Trofa,20,16,4,17,0,16,1,4,3,1,4,3,1,3,2,1
Vale de Cambra,14,13,1,10,0,10,0,2,2,0,2,2,0,1,1,0
Valongo,47,29,18,34,0,28,6,10,7,3,13,9,4,6,4,2
Vila do Conde,47,33,14,36,0,34,2,6,5,1,7,7,0,3,2,1
Vila Nova de Gaia,139,84,55,103,1,91,12,23,15,8,33,23,10,19,9,10
Alto Tâmega,49,34,15,30,0,25,5,14,14,0,13,13,0,9,8,1
Boticas,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Chaves,21,13,8,17,0,12,5,5,5,0,4,4,0,4,3,1
Montalegre,3,3,0,3,0,3,0,2,2,0,2,2,0,2,2,0
Ribeira de Pena,4,2,2,2,0,2,0,2,2,0,2,2,0,1,1,0
Valpaços,8,5,3,4,0,4,0,2,2,0,2,2,0,1,1,0
Vila Pouca de Aguiar,10,9,1,3,0,3,0,2,2,0,2,2,0,1,1,0
Tâmega e Sousa,270,225,45,200,2,192,8,46,40,6,64,53,11,36,26,10
Amarante,29,24,5,20,0,19,1,6,4,2,8,5,3,4,1,3
Baião,16,10,6,5,0,5,0,3,3,0,3,3,0,1,1,0
Castelo de Paiva,19,17,2,13,2,13,0,2,2,0,2,2,0,1,1,0
Celorico de Basto,16,15,1,4,0,4,0,3,3,0,4,4,0,2,2,0
Cinfães,11,11,0,11,0,11,0,2,2,0,3,3,0,2,1,1
Felgueiras,38,26,12,29,0,27,2,7,7,0,9,8,1,6,5,1
Lousada,28,24,4,27,0,25,2,7,5,2,8,6,2,5,4,1
Marco de Canaveses,44,42,2,35,0,35,0,4,4,0,9,8,1,5,4,1
Paços de Ferreira,21,14,7,16,0,14,2,6,4,2,9,6,3,5,3,2
Penafiel,45,39,6,37,0,36,1,5,5,0,8,7,1,4,3,1
Resende,3,3,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Douro,115,80,35,59,3,54,5,25,22,3,33,27,6,30,20,10
Alijó,11,7,4,6,0,6,0,2,2,0,2,2,0,1,1,0
Armamar,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Carrazeda de Ansiães,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Freixo de Espada à Cinta,3,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0
Lamego,16,11,5,7,1,5,2,3,2,1,4,3,1,6,3,3
Mesão Frio,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Moimenta da Beira,5,3,2,3,0,3,0,1,1,0,2,1,1,2,1,1
Murça,3,2,1,1,0,1,0,1,1,0,2,1,1,2,1,1
Penedono,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Peso da Régua,8,4,4,2,0,2,0,1,1,0,2,2,0,2,2,0
Sabrosa,6,5,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Santa Marta de Penaguião,5,2,3,4,1,4,0,1,1,0,1,1,0,0,0,0
São João da Pesqueira,6,6,0,4,0,4,0,1,1,0,2,1,1,2,1,1
Sernancelhe,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Tabuaço,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Tarouca,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Torre de Moncorvo,8,7,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova de Foz Côa,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Real,28,22,6,20,1,17,3,4,2,2,7,5,2,6,3,3
Terras de Trás-os-Montes,66,45,21,39,4,35,4,13,13,0,18,15,3,15,11,4
Alfândega da Fé,4,3,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Bragança,19,9,10,15,3,12,3,3,3,0,6,4,2,5,3,2
Macedo de Cavaleiros,8,6,2,4,0,4,0,1,1,0,1,1,0,2,1,1
Miranda do Douro,4,3,1,3,1,3,0,2,2,0,2,2,0,1,1,0
Mirandela,11,7,4,6,0,5,1,2,2,0,4,3,1,3,2,1
Mogadouro,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Flor,9,8,1,5,0,5,0,1,1,0,1,1,0,1,1,0
Vimioso,2,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Vinhais,6,5,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Centro,1477,997,480,1114,110,1050,64,278,226,52,350,278,72,231,143,88
Oeste,209,150,59,179,15,168,11,37,31,6,43,33,10,29,16,13
Alcobaça,33,19,14,29,1,28,1,5,5,0,6,5,1,4,3,1
Alenquer,19,15,4,21,1,20,1,4,4,0,4,4,0,1,1,0
Arruda dos Vinhos,5,4,1,4,0,4,0,1,0,1,2,0,2,2,0,2
Bombarral,5,4,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Cadaval,11,10,1,10,2,10,0,1,1,0,1,1,0,1,1,0
Caldas da Rainha,33,23,10,29,2,25,4,5,3,2,7,5,2,5,3,2
Lourinhã,15,12,3,15,0,15,0,3,3,0,3,3,0,1,1,0
Nazaré,6,4,2,4,1,4,0,1,1,0,2,1,1,3,1,2
Óbidos,11,10,1,3,0,3,0,3,3,0,1,1,0,1,1,0
Peniche,14,8,6,15,3,15,0,3,3,0,4,3,1,2,1,1
Sobral de Monte Agraço,5,4,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Torres Vedras,52,37,15,44,5,39,5,9,6,3,11,8,3,7,2,5
Região de Aveiro,238,135,103,156,6,148,8,41,33,8,52,42,10,31,19,12
Águeda,27,12,15,14,0,13,1,5,4,1,6,5,1,2,2,0
Albergaria-a-Velha,22,14,8,14,0,13,1,4,3,1,4,3,1,3,1,2
Anadia,19,10,9,13,0,12,1,4,2,2,4,2,2,4,1,3
Aveiro,53,25,28,35,2,32,3,10,7,3,13,9,4,7,4,3
Estarreja,15,7,8,8,0,7,1,3,3,0,3,3,0,1,1,0
Ílhavo,25,16,9,18,0,18,0,3,3,0,4,4,0,2,2,0
Murtosa,6,4,2,4,0,4,0,2,2,0,2,2,0,1,1,0
Oliveira do Bairro,16,9,7,9,0,9,0,2,2,0,3,3,0,2,1,1
Ovar,33,20,13,21,0,20,1,5,5,0,8,7,1,4,3,1
Sever do Vouga,10,9,1,10,3,10,0,1,1,0,1,1,0,2,1,1
Vagos,12,9,3,10,1,10,0,2,1,1,4,3,1,3,2,1
Região de Coimbra,280,166,114,211,11,193,18,58,45,13,73,58,15,48,28,20
Arganil,7,6,1,6,0,6,0,2,2,0,3,3,0,1,1,0
Cantanhede,24,14,10,19,1,18,1,6,3,3,6,4,2,3,2,1
Coimbra,80,32,48,69,4,58,11,19,10,9,22,14,8,17,9,8
Condeixa-a-Nova,8,6,2,6,0,6,0,1,1,0,2,2,0,1,1,0
Figueira da Foz,36,20,16,31,2,26,5,4,4,0,8,7,1,5,3,2
Góis,4,2,2,3,1,3,0,1,1,0,1,1,0,0,0,0
Lousã,7,5,2,4,0,4,0,2,2,0,2,2,0,2,1,1
Mealhada,13,8,5,6,0,6,0,2,2,0,3,3,0,2,1,1
Mira,8,6,2,8,0,8,0,1,1,0,1,1,0,1,1,0
Miranda do Corvo,9,7,2,8,0,8,0,2,2,0,2,2,0,1,1,0
Montemor-o-Velho,15,8,7,9,1,9,0,4,4,0,6,4,2,3,1,2
Mortágua,2,1,1,1,0,1,0,1,1,0,2,2,0,1,1,0
Oliveira do Hospital,22,16,6,12,1,11,1,4,4,0,5,5,0,2,1,1
Pampilhosa da Serra,3,1,2,2,0,2,0,1,1,0,1,1,0,1,1,0
Penacova,9,9,0,6,1,6,0,2,2,0,3,2,1,2,1,1
Penela,3,3,0,3,0,3,0,1,1,0,1,1,0,1,0,1
Soure,15,10,5,11,0,11,0,2,1,1,2,1,1,2,1,1
Tábua,10,9,1,4,0,4,0,2,2,0,2,2,0,2,1,1
Vila Nova de Poiares,5,3,2,3,0,3,0,1,1,0,1,1,0,1,1,0
Região de Leiria,201,146,55,159,11,150,9,36,24,12,42,28,14,30,16,14
Alvaiázere,2,2,0,2,0,2,0,1,1,0,1,1,0,2,1,1
Ansião,10,7,3,6,1,6,0,2,2,0,2,2,0,2,1,1
Batalha,12,8,4,10,1,10,0,2,1,1,2,1,1,1,1,0
Castanheira de Pêra,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Figueiró dos Vinhos,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Leiria,94,63,31,69,3,64,5,14,9,5,16,10,6,9,5,4
Marinha Grande,21,16,5,21,3,19,2,4,3,1,6,5,1,5,3,2
Pedrógão Grande,3,2,1,2,0,2,0,1,1,0,1,1,0,1,0,1
Pombal,34,27,7,29,2,28,1,7,3,4,9,4,5,6,2,4
Porto de Mós,19,16,3,16,0,15,1,3,2,1,3,2,1,3,2,1
Viseu Dão Lafões,196,157,39,137,21,133,4,33,30,3,47,40,7,25,18,7
Aguiar da Beira,4,4,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Carregal do Sal,2,2,0,2,0,2,0,2,2,0,3,3,0,1,1,0
Castro Daire,14,13,1,13,5,13,0,2,2,0,4,3,1,2,1,1
Mangualde,16,13,3,8,3,8,0,1,1,0,2,2,0,1,1,0
Nelas,14,10,4,7,0,6,1,2,2,0,3,3,0,2,2,0
Oliveira de Frades,10,9,1,3,1,3,0,1,1,0,1,1,0,1,1,0
