,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,175820,81291,94529,12961174,2629855,10331319,358078,97253,260825
Continente,167275,77338,89937,12344110,2504752,9839358,342451,93322,249129
Norte,58849,27671,31178,4285467,912489,3372978,113390,31002,82388
Alto Minho,3380,1556,1824,248007,50235,197772,6207,1596,4610
Arcos de Valdevez,261,114,147,19346,3650,15696,443,104,339
Caminha,225,95,130,17272,2800,14472,430,93,337
Melgaço,59,24,35,4630,779,3851,108,22,85
Monção,216,100,116,15010,3136,11874,343,84,259
Paredes de Coura,143,63,80,10583,1907,8676,237,48,189
Ponte da Barca,133,63,70,9902,2277,7625,224,59,165
Ponte de Lima,634,296,338,46289,9961,36328,1071,282,789
Valença,190,86,104,14300,2698,11602,316,84,231
Viana do Castelo,1346,631,715,98142,20580,77562,2745,753,1993
Vila Nova de Cerveira,173,84,89,12533,2447,10086,290,67,223
Cávado,7397,3532,3865,548308,120513,427795,15018,4152,10866
Amares,313,151,162,24148,5290,18858,568,161,406
Barcelos,1961,918,1043,145706,31620,114086,3485,885,2600
Braga,3528,1711,1817,260209,58756,201453,8034,2358,5676
Esposende,650,302,348,49200,10109,39091,1368,351,1017
Terras de Bouro,74,36,38,5250,1109,4141,102,23,79
Vila Verde,871,414,457,63795,13629,50166,1462,373,1088
Ave,7296,3510,3786,536918,125870,411048,13786,3999,9787
Cabeceiras de Basto,182,76,106,13484,2373,11111,304,67,237
Fafe,772,352,420,57344,12607,44737,1338,322,1016
Guimarães,2853,1393,1460,210572,50829,159743,5560,1598,3962
Mondim de Basto,88,38,50,6635,1341,5294,115,27,87
Póvoa de Lanhoso,314,139,175,23361,4836,18525,493,122,371
Vieira do Minho,137,62,75,10667,2113,8554,199,49,151
Vila Nova de Famalicão,2473,1219,1254,178573,42675,135898,4873,1568,3305
Vizela,477,231,246,36282,9096,27186,904,247,658
A. M. Porto,29765,14033,15732,2151332,455456,1695876,60998,16894,44104
Arouca,312,154,158,22458,5012,17446,471,133,337
Espinho,395,190,205,27745,5837,21908,744,198,547
Gondomar,2871,1342,1529,206620,43073,163547,5407,1439,3968
Maia,2430,1165,1265,171027,38009,133018,5339,1576,3763
Matosinhos,3102,1458,1644,224423,46859,177564,6882,1928,4954
Oliveira de Azeméis,1104,528,576,80827,18473,62354,2069,650,1419
Paredes,1519,699,820,110640,22037,88603,2492,650,1842
Porto,3752,1722,2030,275487,55787,219700,9955,2730,7224
Póvoa de Varzim,1056,494,562,78496,16427,62069,2000,545,1456
Santa Maria da Feira,2372,1144,1228,168691,37619,131072,4281,1213,3068
Santo Tirso,1007,495,512,74310,17189,57121,1973,589,1383
São João da Madeira,342,169,173,23884,5483,18401,633,185,448
Trofa,684,325,359,49969,10751,39218,1282,368,914
Vale de Cambra,333,165,168,24218,5670,18548,659,208,451
Valongo,1806,848,958,127999,27295,100704,3289,893,2396
Vila do Conde,1498,699,799,108948,22669,86279,2866,826,2040
Vila Nova de Gaia,5182,2436,2746,375590,77266,298324,10656,2762,7893
Alto Tâmega,844,372,472,62600,12190,50410,1387,315,1073
Boticas,36,17,19,2558,647,1911,59,21,39
Chaves,421,181,240,32832,6043,26789,747,166,580
Montalegre,69,33,36,5263,1079,4184,118,26,93
Ribeira de Pena,52,21,31,3974,713,3261,94,19,75
Valpaços,153,69,84,10189,2098,8091,182,39,143
Vila Pouca de Aguiar,113,51,62,7784,1610,6174,187,44,143
Tâmega e Sousa,6695,3104,3591,486289,99662,386627,10339,2685,7654
Amarante,723,331,392,51886,10388,41498,1165,308,856
Baião,222,103,119,15695,2994,12701,300,79,221
Castelo de Paiva,221,99,122,17003,3272,13731,349,86,263
Celorico de Basto,259,117,142,19237,3276,15961,378,81,297
Cinfães,278,126,152,19582,3356,16226,352,80,272
Felgueiras,1040,503,537,74985,17813,57172,1674,471,1203
Lousada,904,435,469,65172,14911,50261,1377,391,987
Marco de Canaveses,714,314,400,53728,10032,43696,1158,278,880
Paços de Ferreira,1057,507,550,75752,16341,59411,1622,417,1205
Penafiel,1162,516,646,84861,15721,69140,1813,456,1357
Resende,115,53,62,8388,1558,6830,150,37,113
Douro,2199,1001,1198,158660,30605,128055,3521,835,2685
Alijó,95,43,52,6888,1315,5573,151,41,110
Armamar,63,28,35,4178,632,3546,85,11,74
Carrazeda de Ansiães,74,35,39,5445,1062,4383,93,22,71
Freixo de Espada à Cinta,51,23,28,3601,658,2943,69,19,50
Lamego,302,131,171,22789,4213,18576,506,110,396
Mesão Frio,34,17,17,2306,477,1829,51,14,37
Moimenta da Beira,117,57,60,7943,1737,6206,140,43,97
Murça,45,21,24,3368,864,2504,77,24,53
Penedono,24,13,11,1425,307,1118,22,5,17
Peso da Régua,217,99,118,16603,3059,13544,363,77,286
Sabrosa,70,34,36,4717,1057,3660,101,26,75
Santa Marta de Penaguião,43,18,25,2858,367,2491,50,9,41
São João da Pesqueira,86,37,49,5795,898,4897,94,18,76
Sernancelhe,63,33,30,3870,1051,2819,67,21,46
Tabuaço,48,22,26,3374,676,2698,64,16,48
Tarouca,84,38,46,6309,1580,4729,146,47,99
Torre de Moncorvo,90,46,44,6415,1245,5170,128,27,101
Vila Nova de Foz Côa,67,29,38,4905,759,4146,121,19,101
Vila Real,626,277,349,45871,8648,37223,1192,285,907
Terras de Trás-os-Montes,1273,563,710,93353,17958,75395,2135,526,1609
Alfândega da Fé,57,25,32,4254,774,3480,98,21,76
Bragança,471,214,257,34899,7112,27787,900,251,649
Macedo de Cavaleiros,160,69,91,11622,2075,9547,236,50,186
Miranda do Douro,58,28,30,3837,944,2893,79,21,58
Mirandela,256,110,146,19032,3328,15704,416,95,321
Mogadouro,78,33,45,5395,1009,4386,118,23,95
Vila Flor,76,31,45,6252,860,5392,116,17,99
Vimioso,53,22,31,3724,777,2947,84,21,63
Vinhais,64,31,33,4338,1079,3259,89,26,63
Centro,34265,16214,18051,2502644,520006,1982638,63895,17353,46542
Oeste,5986,2818,3168,444038,89577,354461,10918,2878,8040
Alcobaça,780,377,403,57742,11796,45946,1352,378,974
Alenquer,871,404,467,66387,13771,52616,1688,448,1240
Arruda dos Vinhos,269,123,146,21290,4433,16857,717,193,524
Bombarral,174,88,86,12341,2614,9727,314,92,223
Cadaval,169,76,93,13341,2275,11066,308,73,235
Caldas da Rainha,725,330,395,54677,10097,44580,1308,331,977
Lourinhã,457,214,243,32534,6619,25915,720,193,526
Nazaré,216,99,117,14810,2857,11953,295,72,223
Óbidos,200,101,99,14460,3257,11203,359,114,245
Peniche,514,237,277,37341,6810,30531,862,191,671
Sobral de Monte Agraço,176,83,93,13292,3020,10272,336,109,228
Torres Vedras,1435,686,749,105823,22028,83795,2659,685,1974
Região de Aveiro,6364,3003,3361,460347,94421,365926,12036,3419,8618
Águeda,743,341,402,54739,10058,44681,1303,340,963
Albergaria-a-Velha,453,220,233,30533,7082,23451,734,217,517
Anadia,389,183,206,28357,5899,22458,680,196,484
Aveiro,1451,694,757,107147,22682,84465,3263,963,2299
Estarreja,423,204,219,29051,6101,22950,669,202,467
Ílhavo,690,319,371,50800,9859,40941,1361,416,945
Murtosa,178,86,92,12706,2321,10385,264,71,193
Oliveira do Bairro,470,219,251,32776,6824,25952,809,221,588
Ovar,978,467,511,71342,15521,55821,1968,551,1417
Sever do Vouga,153,72,81,11354,2323,9031,273,70,203
Vagos,436,198,238,31542,5751,25791,713,172,541
Região de Coimbra,6609,3152,3457,481227,103325,377902,13307,3568,9739
Arganil,168,76,92,12153,2335,9818,249,61,188
Cantanhede,519,246,273,37209,8212,28997,968,261,707
Coimbra,2279,1065,1214,170722,35623,135099,5579,1412,4167
Condeixa-a-Nova,273,136,137,20007,4761,15246,594,161,432
Figueira da Foz,825,396,429,58574,12437,46137,1504,421,1083
Góis,37,15,22,2621,421,2200,56,12,44
Lousã,257,117,140,18262,3967,14295,432,124,308
Mealhada,306,144,162,23260,4556,18704,569,152,417
Mira,200,102,98,14227,3204,11023,346,91,256
Miranda do Corvo,163,80,83,11768,2649,9119,278,79,199
Montemor-o-Velho,429,213,216,30034,7240,22794,893,296,597
Mortágua,145,71,74,10384,2376,8008,253,64,190
Oliveira do Hospital,303,147,156,22004,4539,17465,460,119,341
Pampilhosa da Serra,24,10,14,1582,309,1273,34,8,27
Penacova,153,81,72,10458,2621,7837,237,81,156
Penela,56,27,29,4193,848,3345,100,32,67
Soure,214,104,110,15611,3596,12015,375,107,268
Tábua,162,76,86,11057,2237,8820,221,51,170
Vila Nova de Poiares,96,46,50,7101,1394,5707,158,36,122
Região de Leiria,4786,2302,2484,348116,73501,274615,9145,2614,6530
Alvaiázere,67,30,37,4996,1039,3957,100,27,72
Ansião,147,66,81,10825,2197,8628,254,61,194
Batalha,309,147,162,21880,4694,17186,619,168,451
Castanheira de Pêra,14,8,6,869,180,689,21,6,15
Figueiró dos Vinhos,53,24,29,3914,592,3322,79,16,63
Leiria,2318,1123,1195,171145,36220,134925,4736,1364,3371
Marinha Grande,666,322,344,47045,10064,36981,1199,365,835
Pedrógão Grande,36,16,20,2398,338,2060,37,7,31
Pombal,763,360,403,56883,12087,44796,1428,416,1012
Porto de Mós,413,206,207,28161,6090,22071,672,185,487
Viseu Dão Lafões,3694,1740,1954,273201,56512,216689,6729,1729,5000
Aguiar da Beira,45,23,22,3555,941,2614,77,21,55
Carregal do Sal,133,59,74,10328,2012,8316,216,54,162
Castro Daire,141,71,70,9701,2310,7391,186,57,129
Mangualde,277,126,151,20072,4025,16047,452,144,307
Nelas,186,86,100,13584,2705,10879,354,91,263
Oliveira de Frades,167,81,86,13573,2982,10591,313,94,220
Penalva do Castelo,79,38,41,5452,1072,4380,110,28,82
Santa Comba Dão,143,67,76,10941,2415,8526,251,71,180
São Pedro do Sul,191,89,102,13644,3005,10639,281,82,200
Sátão,154,80,74,11319,2415,8904,258,65,192
Tondela,320,152,168,23863,5400,18463,591,161,430
Vila Nova de Paiva,44,18,26,3529,591,2938,75,19,56
Viseu,1655,774,881,121512,24266,97246,3298,780,2518
Vouzela,159,76,83,12128,2373,9755,267,62,206
Beira Baixa,988,452,536,70558,13882,56676,1666,431,1235
Castelo Branco,747,347,400,53519,10803,42716,1324,344,980
Idanha-a-Nova,102,47,55,7579,1563,6016,137,40,97
Oleiros,26,11,15,1624,321,1303,44,11,33
Penamacor,36,13,23,2731,378,2353,49,9,40
Proença-a-Nova,41,18,23,2815,451,2364,66,15,51
Vila Velha de Ródão,36,16,20,2290,366,1924,46,13,34
Médio Tejo,3283,1550,1733,239737,49784,189953,5775,1591,4183
Abrantes,424,194,230,31125,6114,25011,731,204,527
Alcanena,189,90,99,13464,2663,10801,310,84,225
Constância,56,28,28,4392,1127,3265,111,43,69
Entroncamento,373,171,202,28350,5867,22483,719,217,503
Ferreira do Zêzere,97,45,52,7516,1453,6063,174,44,130
Mação,50,22,28,3460,558,2902,70,18,52
Ourém,782,380,402,56487,12468,44019,1335,375,960
Sardoal,34,15,19,2666,481,2185,65,16,48
Sertã,176,81,95,12330,2588,9742,264,71,193
Tomar,464,218,246,34436,6782,27654,842,210,633
Torres Novas,509,249,260,35893,7939,27954,932,257,674
Vila de Rei,28,12,16,2129,318,1811,39,7,32
Vila Nova da Barquinha,101,45,56,7489,1426,6063,183,47,136
Beiras e Serra da Estrela,2555,1197,1358,185420,39004,146416,4319,1123,3196
Almeida,50,21,29,3867,597,3270,83,20,63
Belmonte,78,38,40,5731,1224,4507,127,28,98
Celorico da Beira,78,32,46,6019,1087,4932,129,33,96
Covilhã,570,267,303,40138,8601,31537,1013,271,742
Figueira de Castelo Rodrigo,59,32,27,4122,788,3334,78,17,61
Fornos de Algodres,51,23,28,3624,574,3050,85,16,69
Fundão,286,133,153,21324,4836,16488,468,122,346
Gouveia,162,73,89,11830,2211,9619,233,54,179
Guarda,563,270,293,41778,8817,32961,1050,283,767
Manteigas,48,25,23,3418,875,2543,87,31,57
Mêda,50,22,28,3509,608,2901,84,18,66
Pinhel,86,39,47,6182,1594,4588,142,43,99
Sabugal,101,48,53,7208,1407,5801,153,33,121
Seia,285,133,152,20514,4541,15973,450,121,329
Trancoso,88,41,47,6156,1244,4912,136,34,102
A. M. Lisboa,54077,24338,29739,4086063,792218,3293845,129892,35948,93944
Alcochete,340,165,175,24720,5597,19123,925,287,639
Almada,2954,1263,1691,224804,40104,184700,6537,1703,4833
Amadora,3520,1500,2020,273834,47505,226329,7101,1816,5286
Barreiro,1272,559,713,95229,17442,77787,2407,605,1801
Cascais,3477,1551,1926,262626,50023,212603,8965,2579,6386
Lisboa,10422,4770,5652,796721,161507,635214,33663,9554,24109
Loures,4132,1876,2256,312801,61144,251657,9212,2621,6591
Mafra,1649,786,863,124688,26249,98439,4012,1117,2895
Moita,1192,517,675,86241,15384,70857,1948,514,1434
Montijo,1247,564,683,91482,18080,73402,2666,751,1915
Odivelas,3210,1464,1746,241572,47859,193713,7278,1942,5336
Oeiras,3156,1437,1719,240770,49598,191172,9804,2877,6927
Palmela,1166,521,645,86308,17458,68850,2445,700,1745
Seixal,3034,1339,1695,230178,44069,186109,6597,1724,4873
Sesimbra,973,432,541,71708,14913,56795,1900,579,1321
Setúbal,2086,942,1144,153269,28960,124309,4174,1231,2943
Sintra,7482,3357,4125,567134,105014,462120,14424,3744,10680
Vila Franca de Xira,2765,1295,1470,201978,41312,160666,5833,1604,4229
Alentejo,11630,5384,6246,833717,165625,668092,20206,5442,14764
Alentejo Litoral,1450,670,780,105258,20755,84503,2721,827,1894
Alcácer do Sal,158,72,86,12504,2288,10216,280,74,206
Grândola,169,80,89,11733,2333,9400,252,71,181
Odemira,412,181,231,29772,5350,24422,691,163,527
Santiago do Cacém,458,221,237,32585,7177,25408,988,346,641
Sines,253,116,137,18664,3607,15057,510,173,338
Baixo Alentejo,2011,919,1092,142595,27576,115019,3346,953,2394
Aljustrel,168,81,87,11725,2592,9133,273,96,177
Almodôvar,99,48,51,6597,1493,5104,189,75,115
Alvito,32,14,18,2082,485,1597,49,13,36
Barrancos,24,11,13,1525,301,1224,30,7,23
Beja,669,299,370,48478,8682,39796,1194,283,910
Castro Verde,138,66,72,10321,2476,7845,355,146,209
Cuba,64,25,39,5123,809,4314,143,28,114
Ferreira do Alentejo,106,45,61,8016,1243,6773,167,35,131
Mértola,59,27,32,4219,876,3343,92,33,59
Moura,272,124,148,18092,3482,14610,313,86,227
Ourique,73,32,41,5499,997,4502,133,41,92
Serpa,202,99,103,13584,2766,10818,269,74,195
Vidigueira,105,48,57,7334,1374,5960,139,35,104
Lezíria do Tejo,3856,1818,2038,276578,56682,219896,6847,1849,4997
Almeirim,319,146,173,25034,4421,20613,572,121,451
Alpiarça,111,54,57,7289,1766,5523,175,50,126
Azambuja,354,167,187,25765,5194,20571,660,172,489
Benavente,546,265,281,38643,8488,30155,991,309,682
Cartaxo,398,190,208,27909,5768,22141,725,186,539
Chamusca,129,60,69,9077,1828,7249,207,53,154
Coruche,227,96,131,16112,2833,13279,349,89,260
Golegã,90,42,48,6530,1535,4995,148,49,99
Rio Maior,400,192,208,28373,6031,22342,611,171,440
Salvaterra de Magos,324,154,170,23674,4745,18929,565,152,414
Santarém,958,452,506,68172,14073,54099,1843,499,1343
Alto Alentejo,1671,737,934,119614,22302,97312,2671,624,2047
Alter do Chão,51,21,30,3427,557,2870,64,13,51
Arronches,43,21,22,3203,730,2473,76,22,53
Avis,49,21,28,3534,551,2983,73,15,58
Campo Maior,127,60,67,9295,1989,7306,202,47,155
Castelo de Vide,46,19,27,3427,659,2768,74,22,53
Crato,43,18,25,3193,540,2653,85,16,69
Elvas,407,174,233,29065,5143,23922,597,153,444
Fronteira,40,22,18,2467,764,1703,64,17,47
Gavião,28,14,14,1464,365,1099,33,10,23
Marvão,34,16,18,2516,447,2069,49,9,40
Monforte,55,24,31,4136,675,3461,74,14,59
Nisa,64,29,35,4383,784,3599,82,19,62
Ponte de Sor,244,98,146,18036,2761,15275,361,71,290
Portalegre,373,171,202,26551,5441,21110,727,170,557
Sousel,67,29,38,4917,896,4021,111,26,85
Alentejo Central,2642,1240,1402,189672,38310,151362,4621,1189,3432
Alandroal,54,25,29,4226,800,3426,85,21,64
Arraiolos,105,49,56,7452,1538,5914,185,47,138
Borba,98,46,52,7422,1373,6049,164,34,130
Estremoz,199,94,105,13766,2678,11088,323,79,244
Évora,1113,528,585,79978,16636,63342,2219,588,1632
Montemor-o-Novo,228,104,124,16702,3380,13322,386,99,287
Mora,60,28,32,4699,858,3841,113,28,85
Mourão,42,20,22,3219,615,2604,54,11,43
Portel,92,46,46,6542,1158,5384,128,27,101
Redondo,102,46,56,7475,1451,6024,137,35,103
Reguengos de Monsaraz,174,77,97,11800,2211,9589,261,57,204
Vendas Novas,160,72,88,11933,2550,9383,261,74,187
Viana do Alentejo,105,50,55,7385,1634,5751,159,54,105
Vila Viçosa,110,55,55,7073,1428,5645,146,36,110
Algarve,8454,3731,4723,636219,114414,521805,15067,3577,11491
Albufeira,864,376,488,65299,10773,54526,1474,328,1146
Alcoutim,25,12,13,1408,331,1077,30,8,22
Aljezur,94,45,49,6870,1319,5551,134,32,102
Castro Marim,95,40,55,7847,1364,6483,175,52,123
Faro,1324,596,728,98242,19320,78922,2822,789,2032
Lagoa,409,171,238,31176,5348,25828,693,153,539
Lagos,514,218,296,41220,6774,34446,877,189,688
Loulé,1241,521,720,93352,15275,78077,2195,449,1746
Monchique,70,33,37,5060,1083,3977,117,32,86
Olhão,906,405,501,68115,13011,55104,1576,401,1175
Portimão,1186,533,653,89740,16412,73328,2103,484,1619
São Brás de Alportel,205,95,110,15413,2886,12527,392,96,297
Silves,738,335,403,54813,9715,45098,1243,274,969
Tavira,412,182,230,31557,5479,26078,702,154,548
Vila do Bispo,71,26,45,5390,712,4678,112,18,95
Vila Real de Santo António,300,143,157,20717,4612,16105,422,118,304
R. A. Açores,4668,2088,2580,332133,64524,267609,7865,1871,5994
Santa Maria,87,38,49,6041,1253,4788,136,40,96
Vila do Porto,87,38,49,6041,1253,4788,136,40,96
São Miguel,2818,1261,1557,197059,38369,158690,4567,1116,3451
Lagoa (R.A.A.),284,125,159,21105,3947,17158,459,119,340
Nordeste,75,30,45,4898,761,4137,82,15,67
Ponta Delgada,1379,641,738,94777,20209,74568,2429,638,1792
Povoação,84,36,48,5720,1229,4491,113,33,80
Ribeira Grande,808,349,459,56534,9571,46963,1157,232,925
Vila Franca do Campo,188,80,108,14025,2652,11373,327,79,248
Terceira,991,448,543,72529,14291,58238,1781,428,1353
Angra do Heroísmo,623,284,339,46476,9190,37286,1080,261,819
Vila da Praia da Vitória,368,164,204,26053,5101,20952,701,167,534
Graciosa,78,35,43,6181,1120,5061,131,28,103
Santa Cruz da Graciosa,78,35,43,6181,1120,5061,131,28,103
São Jorge,138,65,73,10203,2038,8165,210,43,168
Calheta (R.A.A.),60,27,33,5165,955,4210,102,20,82
Velas,78,38,40,5038,1083,3955,108,22,86
Pico,265,119,146,18587,3565,15022,402,90,311
Lajes do Pico,78,37,41,5143,1009,4134,103,25,78
Madalena,131,60,71,8975,1894,7081,194,49,145
São Roque do Pico,56,22,34,4469,662,3807,104,16,88
Faial,227,99,128,16416,3200,13216,516,107,409
Horta,227,99,128,16416,3200,13216,516,107,409
Flores,…,…,…,…,…,…,…,…,…
Lajes das Flores,…,…,…,…,…,…,…,…,…
Santa Cruz das Flores,35,12,23,2703,345,2358,65,10,55
Corvo,…,…,…,…,…,…,…,…,…
Corvo,…,…,…,…,…,…,…,…,…
R. A. Madeira,3637,1722,1915,270517,56402,214115,7089,1763,5327
Calheta (R.A.M.),115,60,55,7812,1767,6045,191,65,127
Câmara de Lobos,594,283,311,44797,9037,35760,918,223,695
Funchal,1435,653,782,105844,21272,84572,3167,760,2407
Machico,233,113,120,16987,3889,13098,407,108,299
Ponta do Sol,116,62,54,7540,1991,5549,142,43,99
Porto Moniz,22,11,11,1590,302,1288,38,6,32
Ribeira Brava,175,87,88,13236,2788,10448,298,77,221
Santa Cruz,779,369,410,60880,12760,48120,1656,404,1252
Santana,74,35,39,5421,1221,4200,112,37,76
São Vicente,37,21,16,2355,651,1704,56,16,40
Porto Santo,57,28,29,4055,724,3331,105,25,79
