,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,1329,923,84,433,78,188,74,246,55,324
Continente,1228,920,62,426,73,185,69,245,49,306
Norte,428,223,16,119,16,64,16,102,15,132
Alto Minho,31,2,0,2,0,1,0,5,0,14
Arcos de Valdevez,4,0,0,0,0,0,0,0,0,1
Caminha,3,0,0,0,0,0,0,0,0,2
Melgaço,1,0,0,0,0,0,0,0,0,1
Monção,1,0,0,0,0,0,0,1,0,1
Paredes de Coura,3,0,0,0,0,0,0,0,0,1
Ponte da Barca,1,0,0,0,0,0,0,0,0,1
Ponte de Lima,1,0,0,0,0,0,0,1,0,1
Valença,1,0,0,0,0,0,0,0,0,1
Viana do Castelo,15,2,0,2,0,1,0,3,0,4
Vila Nova de Cerveira,1,0,0,0,0,0,0,0,0,1
Cávado,45,16,2,12,4,8,4,12,3,13
Amares,1,0,0,0,0,0,0,0,0,0
Barcelos,11,0,1,1,3,0,3,3,2,3
Braga,26,11,1,10,1,8,1,7,1,8
Esposende,4,4,0,0,0,0,0,1,0,1
Terras de Bouro,1,1,0,0,0,0,0,0,0,0
Vila Verde,2,0,0,1,0,0,0,1,0,1
Ave,71,14,2,7,3,4,4,10,4,14
Cabeceiras de Basto,1,0,0,0,0,0,1,0,1,0
Fafe,8,2,0,1,0,1,0,2,0,2
Guimarães,32,4,0,2,0,3,0,5,0,6
Mondim de Basto,1,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,2,0,0,0,0,0,0,0,0,1
Vieira do Minho,1,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,24,8,1,4,2,0,2,3,2,4
Vizela,2,0,1,0,1,0,1,0,1,1
A. M. Porto,196,160,6,82,6,45,5,58,5,69
Arouca,1,0,0,0,0,0,0,0,0,0
Espinho,4,1,0,0,1,0,0,3,0,3
Gondomar,9,13,1,4,1,2,1,2,1,2
Maia,16,15,0,4,0,3,0,2,0,2
Matosinhos,23,14,1,7,0,3,0,5,0,5
Oliveira de Azeméis,12,1,0,3,0,0,0,0,0,0
Paredes,2,4,0,2,0,1,0,1,0,1
Porto,41,50,2,32,2,17,2,23,2,33
Póvoa de Varzim,14,4,0,1,0,1,0,1,0,1
Santa Maria da Feira,21,4,1,2,1,2,1,1,1,2
Santo Tirso,5,5,1,4,1,2,1,4,1,4
São João da Madeira,3,2,0,2,0,1,0,1,0,2
Trofa,2,2,0,1,0,1,0,1,0,1
Vale de Cambra,1,0,0,0,0,0,0,0,0,0
Valongo,5,13,0,6,0,3,0,4,0,2
Vila do Conde,11,3,0,2,0,1,0,0,0,1
Vila Nova de Gaia,26,29,0,12,0,8,0,10,0,10
Alto Tâmega,9,6,1,4,0,0,0,0,0,1
Boticas,1,0,0,0,0,0,0,0,0,0
Chaves,3,5,1,4,0,0,0,0,0,1
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,2,0,0,0,0,0,0,0,0,0
Valpaços,2,1,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,1,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,29,16,2,6,2,4,2,9,2,8
Amarante,2,3,1,0,2,0,2,1,2,1
Baião,6,0,0,0,0,0,0,0,0,0
Castelo de Paiva,2,0,0,0,0,0,0,0,0,0
Celorico de Basto,1,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,1
Felgueiras,6,6,0,2,0,0,0,1,0,1
Lousada,2,2,0,2,0,2,0,2,0,1
Marco de Canaveses,1,1,0,0,0,0,0,1,0,1
Paços de Ferreira,4,3,0,2,0,2,0,3,0,2
Penafiel,5,1,1,0,0,0,0,1,0,1
Resende,0,0,0,0,0,0,0,0,0,0
Douro,30,5,2,3,1,2,1,5,1,9
Alijó,4,0,0,0,0,0,0,0,0,0
Armamar,0,1,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,1,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,2,0,0,0,0,0,0,0,0,0
Lamego,4,1,0,2,0,1,0,1,0,3
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,2,0,0,0,0,0,0,1,0,1
Murça,1,0,0,0,0,0,0,1,0,1
Penedono,1,0,0,0,0,0,0,0,0,0
Peso da Régua,3,1,0,0,0,0,0,0,0,0
Sabrosa,1,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,3,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,1,0,1
Sernancelhe,1,0,0,0,0,0,0,0,0,1
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,1,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,1,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,1,0,0,0,0,0,0,0,0,0
Vila Real,4,2,2,1,1,1,1,1,1,2
Terras de Trás-os-Montes,17,4,1,3,0,0,0,3,0,4
Alfândega da Fé,1,0,0,0,0,0,0,0,0,0
Bragança,6,4,0,3,0,0,0,2,0,2
Macedo de Cavaleiros,2,0,0,0,0,0,0,0,0,1
Miranda do Douro,1,0,0,0,0,0,0,0,0,0
Mirandela,4,0,1,0,0,0,0,1,0,1
Mogadouro,1,0,0,0,0,0,0,0,0,0
Vila Flor,1,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,1,0,0,0,0,0,0,0,0,0
Centro,360,120,21,43,43,9,40,32,26,62
Oeste,47,12,4,7,4,2,6,4,5,8
Alcobaça,12,2,0,1,0,0,1,0,1,0
Alenquer,2,2,0,1,0,0,0,0,0,0
Arruda dos Vinhos,1,0,0,0,1,0,1,1,1,1
Bombarral,1,0,0,0,0,0,0,0,0,0
Cadaval,1,0,0,0,0,0,0,0,0,0
Caldas da Rainha,8,2,3,1,2,0,2,0,1,1
Lourinhã,3,0,0,0,0,0,0,0,0,0
Nazaré,2,0,0,0,0,0,1,0,1,1
Óbidos,1,0,0,0,0,0,0,0,0,0
Peniche,6,0,0,0,0,0,0,1,0,1
Sobral de Monte Agraço,1,0,0,0,0,0,0,0,0,0
Torres Vedras,9,6,1,4,1,2,1,2,1,4
Região de Aveiro,83,20,5,3,7,1,7,3,5,7
Águeda,15,0,1,0,1,0,1,0,0,0
Albergaria-a-Velha,8,0,1,0,1,0,1,0,1,1
Anadia,8,1,1,0,2,0,2,0,2,1
Aveiro,18,10,2,1,2,1,2,2,1,2
Estarreja,5,3,0,1,0,0,0,0,0,0
Ílhavo,7,2,0,0,0,0,0,0,0,0
Murtosa,2,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,7,0,0,0,0,0,0,0,0,1
Ovar,10,3,0,1,0,0,0,1,0,1
Sever do Vouga,1,0,0,0,0,0,0,0,0,1
Vagos,2,1,0,0,1,0,1,0,1,0
Região de Coimbra,84,30,5,13,11,2,7,8,5,15
Arganil,1,0,0,0,0,0,0,0,0,0
Cantanhede,8,2,1,0,3,0,1,1,0,1
Coimbra,32,16,4,7,7,2,5,3,4,4
Condeixa-a-Nova,1,1,0,0,0,0,0,0,0,0
Figueira da Foz,10,6,0,5,0,0,0,1,0,2
Góis,2,0,0,0,0,0,0,0,0,0
Lousã,2,0,0,0,0,0,0,0,0,1
Mealhada,5,0,0,0,0,0,0,0,0,1
Mira,2,0,0,0,0,0,0,0,0,0
Miranda do Corvo,1,1,0,0,0,0,0,0,0,0
Montemor-o-Velho,5,2,0,0,0,0,0,2,0,2
Mortágua,0,1,0,0,0,0,0,0,0,0
Oliveira do Hospital,5,1,0,1,0,0,0,0,0,1
Pampilhosa da Serra,2,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,1,0,1
Penela,0,0,0,0,0,0,0,0,0,1
Soure,5,0,0,0,1,0,1,0,1,0
Tábua,1,0,0,0,0,0,0,0,0,1
Vila Nova de Poiares,2,0,0,0,0,0,0,0,0,0
Região de Leiria,29,26,3,6,11,1,11,3,5,9
Alvaiázere,0,0,0,0,0,0,0,0,0,1
Ansião,3,0,0,0,0,0,0,0,0,1
Batalha,3,1,0,0,1,0,1,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,1,0,0,0,0,0,0,0,0,0
Leiria,12,19,2,3,5,0,5,1,1,3
Marinha Grande,2,3,0,2,0,1,0,1,0,2
Pedrógão Grande,1,0,0,0,0,0,0,0,0,1
Pombal,4,3,0,1,4,0,4,1,3,1
Porto de Mós,3,0,1,0,1,0,1,0,1,0
Viseu Dão Lafões,28,11,1,3,2,1,2,5,0,7
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,1,0,0,0,0,0,0,1,0,1
Mangualde,3,0,0,0,0,0,0,0,0,0
Nelas,3,1,0,1,0,0,0,0,0,0
Oliveira de Frades,1,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,1,0,0,0,0,0,0,0,0,0
São Pedro do Sul,1,0,0,0,0,0,0,0,0,1
Sátão,1,0,0,0,0,0,0,0,0,0
Tondela,2,1,0,0,0,0,0,1,0,1
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,14,9,1,2,2,1,2,2,0,3
Vouzela,1,0,0,0,0,0,0,1,0,1
Beira Baixa,12,3,1,2,0,0,0,2,0,3
Castelo Branco,7,3,1,1,0,0,0,1,0,2
Idanha-a-Nova,2,0,0,0,0,0,0,1,0,1
Oleiros,1,0,0,0,0,0,0,0,0,0
Penamacor,1,0,0,1,0,0,0,0,0,0
Proença-a-Nova,1,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,23,15,1,8,4,1,4,3,3,6
Abrantes,6,1,0,1,0,0,0,0,0,0
Alcanena,2,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0
Entroncamento,1,2,0,2,0,0,0,1,0,1
Ferreira do Zêzere,1,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,4,2,0,1,3,0,3,0,2,2
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,2,0,0,0,1,0,1,0,1,1
Tomar,2,4,1,1,0,0,0,0,0,1
Torres Novas,4,5,0,3,0,1,0,2,0,1
Vila de Rei,1,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,1,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,54,3,1,1,4,1,3,4,3,7
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,3,0,0,0,0,0,0,0,0,0
Celorico da Beira,3,0,0,0,0,0,0,0,0,0
Covilhã,10,2,0,1,0,1,0,1,0,1
Figueira de Castelo Rodrigo,2,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,7,0,0,0,1,0,1,1,1,1
Gouveia,4,0,0,0,0,0,0,1,0,1
Guarda,12,0,1,0,1,0,1,0,1,1
Manteigas,1,0,0,0,0,0,0,0,0,1
Mêda,1,0,0,0,0,0,0,0,0,0
Pinhel,2,0,0,0,0,0,0,0,0,0
Sabugal,3,0,0,0,1,0,1,0,0,0
Seia,5,1,0,0,1,0,0,1,1,1
Trancoso,1,0,0,0,0,0,0,0,0,1
A. M. Lisboa,274,505,20,238,10,102,9,90,7,88
Alcochete,1,4,0,1,0,1,0,0,0,0
Almada,21,35,0,12,0,3,0,4,0,4
Amadora,17,28,1,15,1,4,1,3,0,3
Barreiro,5,12,0,5,0,1,0,2,0,2
Cascais,23,50,3,34,1,19,1,13,1,8
Lisboa,65,119,8,89,4,44,3,44,2,43
Loures,18,22,2,4,1,2,1,3,1,2
Mafra,3,9,1,2,2,1,2,1,2,1
Moita,4,3,0,1,0,0,0,0,0,1
Montijo,8,6,1,2,0,2,0,1,0,1
Odivelas,6,29,0,7,0,2,0,2,0,2
Oeiras,26,35,0,15,0,5,0,3,0,4
Palmela,7,9,1,4,0,4,0,2,0,2
Seixal,5,42,0,10,0,2,0,2,0,3
Sesimbra,5,5,0,1,0,0,0,0,0,1
Setúbal,18,21,0,9,0,4,0,1,0,3
Sintra,26,67,1,25,0,7,0,9,0,7
Vila Franca de Xira,16,9,2,2,1,1,1,0,1,1
Alentejo,107,31,2,8,4,2,4,11,1,16
Alentejo Litoral,12,5,0,0,1,0,1,1,1,2
Alcácer do Sal,2,0,0,0,0,0,0,0,0,0
Grândola,2,0,0,0,0,0,0,0,0,0
Odemira,2,1,0,0,1,0,1,1,1,1
Santiago do Cacém,5,3,0,0,0,0,0,0,0,0
Sines,1,1,0,0,0,0,0,0,0,1
Baixo Alentejo,17,4,0,1,1,0,1,3,0,6
Aljustrel,2,0,0,0,0,0,0,0,0,0
Almodôvar,1,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,1,0,1
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,6,4,0,1,1,0,1,0,0,1
Castro Verde,1,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,1,0,1
Ferreira do Alentejo,2,0,0,0,0,0,0,0,0,0
Mértola,1,0,0,0,0,0,0,0,0,1
Moura,1,0,0,0,0,0,0,1,0,1
Ourique,1,0,0,0,0,0,0,0,0,0
Serpa,1,0,0,0,0,0,0,0,0,0
Vidigueira,1,0,0,0,0,0,0,0,0,1
Lezíria do Tejo,24,12,1,4,1,0,1,3,0,5
Almeirim,3,1,0,1,0,0,0,0,0,0
Alpiarça,1,0,0,0,0,0,0,0,0,0
Azambuja,4,1,0,0,0,0,0,0,0,0
Benavente,2,1,0,0,0,0,0,0,0,0
Cartaxo,2,1,0,0,0,0,0,0,0,0
Chamusca,1,0,0,0,0,0,0,0,0,0
Coruche,1,2,0,0,0,0,0,1,0,1
Golegã,1,0,0,0,0,0,0,0,0,0
Rio Maior,1,2,0,2,0,0,0,0,0,1
Salvaterra de Magos,3,1,0,0,0,0,0,1,0,1
Santarém,5,3,1,1,1,0,1,1,0,2
Alto Alentejo,21,5,0,2,0,1,0,1,0,1
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,1,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,1,1,0,0,0,0,0,0,0,0
Castelo de Vide,1,0,0,0,0,0,0,0,0,0
Crato,1,0,0,0,0,0,0,0,0,1
Elvas,5,1,0,1,0,1,0,1,0,0
Fronteira,1,0,0,0,0,0,0,0,0,0
Gavião,1,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,3,1,0,1,0,0,0,0,0,0
Portalegre,6,2,0,0,0,0,0,0,0,0
Sousel,1,0,0,0,0,0,0,0,0,0
Alentejo Central,33,5,1,1,1,1,1,3,0,2
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,3,0,0,0,0,0,0,0,0,0
Borba,1,0,0,0,0,0,0,0,0,0
Estremoz,2,0,0,0,0,0,0,0,0,0
Évora,14,5,0,1,0,1,0,3,0,2
Montemor-o-Novo,3,0,0,0,0,0,0,0,0,0
Mora,1,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,2,0,0,0,0,0,0,0,0,0
Redondo,1,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,0,0,0,0,0,0,0,0,0
Vendas Novas,3,0,1,0,1,0,1,0,0,0
Viana do Alentejo,1,0,0,0,0,0,0,0,0,0
Vila Viçosa,1,0,0,0,0,0,0,0,0,0
Algarve,59,41,3,18,0,8,0,10,0,8
Albufeira,2,5,0,0,0,0,0,0,0,1
Alcoutim,2,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,3,0,0,0,0,0,0,0,0,0
Faro,15,8,2,3,0,1,0,2,0,1
Lagoa,2,2,0,1,0,1,0,1,0,1
Lagos,7,4,0,5,0,2,0,2,0,1
Loulé,4,7,0,1,0,1,0,2,0,2
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,7,3,0,1,0,1,0,1,0,0
Portimão,3,6,0,4,0,0,0,1,0,1
São Brás de Alportel,1,0,0,0,0,0,0,0,0,0
Silves,4,4,0,2,0,1,0,1,0,1
Tavira,7,2,1,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,1,0,1,0,0,0,0
Vila Real de Santo António,2,0,0,0,0,0,0,0,0,0
R. A. Açores,48,3,0,7,0,3,0,1,0,18
Santa Maria,1,0,0,0,0,0,0,0,0,0
Vila do Porto,1,0,0,0,0,0,0,0,0,0
São Miguel,21,1,0,5,0,2,0,1,0,12
Lagoa (R.A.A.),2,0,0,0,0,0,0,0,0,1
Nordeste,1,0,0,0,0,0,0,0,0,1
Ponta Delgada,8,1,0,5,0,2,0,1,0,7
Povoação,1,0,0,0,0,0,0,0,0,1
Ribeira Grande,7,0,0,0,0,0,0,0,0,1
Vila Franca do Campo,2,0,0,0,0,0,0,0,0,1
Terceira,14,2,0,1,0,1,0,0,0,3
Angra do Heroísmo,11,1,0,1,0,1,0,0,0,2
Vila da Praia da Vitória,3,1,0,0,0,0,0,0,0,1
Graciosa,1,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,1,0,0,0,0,0,0,0,0,0
São Jorge,4,0,0,0,0,0,0,0,0,1
Calheta (R.A.A.),2,0,0,0,0,0,0,0,0,0
Velas,2,0,0,0,0,0,0,0,0,1
Pico,3,0,0,0,0,0,0,0,0,1
Lajes do Pico,1,0,0,0,0,0,0,0,0,0
Madalena,1,0,0,0,0,0,0,0,0,1
São Roque do Pico,1,0,0,0,0,0,0,0,0,0
Faial,2,0,0,1,0,0,0,0,0,1
Horta,2,0,0,1,0,0,0,0,0,1
Flores,1,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,1,0,0,0,0,0,0,0,0,0
Corvo,1,0,0,0,0,0,0,0,0,0
Corvo,1,0,0,0,0,0,0,0,0,0
R. A. Madeira,53,0,22,0,5,0,5,0,6,0
Calheta (R.A.M.),2,0,1,0,0,0,0,0,0,0
Câmara de Lobos,5,0,0,0,0,0,0,0,0,0
Funchal,32,0,15,0,5,0,5,0,6,0
Machico,2,0,1,0,0,0,0,0,0,0
Ponta do Sol,1,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,8,0,3,0,0,0,0,0,0,0
Santana,1,0,1,0,0,0,0,0,0,0
São Vicente,1,0,0,0,0,0,0,0,0,0
Porto Santo,1,0,1,0,0,0,0,0,0,0
