,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Portugal,2994757,2859703,188069,182292,2068179,1984647,738509,692764
Continente,2874173,2744946,174169,168840,1996349,1916099,703655,660007
Norte,1027792,984161,69632,67454,709344,682674,248816,234033
Alto Minho,73171,69657,5235,5026,50196,48017,17740,16614
Arcos de Valdevez,7542,7144,485,466,5101,4847,1956,1831
Caminha,5297,5045,306,292,3700,3549,1291,1204
Melgaço,2502,2361,129,121,1830,1745,543,495
Monção,6062,5750,300,286,4270,4063,1492,1401
Paredes de Coura,2877,2746,238,235,1952,1869,687,642
Ponte da Barca,3833,3662,368,359,2512,2403,953,900
Ponte de Lima,12393,11795,1083,1050,8317,7951,2993,2794
Valença,4073,3886,230,218,2767,2653,1076,1015
Viana do Castelo,25684,24509,1929,1844,17775,17052,5980,5613
Vila Nova de Cerveira,2908,2759,167,155,1972,1885,769,719
Cávado,102630,98702,9326,9087,69955,67524,23349,22091
Amares,4820,4555,460,448,3191,3035,1169,1072
Barcelos,31478,30325,3231,3162,20938,20221,7309,6942
Braga,43082,41536,3494,3395,30328,29371,9260,8770
Esposende,8315,8001,773,748,5561,5368,1981,1885
Terras de Bouro,2459,2338,175,167,1639,1568,645,603
Vila Verde,12476,11947,1193,1167,8298,7961,2985,2819
Ave,123561,118809,11040,10727,84719,81826,27802,26256
Cabeceiras de Basto,4476,4285,421,409,2824,2706,1231,1170
Fafe,15204,14604,1784,1744,9922,9560,3498,3300
Guimarães,46474,44720,3961,3833,32635,31584,9878,9303
Mondim de Basto,2205,2088,190,185,1444,1364,571,539
Póvoa de Lanhoso,5617,5349,519,503,3675,3510,1423,1336
Vieira do Minho,4239,4044,365,359,2745,2626,1129,1059
Vila Nova de Famalicão,39051,37635,3250,3156,27047,26176,8754,8303
Vizela,6295,6084,550,538,4427,4300,1318,1246
A. M. Porto,499769,479478,28601,27629,352442,340105,118726,111744
Arouca,6561,6230,487,473,4508,4297,1566,1460
Espinho,11224,10784,526,510,8094,7821,2604,2453
Gondomar,46760,44898,2863,2773,32617,31517,11280,10608
Maia,33710,32377,1748,1694,23952,23151,8010,7532
Matosinhos,50450,48445,2534,2443,36025,34792,11891,11210
Oliveira de Azeméis,21009,20210,1151,1117,15055,14542,4803,4551
Paredes,17860,17147,1654,1596,11375,10975,4831,4576
Porto,75963,72423,3374,3247,53918,51721,18671,17455
Póvoa de Varzim,16255,15590,1037,998,11106,10699,4112,3893
Santa Maria da Feira,39881,38404,2631,2531,28272,27390,8978,8483
Santo Tirso,24974,24056,1489,1445,18043,17467,5442,5144
São João da Madeira,6727,6468,392,379,4813,4662,1522,1427
Trofa,10143,9823,710,691,7110,6921,2323,2211
Vale de Cambra,7625,7326,500,490,5370,5180,1755,1656
Valongo,24508,23587,1694,1647,16983,16435,5831,5505
Vila do Conde,22462,21475,1398,1351,15444,14848,5620,5276
Vila Nova de Gaia,83657,80235,4413,4244,59757,57687,19487,18304
Alto Tâmega,30253,28705,1539,1503,20481,19504,8233,7698
Boticas,2055,1918,117,115,1403,1313,535,490
Chaves,11466,10902,605,589,7805,7455,3056,2858
Montalegre,4045,3834,192,183,2707,2578,1146,1073
Ribeira de Pena,1964,1866,132,130,1289,1228,543,508
Valpaços,6229,5900,268,265,4221,4007,1740,1628
Vila Pouca de Aguiar,4494,4285,225,221,3056,2923,1213,1141
Tâmega e Sousa,101988,97397,8649,8411,66332,63565,27007,25421
Amarante,13256,12622,887,861,8701,8320,3668,3441
Baião,5686,5400,420,413,3600,3421,1666,1566
Castelo de Paiva,4571,4389,397,387,3005,2898,1169,1104
Celorico de Basto,5269,5007,485,475,3426,3267,1358,1265
Cinfães,6056,5683,324,307,4119,3881,1613,1495
Felgueiras,13926,13346,1221,1188,9403,9052,3302,3106
Lousada,10156,9736,1056,1018,6426,6189,2674,2529
Marco de Canaveses,11660,11157,1024,998,7365,7064,3271,3095
Paços de Ferreira,11904,11448,1032,1005,7823,7542,3049,2901
Penafiel,16212,15505,1608,1566,10256,9846,4348,4093
Resende,3292,3104,195,193,2208,2085,889,826
Douro,59982,56980,3497,3381,40038,38198,16447,15401
Alijó,4170,3956,272,262,2712,2587,1186,1107
Armamar,2113,1996,96,94,1404,1333,613,569
Carrazeda de Ansiães,2309,2175,85,82,1548,1464,676,629
Freixo de Espada à Cinta,1368,1296,51,50,961,915,356,331
Lamego,7169,6810,366,352,4793,4563,2010,1895
Mesão Frio,1299,1222,88,85,841,793,370,344
Moimenta da Beira,3030,2857,127,120,2075,1974,828,763
Murça,2207,2111,125,122,1483,1425,599,564
Penedono,836,789,45,44,557,523,234,222
Peso da Régua,5037,4797,414,402,3220,3087,1403,1308
Sabrosa,2276,2165,177,169,1522,1458,577,538
Santa Marta de Penaguião,2624,2486,213,208,1670,1587,741,691
São João da Pesqueira,2152,2040,116,115,1413,1344,623,581
Sernancelhe,1798,1718,64,62,1212,1161,522,495
Tabuaço,1716,1632,91,87,1130,1081,495,464
Tarouca,2198,2084,100,97,1425,1356,673,631
Torre de Moncorvo,2950,2779,96,91,2070,1960,784,728
Vila Nova de Foz Côa,2141,1995,105,101,1418,1329,618,565
Vila Real,12589,12072,866,838,8584,8258,3139,2976
Terras de Trás-os-Montes,36438,34433,1745,1690,25181,23935,9512,8808
Alfândega da Fé,1826,1735,78,77,1281,1223,467,435
Bragança,9460,8917,614,594,6507,6182,2339,2141
Macedo de Cavaleiros,4993,4718,222,211,3414,3240,1357,1267
Miranda do Douro,2428,2297,99,99,1683,1599,646,599
Mirandela,6927,6585,257,248,4777,4563,1893,1774
Mogadouro,3285,3090,139,130,2247,2127,899,833
Vila Flor,2054,1928,77,77,1431,1355,546,496
Vimioso,1745,1608,80,77,1185,1100,480,431
Vinhais,3720,3555,179,177,2656,2546,885,832
Centro,722074,688007,45037,43864,497838,476449,179199,167694
Oeste,109451,104202,8311,8075,73768,70574,27372,25553
Alcobaça,18980,18178,1819,1786,12674,12186,4487,4206
Alenquer,12267,11648,875,846,8118,7741,3274,3061
Arruda dos Vinhos,3572,3369,215,204,2397,2284,960,881
Bombarral,3984,3779,251,246,2682,2555,1051,978
Cadaval,4599,4340,314,308,3074,2914,1211,1118
Caldas da Rainha,15432,14733,1078,1046,10639,10214,3715,3473
Lourinhã,7772,7364,647,627,5190,4942,1935,1795
Nazaré,5074,4819,405,395,3424,3272,1245,1152
Óbidos,3725,3540,220,215,2544,2426,961,899
Peniche,8723,8300,547,532,5999,5725,2177,2043
Sobral de Monte Agraço,2871,2733,234,228,1880,1796,757,709
Torres Vedras,22452,21399,1706,1642,15147,14519,5599,5238
Região de Aveiro,104800,100291,4608,4447,74282,71467,25910,24377
Águeda,15247,14658,659,645,11092,10712,3496,3301
Albergaria-a-Velha,7003,6707,377,364,4858,4677,1768,1666
Anadia,9637,9176,340,327,6887,6589,2410,2260
Aveiro,20068,19217,809,772,14422,13902,4837,4543
Estarreja,7826,7483,364,351,5346,5138,2116,1994
Ílhavo,10213,9761,458,442,7108,6847,2647,2472
Murtosa,2462,2355,94,91,1644,1572,724,692
Oliveira do Bairro,6351,6061,252,241,4510,4328,1589,1492
Ovar,15825,15212,815,791,11197,10817,3813,3604
Sever do Vouga,4091,3915,173,169,2922,2801,996,945
Vagos,6077,5746,267,254,4296,4084,1514,1408
Região de Coimbra,142421,135901,8371,8153,99326,95164,34724,32584
Arganil,4699,4450,273,269,3204,3042,1222,1139
Cantanhede,11589,11052,632,619,8121,7767,2836,2666
Coimbra,39919,38287,2146,2083,28829,27775,8944,8429
Condeixa-a-Nova,4585,4358,308,303,3185,3033,1092,1022
Figueira da Foz,19547,18616,1157,1126,13504,12922,4886,4568
Góis,1843,1732,129,124,1217,1149,497,459
Lousã,4962,4761,415,408,3304,3179,1243,1174
Mealhada,6415,6108,264,258,4577,4379,1574,1471
Mira,3772,3604,197,190,2713,2604,862,810
Miranda do Corvo,4077,3890,310,303,2753,2643,1014,944
Montemor-o-Velho,8117,7754,584,566,5471,5244,2062,1944
Mortágua,3519,3335,138,133,2483,2368,898,834
Oliveira do Hospital,7221,6881,502,489,4882,4672,1837,1720
Pampilhosa da Serra,1878,1764,88,85,1248,1170,542,509
Penacova,4879,4665,314,302,3347,3209,1218,1154
Penela,2154,2038,133,131,1459,1385,562,522
Soure,6949,6630,386,381,4763,4553,1800,1696
Tábua,4243,4026,263,255,2898,2770,1082,1001
Vila Nova de Poiares,2053,1950,132,128,1368,1300,553,522
Região de Leiria,89658,85583,8235,8072,60265,57733,21158,19778
Alvaiázere,3035,2874,215,210,2005,1899,815,765
Ansião,4724,4488,401,392,3137,2990,1186,1106
Batalha,4603,4423,416,409,3144,3034,1043,980
Castanheira de Pêra,1546,1484,131,128,1018,978,397,378
Figueiró dos Vinhos,2455,2327,190,184,1626,1544,639,599
Leiria,34295,32803,3218,3162,23392,22466,7685,7175
Marinha Grande,12915,12386,1489,1461,8610,8297,2816,2628
Pedrógão Grande,1605,1496,132,130,1003,941,470,425
Pombal,16484,15693,1395,1367,10889,10390,4200,3936
Porto de Mós,7996,7609,648,629,5441,5194,1907,1786
Viseu Dão Lafões,80576,76607,3112,3005,56961,54421,20503,19181
Aguiar da Beira,2046,1902,110,106,1390,1303,546,493
Carregal do Sal,3281,3108,118,115,2290,2187,873,806
Castro Daire,5643,5340,239,230,3964,3765,1440,1345
Mangualde,6187,5874,197,189,4415,4212,1575,1473
Nelas,4703,4463,198,193,3278,3126,1227,1144
Oliveira de Frades,3050,2878,114,110,2117,2007,819,761
Penalva do Castelo,2627,2493,102,95,1839,1753,686,645
Santa Comba Dão,4069,3885,158,155,2852,2736,1059,994
São Pedro do Sul,5669,5420,222,213,4017,3849,1430,1358
Sátão,3492,3296,132,125,2447,2326,913,845
Tondela,9797,9325,396,387,6891,6577,2510,2361
Vila Nova de Paiva,1564,1469,42,41,1085,1026,437,402
Viseu,24809,23685,962,931,17774,17063,6073,5691
Vouzela,3639,3469,122,115,2602,2491,915,863
Beira Baixa,30531,28870,1510,1469,21209,20150,7812,7251
Castelo Branco,17051,16217,951,927,11884,11366,4216,3924
Idanha-a-Nova,3971,3701,129,125,2770,2595,1072,981
Oleiros,2518,2394,127,124,1704,1620,687,650
Penamacor,2078,1921,74,71,1457,1358,547,492
Proença-a-Nova,3310,3117,161,157,2271,2146,878,814
Vila Velha de Ródão,1603,1520,68,65,1123,1065,412,390
Médio Tejo,82698,78657,6995,6857,54662,52163,21041,19637
Abrantes,14504,13879,1395,1366,9324,8934,3785,3579
Alcanena,4996,4716,389,373,3454,3280,1153,1063
Constância,1140,1082,108,107,728,694,304,281
Entroncamento,5000,4790,438,428,3343,3216,1219,1146
Ferreira do Zêzere,3331,3172,358,351,2114,2013,859,808
Mação,3230,3084,154,153,2200,2103,876,828
Ourém,12784,12142,1165,1146,8460,8051,3159,2945
Sardoal,1554,1476,165,164,973,923,416,389
Sertã,5626,5312,339,329,3704,3510,1583,1473
Tomar,14238,13529,1260,1240,9297,8881,3681,3408
Torres Novas,12540,11921,960,942,8556,8173,3024,2806
Vila de Rei,1510,1429,69,65,1033,984,408,380
Vila Nova da Barquinha,2245,2125,195,193,1476,1401,574,531
Beiras e Serra da Estrela,81939,77896,3895,3786,57365,54777,20679,19333
Almeida,2454,2326,88,86,1714,1633,652,607
Belmonte,2289,2205,120,119,1608,1552,561,534
Celorico da Beira,2415,2277,109,106,1659,1578,647,593
Covilhã,19300,18417,957,930,13636,13069,4707,4418
Figueira de Castelo Rodrigo,2080,1948,73,71,1419,1328,588,549
Fornos de Algodres,1696,1601,80,80,1160,1100,456,421
Fundão,9843,9320,440,430,6824,6477,2579,2413
Gouveia,5717,5453,236,230,4081,3902,1400,1321
Guarda,11581,11016,598,574,8087,7740,2896,2702
Manteigas,1513,1455,80,78,1083,1043,350,334
Mêda,1916,1817,95,92,1298,1236,523,489
Pinhel,3698,3508,183,179,2568,2448,947,881
Sabugal,4432,4136,170,166,3056,2863,1206,1107
Seia,9831,9414,526,510,6991,6731,2314,2173
Trancoso,3174,3003,140,135,2181,2077,853,791
A. M. Lisboa,751070,718509,33852,32567,537132,516794,180086,169148
Alcochete,4316,4121,242,230,3028,2908,1046,983
Almada,49227,46949,2241,2138,35058,33650,11928,11161
Amadora,48203,46198,2214,2125,34755,33496,11234,10577
Barreiro,25676,24574,1283,1242,18167,17492,6226,5840
Cascais,51673,49444,1867,1784,37905,36475,11901,11185
Lisboa,163137,155329,5779,5549,116606,111666,40752,38114
Loures,57832,55492,2388,2304,41541,40054,13903,13134
Mafra,18165,17359,1314,1274,12373,11874,4478,4211
Moita,19614,18691,1323,1281,13319,12764,4972,4646
Montijo,13449,12732,725,692,9313,8884,3411,3156
Odivelas,34717,33441,1614,1543,25358,24561,7745,7337
Oeiras,43617,41846,1385,1336,32473,31341,9759,9169
Palmela,17123,16342,926,890,12017,11536,4180,3916
Seixal,40249,38637,1957,1879,29403,28388,8889,8370
Sesimbra,12857,12280,663,638,9006,8653,3188,2989
Setúbal,35277,33705,1642,1573,25004,24046,8631,8086
Sintra,84024,80697,4550,4391,59372,57318,20102,18988
Vila Franca de Xira,31914,30672,1739,1698,22434,21688,7741,7286
Alentejo,257226,243733,18810,18324,171962,163551,66454,61858
Alentejo Litoral,32327,30693,1475,1413,22294,21239,8558,8041
Alcácer do Sal,5012,4751,208,201,3420,3257,1384,1293
Grândola,5172,4915,213,202,3623,3460,1336,1253
Odemira,8485,8018,450,439,5789,5471,2246,2108
Santiago do Cacém,9765,9296,409,386,6825,6528,2531,2382
Sines,3893,3713,195,185,2637,2523,1061,1005
Baixo Alentejo,42887,40396,2807,2719,28307,26781,11773,10896
Aljustrel,3828,3627,266,262,2522,2404,1040,961
Almodôvar,2712,2569,118,113,1859,1767,735,689
Alvito,912,862,65,63,585,558,262,241
Barrancos,515,480,23,23,342,321,150,136
Beja,10585,9986,731,711,7019,6648,2835,2627
Castro Verde,2446,2283,133,124,1627,1528,686,631
Cuba,1584,1501,122,121,1047,996,415,384
Ferreira do Alentejo,3091,2918,222,212,1996,1891,873,815
Mértola,2995,2836,168,164,2020,1915,807,757
Moura,4775,4474,325,314,3077,2897,1373,1263
Ourique,2142,1995,91,88,1455,1361,596,546
Serpa,5298,4979,394,379,3456,3258,1448,1342
Vidigueira,2004,1886,149,145,1302,1237,553,504
Lezíria do Tejo,81792,77859,6852,6711,54072,51633,20868,19515
Almeirim,7898,7487,684,670,5237,4981,1977,1836
Alpiarça,2931,2776,243,236,1912,1823,776,717
Azambuja,6525,6238,402,398,4436,4249,1687,1591
Benavente,7878,7533,634,623,5213,4995,2031,1915
Cartaxo,7619,7230,612,602,5030,4801,1977,1827
Chamusca,3910,3705,366,358,2529,2399,1015,948
Coruche,8349,7986,498,487,5619,5388,2232,2111
Golegã,2272,2142,250,243,1453,1375,569,524
Rio Maior,6796,6483,660,641,4417,4231,1719,1611
Salvaterra de Magos,7976,7577,901,882,5113,4866,1962,1829
Santarém,19638,18702,1602,1571,13113,12525,4923,4606
Alto Alentejo,42675,40229,2829,2750,28732,27215,11114,10264
Alter do Chão,1467,1374,114,112,953,898,400,364
Arronches,1237,1147,65,61,811,753,361,333
Avis,1741,1641,80,80,1228,1164,433,397
Campo Maior,2605,2462,208,199,1697,1610,700,653
Castelo de Vide,1312,1232,61,56,916,865,335,311
Crato,1721,1603,78,77,1195,1118,448,408
Elvas,6583,6182,487,470,4346,4107,1750,1605
Fronteira,1326,1255,90,88,923,878,313,289
Gavião,1974,1837,136,133,1295,1206,543,498
Marvão,1392,1305,71,70,948,889,373,346
Monforte,1172,1122,68,67,801,765,303,290
Nisa,3044,2869,147,145,2081,1978,816,746
Ponte de Sor,6441,6149,590,578,4183,4005,1668,1566
Portalegre,8564,8069,534,520,5941,5636,2089,1913
Sousel,2096,1982,100,94,1414,1343,582,545
Alentejo Central,57545,54556,4847,4731,38557,36683,14141,13142
Alandroal,2459,2322,218,213,1605,1522,636,587
Arraiolos,2722,2579,195,188,1833,1749,694,642
Borba,3018,2845,347,341,1979,1864,692,640
Estremoz,5268,4953,355,351,3586,3385,1327,1217
Évora,16491,15697,1374,1338,11258,10767,3859,3592
Montemor-o-Novo,6599,6281,480,468,4480,4281,1639,1532
Mora,2286,2167,201,194,1528,1449,557,524
Mourão,855,794,74,74,550,515,231,205
Portel,2444,2296,247,239,1572,1485,625,572
Redondo,2425,2305,202,200,1589,1510,634,595
Reguengos de Monsaraz,3828,3649,367,358,2479,2362,982,929
Vendas Novas,4190,4011,304,299,2859,2752,1027,960
Viana do Alentejo,2011,1895,152,147,1314,1241,545,507
Vila Viçosa,2949,2762,331,321,1925,1801,693,640
Algarve,116011,110536,6838,6631,80073,76631,29100,27274
Albufeira,8320,7957,582,563,5639,5432,2099,1962
Alcoutim,1360,1271,58,54,954,894,348,323
Aljezur,1649,1567,91,89,1136,1078,422,400
Castro Marim,2145,2024,80,74,1521,1443,544,507
Faro,16001,15310,882,849,11348,10911,3771,3550
Lagoa,5908,5636,418,410,4020,3856,1470,1370
Lagos,7718,7355,463,447,5289,5066,1966,1842
Loulé,16389,15610,858,831,11401,10917,4130,3862
Monchique,2173,2040,112,106,1522,1435,539,499
Olhão,11325,10775,655,635,7737,7382,2933,2758
Portimão,15369,14683,1105,1084,10663,10238,3601,3361
São Brás de Alportel,2795,2665,145,142,1903,1818,747,705
Silves,10605,10098,706,691,7144,6824,2755,2583
Tavira,7358,6984,311,299,5060,4816,1987,1869
Vila do Bispo,1498,1433,90,88,1027,985,381,360
Vila Real de Santo António,5398,5128,282,269,3709,3536,1407,1323
R. A. Açores,50968,48471,7193,6987,28300,26964,15475,14520
Santa Maria,1000,948,187,180,478,457,335,311
Vila do Porto,1000,948,187,180,478,457,335,311
São Miguel,23602,22458,3791,3699,12096,11499,7715,7260
Lagoa (R.A.A.),2401,2295,369,362,1194,1132,838,801
Nordeste,1024,971,78,77,597,561,349,333
Ponta Delgada,12599,11996,2181,2124,6519,6213,3899,3659
Povoação,1129,1082,134,130,574,551,421,401
Ribeira Grande,4735,4502,788,769,2326,2208,1621,1525
Vila Franca do Campo,1714,1612,241,237,886,834,587,541
Terceira,14016,13324,1655,1604,8436,8053,3925,3667
Angra do Heroísmo,8814,8380,1070,1033,5280,5043,2464,2304
Vila da Praia da Vitória,5202,4944,585,571,3156,3010,1461,1363
Graciosa,1188,1116,136,128,660,625,392,363
Santa Cruz da Graciosa,1188,1116,136,128,660,625,392,363
São Jorge,2297,2162,242,230,1302,1228,753,704
Calheta (R.A.A.),993,939,78,74,600,566,315,299
Velas,1304,1223,164,156,702,662,438,405
Pico,4456,4270,639,623,2606,2501,1211,1146
Lajes do Pico,1533,1464,166,163,940,900,427,401
Madalena,1961,1897,321,313,1123,1087,517,497
São Roque do Pico,962,909,152,147,543,514,267,248
Faial,3444,3294,429,415,2140,2055,875,824
Horta,3444,3294,429,415,2140,2055,875,824
Flores,889,831,…,…,534,503,…,…
Lajes das Flores,330,308,…,…,214,199,…,…
Santa Cruz das Flores,559,523,83,79,320,304,156,140
Corvo,76,68,…,…,48,43,…,…
Corvo,76,68,…,…,48,43,…,…
R. A. Madeira,69616,66286,6707,6465,43530,41584,19379,18237
Calheta (R.A.M.),3539,3338,272,262,2255,2132,1012,944
Câmara de Lobos,8071,7685,991,963,4662,4448,2418,2274
Funchal,30539,29033,2579,2484,19581,18682,8379,7867
Machico,6267,5990,771,737,3826,3664,1670,1589
Ponta do Sol,2342,2240,177,172,1524,1461,641,607
Porto Moniz,1001,952,55,53,656,624,290,275
Ribeira Brava,3954,3779,455,442,2468,2363,1031,974
Santa Cruz,8226,7884,913,876,5010,4824,2303,2184
Santana,2573,2444,225,217,1590,1518,758,709
São Vicente,1848,1738,168,158,1137,1079,543,501
Porto Santo,1256,1203,101,101,821,789,334,313
