,"Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Total (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Cirurgia geral (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ginecologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Medicina interna (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Oftalmologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ortopedia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Otorrinolaringologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Pediatria médica (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Psiquiatria (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Outras  (N.º)"
Portugal,20370450,1039674,1437441,898667,1648508,1827141,1024805,1016118,836273,10641823
Continente,19746835,1007620,1381179,863296,1613840,1789716,993614,984307,807192,10306071
Norte,8081961,435360,558333,314558,654315,796866,398233,434352,316818,4173126
Alto Minho,...,...,...,...,...,...,...,...,...,...
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,34739,0,0,5337,214,262,1900,1420,4950,20656
Valença,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,...,...,...,...,...,...,...,...,...,...
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0
Cávado,1186159,46670,65883,30431,101659,102643,73853,41024,36822,687174
Amares,...,...,...,...,...,...,...,...,...,...
Barcelos,112276,16866,2269,8091,12379,15643,8613,8000,1106,39309
Braga,949392,24837,58555,21589,74839,74887,55924,30898,34539,573324
Esposende,...,...,...,...,...,...,...,...,...,...
Terras de Bouro,0,0,0,0,0,0,0,0,0,0
Vila Verde,...,...,...,...,...,...,...,...,...,...
Ave,...,...,...,...,...,...,...,...,...,...
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0,0
Guimarães,254100,24780,24112,21529,9877,20730,11533,15777,14006,111756
Mondim de Basto,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,...,...,...,...,...,...,...,...,...,...
Vieira do Minho,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,...,...,...,...,...,...,...,...,...,...
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,5196240,239455,353988,181729,407064,514280,241664,304902,191272,2761886
Arouca,...,...,...,...,...,...,...,...,...,...
Espinho,...,...,...,...,...,...,...,...,...,...
Gondomar,0,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0,0
Matosinhos,...,...,...,...,...,...,...,...,...,...
Oliveira de Azeméis,15470,0,558,2170,0,0,0,4506,0,8236
Paredes,...,...,...,...,...,...,...,...,...,...
Porto,2614977,122170,174086,95542,189634,289906,102380,138425,98441,1404393
Póvoa de Varzim,...,...,...,...,...,...,...,...,...,...
Santa Maria da Feira,221330,24453,17016,7112,28797,31038,16890,16695,3353,75976
Santo Tirso,0,0,0,0,0,0,0,0,0,0
São João da Madeira,37726,8990,2652,1432,6310,3259,1464,854,5505,7260
Trofa,...,...,...,...,...,...,...,...,...,...
Vale de Cambra,0,0,0,0,0,0,0,0,0,0
Valongo,...,...,...,...,...,...,...,...,...,...
Vila do Conde,26662,4873,440,6107,0,353,0,477,5564,8848
Vila Nova de Gaia,916134,28358,65149,31208,66284,73744,47292,54441,25439,524219
Alto Tâmega,51122,5328,2442,4038,4822,5113,4294,5122,1674,18289
Boticas,0,0,0,0,0,0,0,0,0,0
Chaves,51122,5328,2442,4038,4822,5113,4294,5122,1674,18289
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,...,...,...,...,...,...,...,...,...,...
Amarante,50362,2576,727,4795,3851,3502,885,1604,12064,20358
Baião,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,0
Felgueiras,...,...,...,...,...,...,...,...,...,...
Lousada,0,0,0,0,0,0,0,0,0,0
Marco de Canaveses,...,...,...,...,...,...,...,...,...,...
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0
Penafiel,256503,19503,24912,8594,25400,28935,9387,16402,24087,99283
Resende,0,0,0,0,0,0,0,0,0,0
Douro,...,...,...,...,...,...,...,...,...,...
Alijó,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0
Lamego,41902,7833,2241,1893,15692,2620,1496,2081,1124,6922
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0
Vila Real,...,...,...,...,...,...,...,...,...,...
Terras de Trás-os-Montes,...,...,...,...,...,...,...,...,...,...
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0
Bragança,51552,4650,3444,4981,3086,5377,2983,3136,4098,19797
Macedo de Cavaleiros,15460,506,0,728,0,8468,892,0,640,4226
Miranda do Douro,0,0,0,0,0,0,0,0,0,0
Mirandela,...,...,...,...,...,...,...,...,...,...
Mogadouro,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0
Centro,3560577,188042,214543,188863,308002,342449,162893,170495,168261,1817029
Oeste,298448,20704,17873,22904,19498,47467,18068,15137,12532,124265
Alcobaça,12922,1233,0,2529,0,1291,0,1006,1668,5195
Alenquer,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,...,...,...,...,...,...,...,...,...,...
Lourinhã,0,0,0,0,0,0,0,0,0,0
Nazaré,...,...,...,...,...,...,...,...,...,...
Óbidos,0,0,0,0,0,0,0,0,0,0
Peniche,5511,487,0,1240,0,2110,0,0,0,1674
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0
Torres Vedras,...,...,...,...,...,...,...,...,...,...
Região de Aveiro,429663,25241,26781,16434,43017,52940,29189,26171,13876,196014
Águeda,22470,3415,0,1400,1062,6505,0,473,1494,8121
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0
Anadia,...,...,...,...,...,...,...,...,...,...
Aveiro,...,...,...,...,...,...,...,...,...,...
Estarreja,9341,1696,252,1679,0,1824,0,117,452,3321
Ílhavo,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,...,...,...,...,...,...,...,...,...,...
Ovar,25287,3312,0,1559,1510,6057,1372,3607,0,7870
Sever do Vouga,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,1401110,59856,76260,46037,119081,97631,60104,59636,60554,821951
Arganil,0,0,0,0,0,0,0,0,0,0
Cantanhede,21653,1377,751,576,1534,2089,0,145,0,15181
Coimbra,...,...,...,...,...,...,...,...,...,...
Condeixa-a-Nova,...,...,...,...,...,...,...,...,...,...
Figueira da Foz,91762,10358,8021,10302,10664,9951,3238,5805,3535,29888
Góis,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0
Mealhada,...,...,...,...,...,...,...,...,...,...
Mira,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,...,...,...,...,...,...,...,...,...,...
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0
Região de Leiria,503623,28969,25399,23959,59002,60810,18611,22649,16331,247893
Alvaiázere,...,...,...,...,...,...,...,...,...,...
Ansião,...,...,...,...,...,...,...,...,...,...
Batalha,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0
Leiria,...,...,...,...,...,...,...,...,...,...
Marinha Grande,...,...,...,...,...,...,...,...,...,...
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0
Pombal,15681,813,268,3624,0,1047,0,2500,2395,5034
Porto de Mós,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,...,...,...,...,...,...,...,...,...,...
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0
Tondela,9649,1373,0,523,1358,3052,0,0,76,3267
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,...,...,...,...,...,...,...,...,...,...
Vouzela,0,0,0,0,0,0,0,0,0,0
Beira Baixa,85152,7589,4527,4907,4437,6722,5508,3012,6745,41705
Castelo Branco,85152,7589,4527,4907,4437,6722,5508,3012,6745,41705
Idanha-a-Nova,0,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,...,...,...,...,...,...,...,...,...,...
Abrantes,0,0,0,0,0,0,0,0,0,0
Alcanena,...,...,...,...,...,...,...,...,...,...
Constância,4801,0,0,0,116,0,0,0,0,4685
Entroncamento,...,...,...,...,...,...,...,...,...,...
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0
Tomar,0,0,0,0,0,0,0,0,0,0
Torres Novas,182461,13425,8567,13890,21584,13126,5892,13789,15210,76978
Vila de Rei,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,...,...,...,...,...,...,...,...,...,...
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0
Covilhã,134685,6622,18362,12930,3464,12076,1899,8269,6625,64438
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,15138,118,602,3366,0,490,0,0,1050,9512
Gouveia,0,0,0,0,0,0,0,0,0,0
Guarda,...,...,...,...,...,...,...,...,...,...
Manteigas,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0
Seia,14782,1319,790,2261,918,0,328,698,2023,6445
Trancoso,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,6741718,286321,505512,265435,534565,528918,363341,313320,267063,3677243
Alcochete,0,0,0,0,0,0,0,0,0,0
Almada,298929,13283,24598,14486,28418,15710,14349,11878,11604,164603
Amadora,...,...,...,...,...,...,...,...,...,...
Barreiro,158104,6047,10750,11331,9532,9163,8294,9359,11016,82612
Cascais,392237,17804,34501,13841,31599,60442,21074,20322,8839,183815
Lisboa,4298178,166273,321346,161521,313548,316663,225184,199033,159583,2435027
Loures,...,...,...,...,...,...,...,...,...,...
Mafra,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0
Montijo,15848,2955,0,4112,419,1183,0,508,1920,4751
Odivelas,0,0,0,0,0,0,0,0,0,0
Oeiras,...,...,...,...,...,...,...,...,...,...
Palmela,0,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0
Setúbal,...,...,...,...,...,...,...,...,...,...
Sintra,8227,0,60,148,44,0,19,0,5143,2813
Vila Franca de Xira,166783,12646,17253,7726,19974,18248,9905,8375,9367,63289
Alentejo,748141,62946,50977,50919,67231,70636,28186,33011,37382,346853
Alentejo Litoral,75175,8271,3580,7438,7879,7447,708,792,5933,33127
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,75175,8271,3580,7438,7879,7447,708,792,5933,33127
Sines,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,89415,11860,8807,7018,8008,7584,2709,5077,8337,30015
Aljustrel,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,89415,11860,8807,7018,8008,7584,2709,5077,8337,30015
Castro Verde,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,...,...,...,...,...,...,...,...,...,...
Almeirim,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0
Santarém,...,...,...,...,...,...,...,...,...,...
Alto Alentejo,...,...,...,...,...,...,...,...,...,...
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0
Elvas,31135,4843,1862,5323,820,4256,837,846,475,11873
Fronteira,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,...,...,...,...,...,...,...,...,...,...
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0
Portalegre,70937,7897,3958,6639,9703,4468,1800,1562,5137,29773
Sousel,0,0,0,0,0,0,0,0,0,0
Alentejo Central,...,...,...,...,...,...,...,...,...,...
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0
Évora,...,...,...,...,...,...,...,...,...,...
Montemor-o-Novo,...,...,...,...,...,...,...,...,...,...
Mora,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0
Algarve,614438,34951,51814,43521,49727,50847,40961,33129,17668,291820
Albufeira,...,...,...,...,...,...,...,...,...,...
Alcoutim,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0
Faro,...,...,...,...,...,...,...,...,...,...
Lagoa,0,0,0,0,0,0,0,0,0,0
Lagos,...,...,...,...,...,...,...,...,...,...
Loulé,...,...,...,...,...,...,...,...,...,...
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0
Portimão,...,...,...,...,...,...,...,...,...,...
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0
Silves,...,...,...,...,...,...,...,...,...,...
Tavira,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0
R. A. Açores,328438,15726,25628,15075,17559,15269,18921,17578,21765,180917
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,203510,9186,16128,8348,8111,9048,10831,11175,11094,119589
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,203510,9186,16128,8348,8111,9048,10831,11175,11094,119589
Povoação,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0
Terceira,76665,3074,5191,2853,6011,2911,4521,3698,7062,41344
Angra do Heroísmo,76665,3074,5191,2853,6011,2911,4521,3698,7062,41344
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0
Faial,48263,3466,4309,3874,3437,3310,3569,2705,3609,19984
Horta,48263,3466,4309,3874,3437,3310,3569,2705,3609,19984
Flores,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,295177,16328,30634,20296,17109,22156,12270,14233,7316,154835
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0
Funchal,295177,16328,30634,20296,17109,22156,12270,14233,7316,154835
Machico,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0
