,"Enrolment rate in tertiary education (students aged between 18 and 22 years old), %, 2020/2021","Proportion of students enrolled in S&T areas of tertiary education , %, 2020/2021","Proportion of women in tertiary education, Students enrolled, %, 2020/2021","Proportion of women in tertiary education, Graduates , %, 2019/2020","Graduates from tertiary education per 1 000 inhabitants , Graduates , No., 2019/2020"
Portugal,40,29.1,53.6,58.1,78.1
Continente,41.7,29.2,53.5,58,81.7
Norte,39,29.9,53.9,58.5,73.8
Alto Minho,27.4,29,49,58.4,40.2
Arcos de Valdevez,0,//,//,//,0
Caminha,0,//,//,//,0
Melgaço,76.3,0,24.1,26.6,102.7
Monção,0,//,//,//,0
Paredes de Coura,0,//,//,//,0
Ponte da Barca,0,//,//,//,0
Ponte de Lima,14.1,16.8,51.7,48.8,25.1
Valença,53.9,0,61.5,66.7,79.5
Viana do Castelo,51.2,36.5,49.7,63.1,74.7
Vila Nova de Cerveira,4.7,93.2,41.5,36.4,11.1
Cávado,59.6,39.9,53.4,58.1,118.7
Amares,13.4,0,69.1,76.2,18.4
Barcelos,29.5,22.9,50.5,60.8,51.5
Braga,114.2,43.7,53.7,57.6,236.3
Esposende,0,//,//,//,0
Terras de Bouro,0,//,//,//,0
Vila Verde,0,//,//,//,0
Ave,5.8,13,56.6,62.7,9.5
Cabeceiras de Basto,0,//,//,//,0
Fafe,12.7,10.4,49.7,58.1,31.2
Guimarães,0,//,//,66.7,0.5
Mondim de Basto,0,//,//,//,0
Póvoa de Lanhoso,0,//,//,//,0
Vieira do Minho,0,//,//,//,0
Vila Nova de Famalicão,13.5,14.1,59.6,65.4,18.7
Vizela,0,//,//,//,0
A. M. Porto,50.5,27.7,54.4,58.5,99
Arouca,0,//,//,//,0
Espinho,0,//,//,//,0
Gondomar,0,//,//,//,0
Maia,40.8,7.4,41.2,44.8,63.9
Matosinhos,36.6,0.9,62.6,67.5,62.8
Oliveira de Azeméis,13.3,31.4,51.4,36.9,23.3
Paredes,21.8,9.9,66.6,64.5,66.2
Porto,357,33.9,53.8,58,694.8
Póvoa de Varzim,0,//,//,//,0
Santa Maria da Feira,2.6,19.7,47.7,58.1,7.6
Santo Tirso,0,//,//,//,0
São João da Madeira,0,//,//,//,0
Trofa,0,//,//,//,0
Vale de Cambra,0,//,//,//,0
Valongo,0,//,//,//,0
Vila do Conde,25.9,8.2,56.1,62.7,35.4
Vila Nova de Gaia,18.9,15.1,62.8,65.6,34.4
Alto Tâmega,3,0,77,82.5,6.4
Boticas,0,//,//,//,0
Chaves,6.5,0,77,82.5,14.1
Montalegre,0,//,//,//,0
Ribeira de Pena,0,//,//,//,0
Valpaços,0,//,//,//,0
Vila Pouca de Aguiar,0,//,//,//,0
Tâmega e Sousa,4.6,32.7,42,51.1,6.9
Amarante,0,//,//,//,0
Baião,0,//,//,//,0
Castelo de Paiva,0,//,//,//,0
Celorico de Basto,0,//,//,//,0
Cinfães,0,//,//,//,0
Felgueiras,28.8,37.5,42.1,52.2,37.6
Lousada,0,//,//,//,0
Marco de Canaveses,0,//,//,//,0
Paços de Ferreira,0,//,//,//,0
Penafiel,4.1,0,41.1,47,9.2
Resende,0,//,//,//,0
Douro,46.8,31.5,55.4,61.9,82.2
Alijó,0,//,//,//,0
Armamar,0,//,//,//,0
Carrazeda de Ansiães,0,//,//,//,0
Freixo de Espada à Cinta,0,//,//,//,0
Lamego,25.1,14.3,59.5,66.4,50.2
Mesão Frio,0,//,//,//,0
Moimenta da Beira,0,//,//,//,0
Murça,0,//,//,//,0
Penedono,0,//,//,//,0
Peso da Régua,0,//,//,//,0
Sabrosa,0,//,//,//,0
Santa Marta de Penaguião,0,//,//,//,0
São João da Pesqueira,0,//,//,//,0
Sernancelhe,0,//,//,//,0
Tabuaço,0,//,//,//,0
Tarouca,0,//,//,//,0
Torre de Moncorvo,0,//,//,//,0
Vila Nova de Foz Côa,0,//,//,//,0
Vila Real,162.3,32.9,55,61.5,306.9
Terras de Trás-os-Montes,109.6,25.8,52.8,55.7,181.8
Alfândega da Fé,0,//,//,//,0
Bragança,265.2,30.6,52.8,55.7,493
Macedo de Cavaleiros,0,//,//,//,0
Miranda do Douro,0,//,//,//,0
Mirandela,113.1,5.7,52.5,55.8,123.8
Mogadouro,0,//,//,//,0
Vila Flor,0,//,//,//,0
Vimioso,0,//,//,//,0
Vinhais,0,//,//,//,0
Centro,43.4,31.8,53.8,59.4,79.5
Oeste,10.5,11.9,61.1,65.7,20.7
Alcobaça,0,//,//,//,0
Alenquer,0,//,//,//,0
Arruda dos Vinhos,0,//,//,//,0
Bombarral,0,//,//,//,0
Cadaval,0,//,//,//,0
Caldas da Rainha,39.9,0,59.4,60.5,70.5
Lourinhã,0,//,//,//,0
Nazaré,0,//,//,//,0
Óbidos,0,//,//,//,0
Peniche,70.9,24.6,62.9,70.9,152.4
Sobral de Monte Agraço,0,//,//,//,0
Torres Vedras,0,//,//,//,0
Região de Aveiro,39.7,48.9,52.6,56,78.5
Águeda,25.1,48.6,35.7,33.2,40.6
Albergaria-a-Velha,0,//,//,//,0
Anadia,0,//,//,//,0
Aveiro,176,48.9,53.8,57.5,350
Estarreja,0,//,//,//,0
Ílhavo,0,//,//,//,0
Murtosa,0,//,//,//,0
Oliveira do Bairro,0,//,//,//,0
Ovar,0,//,//,//,0
Sever do Vouga,0,//,//,//,0
Vagos,0,//,//,//,0
Região de Coimbra,99.2,29.4,55.9,61.1,188.4
Arganil,0,//,//,//,0
Cantanhede,0,//,//,//,0
Coimbra,331.9,29.4,56.1,61,661.3
Condeixa-a-Nova,0,//,//,//,0
Figueira da Foz,0,//,//,//,0
Góis,0,//,//,//,0
Lousã,0,//,//,//,0
Mealhada,0,//,//,//,0
Mira,0,//,//,//,0
Miranda do Corvo,0,//,//,//,0
Montemor-o-Velho,0,//,//,//,0
Mortágua,0,//,//,//,0
Oliveira do Hospital,43.8,30.5,43.1,63,43.5
Pampilhosa da Serra,0,//,//,//,0
Penacova,0,//,//,//,0
Penela,0,//,//,//,0
Soure,0,//,//,//,0
Tábua,0,//,//,//,0
Vila Nova de Poiares,0,//,//,//,0
Região de Leiria,37.8,35.2,49.4,57.8,61.6
Alvaiázere,0,//,//,//,0
Ansião,0,//,//,//,0
Batalha,0,//,//,//,0
Castanheira de Pêra,0,//,//,//,0
Figueiró dos Vinhos,0,//,//,//,0
Leiria,84.9,34.8,49.4,57.7,135.7
Marinha Grande,5.1,47,49,64,6.4
Pedrógão Grande,0,//,//,//,0
Pombal,0,//,//,//,0
Porto de Mós,0,//,//,//,0
Viseu Dão Lafões,25.4,22.4,53,60.1,43
Aguiar da Beira,0,//,//,//,0
Carregal do Sal,0,//,//,//,0
Castro Daire,0,//,//,//,0
Mangualde,0,//,//,//,0
Nelas,0,//,//,//,0
Oliveira de Frades,0,//,//,//,0
Penalva do Castelo,0,//,//,//,0
Santa Comba Dão,0,//,//,//,0
São Pedro do Sul,0,//,//,//,0
Sátão,0,//,//,//,0
Tondela,0,//,//,//,0
Vila Nova de Paiva,0,//,//,//,0
Viseu,63.2,22.4,53,60.1,111.9
Vouzela,0,//,//,//,0
Beira Baixa,74.8,20.7,54.6,62.6,119.6
Castelo Branco,96.5,23.7,54.6,62.6,167.6
Idanha-a-Nova,86.6,0,55.2,62.5,125
Oleiros,0,//,//,//,0
Penamacor,0,//,//,//,0
Proença-a-Nova,0,//,//,//,0
Vila Velha de Ródão,0,//,//,//,0
Médio Tejo,9.1,32,42.5,50.1,15.1
Abrantes,13.5,39.2,31.7,22.4,21.7
Alcanena,0,//,//,//,0
Constância,0,//,//,//,0
Entroncamento,0,//,//,//,0
Ferreira do Zêzere,0,//,//,//,0
Mação,0,//,//,//,0
Ourém,0,//,//,//,0
Sardoal,0,//,//,//,0
Sertã,0,//,//,//,0
Tomar,46.4,30.4,45,56.2,77.3
Torres Novas,0,//,//,//,0
Vila de Rei,0,//,//,//,0
Vila Nova da Barquinha,0,//,//,//,0
Beiras e Serra da Estrela,62.9,29.5,52.1,57.1,109.5
Almeida,0,//,//,//,0
Belmonte,0,//,//,//,0
Celorico da Beira,0,//,//,//,0
Covilhã,199.4,34.7,52.3,57.2,438.6
Figueira de Castelo Rodrigo,0,//,//,//,0
Fornos de Algodres,0,//,//,//,0
Fundão,0,//,//,//,0
Gouveia,0,//,//,//,0
Guarda,87.3,18.8,51.4,55.9,98.5
Manteigas,0,//,//,//,0
Mêda,0,//,//,//,0
Pinhel,0,//,//,//,0
Sabugal,0,//,//,//,0
Seia,16.3,0,52.7,60.7,28.7
Trancoso,0,//,//,//,0
A. M. Lisboa,50.7,28.5,52.9,56.3,108.9
Alcochete,0,//,//,//,0
Almada,74.6,68.6,45.8,55.2,100.9
Amadora,2.9,0,59.3,56.3,6
Barreiro,9.5,100,39.6,56.9,8.4
Cascais,25.3,0,51.7,54.1,72
Lisboa,271.6,25.1,54.9,57.8,626.8
Loures,0,//,//,//,0
Mafra,0,//,//,//,0
Moita,0,//,//,//,0
Montijo,0,//,//,//,0
Odivelas,2.8,0,54.1,57.6,10.6
Oeiras,26.6,45.9,32.7,34.1,69.1
Palmela,0,//,//,//,0
Seixal,0,//,//,//,0
Sesimbra,0,//,//,//,0
Setúbal,59,41.8,45.3,51.6,102.4
Sintra,0.7,0,24.7,15,0.5
Vila Franca de Xira,0,//,//,//,0
Alentejo,26.7,17.6,54.2,60.3,50.8
Alentejo Litoral,0,//,//,//,0
Alcácer do Sal,0,//,//,//,0
Grândola,0,//,//,//,0
Odemira,0,//,//,//,0
Santiago do Cacém,0,//,//,//,0
Sines,0,//,//,//,0
Baixo Alentejo,26.4,19.7,55.2,61.2,49.2
Aljustrel,0,//,//,//,0
Almodôvar,0,//,//,//,0
Alvito,0,//,//,//,0
Barrancos,0,//,//,//,0
Beja,89.1,19.7,55.2,61.2,183.2
Castro Verde,0,//,//,//,0
Cuba,0,//,//,//,0
Ferreira do Alentejo,0,//,//,//,0
Mértola,0,//,//,//,0
Moura,0,//,//,//,0
Ourique,0,//,//,//,0
Serpa,0,//,//,//,0
Vidigueira,0,//,//,//,0
Lezíria do Tejo,21.7,8.1,47.7,54.7,41.7
Almeirim,0,//,//,//,0
Alpiarça,0,//,//,//,0
Azambuja,0,//,//,//,0
Benavente,0,//,//,//,0
Cartaxo,0,//,//,//,0
Chamusca,0,//,//,//,0
Coruche,0,//,//,//,0
Golegã,0,//,//,//,0
Rio Maior,61,0,25.9,33.7,114.1
Salvaterra de Magos,0,//,//,//,0
Santarém,69.7,10.3,53.6,61.4,136.9
Alto Alentejo,25.6,8.2,63.9,68.4,52.4
Alter do Chão,0,//,//,//,0
Arronches,0,//,//,//,0
Avis,0,//,//,//,0
Campo Maior,0,//,//,//,0
Castelo de Vide,0,//,//,//,0
Crato,0,//,//,//,0
Elvas,19.4,0,59.3,63.8,41.8
Fronteira,0,//,//,//,0
Gavião,0,//,//,//,0
Marvão,0,//,//,//,0
Monforte,0,//,//,//,0
Nisa,0,//,//,//,0
Ponte de Sor,0,//,//,//,0
Portalegre,101.1,10.1,65,69.4,237.7
Sousel,0,//,//,//,0
Alentejo Central,51.9,25.5,55.2,60.7,95
Alandroal,0,//,//,//,0
Arraiolos,0,//,//,//,0
Borba,0,//,//,//,0
Estremoz,0,//,//,//,0
Évora,147.1,25.5,55.2,60.7,278.8
Montemor-o-Novo,0,//,//,//,0
Mora,0,//,//,//,0
Mourão,0,//,//,//,0
Portel,0,//,//,//,0
Redondo,0,//,//,//,0
Reguengos de Monsaraz,0,//,//,//,0
Vendas Novas,0,//,//,//,0
Viana do Alentejo,0,//,//,//,0
Vila Viçosa,0,//,//,//,0
Algarve,22,27.5,56,62.7,39.1
Albufeira,0,//,//,//,0
Alcoutim,0,//,//,//,0
Aljezur,0,//,//,//,0
Castro Marim,0,//,//,//,0
Faro,151.4,30.1,56.1,62.5,292.6
Lagoa,0,//,//,//,0
Lagos,0,//,//,//,0
Loulé,0,//,//,//,0
Monchique,0,//,//,//,0
Olhão,0,//,//,//,0
Portimão,14.5,10.8,51.9,61.5,18.4
São Brás de Alportel,0,//,//,//,0
Silves,5.2,0,70.2,82.6,6.4
Tavira,0,//,//,//,0
Vila do Bispo,0,//,//,//,0
Vila Real de Santo António,0,//,//,//,0
R. A. Açores,10,18.7,62.5,68.2,17.6
Santa Maria,0,//,//,//,0
Vila do Porto,0,//,//,//,0
São Miguel,14.4,19,61.6,69.2,25.4
Lagoa (R.A.A.),0,//,//,//,0
Nordeste,0,//,//,//,0
Ponta Delgada,31,19,61.6,69.2,54
Povoação,0,//,//,//,0
Ribeira Grande,0,//,//,//,0
Vila Franca do Campo,0,//,//,//,0
Terceira,6,17.1,68.7,61.7,11.5
Angra do Heroísmo,9.6,17.1,68.7,61.7,19.5
Vila da Praia da Vitória,0,//,//,//,0
Graciosa,0,//,//,//,0
Santa Cruz da Graciosa,0,//,//,//,0
São Jorge,0,//,//,//,0
Calheta (R.A.A.),0,//,//,//,0
Velas,0,//,//,//,0
Pico,0,//,//,//,0
Lajes do Pico,0,//,//,//,0
Madalena,0,//,//,//,0
São Roque do Pico,0,//,//,//,0
Faial,0,//,//,//,0
Horta,0,//,//,//,0
Flores,0,//,//,//,0
Lajes das Flores,0,//,//,//,0
Santa Cruz das Flores,0,//,//,//,0
Corvo,0,//,//,//,0
Corvo,0,//,//,//,0
R. A. Madeira,13.4,24.1,53.9,56.6,24.2
Calheta (R.A.M.),0,//,//,//,0
Câmara de Lobos,0,//,//,//,0
Funchal,35.9,24.1,53.9,56.6,64.1
Machico,0,//,//,//,0
Ponta do Sol,0,//,//,//,0
Porto Moniz,0,//,//,//,0
Ribeira Brava,0,//,//,//,0
Santa Cruz,0,//,//,//,0
Santana,0,//,//,//,0
São Vicente,0,//,//,//,0
Porto Santo,0,//,//,//,0
