,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Lower secondary education, 2nd cycle, Total (N.º)","Lower secondary education, 2nd cycle, Public (N.º)","Lower secondary education, 2nd cycle, Private (N.º)"
Portugal,251108,133007,118101,386583,334774,51809,215389,190238,25151,348892,307196,41696
Continente,238618,125740,112878,366167,317674,48493,204422,180161,24261,330313,289916,40397
Norte,82226,46831,35395,124455,110244,14211,71010,63712,7298,116902,103319,13583
Alto Minho,4986,3303,1683,7203,6918,285,4131,3998,133,6717,6269,448
Arcos de Valdevez,385,185,200,516,513,3,310,304,6,508,494,14
Caminha,336,216,120,452,452,0,242,242,0,388,385,3
Melgaço,114,66,48,186,186,0,117,117,0,141,141,0
Monção,320,218,102,420,420,0,284,284,0,461,395,66
Paredes de Coura,158,71,87,244,244,0,157,157,0,237,237,0
Ponte da Barca,206,160,46,333,332,1,193,174,19,331,318,13
Ponte de Lima,927,858,69,1370,1368,2,753,751,2,1291,1234,57
Valença,302,288,14,441,441,0,241,241,0,343,343,0
Viana do Castelo,2030,1070,960,2965,2686,279,1642,1536,106,2747,2452,295
Vila Nova de Cerveira,208,171,37,276,276,0,192,192,0,270,270,0
Cávado,10550,5902,4648,15449,13243,2206,8617,7444,1173,14031,11955,2076
Amares,352,316,36,571,571,0,373,373,0,498,498,0
Barcelos,2682,2009,673,4013,3836,177,2193,1966,227,3612,3155,457
Braga,5432,2174,3258,7751,5792,1959,4397,3453,944,7181,5723,1458
Esposende,858,482,376,1341,1341,0,722,722,0,1105,1053,52
Terras de Bouro,126,91,35,170,170,0,112,112,0,196,196,0
Vila Verde,1100,830,270,1603,1533,70,820,818,2,1439,1330,109
Ave,9723,4506,5217,14059,13177,882,7548,7169,379,12870,11962,908
Cabeceiras de Basto,362,270,92,530,529,1,313,304,9,550,519,31
Fafe,1090,414,676,1633,1483,150,881,803,78,1478,1320,158
Guimarães,3769,1498,2271,5150,4750,400,2783,2598,185,4778,4427,351
Mondim de Basto,119,69,50,188,188,0,113,113,0,170,170,0
Póvoa de Lanhoso,459,340,119,756,756,0,417,417,0,702,685,17
Vieira do Minho,187,163,24,357,357,0,182,182,0,311,311,0
Vila Nova de Famalicão,3201,1329,1872,4621,4290,331,2369,2266,103,4051,3737,314
Vizela,536,423,113,824,824,0,490,486,4,830,793,37
A. M. Porto,40737,21704,19033,62564,53179,9385,35726,31136,4590,57849,49756,8093
Arouca,496,401,95,786,786,0,416,416,0,754,711,43
Espinho,798,585,213,1112,1112,0,889,847,42,1543,1372,171
Gondomar,3352,2145,1207,5144,4525,619,2887,2575,312,4501,3968,533
Maia,3305,1703,1602,5065,4516,549,2964,2714,250,4371,4065,306
Matosinhos,3962,1940,2022,5875,5044,831,3394,3196,198,5426,4882,544
Oliveira de Azeméis,1346,741,605,1999,1884,115,1045,1045,0,1769,1769,0
Paredes,1933,1574,359,3060,2821,239,1852,1678,174,3024,2768,256
Porto,6724,1879,4845,10425,6253,4172,5839,3667,2172,10181,6565,3616
Póvoa de Varzim,1576,493,1083,2512,2275,237,1525,1415,110,2458,2301,157
Santa Maria da Feira,3059,1820,1239,4518,4187,331,2371,2150,221,3866,3575,291
Santo Tirso,1376,843,533,2157,1811,346,1373,1204,169,2306,1988,318
São João da Madeira,815,485,330,1213,1119,94,768,735,33,1175,1107,68
Trofa,772,599,173,1268,1190,78,674,608,66,1168,1044,124
Vale de Cambra,477,428,49,663,663,0,350,350,0,612,612,0
Valongo,2091,1372,719,3256,2880,376,1936,1779,157,3046,2728,318
Vila do Conde,1928,1128,800,2968,2850,118,1417,1399,18,2308,2251,57
Vila Nova de Gaia,6727,3568,3159,10543,9263,1280,6026,5358,668,9341,8050,1291
Alto Tâmega,1437,852,585,2173,2008,165,1255,1251,4,2186,2173,13
Boticas,71,45,26,111,111,0,90,90,0,103,103,0
Chaves,653,338,315,1073,908,165,638,634,4,1137,1124,13
Montalegre,122,122,0,190,190,0,89,89,0,210,210,0
Ribeira de Pena,133,56,77,184,184,0,94,94,0,165,165,0
Valpaços,241,122,119,338,338,0,198,198,0,316,316,0
Vila Pouca de Aguiar,217,169,48,277,277,0,146,146,0,255,255,0
Tâmega e Sousa,9216,7111,2105,14598,13809,789,8665,7999,666,14972,13537,1435
Amarante,1094,775,319,1787,1586,201,1049,708,341,1809,1171,638
Baião,333,127,206,503,503,0,316,316,0,516,516,0
Castelo de Paiva,359,266,93,563,562,1,379,326,53,720,587,133
Celorico de Basto,329,304,25,517,517,0,310,310,0,541,541,0
Cinfães,339,339,0,566,566,0,314,314,0,545,545,0
Felgueiras,1278,849,429,1958,1790,168,1155,1152,3,2036,2013,23
Lousada,1152,933,219,1808,1639,169,1085,979,106,1734,1594,140
Marco de Canaveses,1116,1035,81,1826,1826,0,1015,1015,0,1820,1820,0
Paços de Ferreira,1310,933,377,2185,2012,173,1386,1256,130,2285,2035,250
Penafiel,1695,1370,325,2573,2496,77,1475,1442,33,2662,2411,251
Resende,211,180,31,312,312,0,181,181,0,304,304,0
Douro,3674,2439,1235,5527,5263,264,3299,3061,238,5328,5059,269
Alijó,169,64,105,262,262,0,169,169,0,252,252,0
Armamar,106,82,24,142,142,0,87,87,0,130,130,0
Carrazeda de Ansiães,102,62,40,148,148,0,77,77,0,154,154,0
Freixo de Espada à Cinta,57,14,43,101,101,0,49,49,0,69,69,0
Lamego,499,356,143,708,671,37,445,423,22,785,746,39
Mesão Frio,86,86,0,108,108,0,85,85,0,123,123,0
Moimenta da Beira,208,121,87,291,291,0,177,177,0,297,278,19
Murça,84,52,32,149,149,0,60,60,0,148,132,16
Penedono,48,22,26,55,55,0,47,47,0,76,76,0
Peso da Régua,307,128,179,511,511,0,278,278,0,481,481,0
Sabrosa,84,62,22,146,146,0,91,91,0,145,145,0
Santa Marta de Penaguião,112,34,78,161,161,0,63,63,0,98,98,0
São João da Pesqueira,140,140,0,200,200,0,122,122,0,242,210,32
Sernancelhe,77,61,16,137,137,0,65,65,0,103,103,0
Tabuaço,73,73,0,103,103,0,71,71,0,125,125,0
Tarouca,178,140,38,232,232,0,134,134,0,228,228,0
Torre de Moncorvo,100,87,13,154,154,0,88,88,0,106,106,0
Vila Nova de Foz Côa,93,63,30,144,144,0,85,85,0,123,123,0
Vila Real,1151,792,359,1775,1548,227,1106,890,216,1643,1480,163
Terras de Trás-os-Montes,1903,1014,889,2882,2647,235,1769,1654,115,2949,2608,341
Alfândega da Fé,61,43,18,108,108,0,53,53,0,89,89,0
Bragança,682,324,358,1065,887,178,620,611,9,993,943,50
Macedo de Cavaleiros,254,149,105,346,346,0,197,188,9,348,331,17
Miranda do Douro,118,105,13,142,142,0,101,101,0,140,140,0
Mirandela,420,162,258,645,589,56,448,404,44,752,592,160
Mogadouro,123,48,75,194,193,1,144,91,53,303,189,114
Vila Flor,89,65,24,165,165,0,88,88,0,133,133,0
Vimioso,51,51,0,77,77,0,44,44,0,58,58,0
Vinhais,105,67,38,140,140,0,74,74,0,133,133,0
Centro,50318,28435,21883,74433,69573,4860,41741,37686,4055,69095,60932,8163
Oeste,8694,5222,3472,13172,12538,634,7623,6514,1109,12290,9764,2526
Alcobaça,1258,517,741,1782,1715,67,1062,1062,0,1740,1220,520
Alenquer,942,663,279,1590,1590,0,945,945,0,1390,1390,0
Arruda dos Vinhos,409,272,137,653,653,0,459,27,432,820,0,820
Bombarral,266,205,61,393,393,0,229,229,0,438,438,0
Cadaval,241,187,54,399,399,0,226,226,0,273,273,0
Caldas da Rainha,1241,741,500,1928,1664,264,1121,958,163,1899,1708,191
Lourinhã,654,455,199,956,956,0,525,525,0,780,780,0
Nazaré,361,245,116,482,482,0,236,229,7,354,302,52
Óbidos,298,231,67,433,433,0,224,224,0,283,283,0
Peniche,662,245,417,1032,1032,0,555,555,0,920,877,43
Sobral de Monte Agraço,246,156,90,377,377,0,270,270,0,360,360,0
Torres Vedras,2116,1305,811,3147,2844,303,1771,1264,507,3033,2133,900
Região de Aveiro,9055,4365,4690,13172,12594,578,7304,6780,524,11792,10753,1039
Águeda,1141,478,663,1662,1602,60,890,862,28,1479,1458,21
Albergaria-a-Velha,570,279,291,894,824,70,507,427,80,793,668,125
Anadia,617,254,363,924,785,139,530,406,124,839,640,199
Aveiro,2199,749,1450,3241,3020,221,1928,1815,113,3066,2748,318
Estarreja,672,350,322,949,910,39,516,516,0,854,854,0
Ílhavo,958,540,418,1352,1352,0,694,694,0,1026,1026,0
Murtosa,238,157,81,370,370,0,222,222,0,348,348,0
Oliveira do Bairro,614,313,301,878,878,0,442,442,0,654,654,0
Ovar,1240,659,581,1829,1780,49,958,947,11,1629,1545,84
Sever do Vouga,228,192,36,319,319,0,173,173,0,341,341,0
Vagos,578,394,184,754,754,0,444,276,168,763,471,292
Região de Coimbra,9541,4618,4923,13961,12496,1465,7652,7096,556,12677,11633,1044
Arganil,220,185,35,337,337,0,173,173,0,269,269,0
Cantanhede,714,381,333,1102,1064,38,579,535,44,969,901,68
Coimbra,3596,1005,2591,5095,3868,1227,2711,2293,418,4517,3851,666
Condeixa-a-Nova,303,221,82,482,482,0,324,324,0,481,481,0
Figueira da Foz,1243,600,643,1893,1701,192,1013,1012,1,1855,1779,76
Góis,72,43,29,79,79,0,37,37,0,80,80,0
Lousã,392,303,89,580,580,0,312,312,0,597,581,16
Mealhada,404,207,197,548,548,0,352,352,0,552,552,0
Mira,207,164,43,368,368,0,220,220,0,290,290,0
Miranda do Corvo,223,132,91,330,330,0,210,210,0,351,351,0
Montemor-o-Velho,448,239,209,678,678,0,352,351,1,534,480,54
Mortágua,157,126,31,245,245,0,140,140,0,175,175,0
Oliveira do Hospital,417,215,202,654,646,8,343,343,0,560,560,0
Pampilhosa da Serra,54,21,33,94,94,0,42,42,0,67,67,0
Penacova,222,222,0,305,305,0,170,170,0,333,312,21
Penela,92,92,0,147,147,0,66,66,0,102,102,0
Soure,358,176,182,491,491,0,286,194,92,455,323,132
Tábua,268,213,55,316,316,0,173,173,0,307,307,0
Vila Nova de Poiares,151,73,78,217,217,0,149,149,0,183,172,11
Região de Leiria,6921,4557,2364,9909,9133,776,5561,4528,1033,9368,7560,1808
Alvaiázere,99,99,0,152,152,0,83,83,0,127,127,0
Ansião,208,122,86,349,349,0,211,211,0,410,400,10
Batalha,425,252,173,533,533,0,272,272,0,504,504,0
Castanheira de Pêra,32,32,0,68,68,0,39,39,0,62,62,0
Figueiró dos Vinhos,91,55,36,121,121,0,74,74,0,125,125,0
Leiria,3280,1959,1321,4741,4141,600,2555,1961,594,4294,3294,1000
Marinha Grande,963,721,242,1416,1301,115,817,798,19,1393,1281,112
Pedrógão Grande,59,38,21,88,88,0,48,48,0,84,78,6
Pombal,1210,865,345,1640,1618,22,986,722,264,1649,1185,464
Porto de Mós,554,414,140,801,762,39,476,320,156,720,504,216
Viseu Dão Lafões,5521,3715,1806,8442,7933,509,4637,4411,226,7854,7337,517
Aguiar da Beira,82,82,0,131,131,0,59,59,0,126,126,0
Carregal do Sal,185,185,0,265,265,0,166,166,0,278,278,0
Castro Daire,260,221,39,367,367,0,274,274,0,422,382,40
Mangualde,434,267,167,611,611,0,335,335,0,603,603,0
Nelas,354,178,176,417,396,21,253,253,0,409,409,0
Oliveira de Frades,201,147,54,348,348,0,173,173,0,311,311,0
Penalva do Castelo,127,127,0,214,214,0,102,102,0,193,193,0
Santa Comba Dão,184,142,42,297,297,0,196,196,0,293,293,0
São Pedro do Sul,265,206,59,468,468,0,222,222,0,405,405,0
Sátão,212,189,23,346,346,0,172,172,0,305,305,0
Tondela,436,356,80,699,699,0,388,386,2,744,706,38
Vila Nova de Paiva,80,80,0,147,147,0,79,79,0,135,135,0
Viseu,2492,1357,1135,3852,3364,488,2088,1864,224,3328,2935,393
Vouzela,209,178,31,280,280,0,130,130,0,302,256,46
Beira Baixa,1532,748,784,2487,2286,201,1301,1301,0,2142,2085,57
Castelo Branco,1117,454,663,1838,1637,201,943,943,0,1618,1582,36
Idanha-a-Nova,130,103,27,233,233,0,122,122,0,180,159,21
Oleiros,56,35,21,81,81,0,45,45,0,65,65,0
Penamacor,53,33,20,87,87,0,64,64,0,72,72,0
Proença-a-Nova,116,63,53,174,174,0,92,92,0,154,154,0
Vila Velha de Ródão,60,60,0,74,74,0,35,35,0,53,53,0
Médio Tejo,5127,3371,1756,7467,6972,495,4231,3771,460,7313,6425,888
Abrantes,631,412,219,943,932,11,552,552,0,1123,1123,0
Alcanena,320,211,109,434,434,0,258,258,0,419,419,0
Constância,92,92,0,168,168,0,87,87,0,182,182,0
Entroncamento,536,323,213,808,616,192,466,456,10,692,642,50
Ferreira do Zêzere,163,137,26,232,232,0,126,126,0,223,223,0
Mação,94,94,0,134,134,0,78,78,0,143,143,0
Ourém,1124,794,330,1580,1514,66,875,507,368,1516,841,675
Sardoal,70,70,0,120,120,0,67,67,0,108,108,0
Sertã,305,145,160,417,417,0,232,175,57,427,309,118
Tomar,718,477,241,1083,966,117,649,649,0,1099,1099,0
Torres Novas,835,423,412,1211,1102,109,637,612,25,1109,1064,45
Vila de Rei,58,41,17,80,80,0,46,46,0,62,62,0
Vila Nova da Barquinha,181,152,29,257,257,0,158,158,0,210,210,0
Beiras e Serra da Estrela,3927,1839,2088,5823,5621,202,3432,3285,147,5659,5375,284
Almeida,79,79,0,116,116,0,66,66,0,103,103,0
Belmonte,126,43,83,203,203,0,101,101,0,165,165,0
Celorico da Beira,109,21,88,170,170,0,122,122,0,190,190,0
Covilhã,878,420,458,1398,1318,80,791,761,30,1364,1314,50
Figueira de Castelo Rodrigo,113,28,85,158,158,0,67,67,0,121,121,0
Fornos de Algodres,73,73,0,112,112,0,79,79,0,126,126,0
Fundão,488,233,255,752,752,0,446,409,37,726,636,90
Gouveia,217,107,110,333,333,0,196,196,0,322,296,26
Guarda,869,322,547,1250,1131,119,768,725,43,1284,1235,49
Manteigas,39,20,19,51,51,0,34,34,0,66,66,0
Mêda,84,41,43,117,117,0,62,62,0,104,104,0
Pinhel,124,69,55,178,178,0,104,104,0,179,179,0
Sabugal,156,92,64,234,234,0,125,89,36,174,122,52
Seia,440,217,223,550,547,3,340,339,1,528,511,17
Trancoso,132,74,58,201,201,0,131,131,0,207,207,0
A. M. Lisboa,76742,32761,43981,122679,95575,27104,66937,54865,12072,104860,87912,16948
Alcochete,598,288,310,903,810,93,478,451,27,752,752,0
Almada,4836,2302,2534,7608,6636,972,4173,3725,448,6477,5839,638
Amadora,4158,1835,2323,6962,5937,1025,3621,3251,370,5518,5042,476
Barreiro,2085,1182,903,3398,2975,423,1932,1807,125,3103,2915,188
Cascais,6060,1581,4479,9684,5265,4419,5282,2952,2330,8442,4899,3543
Lisboa,18078,5716,12362,26023,14394,11629,14641,9171,5470,22322,14836,7486
Loures,5190,2749,2441,8547,7428,1119,4450,3945,505,6580,5941,639
Mafra,2468,1727,741,3801,3612,189,2004,1570,434,3257,2471,786
Moita,1416,969,447,2731,2622,109,1540,1540,0,2283,2283,0
Montijo,1456,823,633,2376,2127,249,1294,1195,99,1936,1880,56
Odivelas,3516,1916,1600,6128,5585,543,3287,3099,188,5212,4954,258
Oeiras,4769,1390,3379,6664,5140,1524,3545,3183,362,5756,5279,477
Palmela,1466,813,653,2876,2395,481,1662,1331,331,2716,2223,493
Seixal,3579,1623,1956,6741,5833,908,3577,3156,421,5731,5119,612
Sesimbra,1249,804,445,2199,2125,74,1191,1191,0,2043,2043,0
Setúbal,3158,958,2200,5142,4523,619,3075,2975,100,4792,4756,36
Sintra,8745,4690,4055,15317,13201,2116,8181,7526,655,13218,12175,1043
Vila Franca de Xira,3915,1395,2520,5579,4967,612,3004,2797,207,4722,4505,217
Alentejo,16948,10522,6426,25521,24784,737,14254,13795,459,22819,21791,1028
Alentejo Litoral,2285,1607,678,3439,3439,0,1840,1684,156,2983,2709,274
Alcácer do Sal,237,176,61,369,369,0,199,199,0,366,366,0
Grândola,357,275,82,510,510,0,303,303,0,455,455,0
Odemira,600,418,182,924,924,0,474,318,156,824,554,270
Santiago do Cacém,662,487,175,1004,1004,0,540,540,0,871,871,0
Sines,429,251,178,632,632,0,324,324,0,467,463,4
Baixo Alentejo,2982,1946,1036,4405,4326,79,2474,2396,78,3810,3556,254
Aljustrel,198,110,88,328,328,0,192,192,0,276,276,0
Almodôvar,124,88,36,201,201,0,117,117,0,237,237,0
Alvito,58,58,0,83,83,0,27,27,0,92,59,33
Barrancos,37,37,0,42,42,0,23,23,0,54,54,0
Beja,1024,436,588,1495,1416,79,867,789,78,1318,1159,159
Castro Verde,172,127,45,231,231,0,150,150,0,262,262,0
Cuba,112,112,0,154,154,0,101,101,0,132,97,35
Ferreira do Alentejo,174,119,55,274,274,0,125,125,0,167,167,0
Mértola,119,119,0,158,158,0,85,85,0,156,156,0
Moura,382,294,88,629,629,0,340,340,0,480,453,27
Ourique,94,57,37,144,144,0,85,85,0,130,130,0
Serpa,346,292,54,451,451,0,261,261,0,399,399,0
Vidigueira,142,97,45,215,215,0,101,101,0,107,107,0
Lezíria do Tejo,5679,3487,2192,8635,8393,242,4940,4927,13,7943,7743,200
Almeirim,583,317,266,911,890,21,515,515,0,755,755,0
Alpiarça,103,61,42,212,212,0,110,110,0,194,194,0
Azambuja,603,259,344,830,830,0,461,461,0,764,764,0
Benavente,775,497,278,1217,1217,0,723,723,0,1021,1021,0
Cartaxo,486,234,252,782,782,0,469,469,0,779,779,0
Chamusca,190,190,0,260,260,0,144,144,0,218,218,0
Coruche,317,186,131,529,529,0,289,289,0,523,472,51
Golegã,120,79,41,158,158,0,74,74,0,168,168,0
Rio Maior,607,414,193,790,688,102,512,512,0,713,713,0
Salvaterra de Magos,491,282,209,742,742,0,426,421,5,719,665,54
Santarém,1404,968,436,2204,2085,119,1217,1209,8,2089,1994,95
Alto Alentejo,2439,1535,904,3675,3546,129,2009,1950,59,3271,3140,131
Alter do Chão,64,64,0,96,96,0,43,43,0,115,115,0
Arronches,66,45,21,86,86,0,47,47,0,79,79,0
Avis,82,82,0,109,109,0,65,65,0,85,85,0
Campo Maior,229,132,97,397,396,1,228,219,9,339,293,46
Castelo de Vide,75,50,25,80,80,0,38,38,0,82,82,0
Crato,60,40,20,84,84,0,40,40,0,66,66,0
Elvas,531,253,278,958,854,104,497,447,50,724,639,85
Fronteira,58,41,17,72,72,0,58,58,0,81,81,0
Gavião,58,38,20,85,85,0,52,52,0,90,90,0
Marvão,43,43,0,67,67,0,26,26,0,68,68,0
Monforte,64,64,0,127,127,0,54,54,0,97,97,0
Nisa,92,92,0,122,122,0,70,70,0,116,116,0
Ponte de Sor,333,232,101,487,463,24,283,283,0,412,412,0
Portalegre,588,297,291,778,778,0,411,411,0,800,800,0
Sousel,96,62,34,127,127,0,97,97,0,117,117,0
Alentejo Central,3563,1947,1616,5367,5080,287,2991,2838,153,4812,4643,169
Alandroal,84,84,0,133,133,0,82,82,0,102,102,0
Arraiolos,119,57,62,172,172,0,107,107,0,166,166,0
Borba,143,105,38,201,201,0,117,117,0,151,151,0
Estremoz,269,193,76,397,397,0,210,210,0,358,358,0
Évora,1396,452,944,2170,1947,223,1180,1065,115,1935,1813,122
Montemor-o-Novo,340,218,122,485,485,0,275,275,0,431,431,0
Mora,76,63,13,99,99,0,55,55,0,101,101,0
Mourão,67,67,0,100,100,0,61,61,0,66,66,0
Portel,103,49,54,174,174,0,96,96,0,129,129,0
Redondo,136,115,21,229,229,0,113,113,0,159,159,0
Reguengos de Monsaraz,262,204,58,365,365,0,229,225,4,411,404,7
Vendas Novas,272,160,112,413,349,64,228,194,34,389,349,40
Viana do Alentejo,125,90,35,179,179,0,101,101,0,165,165,0
Vila Viçosa,171,90,81,250,250,0,137,137,0,249,249,0
Algarve,12384,7191,5193,19079,17498,1581,10480,10103,377,16637,15962,675
Albufeira,1348,990,358,1949,1949,0,1037,1037,0,1728,1728,0
Alcoutim,29,0,29,53,53,0,25,25,0,50,50,0
Aljezur,159,159,0,228,228,0,107,107,0,204,162,42
Castro Marim,189,120,69,266,266,0,120,120,0,161,161,0
Faro,1706,498,1208,2827,2429,398,1547,1495,52,2487,2395,92
Lagoa,751,384,367,1037,911,126,576,477,99,895,770,125
Lagos,826,270,556,1302,1063,239,702,669,33,1202,1155,47
Loulé,2170,1675,495,3252,3064,188,1795,1697,98,2717,2510,207
Monchique,121,121,0,133,133,0,81,81,0,128,128,0
Olhão,1109,648,461,1817,1717,100,1045,986,59,1577,1498,79
Portimão,1580,956,624,2509,2188,321,1381,1381,0,2326,2276,50
São Brás de Alportel,310,241,69,419,419,0,250,250,0,380,380,0
Silves,942,496,446,1407,1328,79,744,725,19,1105,1079,26
Tavira,576,234,342,929,861,68,531,531,0,769,769,0
Vila do Bispo,137,137,0,249,187,62,86,69,17,131,124,7
Vila Real de Santo António,431,262,169,702,702,0,453,453,0,777,777,0
R. A. Açores,6670,4133,2537,10506,9595,911,5573,5394,179,8846,8724,122
Santa Maria,144,144,0,207,207,0,130,130,0,188,188,0
Vila do Porto,144,144,0,207,207,0,130,130,0,188,188,0
São Miguel,3911,2641,1270,6460,5759,701,3474,3348,126,5602,5500,102
Lagoa (R.A.A.),392,340,52,611,611,0,375,375,0,630,630,0
Nordeste,88,88,0,165,165,0,103,103,0,155,155,0
Ponta Delgada,2008,1173,835,3219,2518,701,1782,1656,126,2974,2892,82
Povoação,152,127,25,226,226,0,148,148,0,230,230,0
Ribeira Grande,997,719,278,1812,1812,0,835,835,0,1211,1191,20
Vila Franca do Campo,274,194,80,427,427,0,231,231,0,402,402,0
Terceira,1422,658,764,2123,1985,138,1132,1079,53,1647,1647,0
Angra do Heroísmo,904,282,622,1379,1241,138,767,714,53,1046,1046,0
Vila da Praia da Vitória,518,376,142,744,744,0,365,365,0,601,601,0
Graciosa,135,68,67,163,163,0,84,84,0,127,127,0
Santa Cruz da Graciosa,135,68,67,163,163,0,84,84,0,127,127,0
São Jorge,225,54,171,293,293,0,156,156,0,261,261,0
Calheta (R.A.A.),93,14,79,120,120,0,67,67,0,120,120,0
Velas,132,40,92,173,173,0,89,89,0,141,141,0
Pico,366,303,63,523,523,0,245,245,0,418,398,20
Lajes do Pico,90,90,0,143,143,0,91,91,0,125,125,0
Madalena,197,159,38,252,252,0,103,103,0,200,180,20
São Roque do Pico,79,54,25,128,128,0,51,51,0,93,93,0
Faial,388,211,177,586,514,72,275,275,0,484,484,0
Horta,388,211,177,586,514,72,275,275,0,484,484,0
Flores,75,54,21,132,132,0,68,68,0,107,107,0
Lajes das Flores,17,17,0,41,41,0,25,25,0,0,0,0
Santa Cruz das Flores,58,37,21,91,91,0,43,43,0,107,107,0
Corvo,4,0,4,19,19,0,9,9,0,12,12,0
Corvo,4,0,4,19,19,0,9,9,0,12,12,0
R. A. Madeira,5820,3134,2686,9910,7505,2405,5394,4683,711,9733,8556,1177
Calheta (R.A.M.),225,162,63,512,467,45,209,209,0,369,369,0
Câmara de Lobos,652,415,237,1209,1209,0,619,619,0,1032,1032,0
Funchal,3001,1120,1881,4768,2840,1928,2614,1903,711,4897,3720,1177
Machico,383,293,90,710,611,99,441,441,0,753,753,0
Ponta do Sol,155,147,8,507,507,0,163,163,0,345,345,0
Porto Moniz,49,49,0,69,69,0,43,43,0,67,67,0
Ribeira Brava,275,275,0,478,478,0,267,267,0,532,532,0
Santa Cruz,771,413,358,1111,902,209,757,757,0,1235,1235,0
Santana,114,93,21,207,179,28,83,83,0,166,166,0
São Vicente,97,92,5,144,144,0,87,87,0,160,160,0
Porto Santo,98,75,23,195,99,96,111,111,0,177,177,0
