,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Viseu,1036.89,1787.94,1640.53,1210.88,962.76,826.87,793.36,904.05,951.84,773.04
Vouzela,937.21,2038.08,1344.16,1329.47,1025.64,749.33,739.33,916.01,854.7,752.78
Beira Baixa,995.38,1831.61,1540.96,1243.13,996.11,795.85,782.97,867.07,1003.07,792.06
Castelo Branco,994.62,1838.5,1565.81,1219.76,972.96,813.96,795.82,875.68,949.76,786.75
Idanha-a-Nova,906.71,1544.57,1369.53,1042.85,1107.81,736.7,759.6,804.1,779.35,817.37
Oleiros,945.86,1294.71,1222.09,1153,980.36,691.64,731.92,828.88,1200,739.91
Penamacor,908.38,1896.73,1398.59,1026.67,1097.82,746.75,827.65,765.07,798.44,735.7
Proença-a-Nova,946.81,1440,1545.61,1187.49,969.87,737.28,774.44,851.27,925.88,710.35
Vila Velha de Ródão,1251.25,2816.75,1707.76,1643.76,1150.74,743.28,843.18,952.7,1334.34,926.65
Médio Tejo,1051.55,2038.88,1587.37,1318.79,1032.81,804.78,814.86,993.33,1051.27,788.77
Abrantes,1109.35,2578.18,1726.67,1389.34,1078.15,788.02,839.9,1025.5,1058.29,824.87
Alcanena,1095.96,2291.5,1639.55,1401.57,1092.55,864.45,868.92,947.15,956.62,905.81
Constância,1262.83,3511.85,2481.68,1566.93,1129.06,764.81,//,1260.68,1124.93,827.55
Entroncamento,1151.05,2027.14,1647.51,1294.87,1087.72,843.32,1157.57,1123.21,1314.83,779.31
Ferreira do Zêzere,960.95,2117.62,1309.33,1235.88,934.02,811.39,869.64,876.78,1179.87,813.01
Mação,912.53,2097.11,1152.62,1263.3,968.48,753.05,813.93,926.31,866.21,725.3
Ourém,1029.35,1778.78,1424.56,1285.45,1013.42,811.87,769.04,1049.64,1094.64,775.21
Sardoal,843.79,1540.15,1058.74,929.21,1060.53,807.57,776.34,810.52,802.93,732.28
Sertã,898.19,1333.28,1405.53,1137.08,955.44,768.46,759.27,805.92,896.9,727.35
Tomar,1025.39,1498.4,1608.33,1242.54,958.17,784.41,748.69,1035.09,893.07,742.02
Torres Novas,1099.68,2597.76,1723.11,1380.26,1063.64,826.29,812.45,907.09,1047.98,785.9
Vila de Rei,835.38,1564.04,1265.13,956.32,957.02,714.9,756.2,762.78,886.47,710.74
Vila Nova da Barquinha,864.59,1772.75,1207.38,1115.1,899.67,731.73,763.07,845.41,873.16,667.27
Beiras e Serra da Estrela,974.36,1636.75,1500.14,1161.89,982.44,773.58,781.4,833.59,982.68,752.47
Almeida,835.44,1215.77,1160.31,1050.25,1008.74,695.43,702.06,770.64,1012.14,697.88
Belmonte,855.96,1758.73,1374.06,1230.04,963.06,757.91,752.62,750.14,683.24,719.88
Celorico da Beira,979.15,1538.51,1597.72,922.34,954.49,737.74,732.66,742.22,1232.5,709.25
Covilhã,987.86,1881.86,1620.88,1171.02,937.86,780.13,756.26,824.85,815.8,766.61
Figueira de Castelo Rodrigo,855.16,1118.6,1434.32,884.12,928.94,755.74,784.44,761.6,891.79,718.52
Fornos de Algodres,807.87,1069.31,1142.74,853.71,846.56,713.39,715.03,721.36,1020.39,693.95
Fundão,955.04,1848.52,1365.19,1087.1,1013.77,776.05,806.12,840.7,827.19,768.2
Gouveia,894.58,1538.86,1266.61,1093.71,949.51,776.01,819.72,787.55,821.87,756.32
Guarda,1100.48,1748,1595.96,1272.47,1052.01,802.47,748.89,925.18,1220.11,767.21
Manteigas,852.82,1616.29,1259.36,944.02,896.02,763.13,802.23,757.14,746.23,694.94
Mêda,888.69,1359.91,1298.37,1092.16,859.05,761.48,765.91,905.33,854.79,733.24
Pinhel,855.32,1142.3,1511.06,970.81,888.35,719,720.81,791.23,848.63,703.43
Sabugal,883.75,1320.82,1441.63,1018.6,1026.17,769.15,770.76,734.12,835.04,723.27
Seia,915.13,1527.21,1490.53,1174.37,967.54,766.58,726.92,811.49,831.61,747.6
Trancoso,946.19,1618.66,1328.79,1062.53,1017.39,784.41,916.25,816.13,972.82,774.97
A. M. Lisboa,1477.39,3476.65,2114.23,1863.29,1241.12,939.75,971.32,1083.64,1152.11,860.04
Alcochete,2011.49,2417.16,1714.44,7255.13,1056.75,958.97,814.9,1118.85,1132.88,947.43
Almada,1160.76,2206.18,1894.86,1332.64,1080.07,828.98,786.93,931.21,1011.39,783.77
Amadora,1425.49,3569.33,2306.19,1650.67,1194.54,841.03,780.27,947.21,979.98,859.24
Barreiro,1107.81,2019.16,1721.38,1347.66,1025.72,820.95,669.98,1018.32,1069.08,793.67
Cascais,1215.47,2487.25,1866.67,1410.75,1148.84,917.95,792.29,958.2,975.84,821.9
Lisboa,1669.37,3908.23,2186.79,2010.93,1304.83,997.55,905.54,1259.42,1170,894.7
Loures,1218.56,2842.55,1906.61,1549.03,1085.62,920.01,725.96,1066.97,1105.85,809.57
Mafra,1022,1790.61,1443.71,1285.44,1016.09,851.08,813.72,931.32,1147.57,791.85
Moita,985.06,1831.09,1392.04,1264.5,1030.76,817.34,921.64,884.21,926.22,749.35
Montijo,1027.62,2379.56,1592.93,1306.14,1005.12,872.16,797.14,924.31,980.82,744.51
Odivelas,987.15,1663.32,1342.07,1096.81,973.16,845,737.22,905.5,945.71,804.05
Oeiras,1748.2,4492.88,2287.02,1938.83,1340.09,1053.83,819.48,1162.87,1116.18,945.46
Palmela,1408.93,3212.47,1820.28,1731.75,1489.47,870.22,817.89,1274.57,1404.15,879.57
Seixal,1271.66,1931.92,1521.23,2975.47,990.63,845.77,715.45,971.67,1065.42,800.57
Sesimbra,1041.58,1772.91,1451.3,1148.26,976.73,790.1,1990.83,942.25,987.09,752.23
Setúbal,1208.56,2402.67,1798.83,1583.38,1188.82,845.12,1014.19,1018.88,1213.09,810.28
Sintra,1220.7,2758.23,1722.27,1572.86,1157.86,913.5,826.44,1044.63,1020.27,836.26
Vila Franca de Xira,1245.63,2878.71,1879.86,1526.24,1082.84,873.02,792.34,1143.38,1123.4,868.25
Alentejo,1067.82,1886.77,1746.57,1448.93,1035.92,822.06,866.31,997.39,1074.81,791.45
Alentejo Litoral,1165.44,1931.08,2021.02,1872.38,1162.87,824.87,869.96,1010.93,1502.08,780.92
Alcácer do Sal,989.74,2079.05,1468.58,1196.67,1145.32,804.3,917.18,907.09,978.92,806.99
Grândola,990.88,2201.7,1425.45,1300.49,961.98,847.09,855.28,984.83,1007.1,776.19
Odemira,892.85,1616.77,1680.22,1140.41,1089.32,797.67,800.02,847.31,910.07,773.27
Santiago do Cacém,1058.19,1511.13,1615.95,1261.95,1052.89,789.65,1014.03,1033.97,962.83,794.39
Sines,1869.48,2867.02,3092.56,2578.53,1506.65,912.4,985.22,1194.38,2124.84,804.12
Baixo Alentejo,1129.81,1632.07,1945.38,1430.94,1088.85,817.22,842.84,1100.25,1293.68,833.3
Aljustrel,1184.33,1780.33,1882.14,1588.31,1147.71,787.24,894.45,1266.44,1148.71,902.17
Almodôvar,904.66,1412.03,1397.18,1193.54,941.36,807.06,805.85,877.49,880.51,726.06
Alvito,1003.33,1304.41,1499.77,1005.8,988.86,806.74,848.84,913.59,1104.31,794.68
Barrancos,825.43,768.7,1483.11,921.88,1078.21,810.55,776.56,766.57,668.68,765.08
Beja,1102.31,2010.15,1778.52,1273.88,1065.46,837.22,862.08,1012.11,1017.91,854.51
Castro Verde,1796.19,2347.21,3339.46,2455.23,1246.98,820.09,770.49,1631.22,1805.48,987.9
Cuba,954.75,1898.74,1365.52,1057.01,1101.55,792.7,855.31,814.44,924.71,810.11
Ferreira do Alentejo,979.45,1606.33,1483.62,1153.99,1181.28,813.78,883,796.56,1063.14,848.07
Mértola,861.35,1027.96,1399.93,871.96,978.93,777.08,797.32,770.07,829.03,801.39
Moura,935.55,1080.15,1427.14,1069.89,1208.62,796.99,789.09,896.82,836.14,802.95
Ourique,892.65,1193.77,1213.85,1222.17,901.98,831.04,791.04,836.35,951.52,772.48
Serpa,888.58,1347.66,1263.37,1008.84,1009.48,789.9,823.49,799.72,893.04,763.2
Vidigueira,956.33,1284.53,1521.88,1185.61,1215.52,806.97,900.4,827.28,963.08,792.39
Lezíria do Tejo,1037.32,1991.31,1654.19,1355.65,997.22,831.35,847.92,972.42,927.51,784.82
Almeirim,956.61,1450.06,1401.86,1231.02,993.89,776.45,858.75,965.97,978.53,729.59
Alpiarça,946.19,1507.25,1500.89,1440.44,986.49,743.61,1088.98,882.17,885.32,754.31
Azambuja,1040.86,3211.44,2065.45,1675.63,989.99,989.42,928.66,1002.79,751.17,849.81
Benavente,1093.75,2006.51,1750.23,1388.14,989.96,833.78,857.75,1007.71,1055.34,821.49
Cartaxo,1028.65,1859.69,1559.32,1284.91,1060.77,814.59,695.79,978.18,962.32,778.07
Chamusca,975.97,1703.69,1426.13,1186.83,972.13,828.93,809.03,937.06,998.21,785.32
Coruche,1012.84,1730.84,1440.29,1200.28,1013.66,806.18,923.34,999.99,1078.4,812.28
Golegã,973.66,1980.9,1326.41,1071.54,967.95,746.62,819.92,973.25,1060.12,762.37
Rio Maior,1040.41,2179.11,1532.62,1292.21,1020.43,841.14,800.02,942.01,1133.58,785.79
Salvaterra de Magos,986.49,1636.96,1515.95,1198.48,978.1,767.38,809.04,941.13,1083.55,799.34
Santarém,1065.27,2028.12,1698.58,1324.67,997.16,837.41,815.21,987.3,976.15,762.93
Alto Alentejo,989.48,1934.59,1500.09,1318.6,987.38,785.77,872.97,921.79,973.35,781.81
Alter do Chão,882.12,1360.18,1154.56,1040.41,1046.83,736.92,959.83,1030.37,903.58,771.11
Arronches,898.84,1226.87,1350.02,1107.95,1026.1,825.43,869.14,704.77,933.19,785.37
Avis,955.14,1941.14,1604.6,1313.84,1074.73,726.22,845.82,866.46,969.61,799.24
Campo Maior,1281.98,4150.28,1831.03,1604.93,1110.62,867.77,846.92,1123.36,1110.07,857.36
Castelo de Vide,892.1,1389.23,1329.58,919.75,999.37,769.7,796.55,826.55,915.9,751.72
Crato,833.53,1106.92,1505.79,964.19,924.38,750.45,804.69,779.62,790.89,735.16
Elvas,891.96,1531.51,1354.82,1123.23,822.94,797.55,914.62,819.03,933.85,774.31
Fronteira,944.57,1283,1523.25,1067.63,1216.08,744.4,996.08,831.54,890.11,795.31
Gavião,854.48,1690.7,1142.85,1180.9,1123.86,696.9,876.37,810.85,1099.88,674.48
Marvão,799.69,920.59,1231.51,1010.83,771.49,705.72,804.65,805.13,718.8,715.61
Monforte,1020.27,1963.15,1406.95,1233.51,1046.11,852.73,1034.89,805.67,1088.51,824.56
Nisa,830.13,1150.41,971.38,973.79,875.91,755.6,755.94,899.91,1060.51,736.37
Ponte de Sor,1030.14,2184.23,1488.08,1663.63,1104.58,778.38,808.26,997.98,954.47,761.75
Portalegre,991.03,1608.77,1569.92,1255.82,1049.5,794.73,794.59,885.45,904.3,761.56
Sousel,925.35,1393.8,1341.39,1188.03,1048.72,828.28,865.7,820.99,933.93,848.68
Alentejo Central,1045.47,1850.55,1635.92,1347.65,1057.02,833.73,904.49,1005.69,979.69,785.81
Alandroal,904.16,1530.03,1682.93,1295.59,1174.11,774.63,838.99,882.73,800.63,713.25
Arraiolos,972.03,2137.54,1610.5,1252.73,967.31,777.26,1023.57,828.64,910.83,816.14
Borba,966.21,1538.86,1393.84,1237.96,1029.78,863.82,883.85,844.98,958,805.41
Estremoz,998.18,1590.69,1533.39,1185.85,1004.74,828.64,854.25,950.32,1144.45,815.01
Évora,1122.02,2140.4,1726.75,1438.04,1083.93,850.62,965.92,1057.57,946.07,783.19
Montemor-o-Novo,973.6,1290.51,1403.4,1203.1,1009.57,830.48,860.71,977.09,977.05,792.42
Mora,981.25,1818.31,1428.05,1186.04,1193.58,782.98,815.27,1237.3,1052.51,803.83
Mourão,889.02,1719.08,1257.59,1036.73,948.31,777.93,779.24,750.37,841.34,787.89
Portel,966.02,1872.14,1590.65,1230.08,989.52,769.65,1028.11,760.39,1258.87,812.14
Redondo,967.83,2155.83,1352.32,1224.23,986.18,833.47,871.58,751.33,1281.16,796.24
Reguengos de Monsaraz,937.69,1852.58,1463.03,1148.84,1036.18,826.64,804.06,863.58,881.35,756.09
Vendas Novas,1050.1,2209.11,1687.74,1332.7,1092.79,858.54,828.04,1054.8,915.78,750.2
Viana do Alentejo,908.95,1141.57,1268.6,1062.41,1099.98,753.38,933.12,829.05,956.14,800.59
Vila Viçosa,1065.27,1729.88,1456.52,1387.94,1074.55,823.62,840.36,1061.63,1061.65,780.4
Algarve,1029.01,1861.05,1593.81,1386.83,1049.22,888.05,961.35,926.67,953.63,807.26
Albufeira,1004.45,2068.84,1442.43,1339.25,1053.68,930.43,889.28,992.81,868.97,808.04
Alcoutim,847.69,1447.82,1062.36,975.98,1147.8,708.84,736.74,714.2,964.35,723.59
Aljezur,855.95,1104.08,1244.62,895.9,958.91,765.62,1542.14,817.14,912.24,753.83
Castro Marim,864.92,1308.64,1262.35,1091.01,964.16,779,778.79,814.06,894.12,742.75
Faro,1170.3,2118.61,1763.24,1550.3,1151.36,875.45,787.66,1004.29,977.98,856.83
Lagoa,1029.38,1951.69,1484.19,1379.02,1014.87,914.03,1229.38,938.74,931.75,788.72
Lagos,980.65,1730.81,1406.07,1181.96,1001.89,879.57,900.62,921.25,947.5,822.77
Loulé,1049.61,2086.2,1538.62,1340.51,1067.34,941.42,1011.51,961.47,1024.93,835.39
Monchique,887.89,1955.33,1227.09,1153.14,953.79,780.14,735.36,789.07,899.91,694.63
Olhão,959.95,1573.95,1359.19,1239.14,1002.89,813.67,1170.39,849.75,883.98,771.09
Portimão,1049.22,1904.55,1662.64,1675.54,998.4,872.58,826.63,891.21,1003.96,794.21
São Brás de Alportel,972.33,1278.87,1563.55,1057.35,959.3,787.52,783.77,831.45,973.56,806.27
Silves,953.07,1494.34,1567.26,1220.16,1010,820.61,829.31,840.86,901.81,774.13
Tavira,919.14,1569,1417.19,1197.74,962.92,813.68,795.5,854.28,900.19,766.92
Vila do Bispo,945.38,1728.99,1360.31,1208.94,980.7,865.3,984.68,866,871.36,756.87
Vila Real de Santo António,941.04,1497.91,1619.16,1127.91,981.2,799.71,1265.79,882.7,946.34,769.61
R. A. Açores,1100.47,2072.64,1785.26,1690.98,1112.93,848.38,941.13,900.35,969.88,829.78
Santa Maria,1492.53,1755.59,1565.83,3340.31,1423.52,850.64,700.08,1081.76,1113.71,833.78
Vila do Porto,1492.53,1755.59,1565.83,3340.31,1423.52,850.64,700.08,1081.76,1113.71,833.78
São Miguel,1117.89,2391.2,1812.17,1750.46,1118.87,860.51,970.23,900.7,943.92,815.12
Lagoa (R.A.A.),941.9,2105.82,1479.6,1244.73,958.99,794.54,715.74,791.19,897.3,773.4
Nordeste,860.78,1218.67,1365.46,1001.45,1021.57,809.15,778.68,721.33,766.08,715.31
Ponta Delgada,1205.46,2541.16,1866.58,1946.85,1166.78,885.87,1017.65,954.3,981.25,837.24
Povoação,924.33,2217.65,1415.76,1190.67,982.6,789.55,1474.63,838.81,788.39,742.86
Ribeira Grande,999.26,2143.96,1794.8,1362.35,1039.96,830.22,813.93,869.64,933.73,795.53
Vila Franca do Campo,895.25,1926.59,1343.82,1127.05,905.14,807.35,690.87,898.39,774.1,744.03
Terceira,1057.24,1704.31,1832.29,1290.68,1074.64,822.24,786.39,889.98,972.31,846.04
Angra do Heroísmo,1052.76,1621.37,1899.32,1260.66,1009.41,821.57,729.28,888.09,879.15,793.64
Vila da Praia da Vitória,1067.35,1956.54,1558.6,1353.3,1194.46,823.89,903.4,893.65,1166.94,951.81
Graciosa,1039.07,2134.91,1510.05,1554.02,1316.52,835.2,684.86,908.42,1038.51,852.35
Santa Cruz da Graciosa,1039.07,2134.91,1510.05,1554.02,1316.52,835.2,684.86,908.42,1038.51,852.35
São Jorge,976.85,1407.64,1413.25,1315.57,1121.15,858.78,709.22,833.75,1014.48,795.33
Calheta (R.A.A.),902.67,2245.37,1367.08,1045.06,1012.36,789.43,…,750.03,864.28,742.02
Velas,1015.69,1189.11,1453.99,1424.58,1173.6,895.35,686.08,891.57,1061.09,824.48
Pico,952.63,1263.3,1252.45,1258.7,1083.58,796.75,875.26,883.21,1014.28,830.99
Lajes do Pico,844.16,1203.79,995.68,1141.27,972.41,748.43,716.61,834.27,…,736.68
Madalena,952.98,1241.1,1323.96,1048.41,1117.56,824.21,1070.05,857.3,993.54,831.96
São Roque do Pico,1036.07,1455.39,1294.98,1687.55,1065.19,783.75,713.98,976.52,1066.2,898.82
Faial,1125.82,1834.65,1735.27,1809.36,1059.72,859.18,1407.56,925.68,1137.09,916.96
Horta,1125.82,1834.65,1735.27,1809.36,1059.72,859.18,1407.56,925.68,1137.09,916.96
Flores,1134.2,1259.75,1725.55,2106.87,1172.77,857.59,662.75,1023.19,1079.86,921.34
Lajes das Flores,1029.01,1057.62,1373.72,1892.02,915.24,933.07,…,715.89,1073.32,978.94
Santa Cruz das Flores,1178.4,1401.24,1921.02,2154.61,1303.96,835.54,657,1096.36,1083.59,884.39
Corvo,1089.12,…,1327.67,1477.15,1360.48,730.21,…,919.31,1167.68,893.6
Corvo,1089.12,…,1327.67,1477.15,1360.48,730.21,…,919.31,1167.68,893.6
R. A. Madeira,1130.18,2523.88,1818.85,1473.83,1107.34,850.4,811.9,1060.37,1080.13,863.59
Calheta (R.A.M.),1154.37,2400.54,2427.46,1554.09,1113.21,841.07,832.6,1097.99,1298,922.67
Câmara de Lobos,999.57,2098.78,1522.57,1453.76,1026.84,765.46,722.58,931.82,1006.51,833.71
Funchal,1171.47,2690.62,1844.85,1429.21,1090.88,867.37,861.36,1155.28,1112.41,844.17
Machico,1063.89,2213.05,1792.12,1350.38,1126.84,775.48,787.74,940.44,971.81,921.6
Ponta do Sol,881.12,1544.51,1084.15,1142.2,951.63,724.4,723.97,822.99,1043.22,801.25
Porto Moniz,826.72,2060.7,1815.77,1747.98,1058.62,724.47,…,903.33,738.51,759.38
Ribeira Brava,920.15,2013.33,1330.89,1176.84,936.97,769.37,777.83,855.74,834.94,897.3
Santa Cruz,1116.14,2174.24,1760.82,1796.2,1255.28,905.55,792.08,950.35,962.91,914.38
Santana,883.15,2377.24,1446.78,1141.44,1026.45,748.29,736.31,891.24,806.17,777.94
São Vicente,866.1,1836.64,1283.8,1128.5,1017.27,763.29,724.94,826.13,833.15,761.39
Porto Santo,1175.5,2087.99,1887.24,2246.18,1354.05,861.65,716.06,1454.62,1141.95,1020.25
