,"Total, Total (milhares de euros)","Total, Pensões em 31 dez. (milhares de euros)","Invalidez, Total (milhares de euros)","Invalidez, Pensões em 31 dez. (milhares de euros)","Velhice, Total (milhares de euros)","Velhice, Pensões em 31 dez. (milhares de euros)","Sobrevivência, Total (milhares de euros)","Sobrevivência, Pensões em 31 dez. (milhares de euros)"
Portugal,17477556,17180779,1003224,989344,13928526,13707472,2545806,2483963
Continente,16854138,16568942,920905,908093,13494715,13281716,2438518,2379133
Norte,5612383,5518127,342668,337875,4464320,4394383,805395,785869
Alto Minho,330367,323897,24267,23922,256164,251430,49936,48545
Arcos de Valdevez,27756,27101,2011,1972,20848,20398,4897,4731
Caminha,25421,24927,1423,1397,20307,19945,3692,3584
Melgaço,9034,8754,480,479,7355,7134,1200,1141
Monção,23198,22627,1212,1185,18213,17784,3773,3657
Paredes de Coura,11290,11016,1042,1022,8455,8262,1793,1732
Ponte da Barca,15361,14991,1480,1463,11269,10997,2613,2531
Ponte de Lima,54140,53075,5013,4958,41173,40348,7953,7769
Valença,17007,16596,954,929,13089,12785,2964,2881
Viana do Castelo,134883,132767,9985,9851,105986,104480,18912,18436
Vila Nova de Cerveira,12278,12044,667,666,9470,9295,2141,2084
Cávado,525903,517857,45765,45182,411019,405207,69120,67467
Amares,20722,20299,1974,1952,15792,15491,2956,2856
Barcelos,159377,157174,16158,15942,122321,120777,20898,20455
Braga,241977,238399,17938,17723,193917,191290,30122,29386
Esposende,40325,39673,3734,3693,31015,30538,5577,5441
Terras de Bouro,10561,10403,786,775,7978,7860,1798,1768
Vila Verde,52941,51909,5175,5097,39997,39251,7770,7561
Ave,666214,655999,56098,55485,523071,515489,87045,85025
Cabeceiras de Basto,18235,17853,1818,1788,13236,12959,3181,3106
Fafe,69422,68262,8407,8324,51492,50659,9523,9279
Guimarães,266737,262929,21212,21018,213638,210738,31887,31172
Mondim de Basto,8835,8620,819,808,6527,6376,1489,1436
Póvoa de Lanhoso,24582,24058,2259,2229,18278,17900,4045,3929
Vieira do Minho,17450,17103,1380,1364,13064,12824,3006,2915
Vila Nova de Famalicão,225145,221847,17229,17010,178319,175873,29597,28964
Vizela,35807,35326,2974,2943,28517,28160,4316,4223
A. M. Porto,3096712,3048284,147102,144804,2516761,2480471,432849,423009
Arouca,28733,28303,2150,2130,22438,22103,4145,4069
Espinho,66093,65089,2844,2812,54040,53249,9209,9028
Gondomar,275400,271082,14291,14043,221124,217916,39985,39123
Maia,225366,222137,9790,9642,185150,182717,30426,29779
Matosinhos,356823,351250,14571,14241,292802,288759,49450,48250
Oliveira de Azeméis,119226,117493,5903,5807,97601,96288,15723,15398
Paredes,87578,85848,7562,7439,65899,64623,14117,13786
Porto,538389,529412,17893,17581,439478,432742,81017,79090
Póvoa de Varzim,85964,84602,5043,4964,68187,67146,12734,12492
Santa Maria da Feira,216496,213432,12442,12329,176366,174029,27688,27074
Santo Tirso,137906,135546,7604,7523,112291,110451,18011,17572
São João da Madeira,40087,39582,1950,1929,32926,32553,5211,5101
Trofa,63296,62504,3915,3863,51292,50690,8089,7951
Vale de Cambra,42300,41693,2706,2686,34164,33726,5430,5281
Valongo,145279,143122,8545,8386,115968,114384,20766,20352
Vila do Conde,126334,124410,6995,6885,100935,99553,18404,17972
Vila Nova de Gaia,541442,532779,22898,22544,446099,439543,72446,70693
Alto Tâmega,115340,112918,6001,5905,88281,86538,21059,20474
Boticas,7190,7023,473,457,5436,5314,1281,1253
Chaves,45417,44503,2328,2285,35176,34536,7914,7682
Montalegre,15663,15370,689,679,11904,11682,3070,3009
Ribeira de Pena,7469,7279,560,555,5472,5347,1437,1377
Valpaços,22691,22190,1038,1021,17377,17010,4276,4159
Vila Pouca de Aguiar,16909,16553,913,909,12915,12649,3081,2995
Tâmega e Sousa,489083,479316,41339,40786,370275,363188,77469,75341
Amarante,61547,60449,4083,4016,47076,46278,10388,10155
Baião,26186,25620,1892,1866,19533,19108,4761,4646
Castelo de Paiva,22982,22562,1941,1915,17496,17210,3545,3437
Celorico de Basto,20957,20476,2108,2087,15521,15160,3327,3228
Cinfães,26309,25729,1538,1511,20421,19988,4350,4231
Felgueiras,68930,67728,6022,5947,53508,52624,9400,9158
Lousada,50658,49563,5216,5127,37288,36505,8154,7931
Marco de Canaveses,58115,56971,4798,4742,43875,43046,9443,9183
Paços de Ferreira,56150,55013,4842,4796,42492,41680,8817,8537
Penafiel,84349,82609,8081,7983,63273,62031,12995,12595
Resende,12901,12596,817,797,9794,9559,2290,2239
Douro,248535,243248,14699,14482,189592,185678,44244,43087
Alijó,16459,16108,1115,1101,12319,12069,3026,2938
Armamar,8817,8622,413,404,6766,6625,1637,1593
Carrazeda de Ansiães,8648,8467,313,306,6577,6444,1758,1717
Freixo de Espada à Cinta,5312,5157,225,225,4181,4054,906,878
Lamego,32065,31490,1585,1565,24599,24166,5881,5760
Mesão Frio,5804,5644,419,411,4305,4185,1080,1048
Moimenta da Beira,12284,11985,494,471,9577,9379,2213,2135
Murça,8177,7987,454,448,6269,6130,1454,1408
Penedono,3131,3058,197,197,2317,2262,617,599
Peso da Régua,23550,23140,1858,1840,17631,17336,4061,3964
Sabrosa,8951,8761,696,680,6787,6645,1468,1436
Santa Marta de Penaguião,10818,10582,930,923,7965,7789,1923,1870
São João da Pesqueira,8754,8507,521,499,6611,6431,1621,1577
Sernancelhe,6681,6529,249,241,5137,5034,1294,1254
Tabuaço,7121,6993,393,390,5414,5307,1314,1296
Tarouca,9128,8963,431,429,7001,6863,1696,1671
Torre de Moncorvo,11197,10884,357,344,8823,8582,2017,1958
Vila Nova de Foz Côa,8005,7818,413,411,6009,5874,1583,1532
Vila Real,53633,52555,3637,3596,41303,40504,8694,8454
Terras de Trás-os-Montes,140229,136608,7398,7308,109156,106381,23674,22919
Alfândega da Fé,6903,6703,293,282,5480,5332,1131,1090
Bragança,37171,36209,2788,2757,28573,27824,5810,5628
Macedo de Cavaleiros,18947,18476,892,884,14662,14318,3393,3274
Miranda do Douro,10414,10118,397,393,8232,8003,1785,1722
Mirandela,27042,26402,1039,1022,21097,20624,4906,4756
Mogadouro,12427,12118,570,558,9626,9388,2231,2172
Vila Flor,7605,7463,315,314,6018,5909,1272,1240
Vimioso,5883,5686,301,299,4527,4374,1055,1014
Vinhais,13838,13432,803,799,10943,10609,2092,2024
Centro,3702176,3636722,238507,235731,2909271,2860626,554398,540364
Oeste,603960,593332,45202,44661,470111,462230,88648,86441
Alcobaça,104426,102806,10302,10203,79588,78384,14535,14219
Alenquer,71447,70065,5288,5236,55279,54217,10880,10612
Arruda dos Vinhos,21794,21451,1282,1245,17169,16931,3344,3274
Bombarral,19919,19502,1197,1195,15551,15243,3172,3064
Cadaval,23185,22656,1586,1549,18010,17640,3589,3467
Caldas da Rainha,84219,82686,5605,5514,66659,65555,11955,11616
Lourinhã,41019,40316,3348,3330,31919,31361,5752,5625
Nazaré,27129,26712,2028,2014,20938,20633,4163,4065
Óbidos,19145,18780,1162,1143,15194,14924,2789,2713
Peniche,45763,45075,2584,2551,36095,35592,7084,6932
Sobral de Monte Agraço,16825,16488,1325,1300,12974,12738,2526,2451
Torres Vedras,129090,126795,9496,9380,100735,99012,18860,18403
Região de Aveiro,590761,581305,23001,22626,481923,474907,85837,83771
Águeda,88155,86902,3099,3078,73620,72665,11436,11159
Albergaria-a-Velha,38388,37775,1739,1710,31016,30574,5632,5491
Anadia,48849,48027,1545,1504,39750,39136,7554,7386
Aveiro,124921,123031,4348,4277,102899,101503,17675,17251
Estarreja,45609,44836,1748,1703,36543,35982,7319,7152
Ílhavo,62312,61369,2560,2510,50180,49515,9571,9344
Murtosa,11615,11377,500,496,8855,8686,2260,2194
Oliveira do Bairro,29946,29422,1261,1252,24376,23962,4309,4207
Ovar,94854,93272,4228,4143,77539,76365,13087,12764
Sever do Vouga,19166,18762,845,841,15533,15209,2788,2712
Vagos,26947,26532,1128,1112,21612,21309,4207,4110
Região de Coimbra,736511,724108,43954,43447,583251,574070,109306,106591
Arganil,21376,20921,1389,1335,16568,16266,3418,3321
Cantanhede,51342,50274,2856,2811,40758,39942,7729,7521
Coimbra,222502,219339,11667,11540,180071,177668,30764,30131
Condeixa-a-Nova,22752,22361,1568,1560,18093,17814,3091,2987
Figueira da Foz,118183,116370,7179,7106,94085,92777,16920,16487
Góis,8556,8345,657,642,6395,6253,1503,1449
Lousã,26828,26360,2127,2107,20531,20182,4170,4070
Mealhada,33174,32651,1434,1412,26725,26346,5015,4892
Mira,16822,16505,851,830,13501,13263,2470,2412
Miranda do Corvo,19817,19522,1465,1455,15273,15047,3079,3019
Montemor-o-Velho,42322,41574,3271,3253,32391,31847,6660,6474
Mortágua,14702,14433,553,543,11786,11591,2363,2299
Oliveira do Hospital,33829,33166,2474,2445,26289,25797,5066,4924
Pampilhosa da Serra,9122,8911,411,403,7019,6859,1692,1649
Penacova,21308,20968,1549,1528,16402,16164,3357,3276
Penela,9240,9037,596,596,7110,6953,1534,1488
Soure,35865,35137,2219,2207,27789,27235,5857,5694
Tábua,19176,18832,1096,1085,15021,14769,3060,2978
Vila Nova de Poiares,9596,9403,591,586,7444,7298,1561,1519
Região de Leiria,482362,474729,47700,47282,367786,362039,66876,65408
Alvaiázere,12422,12141,1015,1003,9322,9116,2085,2022
Ansião,20944,20559,1834,1821,15868,15578,3243,3160
Batalha,23629,23262,2240,2227,18343,18054,3045,2982
Castanheira de Pêra,7143,6959,594,584,5390,5254,1159,1122
Figueiró dos Vinhos,10558,10377,891,888,7859,7711,1808,1778
Leiria,199090,196116,19446,19235,153997,151745,25647,25136
Marinha Grande,88275,87124,10918,10854,66252,65364,11105,10905
Pedrógão Grande,6858,6699,645,639,4868,4744,1345,1316
Pombal,73538,72228,6753,6694,55062,54107,11722,11426
Porto de Mós,39905,39263,3364,3338,30825,30365,5716,5560
Viseu Dão Lafões,359737,353011,13641,13417,288968,283911,57128,55683
Aguiar da Beira,7787,7600,469,464,5993,5850,1325,1286
Carregal do Sal,14382,14119,559,549,11402,11212,2422,2358
Castro Daire,22935,22473,959,946,18138,17784,3839,3743
Mangualde,29882,29378,909,877,24281,23933,4693,4568
Nelas,21567,21172,948,940,17084,16772,3536,3460
Oliveira de Frades,14002,13758,523,517,11323,11134,2157,2107
Penalva do Castelo,10497,10323,409,402,8265,8130,1823,1791
Santa Comba Dão,19225,18798,653,632,15531,15200,3042,2965
São Pedro do Sul,24120,23659,922,909,19370,19017,3828,3733
Sátão,13419,13151,512,506,10557,10364,2350,2281
Tondela,42814,42024,1693,1668,34319,33722,6802,6635
Vila Nova de Paiva,5521,5380,204,203,4280,4163,1037,1013
Viseu,117515,115409,4360,4296,95310,93740,17846,17373
Vouzela,16069,15768,522,508,13116,12890,2431,2369
Beira Baixa,139101,136086,7628,7515,109284,107049,22189,21522
Castelo Branco,81311,79779,4943,4880,63916,62791,12452,12109
Idanha-a-Nova,16415,15954,583,577,12958,12614,2874,2763
Oleiros,10401,10191,614,600,7957,7798,1831,1792
Penamacor,7920,7663,365,360,6196,6001,1359,1302
Proença-a-Nova,14080,13724,735,712,11056,10788,2289,2224
Vila Velha de Ródão,8974,8775,388,386,7203,7057,1383,1332
Médio Tejo,429751,421422,39286,38955,323386,317278,67079,65189
Abrantes,76707,75150,7754,7705,56486,55343,12467,12102
Alcanena,26262,25838,2152,2143,20519,20186,3590,3508
Constância,6431,6305,700,689,4729,4659,1001,958
Entroncamento,34380,33703,2881,2831,26213,25724,5286,5148
Ferreira do Zêzere,14589,14219,1757,1740,10515,10236,2317,2243
Mação,14844,14404,791,782,11483,11168,2569,2453
Ourém,60246,59137,6295,6237,44870,44097,9082,8804
Sardoal,7637,7442,984,977,5366,5221,1288,1244
Sertã,24892,24371,1551,1532,18985,18592,4355,4247
Tomar,73867,72489,7135,7074,54829,53790,11904,11624
Torres Novas,69422,68266,5762,5727,53719,52892,9941,9647
Vila de Rei,7320,7163,367,365,5728,5602,1225,1196
Vila Nova da Barquinha,13154,12936,1157,1155,9945,9767,2052,2014
Beiras e Serra da Estrela,359993,352730,18096,17828,284561,279143,57337,55759
Almeida,9502,9194,406,393,7484,7266,1612,1535
Belmonte,10107,9914,558,554,7942,7790,1607,1570
Celorico da Beira,9668,9419,409,395,7524,7341,1735,1682
Covilhã,92484,91070,4462,4426,74200,73132,13822,13512
Figueira de Castelo Rodrigo,7909,7733,371,369,6045,5917,1493,1446
Fornos de Algodres,6791,6641,388,388,5207,5087,1196,1166
Fundão,44121,43168,2101,2036,34510,33830,7510,7302
Gouveia,23693,23193,1000,996,19057,18667,3636,3530
Guarda,52801,51736,2862,2823,41922,41119,8018,7794
Manteigas,6468,6316,332,330,5140,5037,996,949
Mêda,7054,6887,355,346,5352,5226,1348,1315
Pinhel,14443,14117,785,768,11257,11007,2401,2342
Sabugal,15800,15385,776,767,12171,11874,2852,2744
Seia,46660,45750,2578,2532,37153,36465,6929,6754
Trancoso,12492,12208,713,705,9597,9385,2182,2117
A. M. Lisboa,5607506,5520190,201620,197941,4621954,4556046,783932,766204
Alcochete,29351,28932,1579,1552,23735,23451,4037,3929
Almada,341737,336354,11859,11615,279202,275107,50676,49632
Amadora,333379,328347,12456,12198,274028,270258,46895,45892
Barreiro,179389,176521,7942,7823,144210,142054,27236,26645
Cascais,446873,440602,11924,11670,375733,370999,59215,57933
Lisboa,1313592,1290641,35468,34687,1085282,1068017,192842,187937
Loures,420218,414334,13887,13687,348591,344146,57741,56501
Mafra,120990,119030,8261,8099,95876,94463,16854,16468
Moita,124953,122839,7992,7887,97747,96186,19214,18765
Montijo,77002,75512,4013,3949,61620,60506,11370,11057
Odivelas,246299,242556,9530,9406,205213,202256,31557,30894
Oeiras,405049,399591,9483,9338,344487,340181,51079,50071
Palmela,110222,108561,5363,5300,89743,88512,15116,14748
Seixal,279869,275755,10915,10698,232542,229415,36412,35642
Sesimbra,87545,86238,3645,3590,71711,70712,12189,11936
Setúbal,248834,244583,9914,9730,203315,200074,35604,34779
Sintra,607829,598991,27103,26567,497366,490854,83360,81570
Vila Franca de Xira,234375,230803,10286,10144,191552,188854,32537,31805
Alentejo,1314626,1287367,101030,100002,1011073,990689,202524,196676
Alentejo Litoral,176151,172764,7688,7616,141661,139077,26801,26071
Alcácer do Sal,24296,23771,1125,1119,19198,18781,3974,3871
Grândola,24807,24274,1018,1005,19971,19560,3817,3709
Odemira,37670,36883,2036,2022,29533,28939,6101,5922
Santiago do Cacém,63087,61991,2472,2446,51696,50847,8919,8697
Sines,26290,25845,1038,1024,21263,20950,3989,3872
Baixo Alentejo,198853,194182,13109,12958,152183,148764,33561,32460
Aljustrel,21666,21229,1376,1357,17126,16815,3164,3058
Almodôvar,12190,11966,504,497,9755,9597,1932,1873
Alvito,4413,4287,321,313,3347,3265,745,709
Barrancos,2023,1962,94,93,1545,1500,384,369
Beja,49317,48107,3594,3580,37457,36547,8266,7980
Castro Verde,13353,13090,553,541,10776,10585,2024,1964
Cuba,7326,7104,635,635,5478,5310,1213,1159
Ferreira do Alentejo,14025,13688,986,971,10642,10394,2397,2323
Mértola,13298,13004,754,744,10222,9998,2322,2262
Moura,20278,19762,1436,1401,14834,14487,4008,3874
Ourique,9053,8871,403,403,7070,6932,1580,1537
Serpa,22900,22367,1769,1744,17091,16707,4039,3916
Vidigueira,9010,8744,683,680,6840,6629,1487,1436
Lezíria do Tejo,440728,432668,39123,38772,336366,330348,65238,63547
Almeirim,38290,37538,3617,3593,29154,28599,5519,5347
Alpiarça,13466,13172,1270,1260,10134,9892,2062,2019
Azambuja,38393,37787,2163,2140,30478,30024,5752,5623
Benavente,46877,46056,4039,3996,35917,35303,6921,6757
Cartaxo,46814,46066,3867,3811,36294,35776,6653,6479
Chamusca,18606,18106,1841,1822,13866,13483,2900,2800
Coruche,40843,39966,2573,2515,31775,31157,6496,6294
Golegã,11365,11137,1320,1318,8368,8199,1677,1619
Rio Maior,36800,36128,3662,3634,27871,27361,5268,5132
Salvaterra de Magos,43748,42987,5190,5166,32432,31856,6127,5966
Santarém,105524,103724,9582,9516,80078,78698,15864,15510
Alto Alentejo,202861,198274,14256,14112,155655,152224,32950,31937
Alter do Chão,6632,6501,525,522,4998,4900,1109,1079
Arronches,4965,4818,342,342,3662,3549,961,927
Avis,8026,7807,381,372,6467,6313,1179,1122
Campo Maior,13525,13201,1166,1154,10281,10054,2078,1993
Castelo de Vide,6320,6180,288,288,5050,4934,982,959
Crato,8257,8051,444,444,6345,6180,1468,1428
Elvas,30796,30041,2316,2298,23218,22643,5262,5100
Fronteira,6509,6374,475,472,5146,5046,888,856
Gavião,9448,9231,743,735,7050,6892,1655,1604
Marvão,6333,6162,298,285,5000,4883,1036,994
Monforte,5439,5317,308,305,4261,4168,870,844
Nisa,14890,14548,746,729,11487,11249,2657,2571
Ponte de Sor,31911,31346,3163,3145,23812,23382,4936,4819
Portalegre,40586,39725,2585,2549,31724,31077,6277,6100
Sousel,9224,8971,476,472,7155,6958,1593,1541
Alentejo Central,296034,289480,26853,26544,225207,220275,43974,42661
Alandroal,11481,11138,1223,1218,8440,8174,1817,1746
Arraiolos,13338,13007,924,910,10366,10126,2048,1971
Borba,16433,16153,1894,1881,12346,12136,2194,2136
Estremoz,26826,26168,1991,1947,20696,20219,4139,4003
Évora,88583,86859,8125,8037,67915,66642,12543,12179
Montemor-o-Novo,33743,32952,2656,2629,26008,25397,5079,4926
Mora,11704,11439,1020,1017,8967,8753,1717,1669
Mourão,3864,3771,377,377,2863,2787,624,607
Portel,10571,10311,1129,1121,7744,7544,1699,1646
Redondo,11502,11212,1050,1043,8631,8397,1821,1772
Reguengos de Monsaraz,18862,18436,1915,1910,13978,13658,2969,2868
Vendas Novas,23219,22749,1822,1770,17954,17617,3443,3363
Viana do Alentejo,9164,8938,782,774,6825,6659,1557,1505
Vila Viçosa,16743,16349,1946,1911,12474,12167,2324,2271
Algarve,617447,606536,37081,36545,488098,479972,92268,90020
Albufeira,46596,45931,3112,3030,36720,36253,6764,6648
Alcoutim,5451,5277,263,263,4292,4157,896,857
Aljezur,7387,7179,461,461,5777,5604,1150,1115
Castro Marim,10278,10037,344,334,8350,8170,1584,1533
Faro,94283,92740,4956,4916,76173,75037,13154,12787
Lagoa,31746,31214,2383,2354,24672,24264,4690,4596
Lagos,40686,39935,2371,2320,32245,31675,6071,5941
Loulé,88832,87360,4949,4891,70915,69782,12969,12687
Monchique,9385,9210,545,536,7398,7265,1442,1409
Olhão,58068,56960,3594,3548,45102,44282,9372,9130
Portimão,87866,86640,6077,6018,69456,68530,12333,12092
São Brás de Alportel,13319,13003,834,808,10391,10179,2094,2016
Silves,53231,52167,3802,3770,41159,40340,8271,8057
Tavira,35033,34268,1499,1484,27632,27074,5903,5709
Vila do Bispo,7642,7480,403,396,6069,5941,1171,1143
Vila Real de Santo António,27644,27135,1488,1417,21749,21419,4407,4299
R. A. Açores,267392,262413,44949,44546,173853,170482,48591,47385
Santa Maria,5833,5777,1229,1220,3483,3455,1122,1101
Vila do Porto,5833,5777,1229,1220,3483,3455,1122,1101
São Miguel,131071,128571,25217,24953,80437,78826,25417,24792
Lagoa (R.A.A.),13173,12895,2356,2318,8160,8003,2656,2574
Nordeste,3851,3742,456,455,2475,2398,921,889
Ponta Delgada,78753,77382,15347,15193,49219,48309,14187,13880
Povoação,4809,4696,717,706,2854,2783,1239,1207
Ribeira Grande,22976,22526,5017,4976,13310,13015,4650,4535
Vila Franca do Campo,7508,7329,1325,1304,4420,4319,1763,1707
Terceira,76130,74708,9786,9709,53720,52691,12625,12309
Angra do Heroísmo,44242,43407,6309,6251,30434,29850,7499,7307
Vila da Praia da Vitória,31888,31301,3476,3458,23286,22841,5127,5002
Graciosa,4516,4416,642,636,2884,2824,990,955
Santa Cruz da Graciosa,4516,4416,642,636,2884,2824,990,955
São Jorge,9207,9042,1358,1347,5833,5724,2016,1971
Calheta (R.A.A.),3738,3659,398,394,2521,2462,819,802
Velas,5469,5383,959,953,3313,3261,1197,1169
Pico,20009,19640,3625,3603,13145,12877,3239,3160
Lajes do Pico,6592,6459,948,939,4571,4474,1073,1047
Madalena,9173,9040,1854,1843,5852,5757,1467,1440
São Roque do Pico,4243,4141,822,821,2722,2646,699,674
Faial,16283,16006,2367,2355,11475,11276,2441,2375
Horta,16283,16006,2367,2355,11475,11276,2441,2375
Flores,4049,3965,…,…,2660,2596,…,…
Lajes das Flores,1463,1443,…,…,1033,1020,…,…
Santa Cruz das Flores,2586,2522,526,525,1627,1576,433,421
Corvo,295,290,…,…,217,213,…,…
Corvo,295,290,…,…,217,213,…,…
R. A. Madeira,356026,349423,37370,36705,259958,255274,58697,57445
Calheta (R.A.M.),13968,13648,1231,1211,10330,10079,2408,2358
Câmara de Lobos,35644,35064,5153,5076,24452,24071,6039,5917
Funchal,173951,170719,15332,14973,130041,127768,28579,27978
Machico,32126,31519,4558,4517,22356,21906,5213,5096
Ponta do Sol,9899,9645,941,923,7333,7141,1625,1581
Porto Moniz,3902,3778,231,228,2948,2842,722,708
Ribeira Brava,17778,17340,2314,2264,12909,12608,2555,2468
Santa Cruz,43609,43009,5256,5182,31068,30660,7285,7167
Santana,10167,9965,1057,1048,7278,7129,1831,1789
São Vicente,7314,7137,721,713,5285,5156,1308,1268
Porto Santo,7669,7598,576,569,5959,5913,1133,1116
