,"Publications, Total (N.º)","Publications, of which, Newspapers (N.º)","Publications, of which, Magazines (N.º)","Publications, of which, In both paper and electronic support  (N.º)","Editions, of which, In both paper and electronic support  (N.º)","Total circulation, Total, In both paper and electronic support  (N.º)","Total circulation, of which, Newspapers (N.º)","Total circulation, of which, Magazines (N.º)","Sold copies, Total, Magazines (N.º)","Sold copies, of which, Newspapers (N.º)","Sold copies, of which, Magazines (N.º)"
Portugal,886,350,410,467,18051,162693064,102524592,55455129,121250426,85831060,33404319
Continente,833,329,396,432,15153,154164414,94382691,55099752,113149215,77858871,33281797
Norte,223,111,90,104,4574,35878221,24907731,9004319,25809108,22007437,1974699
Alto Minho,14,12,1,3,283,425733,…,…,390251,…,…
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0
Monção,1,1,0,0,…,…,…,0,…,…,0
Paredes de Coura,2,2,0,0,…,…,…,0,…,…,0
Ponte da Barca,1,1,0,0,…,…,…,0,…,…,0
Ponte de Lima,1,1,0,0,…,…,…,0,…,…,0
Valença,0,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,7,5,1,2,129,188537,…,…,160543,…,…
Vila Nova de Cerveira,2,2,0,1,…,…,…,0,…,…,0
Cávado,35,12,16,10,999,4856454,2362636,…,3660298,1321090,…
Amares,2,1,1,1,…,…,…,…,…,…,…
Barcelos,2,2,0,1,…,…,…,0,…,…,0
Braga,27,6,15,5,879,4581224,2120206,…,3412944,1089120,…
Esposende,2,2,0,2,…,…,…,0,…,…,0
Terras de Bouro,1,0,0,0,…,…,0,0,…,0,0
Vila Verde,1,1,0,1,…,…,…,0,…,…,0
Ave,19,12,3,8,334,407000,358134,3866,300234,294991,3017
Cabeceiras de Basto,2,2,0,0,…,…,…,0,…,…,0
Fafe,3,2,0,1,76,77700,…,0,72750,…,0
Guimarães,11,6,3,6,164,169500,129634,3866,120683,115440,3017
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,0,…,…,0,0,…,0,0
Vieira do Minho,1,1,0,0,…,…,…,0,…,…,0
Vila Nova de Famalicão,0,0,0,0,0,0,0,0,0,0,0
Vizela,1,1,0,1,…,…,…,0,…,…,0
A. M. Porto,118,44,68,71,2253,28647437,20329650,8262862,20602430,19179019,1378151
Arouca,2,2,0,2,…,…,…,0,…,…,0
Espinho,3,3,0,1,147,305670,305670,0,101280,101280,0
Gondomar,4,2,0,2,26,147975,…,0,43360,…,0
Maia,2,1,1,2,…,…,…,…,…,…,…
Matosinhos,7,2,5,4,36,909524,…,…,894480,…,…
Oliveira de Azeméis,4,2,2,0,35,158500,…,…,155700,…,…
Paredes,3,2,1,0,26,81900,…,…,60020,…,…
Porto,60,13,44,44,1386,25606274,18806361,6793063,18599833,18211034,388799
Póvoa de Varzim,4,3,1,2,88,79100,…,…,74712,…,…
Santa Maria da Feira,4,2,2,1,56,73060,…,…,64030,…,…
Santo Tirso,4,2,2,2,36,32340,…,…,31140,…,…
São João da Madeira,3,2,0,2,106,235525,…,0,204663,…,0
Trofa,1,1,0,1,…,…,…,0,…,…,0
Vale de Cambra,0,0,0,0,0,0,0,0,0,0,0
Valongo,2,2,0,1,…,…,…,0,…,…,0
Vila do Conde,7,4,3,3,113,298575,213550,85025,170750,170750,0
Vila Nova de Gaia,8,1,7,4,87,490570,…,…,113452,…,…
Alto Tâmega,6,4,0,1,105,103015,…,0,88524,…,0
Boticas,1,1,0,0,…,…,…,0,…,…,0
Chaves,3,1,0,1,56,65045,…,0,52724,…,0
Montalegre,2,2,0,0,…,…,…,0,…,…,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,14,10,2,7,207,711686,624454,…,176123,142551,…
Amarante,0,0,0,0,0,0,0,0,0,0,0
Baião,1,1,0,0,…,…,…,0,…,…,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0
Cinfães,1,1,0,0,…,…,…,0,…,…,0
Felgueiras,2,1,0,2,…,…,…,0,…,…,0
Lousada,1,1,0,1,…,…,…,0,…,…,0
Marco de Canaveses,3,1,1,1,…,…,…,…,…,…,…
Paços de Ferreira,2,2,0,1,…,…,…,0,…,…,0
Penafiel,2,1,1,2,…,…,…,…,…,…,…
Resende,2,2,0,0,…,…,…,0,…,…,0
Douro,11,11,0,3,244,366827,366827,0,341415,341415,0
Alijó,0,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,1,1,0,1,…,…,…,0,…,…,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0
Lamego,2,2,0,0,…,…,…,0,…,…,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,1,1,0,0,…,…,…,0,…,…,0
Murça,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,2,2,0,1,…,…,…,0,…,…,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0
Tarouca,1,1,0,0,…,…,…,0,…,…,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,2,2,0,0,…,…,…,0,…,…,0
Vila Real,2,2,0,1,…,…,…,0,…,…,0
Terras de Trás-os-Montes,6,6,0,1,149,360069,360069,0,249833,249833,0
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0
Bragança,2,2,0,1,…,…,…,0,…,…,0
Macedo de Cavaleiros,2,2,0,0,…,…,…,0,…,…,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0
Mirandela,2,2,0,0,…,…,…,0,…,…,0
Mogadouro,0,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0
Centro,182,124,32,83,4096,13017562,12280653,322603,10279871,9970120,139593
Oeste,12,9,2,10,324,1089482,1045482,…,889117,882117,…
Alcobaça,3,1,1,3,54,86000,…,…,78000,…,…
Alenquer,1,1,0,0,…,…,…,0,…,…,0
Arruda dos Vinhos,1,1,0,1,…,…,…,0,…,…,0
Bombarral,0,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,3,3,0,3,…,…,…,0,…,…,0
Lourinhã,1,1,0,1,…,…,…,0,…,…,0
Nazaré,0,0,0,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0,0,0,0
Peniche,1,1,0,0,…,…,…,0,…,…,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,2,1,1,2,…,…,…,…,…,…,…
Região de Aveiro,27,24,1,11,845,2558216,2540286,…,2259476,2247046,…
Águeda,3,3,0,3,124,373550,373550,0,365050,365050,0
Albergaria-a-Velha,1,1,0,0,…,…,…,0,…,…,0
Anadia,1,1,0,0,…,…,…,0,…,…,0
Aveiro,5,4,1,1,419,1562429,…,…,1364563,…,…
Estarreja,5,5,0,1,63,68035,68035,0,60817,60817,0
Ílhavo,4,3,0,1,50,98330,85900,0,65858,53428,0
Murtosa,1,1,0,1,…,…,…,0,…,…,0
Oliveira do Bairro,2,1,0,1,…,…,…,0,…,…,0
Ovar,3,3,0,2,44,43600,43600,0,32620,32620,0
Sever do Vouga,0,0,0,0,0,0,0,0,0,0,0
Vagos,2,2,0,1,…,…,…,0,…,…,0
Região de Coimbra,43,19,20,25,989,3927702,3726554,169748,3540875,3494496,39929
Arganil,0,0,0,0,0,0,0,0,0,0,0
Cantanhede,0,0,0,0,0,0,0,0,0,0,0
Coimbra,31,10,20,19,797,3647898,3468600,169748,3344689,3304760,39929
Condeixa-a-Nova,2,1,0,2,…,…,…,0,…,…,0
Figueira da Foz,2,2,0,1,…,…,…,0,…,…,0
Góis,1,1,0,0,…,…,…,0,…,…,0
Lousã,2,1,0,1,…,…,…,0,…,…,0
Mealhada,1,1,0,1,…,…,…,0,…,…,0
Mira,1,1,0,1,…,…,…,0,…,…,0
Miranda do Corvo,1,1,0,0,…,…,…,0,…,…,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,0,0,0,…,…,0,0,…,0,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0
Soure,1,1,0,0,…,…,…,0,…,…,0
Tábua,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,24,21,2,10,536,1228722,1217074,…,962091,957019,…
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0
Ansião,3,3,0,1,36,59400,59400,0,46858,46858,0
Batalha,1,1,0,1,…,…,…,0,…,…,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0
Leiria,12,11,1,6,352,964228,…,…,763130,…,…
Marinha Grande,2,1,1,1,…,…,…,…,…,…,…
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0
Pombal,4,3,0,0,47,41518,36370,0,32528,27500,0
Porto de Mós,2,2,0,1,…,…,…,0,…,…,0
Viseu Dão Lafões,25,18,2,8,635,993639,969753,…,782033,774713,…
Aguiar da Beira,2,2,0,2,…,…,…,0,…,…,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,1,1,0,0,…,…,…,0,…,…,0
Mangualde,2,2,0,0,…,…,…,0,…,…,0
Nelas,1,1,0,0,…,…,…,0,…,…,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,1,1,0,0,…,…,…,0,…,…,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,2,1,1,1,…,…,…,…,…,…,…
Sátão,2,2,0,0,…,…,…,0,…,…,0
Tondela,4,2,0,0,114,103609,…,0,94875,…,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0
Viseu,10,6,1,5,373,726824,717744,…,540589,539989,…
Vouzela,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,7,6,1,5,126,766556,…,…,506903,…,…
Castelo Branco,4,3,1,4,79,697302,…,…,439449,…,…
Idanha-a-Nova,1,1,0,0,…,…,…,0,…,…,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,2,2,0,1,…,…,…,0,…,…,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,26,14,4,9,295,1596255,1187508,91499,581526,353076,84800
Abrantes,2,1,1,1,…,…,…,…,…,…,…
Alcanena,1,1,0,0,…,…,…,0,…,…,0
Constância,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,1,0,1,0,…,…,0,…,…,0,…
Ferreira do Zêzere,1,1,0,0,…,…,…,0,…,…,0
Mação,1,1,0,0,…,…,…,0,…,…,0
Ourém,15,5,2,5,142,1225556,823948,…,335375,107625,…
Sardoal,0,0,0,0,0,0,0,0,0,0,0
Sertã,1,1,0,0,…,…,…,0,…,…,0
Tomar,0,0,0,0,0,0,0,0,0,0,0
Torres Novas,3,3,0,2,53,71880,71880,0,54260,54260,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,1,1,0,1,…,…,…,0,…,…,0
Beiras e Serra da Estrela,18,13,0,5,346,856990,…,0,757850,…,0
Almeida,1,1,0,0,…,…,…,0,…,…,0
Belmonte,1,1,0,0,…,…,…,0,…,…,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0
Covilhã,3,3,0,1,97,155700,155700,0,145363,145363,0
Figueira de Castelo Rodrigo,1,1,0,0,…,…,…,0,…,…,0
Fornos de Algodres,1,1,0,1,…,…,…,0,…,…,0
Fundão,1,1,0,1,…,…,…,0,…,…,0
Gouveia,2,1,0,0,…,…,…,0,…,…,0
Guarda,2,2,0,1,…,…,…,0,…,…,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0
Sabugal,1,0,0,0,…,…,0,0,…,0,0
Seia,5,2,0,1,37,54320,…,0,45150,…,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,377,60,262,219,5392,101811163,54205685,45459834,74379007,43365652,31001938
Alcochete,1,1,0,1,…,…,…,0,…,…,0
Almada,4,1,2,3,66,294548,…,…,255848,…,…
Amadora,3,0,2,1,65,346644,0,…,330684,0,…
Barreiro,0,0,0,0,0,0,0,0,0,0,0
Cascais,10,1,8,7,150,737322,…,608022,663992,…,597392
Lisboa,261,38,179,145,3664,77290869,48899123,28060150,53507649,39130596,14368486
Loures,7,2,5,3,43,307850,…,…,212789,…,…
Mafra,14,2,11,5,84,380523,…,258523,290726,…,230335
Moita,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0
Odivelas,1,0,0,0,…,…,0,0,…,0,0
Oeiras,39,7,30,35,870,11706297,4032013,7101284,10705482,3924544,6780938
Palmela,1,1,0,0,…,…,…,0,…,…,0
Seixal,6,0,5,1,44,1311888,0,192000,68793,0,68793
Sesimbra,3,2,1,1,32,61552,…,…,14590,…,…
Setúbal,2,1,1,1,…,…,…,…,…,…,…
Sintra,20,4,15,11,280,8517070,230349,8286521,8316436,55000,8261436
Vila Franca de Xira,5,0,3,5,20,192200,0,…,5,0,…
Alentejo,36,25,6,20,795,2574212,2262482,155880,2164304,2023752,140552
Alentejo Litoral,4,1,1,3,17,42050,…,…,8800,…,…
Alcácer do Sal,1,1,0,0,…,…,…,0,…,…,0
Grândola,0,0,0,0,0,0,0,0,0,0,0
Odemira,1,0,1,1,…,…,0,…,…,0,…
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0
Sines,2,0,0,2,…,…,0,0,…,0,0
Baixo Alentejo,5,4,1,4,109,161606,…,…,84328,…,…
Aljustrel,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0
Beja,2,1,1,1,…,…,…,…,…,…,…
Castro Verde,2,2,0,2,…,…,…,0,…,…,0
Cuba,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0
Moura,1,1,0,1,…,…,…,0,…,…,0
Ourique,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,10,6,4,6,168,939943,790663,149280,887183,746631,140552
Almeirim,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,1,1,0,0,…,…,…,0,…,…,0
Azambuja,1,1,0,1,…,…,…,0,…,…,0
Benavente,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,1,1,0,0,…,…,…,0,…,…,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0
Santarém,7,3,4,5,140,899771,750491,149280,879022,738470,140552
Alto Alentejo,6,5,0,2,96,147200,137200,0,99400,99400,0
Alter do Chão,1,1,0,0,…,…,…,0,…,…,0
Arronches,1,1,0,1,…,…,…,0,…,…,0
Avis,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0
Crato,1,1,0,0,…,…,…,0,…,…,0
Elvas,1,0,0,0,…,…,0,0,…,0,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,1,1,0,0,…,…,…,0,…,…,0
Portalegre,1,1,0,1,…,…,…,0,…,…,0
Sousel,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,11,9,0,5,405,1283413,1167813,0,1084593,1084593,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0
Estremoz,1,1,0,0,…,…,…,0,…,…,0
Évora,3,3,0,2,313,1061700,1061700,0,982200,982200,0
Montemor-o-Novo,3,2,0,1,33,116113,…,0,25953,…,0
Mora,2,1,0,2,…,…,…,0,…,…,0
Mourão,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,1,0,0,…,…,…,0,…,…,0
Vendas Novas,1,1,0,0,…,…,…,0,…,…,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0
Algarve,15,9,6,6,296,883256,726140,157116,516925,491910,25015
Albufeira,1,0,1,0,…,…,0,…,…,0,…
Alcoutim,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0
Faro,1,0,1,0,…,…,0,…,…,0,…
Lagoa,5,3,2,2,120,289300,…,…,127000,…,…
Lagos,0,0,0,0,0,0,0,0,0,0,0
Loulé,1,1,0,0,…,…,…,0,…,…,0
Monchique,1,1,0,0,…,…,…,0,…,…,0
Olhão,1,1,0,0,…,…,…,0,…,…,0
Portimão,2,1,1,1,…,…,…,…,…,…,…
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0
Silves,1,0,1,1,…,…,0,…,…,0,…
Tavira,1,1,0,1,…,…,…,0,…,…,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,1,1,0,1,…,…,…,0,…,…,0
R. A. Açores,26,16,7,12,2013,4638683,4349876,277607,4347028,4221689,119339
Santa Maria,1,1,0,0,…,…,…,0,…,…,0
Vila do Porto,1,1,0,0,…,…,…,0,…,…,0
São Miguel,12,5,6,5,1184,3609020,3331640,…,3377698.0000000005,3258618,…
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,10,4,5,5,…,…,…,…,…,…,…
Povoação,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,1,0,1,0,…,…,0,…,…,0,…
Vila Franca do Campo,1,1,0,0,…,…,…,0,…,…,0
Terceira,7,4,1,3,317,726087,714660,…,674986,668727,…
Angra do Heroísmo,5,3,1,2,…,…,…,…,…,…,…
Vila da Praia da Vitória,2,1,0,1,…,…,…,0,…,…,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0
São Jorge,1,1,0,0,…,…,…,0,…,…,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Velas,1,1,0,0,…,…,…,0,…,…,0
Pico,3,3,0,2,157,119216,119216,0,118716,118716,0
Lajes do Pico,1,1,0,0,…,…,…,0,…,…,0
Madalena,1,1,0,1,…,…,…,0,…,…,0
São Roque do Pico,1,1,0,1,…,…,…,0,…,…,0
Faial,2,2,0,2,…,…,…,0,…,…,0
Horta,2,2,0,2,…,…,…,0,…,…,0
Flores,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,27,5,7,23,885,3889967,3792025,77770,3754183,3750500,3183
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,4,1,2,4,…,…,…,…,…,…,…
Funchal,22,3,5,18,797,3847214,…,…,3752427,…,…
Machico,1,1,0,1,…,…,…,0,…,…,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
