,"Nados-vivos, Total, HM (N.º)","Nados-vivos, Total, H (N.º)","Nados-vivos, Total, M (N.º)","Nados-vivos, Fora do casamento, Total (N.º)","Nados-vivos, Fora do casamento, Com coabitação dos pais (N.º)","Óbitos, Total, HM (N.º)","Óbitos, Total, H (N.º)","Óbitos, Total, M (N.º)","Óbitos, Com 
menos
de 1 ano, M (N.º)"
Portugal,84426,43387,41039,48884,33296,123358,61370,61988,205
Continente,80464,41313,39151,46687,31788,118193,58775,59418,189
Norte,26856,13855,13001,13611,8981,40022,20098,19924,59
Alto Minho,1490,753,737,782,633,3355,1602,1753,5
Arcos de Valdevez,108,47,61,56,50,375,188,187,0
Caminha,101,54,47,59,54,260,112,148,0
Melgaço,30,20,10,18,14,198,89,109,0
Monção,89,49,40,53,41,342,156,186,0
Paredes de Coura,57,29,28,28,24,144,61,83,0
Ponte da Barca,67,37,30,38,29,189,89,100,0
Ponte de Lima,293,134,159,124,90,507,252,255,1
Valença,72,33,39,50,40,228,115,113,0
Viana do Castelo,617,323,294,320,263,985,476,509,4
Vila Nova de Cerveira,56,27,29,36,28,127,64,63,0
Cávado,3357,1792,1565,1437,1050,3715,1811,1904,5
Amares,142,77,65,62,45,203,104,99,0
Barcelos,853,437,416,320,242,1028,505,523,2
Braga,1699,918,781,763,563,1555,748,807,3
Esposende,263,140,123,108,79,333,167,166,0
Terras de Bouro,40,19,21,17,9,87,46,41,0
Vila Verde,360,201,159,167,112,509,241,268,0
Ave,3249,1684,1565,1467,974,4068,2073,1995,5
Cabeceiras de Basto,111,57,54,47,33,196,85,111,0
Fafe,341,179,162,171,113,534,269,265,2
Guimarães,1280,680,600,573,364,1418,731,687,0
Mondim de Basto,29,19,10,8,4,108,51,57,0
Póvoa de Lanhoso,157,79,78,56,45,254,125,129,0
Vieira do Minho,74,40,34,35,22,156,76,80,2
Vila Nova de Famalicão,1059,537,522,479,339,1232,637,595,1
Vizela,198,93,105,98,54,170,99,71,0
A. M. Porto,13597,7005,6592,7422,4688,18429,9286,9143,32
Arouca,160,80,80,71,53,210,103,107,0
Espinho,214,107,107,132,79,412,221,191,0
Gondomar,1283,655,628,792,499,1735,918,817,4
Maia,1052,519,533,562,369,1195,600,595,3
Matosinhos,1371,715,656,764,475,1863,912,951,1
Oliveira de Azeméis,464,246,218,232,158,695,376,319,0
Paredes,691,355,336,327,180,750,398,352,1
Porto,1930,957,973,1106,647,3247,1513,1734,3
Póvoa de Varzim,527,279,248,233,150,691,336,355,1
Santa Maria da Feira,1023,543,480,554,353,1229,614,615,3
Santo Tirso,437,226,211,218,144,824,394,430,1
São João da Madeira,158,87,71,93,55,226,121,105,0
Trofa,321,155,166,154,106,326,183,143,0
Vale de Cambra,149,77,72,65,53,262,135,127,0
Valongo,777,396,381,444,273,914,481,433,3
Vila do Conde,643,324,319,307,206,772,417,355,2
Vila Nova de Gaia,2397,1284,1113,1368,888,3078,1564,1514,10
Alto Tâmega,473,238,235,269,186,1447,731,716,1
Boticas,20,8,12,11,6,95,53,42,0
Chaves,239,123,116,139,94,563,265,298,1
Montalegre,40,16,24,19,14,178,93,85,0
Ribeira de Pena,36,20,16,23,13,90,40,50,0
Valpaços,82,41,41,46,37,316,170,146,0
Vila Pouca de Aguiar,56,30,26,31,22,205,110,95,0
Tâmega e Sousa,2977,1550,1427,1243,702,4350,2268,2082,5
Amarante,350,189,161,159,78,602,323,279,0
Baião,118,67,51,51,40,226,113,113,0
Castelo de Paiva,86,47,39,37,21,171,89,82,0
Celorico de Basto,99,46,53,35,25,262,144,118,0
Cinfães,107,60,47,49,31,263,142,121,0
Felgueiras,421,225,196,158,76,509,271,238,3
Lousada,375,202,173,148,91,444,222,222,1
Marco de Canaveses,366,183,183,147,83,481,254,227,0
Paços de Ferreira,435,212,223,199,110,507,264,243,1
Penafiel,551,289,262,227,122,724,375,349,0
Resende,69,30,39,33,25,161,71,90,0
Douro,1103,524,579,594,440,2731,1361,1370,5
Alijó,54,25,29,35,27,178,86,92,0
Armamar,33,15,18,13,8,105,50,55,0
Carrazeda de Ansiães,21,12,9,17,10,101,55,46,0
Freixo de Espada à Cinta,18,11,7,14,12,93,41,52,0
Lamego,139,67,72,73,44,303,162,141,0
Mesão Frio,27,12,15,12,10,59,26,33,0
Moimenta da Beira,60,30,30,28,23,136,70,66,1
Murça,28,16,12,17,12,113,61,52,0
Penedono,13,9,4,7,5,40,18,22,0
Peso da Régua,105,50,55,68,55,182,86,96,3
Sabrosa,22,9,13,12,8,91,39,52,0
Santa Marta de Penaguião,31,15,16,14,9,93,38,55,0
São João da Pesqueira,37,18,19,23,19,112,68,44,0
Sernancelhe,25,12,13,14,13,80,41,39,0
Tabuaço,26,8,18,16,12,79,40,39,0
Tarouca,50,24,26,27,21,88,50,38,0
Torre de Moncorvo,35,22,13,21,16,171,91,80,0
Vila Nova de Foz Côa,26,14,12,21,19,149,80,69,0
Vila Real,353,155,198,162,117,558,259,299,1
Terras de Trás-os-Montes,610,309,301,397,308,1927,966,961,1
Alfândega da Fé,20,9,11,13,11,101,54,47,0
Bragança,251,117,134,165,129,585,279,306,0
Macedo de Cavaleiros,61,39,22,41,34,235,108,127,0
Miranda do Douro,30,18,12,16,11,124,63,61,0
Mirandela,124,58,66,84,66,345,181,164,0
Mogadouro,36,16,20,24,21,154,82,72,0
Vila Flor,34,18,16,19,12,90,45,45,0
Vimioso,22,13,9,16,11,114,65,49,1
Vinhais,32,21,11,19,13,179,89,90,0
Centro,15738,8121,7617,9018,6862,30246,14899,15347,40
Oeste,2830,1445,1385,1766,1243,4471,2265,2206,14
Alcobaça,395,200,195,236,152,646,333,313,3
Alenquer,378,188,190,222,154,497,248,249,2
Arruda dos Vinhos,117,54,63,60,50,140,65,75,0
Bombarral,105,59,46,69,46,187,99,88,0
Cadaval,73,31,42,52,34,241,127,114,1
Caldas da Rainha,356,187,169,236,166,689,334,355,0
Lourinhã,206,108,98,141,88,325,164,161,0
Nazaré,109,53,56,63,40,172,89,83,1
Óbidos,83,38,45,59,38,152,81,71,0
Peniche,234,126,108,160,126,350,172,178,1
Sobral de Monte Agraço,85,46,39,54,43,127,59,68,0
Torres Vedras,689,355,334,414,306,945,494,451,6
Região de Aveiro,2840,1432,1408,1591,1213,4199,2139,2060,6
Águeda,347,165,182,196,150,507,264,243,1
Albergaria-a-Velha,196,107,89,106,87,270,137,133,2
Anadia,156,79,77,95,74,391,212,179,0
Aveiro,676,332,344,378,281,822,400,422,0
Estarreja,230,114,116,136,98,346,180,166,0
Ílhavo,334,169,165,180,137,416,205,211,0
Murtosa,77,37,40,47,35,135,61,74,0
Oliveira do Bairro,197,105,92,119,97,270,134,136,0
Ovar,375,193,182,205,155,576,303,273,1
Sever do Vouga,68,37,31,31,22,188,93,95,0
Vagos,184,94,90,98,77,278,150,128,2
Região de Coimbra,2985,1495,1490,1682,1312,5983,2864,3119,7
Arganil,53,23,30,40,35,210,93,117,0
Cantanhede,229,121,108,125,94,516,261,255,1
Coimbra,1077,545,532,575,427,1575,766,809,0
Condeixa-a-Nova,117,59,58,53,46,210,77,133,1
Figueira da Foz,398,189,209,261,205,824,381,443,1
Góis,14,6,8,9,6,96,48,48,0
Lousã,127,66,61,77,66,183,88,95,0
Mealhada,122,61,61,77,58,251,119,132,1
Mira,84,38,46,41,32,182,96,86,0
Miranda do Corvo,66,38,28,36,28,200,101,99,0
Montemor-o-Velho,190,105,85,97,78,330,162,168,1
Mortágua,48,16,32,28,24,138,70,68,0
Oliveira do Hospital,143,73,70,76,63,290,140,150,0
Pampilhosa da Serra,12,7,5,8,6,104,44,60,0
Penacova,44,22,22,20,15,201,87,114,1
Penela,36,15,21,20,16,106,49,57,0
Soure,106,56,50,67,55,283,143,140,1
Tábua,88,43,45,54,44,181,91,90,0
Vila Nova de Poiares,31,12,19,18,14,103,48,55,0
Região de Leiria,2188,1165,1023,1209,924,3365,1705,1660,3
Alvaiázere,21,12,9,12,8,122,56,66,0
Ansião,64,32,32,26,18,180,85,95,0
Batalha,137,73,64,75,64,165,88,77,1
Castanheira de Pêra,14,5,9,9,7,71,35,36,0
Figueiró dos Vinhos,31,15,16,18,15,98,47,51,0
Leiria,1067,572,495,564,412,1234,629,605,1
Marinha Grande,344,191,153,209,161,421,213,208,1
Pedrógão Grande,16,7,9,11,8,75,36,39,0
Pombal,346,187,159,203,168,702,358,344,0
Porto de Mós,148,71,77,82,63,297,158,139,0
Viseu Dão Lafões,1681,903,778,866,673,3520,1738,1782,5
Aguiar da Beira,28,18,10,12,10,133,62,71,0
Carregal do Sal,60,29,31,40,27,144,70,74,0
Castro Daire,71,39,32,28,20,236,120,116,1
Mangualde,115,66,49,66,55,274,126,148,0
Nelas,82,41,41,46,42,199,96,103,0
Oliveira de Frades,74,37,37,39,30,131,66,65,2
Penalva do Castelo,45,29,16,21,17,91,48,43,0
Santa Comba Dão,64,41,23,34,28,175,94,81,0
São Pedro do Sul,84,41,43,51,32,223,125,98,0
Sátão,59,29,30,18,13,154,82,72,0
Tondela,140,76,64,74,60,401,181,220,0
Vila Nova de Paiva,25,14,11,13,5,94,53,41,1
Viseu,775,408,367,392,310,1114,547,567,1
Vouzela,59,35,24,32,24,151,68,83,0
Beira Baixa,483,256,227,302,238,1521,789,732,1
Castelo Branco,346,183,163,213,166,804,423,381,1
Idanha-a-Nova,48,26,22,33,29,263,126,137,0
Oleiros,17,8,9,8,8,91,49,42,0
Penamacor,26,13,13,18,12,122,69,53,0
Proença-a-Nova,32,19,13,19,12,168,90,78,0
Vila Velha de Ródão,14,7,7,11,11,73,32,41,0
Médio Tejo,1508,808,700,903,683,3566,1694,1872,2
Abrantes,198,113,85,134,104,606,287,319,0
Alcanena,83,31,52,52,38,168,88,80,0
Constância,30,15,15,18,14,66,28,38,0
Entroncamento,170,90,80,109,86,224,109,115,2
Ferreira do Zêzere,42,24,18,24,17,157,70,87,0
Mação,27,11,16,20,15,177,80,97,0
Ourém,322,182,140,147,116,593,278,315,0
Sardoal,16,7,9,14,13,92,39,53,0
Sertã,93,45,48,55,43,245,127,118,0
Tomar,200,113,87,117,86,568,292,276,0
Torres Novas,260,136,124,162,111,488,213,275,0
Vila de Rei,17,10,7,12,10,82,28,54,0
Vila Nova da Barquinha,50,31,19,39,30,100,55,45,0
Beiras e Serra da Estrela,1223,617,606,699,576,3621,1705,1916,2
Almeida,18,6,12,10,7,152,64,88,0
Belmonte,30,15,15,17,17,109,60,49,0
Celorico da Beira,42,25,17,19,17,119,48,71,0
Covilhã,283,142,141,186,139,643,318,325,1
Figueira de Castelo Rodrigo,36,15,21,24,22,105,39,66,0
Fornos de Algodres,34,19,15,16,11,88,49,39,0
Fundão,171,94,77,98,84,444,225,219,0
Gouveia,57,27,30,34,23,255,109,146,0
Guarda,284,130,154,152,130,542,242,300,0
Manteigas,19,9,10,4,3,61,30,31,0
Mêda,19,11,8,12,12,94,43,51,0
Pinhel,36,17,19,14,14,183,89,94,0
Sabugal,48,32,16,34,32,308,132,176,0
Seia,105,53,52,60,47,384,190,194,1
Trancoso,41,22,19,19,18,134,67,67,0
A. M. Lisboa,28200,14427,13773,17479,11319,31252,15428,15824,60
Alcochete,138,69,69,74,50,182,88,94,0
Almada,1644,845,799,1086,655,2177,1084,1093,3
Amadora,1945,1013,932,1304,742,1832,960,872,7
Barreiro,711,356,355,501,337,1043,553,490,4
Cascais,1835,933,902,1066,677,2233,1182,1051,4
Lisboa,5697,2841,2856,2992,1971,7348,3377,3971,11
Loures,2150,1141,1009,1393,916,2124,1110,1014,3
Mafra,749,389,360,424,331,743,354,389,2
Moita,608,316,292,467,303,762,398,364,1
Montijo,611,316,295,379,256,616,278,338,1
Odivelas,1745,916,829,995,687,1480,761,719,1
Oeiras,1466,734,732,860,607,1827,838,989,3
Palmela,545,269,276,351,230,834,387,447,0
Seixal,1609,826,783,1048,643,1565,815,750,7
Sesimbra,440,237,203,333,229,547,286,261,2
Setúbal,1062,544,518,735,466,1479,712,767,2
Sintra,3900,1965,1935,2628,1636,3202,1608,1594,7
Vila Franca de Xira,1345,717,628,843,583,1258,637,621,2
Alentejo,5347,2674,2673,3604,2671,11271,5506,5765,17
Alentejo Litoral,746,361,385,475,364,1372,716,656,2
Alcácer do Sal,81,43,38,53,41,186,93,93,0
Grândola,108,58,50,75,62,232,122,110,0
Odemira,242,122,120,126,90,370,204,166,1
Santiago do Cacém,185,78,107,133,107,407,203,204,0
Sines,130,60,70,88,64,177,94,83,1
Baixo Alentejo,943,479,464,660,530,2074,998,1076,4
Aljustrel,57,25,32,42,36,160,85,75,0
Almodôvar,41,29,12,29,22,117,61,56,0
Alvito,19,7,12,14,9,47,21,26,0
Barrancos,13,9,4,8,7,22,6,16,0
Beja,287,145,142,191,149,562,263,299,1
Castro Verde,49,22,27,33,27,132,65,67,0
Cuba,42,17,25,35,25,108,51,57,1
Ferreira do Alentejo,68,31,37,47,36,140,58,82,1
Mértola,30,12,18,21,15,122,65,57,1
Moura,128,75,53,85,77,217,106,111,0
Ourique,29,13,16,20,13,99,48,51,0
Serpa,124,65,59,89,75,245,108,137,0
Vidigueira,56,29,27,46,39,103,61,42,0
Lezíria do Tejo,1802,885,917,1167,825,3380,1619,1761,4
Almeirim,179,92,87,105,74,322,141,181,0
Alpiarça,38,19,19,22,16,126,70,56,0
Azambuja,179,97,82,125,80,257,126,131,0
Benavente,288,124,164,191,148,322,155,167,1
Cartaxo,175,92,83,120,89,322,156,166,1
Chamusca,54,24,30,34,27,184,98,86,0
Coruche,102,48,54,72,59,348,151,197,0
Golegã,36,13,23,24,18,90,35,55,0
Rio Maior,180,88,92,110,73,282,155,127,1
Salvaterra de Magos,146,85,61,104,68,306,126,180,0
Santarém,425,203,222,260,173,821,406,415,1
Alto Alentejo,736,348,388,540,373,2001,979,1022,4
Alter do Chão,21,6,15,19,9,68,34,34,0
Arronches,12,8,4,6,6,86,41,45,0
Avis,25,13,12,19,14,92,39,53,1
Campo Maior,81,40,41,66,42,133,66,67,0
Castelo de Vide,20,11,9,13,9,54,20,34,0
Crato,17,7,10,13,11,89,47,42,0
Elvas,157,78,79,131,84,335,176,159,2
Fronteira,15,9,6,9,7,65,23,42,0
Gavião,14,8,6,11,10,94,50,44,0
Marvão,15,5,10,12,8,86,40,46,0
Monforte,28,13,15,22,21,56,31,25,0
Nisa,35,17,18,20,17,139,70,69,0
Ponte de Sor,114,48,66,86,60,240,125,115,0
Portalegre,163,72,91,102,65,365,179,186,1
Sousel,19,13,6,11,10,99,38,61,0
Alentejo Central,1120,601,519,762,579,2444,1194,1250,3
Alandroal,30,16,14,20,14,118,49,69,0
Arraiolos,39,21,18,23,19,111,48,63,0
Borba,40,21,19,31,23,106,54,52,0
Estremoz,92,45,47,67,58,214,96,118,1
Évora,437,248,189,269,188,661,343,318,2
Montemor-o-Novo,103,61,42,71,55,315,158,157,0
Mora,22,10,12,17,12,122,57,65,0
Mourão,26,13,13,22,19,45,22,23,0
Portel,41,22,19,32,26,95,42,53,0
Redondo,35,18,17,26,19,95,47,48,0
Reguengos de Monsaraz,76,31,45,60,52,159,63,96,0
Vendas Novas,81,41,40,57,42,170,89,81,0
Viana do Alentejo,49,27,22,34,28,101,50,51,0
Vila Viçosa,49,27,22,33,24,132,76,56,0
Algarve,4323,2236,2087,2975,1955,5402,2844,2558,13
Albufeira,493,270,223,286,196,347,182,165,0
Alcoutim,11,7,4,10,7,89,42,47,0
Aljezur,57,31,26,36,27,92,50,42,0
Castro Marim,54,27,27,34,25,107,61,46,0
Faro,656,349,307,438,291,697,347,350,3
Lagoa,199,122,77,159,99,265,148,117,2
Lagos,234,113,121,163,127,401,217,184,0
Loulé,762,408,354,522,341,824,436,388,1
Monchique,32,12,20,26,17,106,53,53,0
Olhão,403,196,207,297,165,535,283,252,3
Portimão,573,281,292,402,254,580,322,258,2
São Brás de Alportel,99,51,48,64,49,157,75,82,0
Silves,366,189,177,255,162,485,250,235,1
Tavira,194,91,103,140,103,406,210,196,1
Vila do Bispo,49,20,29,39,34,71,42,29,0
Vila Real de Santo António,141,69,72,104,58,240,126,114,0
R. A. Açores,2102,1130,972,1089,831,2439,1313,1126,10
Santa Maria,38,23,15,23,18,51,30,21,0
Vila do Porto,38,23,15,23,18,51,30,21,0
São Miguel,1274,688,586,616,449,1207,645,562,5
Lagoa (R.A.A.),162,94,68,70,46,133,65,68,1
Nordeste,25,14,11,13,12,77,33,44,0
Ponta Delgada,623,331,292,324,241,614,349,265,4
Povoação,47,24,23,24,16,54,32,22,0
Ribeira Grande,325,173,152,142,101,220,113,107,0
Vila Franca do Campo,92,52,40,43,33,109,53,56,0
Terceira,449,235,214,230,165,631,337,294,1
Angra do Heroísmo,292,148,144,150,102,387,212,175,1
Vila da Praia da Vitória,157,87,70,80,63,244,125,119,0
Graciosa,33,20,13,18,17,60,29,31,1
Santa Cruz da Graciosa,33,20,13,18,17,60,29,31,1
São Jorge,67,42,25,45,41,112,70,42,0
Calheta (R.A.A.),23,17,6,15,14,47,29,18,0
Velas,44,25,19,30,27,65,41,24,0
Pico,111,55,56,72,64,168,87,81,1
Lajes do Pico,35,14,21,22,20,58,33,25,0
Madalena,52,26,26,34,30,77,41,36,1
São Roque do Pico,24,15,9,16,14,33,13,20,0
Faial,103,54,49,66,63,154,84,70,1
Horta,103,54,49,66,63,154,84,70,1
Flores,25,12,13,17,12,49,26,23,1
Lajes das Flores,14,7,7,9,6,23,14,9,0
Santa Cruz das Flores,11,5,6,8,6,26,12,14,1
Corvo,2,1,1,2,2,7,5,2,0
Corvo,2,1,1,2,2,7,5,2,0
R. A. Madeira,1860,944,916,1108,677,2713,1271,1442,6
Calheta (R.A.M.),75,35,40,31,14,138,65,73,0
Câmara de Lobos,328,171,157,215,120,251,114,137,1
Funchal,761,371,390,470,273,1226,557,669,3
Machico,131,67,64,68,41,196,100,96,1
Ponta do Sol,49,27,22,22,14,126,66,60,0
Porto Moniz,13,8,5,7,5,55,26,29,0
Ribeira Brava,74,39,35,38,29,178,69,109,0
Santa Cruz,337,174,163,203,140,306,156,150,1
Santana,27,13,14,15,9,90,49,41,0
São Vicente,41,27,14,19,14,93,42,51,0
Porto Santo,24,12,12,20,18,54,27,27,0
