,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,713570,298049,415521,44647764,18372520,26275244,832715,389251,443463
Continente,686731,286184,400547,42367374,17384754,24982620,787935,366109,421826
Norte,294600,126850,167750,17752010,7649932,10102078,305953,145693,160260
Alto Minho,17360,7157,10203,1320202,514513,805689,21845,9221,12624
Arcos de Valdevez,1268,502,766,100930,38191,62739,1542,599,942
Caminha,1157,472,685,82154,30690,51464,1483,595,888
Melgaço,323,129,194,19118,7905,11213,272,118,154
Monção,939,379,560,67003,26957,40046,1026,481,545
Paredes de Coura,710,282,428,66882,23310,43572,1036,375,662
Ponte da Barca,704,275,429,54463,18745,35718,817,282,534
Ponte de Lima,3436,1479,1957,253843,110897,142946,3970,1836,2134
Valença,1095,421,674,77791,24772,53019,1236,398,839
Viana do Castelo,6982,2922,4060,542401,213705,328696,9499,4171,5327
Vila Nova de Cerveira,746,296,450,55617,19341,36276,964,366,598
Cávado,33803,14140,19663,1880639,777595,1103044,32020,14246,17774
Amares,1263,551,712,67933,31559,36374,974,496,478
Barcelos,10913,4575,6338,647070,267452,379618,10426,4817,5610
Braga,15219,6268,8951,799142,313769,485373,14984,6129,8855
Esposende,2471,1040,1431,158145,67309,90836,2577,1221,1356
Terras de Bouro,313,150,163,17598,8488,9110,223,113,110
Vila Verde,3624,1556,2068,190751,89018,101733,2835,1469,1366
Ave,37642,16430,21212,2258867,980382,1278485,37774,18093,19681
Cabeceiras de Basto,1039,477,562,62845,28626,34219,847,426,421
Fafe,4265,1905,2360,299778,132058,167720,4624,2154,2470
Guimarães,14635,6253,8382,851245,354084,497161,14137,6269,7868
Mondim de Basto,339,153,186,24122,10569,13553,349,160,188
Póvoa de Lanhoso,1411,607,804,87563,36517,51046,1254,544,710
Vieira do Minho,521,258,263,31832,18506,13326,487,305,182
Vila Nova de Famalicão,12757,5611,7146,747224,337745,409479,13573,7130,6443
Vizela,2675,1166,1509,154258,62277,91981,2504,1105,1399
A. M. Porto,153296,65811,87485,8542467,3677276,4865191,156470,75545,80925
Arouca,1744,858,886,130469,65385,65084,1986,1092,895
Espinho,2722,1275,1447,165309,75397,89912,3015,1534,1480
Gondomar,15231,6469,8762,771501,345569,425932,13548,6700,6848
Maia,12100,5148,6952,588639,257000,331639,11381,5667,5714
Matosinhos,14771,6207,8564,723956,304854,419102,14689,7220,7469
Oliveira de Azeméis,6674,2991,3683,520453,217132,303321,9702,4640,5062
Paredes,8481,3881,4600,526583,239779,286804,8039,3993,4047
Porto,14707,6009,8698,669286,280535,388751,13480,6076,7405
Póvoa de Varzim,5118,2094,3024,280000,116278,163722,4934,2293,2641
Santa Maria da Feira,13671,6005,7666,970458,410636,559822,17477,8115,9362
Santo Tirso,6945,2990,3955,388620,165655,222965,6542,3175,3367
São João da Madeira,2044,807,1237,148545,50435,98110,2646,1028,1618
Trofa,4301,1882,2419,237471,110142,127329,4284,2350,1934
Vale de Cambra,2067,880,1187,185183,73253,111930,3550,1637,1914
Valongo,9386,4138,5248,492672,219438,273234,8690,4413,4277
Vila do Conde,7557,3131,4426,424840,172716,252124,7661,3646,4016
Vila Nova de Gaia,25777,11046,14731,1318482,573072,745410,24845,11967,12877
Alto Tâmega,3166,1351,1815,209084,95936,113148,3149,1548,1601
Boticas,261,87,174,15695,4579,11116,222,73,149
Chaves,1422,575,847,90710,38915,51795,1393,611,782
Montalegre,320,135,185,20107,9686,10421,300,167,133
Ribeira de Pena,227,119,108,17486,8853,8633,325,192,132
Valpaços,461,201,260,31551,16261,15290,413,222,191
Vila Pouca de Aguiar,475,234,241,33535,17642,15893,495,282,213
Tâmega e Sousa,36144,16700,19444,2644188,1239397,1404791,41283,21259,20024
Amarante,3722,1811,1911,271838,136961,134877,4242,2359,1883
Baião,1110,619,491,79464,44713,34751,1180,768,412
Castelo de Paiva,1382,657,725,105076,50836,54240,1702,865,837
Celorico de Basto,1096,501,595,68913,32342,36571,939,470,468
Cinfães,993,561,432,83276,44805,38471,1268,764,504
Felgueiras,5944,2540,3404,521363,206031,315332,8529,3615,4915
Lousada,4973,2141,2832,368372,173076,195296,5681,2937,2744
Marco de Canaveses,3846,2046,1800,278871,155597,123274,4461,2825,1636
Paços de Ferreira,5942,2572,3370,382461,164352,218109,5727,2666,3061
Penafiel,6596,2983,3613,446524,211891,234633,7041,3727,3314
Resende,540,269,271,38030,18793,19237,513,263,250
Douro,8858,3654,5204,612654,255501,357153,8982,4083,4899
Alijó,462,197,265,29746,13531,16215,387,181,206
Armamar,282,122,160,24605,11069,13536,432,256,176
Carrazeda de Ansiães,197,86,111,14700,4883,9817,185,67,118
Freixo de Espada à Cinta,125,50,75,7239,2468,4771,93,31,62
Lamego,1218,529,689,90020,41985,48035,1312,658,654
Mesão Frio,209,94,115,15680,5781,9899,209,83,126
Moimenta da Beira,432,193,239,27594,12736,14858,424,220,205
Murça,217,81,136,15069,5464,9605,202,70,132
Penedono,118,59,59,9456,4562,4894,111,52,59
Peso da Régua,668,271,397,50856,19576,31280,725,367,358
Sabrosa,217,93,124,12588,5523,7065,189,91,98
Santa Marta de Penaguião,300,141,159,24687,11552,13135,316,172,144
São João da Pesqueira,375,176,199,31666,14725,16941,401,203,198
Sernancelhe,264,104,160,16294,7035,9259,224,106,118
Tabuaço,181,80,101,18120,8593,9527,265,138,127
Tarouca,295,127,168,18944,8609,10335,251,123,128
Torre de Moncorvo,240,110,130,15784,8483,7301,222,124,98
Vila Nova de Foz Côa,278,117,161,22541,9287,13254,298,143,155
Vila Real,2780,1024,1756,167065,59639,107426,2737,997,1739
Terras de Trás-os-Montes,4331,1607,2724,283909,109332,174577,4431,1698,2733
Alfândega da Fé,194,80,114,13384,3646,9738,160,40,120
Bragança,1625,610,1015,101689,38794,62895,1731,667,1064
Macedo de Cavaleiros,497,193,304,36498,15588,20910,576,226,350
Miranda do Douro,269,93,176,16249,6214,10035,255,109,146
Mirandela,772,239,533,47865,14919,32946,760,238,521
Mogadouro,303,123,180,16979,7462,9517,230,101,128
Vila Flor,294,106,188,21949,9179,12770,336,142,193
Vimioso,135,64,71,11957,5815,6142,156,71,85
Vinhais,242,99,143,17339,7715,9624,228,102,126
Centro,153346,64902,88444,9711242,4013075,5698167,177625,84862,92763
Oeste,24654,10137,14517,1808051,733803,1074248,33904,15870,18034
Alcobaça,4104,1768,2336,331715,139477,192238,6292,3067,3225
Alenquer,3527,1533,1994,271924,112135,159789,5457,2646,2811
Arruda dos Vinhos,839,350,489,52128,22588,29540,1075,542,533
Bombarral,712,280,432,42048,18784,23264,778,403,376
Cadaval,800,307,493,65134,26033,39101,1086,479,607
Caldas da Rainha,3324,1307,2017,194520,80268,114252,3472,1573,1899
Lourinhã,1724,703,1021,121612,48898,72714,2204,1048,1157
Nazaré,1001,425,576,81301,31957,49344,1612,764,848
Óbidos,676,283,393,47605,19633,27972,862,390,473
Peniche,1584,572,1012,114054,42589,71465,2015,934,1082
Sobral de Monte Agraço,716,327,389,61257,28026,33231,1292,720,572
Torres Vedras,5647,2282,3365,424753,163415,261338,7756,3305,4451
Região de Aveiro,29853,12777,17076,1656961,691537,965424,30683,15110,15573
Águeda,3529,1508,2021,192442,84442,108000,3322,1712,1610
Albergaria-a-Velha,2084,916,1168,135874,51077,84797,2521,1075,1446
Anadia,1921,836,1085,103127,40610,62517,1778,830,947
Aveiro,5717,2353,3364,271108,112751,158357,5363,2655,2708
Estarreja,2359,1091,1268,145435,65533,79902,2780,1496,1284
Ílhavo,3304,1318,1986,187136,76366,110770,3686,2030,1656
Murtosa,932,422,510,44889,21560,23329,884,544,339
Oliveira do Bairro,1720,685,1035,82350,35777,46573,1385,640,745
Ovar,5678,2564,3114,341225,141211,200014,6396,2933,3462
Sever do Vouga,919,417,502,50756,22977,27779,869,447,423
Vagos,1690,667,1023,102619,39233,63386,1700,748,953
Região de Coimbra,30820,12760,18060,1422825,585452,837373,25428,12102,13326
Arganil,671,275,396,37161,14934,22227,547,242,305
Cantanhede,2467,1079,1388,114791,48227,66564,1993,948,1045
Coimbra,9225,3656,5569,372248,153287,218961,7190,3249,3941
Condeixa-a-Nova,1368,537,831,57412,23098,34314,1043,497,546
Figueira da Foz,4035,1755,2280,223591,93665,129926,4374,2302,2072
Góis,228,97,131,12450,5895,6555,202,110,92
Lousã,1440,620,820,54351,24298,30053,917,452,465
Mealhada,1436,623,813,79218,31132,48086,1441,663,778
Mira,732,306,426,37126,16756,20370,682,368,314
Miranda do Corvo,995,421,574,43014,18055,24959,652,341,311
Montemor-o-Velho,1894,768,1126,87118,33710,53408,1539,710,829
Mortágua,600,278,322,24484,10860,13624,364,172,192
Oliveira do Hospital,1512,622,890,76511,31055,45456,1177,540,637
Pampilhosa da Serra,190,76,114,8890,3470,5420,141,59,81
Penacova,904,420,484,43345,20362,22983,641,344,297
Penela,382,159,223,14674,7003,7671,244,132,112
Soure,1258,483,775,69906,22877,47029,1264,528,736
Tábua,945,372,573,42110,16599,25511,633,274,359
Vila Nova de Poiares,538,213,325,24425,10169,14256,384,169,216
Região de Leiria,21268,9302,11966,1696340,691097,1005243,35222,17312,17910
Alvaiázere,310,148,162,21222,8650,12572,315,136,179
Ansião,740,328,412,46076,20728,25348,729,343,386
Batalha,1152,488,664,87534,33211,54323,1607,740,867
Castanheira de Pêra,183,76,107,13905,4208,9697,198,64,134
Figueiró dos Vinhos,296,137,159,16569,7044,9525,270,115,156
Leiria,9349,4055,5294,693879,282526,411353,14453,7026,7427
Marinha Grande,3885,1776,2109,434399,183045,251354,10606,5715,4890
Pedrógão Grande,219,100,119,14593,6952,7641,226,114,113
Pombal,3385,1429,1956,241266,96763,144503,4494,2028,2466
Porto de Mós,1749,765,984,126897,47970,78927,2324,1031,1293
Viseu Dão Lafões,15424,6741,8683,922198,409592,512606,15110,7461,7649
Aguiar da Beira,257,97,160,18894,6885,12009,254,96,158
Carregal do Sal,582,269,313,31072,14903,16169,503,275,229
Castro Daire,705,346,359,56395,27961,28434,828,479,349
Mangualde,1173,575,598,68430,37021,31409,1179,734,445
Nelas,860,394,466,57168,27541,29627,978,512,466
Oliveira de Frades,640,304,336,38491,20005,18486,641,373,268
Penalva do Castelo,382,190,192,29133,15236,13897,440,259,180
Santa Comba Dão,825,321,504,56875,18668,38207,982,377,606
São Pedro do Sul,875,434,441,49891,27531,22360,761,456,305
Sátão,707,300,407,41343,18062,23281,628,280,347
Tondela,1806,770,1036,107284,44391,62893,1719,783,936
Vila Nova de Paiva,148,53,95,11045,4351,6694,168,77,92
Viseu,5876,2439,3437,319446,132329,187117,5447,2501,2946
Vouzela,588,249,339,36731,14708,22023,581,258,323
Beira Baixa,4541,1775,2766,236539,92922,143617,3901,1642,2260
Castelo Branco,3201,1182,2019,163316,61115,102201,2786,1104,1682
Idanha-a-Nova,311,115,196,15210,5925,9285,228,99,129
Oleiros,221,111,110,10915,5435,5480,161,82,79
Penamacor,227,93,134,13312,6494,6818,189,94,95
Proença-a-Nova,392,194,198,22891,9936,12955,378,193,185
Vila Velha de Ródão,189,80,109,10895,4017,6878,160,70,90
Médio Tejo,15238,6654,8584,1112767,463685,649082,19587,9392,10195
Abrantes,2283,1010,1273,161952,67687,94265,2843,1402,1442
Alcanena,1115,522,593,92787,38861,53926,1661,756,905
Constância,274,114,160,20825,6885,13940,359,151,207
Entroncamento,1393,579,814,81624,30788,50836,1598,761,837
Ferreira do Zêzere,490,219,271,42166,17963,24203,745,376,369
Mação,343,133,210,20473,7103,13370,312,119,193
Ourém,3140,1370,1770,215034,92291,122743,3745,1777,1968
Sardoal,232,107,125,18776,9261,9515,297,166,131
Sertã,714,339,375,42611,19365,23246,697,358,339
Tomar,2013,840,1173,185772,73000,112772,3203,1413,1791
Torres Novas,2631,1190,1441,193720,86887,106833,3508,1828,1680
Vila de Rei,158,57,101,7985,3620,4365,129,67,61
Vila Nova da Barquinha,452,174,278,29042,9974,19068,490,218,272
Beiras e Serra da Estrela,11548,4756,6792,855561,344987,510574,13791,5973,7817
Almeida,252,98,154,20472,8897,11575,322,163,159
Belmonte,433,168,265,30287,12072,18215,429,183,246
Celorico da Beira,388,154,234,31975,10512,21463,496,184,313
Covilhã,2744,1112,1632,167929,67329,100600,2755,1179,1576
Figueira de Castelo Rodrigo,195,77,118,16102,7161,8941,245,109,136
Fornos de Algodres,204,92,112,15771,7897,7874,247,137,110
Fundão,1488,629,859,106756,40758,65998,1746,734,1011
Gouveia,558,233,325,39008,17950,21058,613,278,335
Guarda,2105,875,1230,164744,68327,96417,2950,1357,1592
Manteigas,136,47,89,9083,2776,6307,136,37,99
Mêda,197,87,110,15828,6246,9582,218,87,131
Pinhel,511,232,279,46604,20073,26531,660,295,365
Sabugal,524,206,318,46775,17768,29007,713,274,439
Seia,1372,559,813,110638,44277,66361,1764,755,1010
Trancoso,441,187,254,33589,12944,20645,498,203,295
A. M. Lisboa,167700,65776,101924,10200385,3927653,6272732,218753,98092,120662
Alcochete,1076,417,659,121202,40666,80536,2730,1102,1627
Almada,9940,3745,6195,639916,241933,397983,13451,6131,7320
Amadora,10408,4022,6386,506990,204742,302248,9625,4396,5229
Barreiro,4801,1879,2922,361977,137921,224056,8032,3685,4347
Cascais,10722,4302,6420,529801,213122,316679,12938,5763,7175
Lisboa,25335,10147,15188,1228007,509204,718803,29761,13342,16419
Loures,13112,5231,7881,678639,278694,399945,13554,6398,7157
Mafra,5256,2192,3064,370649,149686,220963,7730,3685,4045
Moita,4721,1788,2933,452819,154874,297945,9421,4027,5394
Montijo,3701,1400,2301,373931,117999,255932,7563,2858,4705
Odivelas,9387,3702,5685,472825,192741,280084,9412,4388,5024
Oeiras,8143,3102,5041,395806,159514,236292,10198,4509,5689
Palmela,4544,1807,2737,440604,148560,292044,9658,4035,5623
Seixal,10015,3763,6252,706392,266557,439835,14132,6112,8021
Sesimbra,3450,1418,2032,275097,113185,161912,5911,2985,2926
Setúbal,8324,3158,5166,820567,268271,552296,18793,8028,10765
Sintra,24575,9582,14993,1254046,503951,750095,24220,11131,13088
Vila Franca de Xira,10190,4121,6069,571117,226033,345084,11624,5517,6108
Alentejo,45862,18434,27428,3045223,1120005,1925218,55502,23939,31562
Alentejo Litoral,5337,2154,3183,374688,139786,234902,7742,3835,3907
Alcácer do Sal,674,234,440,57216,16678,40538,1004,323,681
Grândola,819,299,520,68762,23138,45624,1247,489,758
Odemira,1284,591,693,65039,28665,36374,1087,515,572
Santiago do Cacém,1698,676,1022,121380,46461,74919,2927,1649,1277
Sines,862,354,508,62291,24844,37447,1478,860,618
Baixo Alentejo,6320,2608,3712,308247,129061,179186,5528,2725,2803
Aljustrel,516,238,278,32568,14423,18145,659,382,278
Almodôvar,317,136,181,21233,9025,12208,431,235,196
Alvito,137,51,86,4952,1516,3436,80,27,53
Barrancos,45,19,26,2166,1132,1034,27,14,13
Beja,2239,856,1383,85326,33986,51340,1496,679,818
Castro Verde,393,183,210,22693,10543,12150,547,322,224
Cuba,242,111,131,11525,5468,6057,212,118,94
Ferreira do Alentejo,478,213,265,25609,12108,13501,464,269,195
Mértola,276,129,147,16069,6101,9968,270,99,171
Moura,460,191,269,23875,10014,13861,358,163,195
Ourique,259,96,163,17167,5298,11869,268,85,182
Serpa,689,282,407,30140,13760,16380,489,240,249
Vidigueira,269,103,166,14924,5687,9237,227,92,135
Lezíria do Tejo,17926,7329,10597,1302884,482467,820417,23893,10333,13561
Almeirim,1469,557,912,107584,37225,70359,1780,696,1085
Alpiarça,413,151,262,29439,8315,21124,492,175,317
Azambuja,1637,661,976,106242,42167,64075,1980,932,1048
Benavente,2428,957,1471,168967,59975,108992,3496,1420,2075
Cartaxo,1892,797,1095,133537,53233,80304,2662,1261,1401
Chamusca,703,296,407,53127,20558,32569,862,384,478
Coruche,1127,443,684,92129,34281,57848,1545,687,858
Golegã,407,164,243,33517,11087,22430,561,234,328
Rio Maior,1815,827,988,135183,50590,84593,2348,988,1360
Salvaterra de Magos,1666,639,1027,160305,53916,106389,2831,1127,1704
Santarém,4369,1837,2532,282854,111120,171734,5337,2430,2907
Alto Alentejo,6839,2626,4213,453794,158072,295722,7621,2919,4702
Alter do Chão,165,60,105,10777,3751,7026,168,53,115
Arronches,206,79,127,11551,2730,8821,202,52,149
Avis,227,86,141,16039,6217,9822,252,113,139
Campo Maior,873,373,500,46310,16961,29349,921,366,555
Castelo de Vide,172,63,109,10549,2830,7719,179,52,127
Crato,176,66,110,13668,3892,9776,198,62,136
Elvas,1381,556,825,84208,34709,49499,1445,701,744
Fronteira,156,65,91,10455,3630,6825,161,53,108
Gavião,215,77,138,16317,5308,11009,255,93,162
Marvão,191,55,136,11971,3021,8950,171,45,126
Monforte,134,45,89,7623,1949,5674,138,38,100
Nisa,329,96,233,24280,6178,18102,372,92,280
Ponte de Sor,884,345,539,72473,25762,46711,1173,453,720
Portalegre,1464,572,892,95860,34428,61432,1654,638,1015
Sousel,266,88,178,21713,6706,15007,333,108,225
Alentejo Central,9440,3717,5723,605610,210619,394991,10717,4127,6590
Alandroal,314,119,195,22951,8309,14642,353,136,217
Arraiolos,415,175,240,24829,9837,14992,416,187,230
Borba,365,149,216,28051,10489,17562,468,200,268
Estremoz,615,222,393,45203,14040,31163,744,266,479
Évora,3576,1415,2161,193704,71850,121854,3714,1509,2205
Montemor-o-Novo,940,361,579,56036,17412,38624,933,313,619
Mora,277,111,166,20448,6912,13536,340,149,190
Mourão,104,45,59,6224,2079,4145,95,38,57
Portel,336,137,199,21925,6549,15376,345,115,229
Redondo,340,163,177,17656,9550,8106,295,161,134
Reguengos de Monsaraz,579,239,340,35708,13596,22112,555,234,321
Vendas Novas,762,252,510,80643,20202,60441,1628,454,1175
Viana do Alentejo,341,129,212,19353,7580,11773,312,136,176
Vila Viçosa,476,200,276,32879,12214,20665,519,229,290
Algarve,25223,10222,15001,1658514,674089,984425,30102,13522,16580
Albufeira,2338,934,1404,182192,73449,108743,3497,1514,1984
Alcoutim,118,42,76,7264,1702,5562,107,30,77
Aljezur,237,102,135,14376,6236,8140,239,109,130
Castro Marim,332,142,190,25847,10784,15063,437,192,245
Faro,4021,1580,2441,244613,97071,147542,4679,2041,2639
Lagoa,1326,578,748,75794,36786,39008,1417,753,664
Lagos,1611,638,973,100596,39479,61117,1709,745,964
Loulé,3689,1467,2222,289334,111945,177389,5269,2278,2991
Monchique,267,110,157,17837,7916,9921,320,146,174
Olhão,2663,1032,1631,162289,62542,99747,2911,1317,1594
Portimão,3301,1351,1950,180151,71553,108598,3255,1451,1804
São Brás de Alportel,578,252,326,44979,22404,22575,884,464,420
Silves,2033,869,1164,140294,60184,80110,2404,1104,1300
Tavira,1487,616,871,88195,36180,52015,1560,711,849
Vila do Bispo,231,101,130,18285,7903,10382,260,112,148
Vila Real de Santo António,991,408,583,66468,27955,38513,1154,556,598
R. A. Açores,14450,6198,8252,1194403,476429,717974,21893,9818,12075
Santa Maria,331,135,196,21065,6254,14811,429,159,270
Vila do Porto,331,135,196,21065,6254,14811,429,159,270
São Miguel,7444,3251,4193,672771,283759,389012,12807,6093,6714
Lagoa (R.A.A.),714,300,414,69750,27076,42674,1207,556,651
Nordeste,203,105,98,14550,7449,7101,205,97,108
Ponta Delgada,4032,1690,2342,370350,147493,222857,7571,3441,4130
Povoação,298,124,174,31316,12709,18607,551,257,294
Ribeira Grande,1804,828,976,155671,72101,83570,2749,1436,1313
Vila Franca do Campo,393,204,189,31134,16931,14203,523,305,218
Terceira,3376,1421,1955,239463,82986,156477,4371,1730,2641
Angra do Heroísmo,2065,869,1196,143354,50875,92479,2617,1058,1559
Vila da Praia da Vitória,1311,552,759,96109,32111,63998,1754,672,1082
Graciosa,349,166,183,33365,12825,20540,490,214,276
Santa Cruz da Graciosa,349,166,183,33365,12825,20540,490,214,276
São Jorge,684,261,423,46357,16628,29729,761,292,469
Calheta (R.A.A.),268,94,174,15267,4253,11014,216,58,158
Velas,416,167,249,31090,12375,18715,545,234,311
Pico,1002,465,537,80754,32907,47847,1296,541,755
Lajes do Pico,321,148,173,26013,10744,15269,403,158,246
Madalena,444,204,240,33384,14053,19331,566,240,325
São Roque do Pico,237,113,124,21357,8110,13247,327,143,184
Faial,953,372,581,77000,30899,46101,1329,627,702
Horta,953,372,581,77000,30899,46101,1329,627,702
Flores,264,106,158,21060,8785,12275,361,131,230
Lajes das Flores,80,26,54,6144,2505,3639,101,38,63
Santa Cruz das Flores,184,80,104,14916,6280,8636,260,93,167
Corvo,47,21,26,2568,1386,1182,51,32,19
Corvo,47,21,26,2568,1386,1182,51,32,19
R. A. Madeira,11605,5275,6330,1040144,489723,550421,21579,12522,9057
Calheta (R.A.M.),364,157,207,39507,16896,22611,678,362,316
Câmara de Lobos,1504,736,768,114357,59117,55240,1991,1204,787
Funchal,4507,1888,2619,338935,141189,197746,7053,3285,3768
Machico,1579,915,664,220475,137917,82558,6125,4906,1219
Ponta do Sol,285,142,143,27058,13191,13867,487,268,219
Porto Moniz,90,33,57,10946,4305,6641,169,74,95
Ribeira Brava,540,279,261,51152,25859,25293,819,481,338
Santa Cruz,2096,868,1228,170674,69189,101485,3218,1503,1715
Santana,270,100,170,29548,9483,20065,448,194,254
São Vicente,177,67,110,23504,7132,16372,289,95,194
Porto Santo,193,90,103,13988,5445,8543,302,149,153
