,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Portugal,5493359,2641461,2851898,2449743,1048198,1401545,1197216,474761,722455
Continente,5218543,2507780,2710763,2359134,1011439,1347695,1157122,460813,696309
Norte,1945971,934616,1011355,823506,355694,467812,384161,153294,230867
Alto Minho,117616,56493,61123,65596,27587,38009,33572,12999,20573
Arcos de Valdevez,9526,4615,4911,7461,3062,4399,4043,1532,2511
Caminha,7977,3748,4229,4714,2012,2702,2381,929,1452
Melgaço,3332,1566,1766,3318,1345,1973,1837,693,1144
Monção,8575,4103,4472,6120,2517,3603,3161,1191,1970
Paredes de Coura,4252,2165,2087,2687,1122,1565,1430,554,876
Ponte da Barca,5512,2654,2858,3326,1369,1957,1790,710,1080
Ponte de Lima,21625,10450,11175,10132,4214,5918,5288,2005,3283
Valença,7076,3380,3696,3626,1536,2090,1795,697,1098
Viana do Castelo,45105,21497,23608,21808,9409,12399,10633,4230,6403
Vila Nova de Cerveira,4636,2315,2321,2404,1001,1403,1214,458,756
Cávado,231478,110978,120500,82881,36085,46796,37656,15130,22526
Amares,10003,4859,5144,4044,1805,2239,1931,801,1130
Barcelos,64811,31459,33352,23453,10166,13287,10451,4131,6320
Braga,109297,51860,57437,36037,15668,20369,15833,6381,9452
Esposende,19418,9253,10165,7199,3192,4007,3259,1341,1918
Terras de Bouro,3188,1567,1621,1858,827,1031,965,399,566
Vila Verde,24761,11980,12781,10290,4427,5863,5217,2077,3140
Ave,232148,112863,119285,88555,38728,49827,38784,15438,23346
Cabeceiras de Basto,8245,4068,4177,3589,1577,2012,1855,731,1124
Fafe,26182,12588,13594,11372,4843,6529,5143,1959,3184
Guimarães,87889,42799,45090,32084,14073,18011,13525,5402,8123
Mondim de Basto,3248,1579,1669,1839,817,1022,945,383,562
Póvoa de Lanhoso,11776,5628,6148,4948,2213,2735,2303,924,1379
Vieira do Minho,6063,2927,3136,3560,1580,1980,1827,738,1089
Vila Nova de Famalicão,74903,36510,38393,26890,11706,15184,11480,4622,6858
Vizela,13842,6764,7078,4273,1919,2354,1706,679,1027
A. M. Porto,951834,453556,498278,387790,166111,221679,176897,70566,106331
Arouca,11077,5528,5549,5101,2179,2922,2428,928,1500
Espinho,15822,7519,8303,8884,3749,5135,4293,1697,2596
Gondomar,90631,43006,47625,35772,15618,20154,15713,6439,9274
Maia,75816,35945,39871,26764,11602,15162,11887,4926,6961
Matosinhos,94233,44486,49747,40375,17365,23010,17968,7262,10706
Oliveira de Azeméis,36180,17761,18419,15559,6905,8654,7397,3054,4343
Paredes,48207,23339,24868,14118,6254,7864,5894,2381,3513
Porto,122114,57548,64566,60812,23730,37082,30824,11074,19750
Póvoa de Varzim,35109,16508,18601,13481,5780,7701,5931,2320,3611
Santa Maria da Feira,75902,36810,39092,29227,12902,16325,13210,5385,7825
Santo Tirso,36533,17590,18943,16940,7423,9517,7619,3089,4530
São João da Madeira,12292,5740,6552,4978,2099,2879,2299,915,1384
Trofa,21764,10487,11277,7860,3482,4378,3362,1385,1977
Vale de Cambra,10953,5407,5546,6064,2654,3410,2973,1220,1753
Valongo,53378,25300,28078,18853,8170,10683,8165,3330,4835
Vila do Conde,44637,21553,23084,16709,7216,9493,7510,3001,4509
Vila Nova de Gaia,167186,79029,88157,66293,28983,37310,29424,12160,17264
Alto Tâmega,39758,19424,20334,29698,13157,16541,15472,6326,9146
Boticas,2302,1158,1144,1869,822,1047,1010,421,589
Chaves,18324,8807,9517,12228,5423,6805,6239,2568,3671
Montalegre,4178,2139,2039,3674,1631,2043,2026,829,1197
Ribeira de Pena,2910,1456,1454,1867,849,1018,979,396,583
Valpaços,6387,3106,3281,5942,2578,3364,3149,1261,1888
Vila Pouca de Aguiar,5657,2758,2899,4118,1854,2264,2069,851,1218
Tâmega e Sousa,228269,110645,117624,79371,34740,44631,35587,14159,21428
Amarante,28198,13424,14774,11803,5249,6554,5338,2151,3187
Baião,9524,4587,4937,4055,1714,2341,1986,758,1228
Castelo de Paiva,8552,4238,4314,3280,1424,1856,1503,570,933
Celorico de Basto,9340,4605,4735,4284,1775,2509,2177,816,1361
Cinfães,9202,4531,4671,4551,1996,2555,2300,895,1405
Felgueiras,31799,15363,16436,10282,4510,5772,4449,1804,2645
Lousada,27431,13172,14259,7476,3312,4164,3100,1252,1848
Marco de Canaveses,27718,13353,14365,9201,3960,5241,4051,1583,2468
Paços de Ferreira,32043,15948,16095,9215,4117,5098,3912,1618,2294
Penafiel,39194,18785,20409,12636,5570,7066,5449,2194,3255
Resende,5268,2639,2629,2588,1113,1475,1322,518,804
Douro,93654,45581,48073,53245,23007,30238,26913,10570,16343
Alijó,5134,2602,2532,3459,1540,1919,1809,742,1067
Armamar,2846,1393,1453,1737,726,1011,966,372,594
Carrazeda de Ansiães,2512,1290,1222,2058,895,1163,1067,446,621
Freixo de Espada à Cinta,1436,726,710,1181,506,675,705,288,417
Lamego,12835,6203,6632,6413,2717,3696,3166,1189,1977
Mesão Frio,1804,870,934,1048,432,616,496,191,305
Moimenta da Beira,4619,2230,2389,2806,1240,1566,1483,607,876
Murça,2456,1216,1240,1887,832,1055,964,408,556
Penedono,1286,635,651,941,396,545,526,199,327
Peso da Régua,7615,3662,3953,3889,1645,2244,1792,654,1138
Sabrosa,2679,1334,1345,1848,823,1025,930,356,574
Santa Marta de Penaguião,2999,1452,1547,1962,855,1107,939,356,583
São João da Pesqueira,3481,1752,1729,1900,839,1061,966,381,585
Sernancelhe,2818,1431,1387,1819,806,1013,973,405,568
Tabuaço,2533,1229,1304,1620,714,906,811,316,495
Tarouca,3858,1874,1984,1819,796,1023,876,352,524
Torre de Moncorvo,3027,1518,1509,2784,1194,1590,1544,625,919
Vila Nova de Foz Côa,2995,1535,1460,2268,961,1307,1201,452,749
Vila Real,26721,12629,14092,11806,5090,6716,5699,2231,3468
Terras de Trás-os-Montes,51214,25076,26138,36370,16279,20091,19280,8106,11174
Alfândega da Fé,2001,992,1009,1617,748,869,884,386,498
Bragança,17469,8435,9034,9817,4370,5447,4969,2111,2858
Macedo de Cavaleiros,6746,3297,3449,4972,2196,2776,2575,1045,1530
Miranda do Douro,2903,1453,1450,2518,1132,1386,1417,593,824
Mirandela,10338,4975,5363,6898,3038,3860,3606,1498,2108
Mogadouro,3874,1974,1900,3142,1412,1730,1760,732,1028
Vila Flor,2823,1382,1441,2156,965,1191,1135,471,664
Vimioso,1755,891,864,1808,831,977,976,414,562
Vinhais,3305,1677,1628,3442,1587,1855,1958,856,1102
Centro,1144268,554145,590123,606906,262226,344680,311637,124467,187170
Oeste,190822,92667,98155,88995,39209,49786,44037,18075,25962
Alcobaça,28528,13978,14550,14326,6293,8033,7083,2926,4157
Alenquer,24171,11796,12375,9065,3973,5092,4424,1776,2648
Arruda dos Vinhos,7556,3687,3869,2727,1181,1546,1357,552,805
Bombarral,6486,3139,3347,3516,1548,1968,1664,682,982
Cadaval,6535,3192,3343,4030,1786,2244,2098,869,1229
Caldas da Rainha,26520,12531,13989,13285,5793,7492,6683,2712,3971
Lourinhã,13507,6531,6976,6749,3062,3687,3235,1367,1868
Nazaré,7689,3724,3965,3934,1716,2218,1789,699,1090
Óbidos,6174,3046,3128,3213,1461,1752,1519,642,877
Peniche,13386,6476,6910,6938,3037,3901,3390,1389,2001
Sobral de Monte Agraço,5746,2805,2941,2167,944,1223,1074,417,657
Torres Vedras,44524,21762,22762,19045,8415,10630,9721,4044,5677
Região de Aveiro,198209,95711,102498,87250,38101,49149,42296,17288,25008
Águeda,24231,11727,12504,11969,5354,6615,5741,2419,3322
Albergaria-a-Velha,13411,6578,6833,5707,2556,3151,2703,1138,1565
Anadia,13879,6749,7130,8170,3556,4614,4203,1691,2512
Aveiro,45481,21661,23820,17335,7497,9838,8196,3359,4837
Estarreja,13904,6877,7027,6450,2759,3691,3275,1304,1971
Ílhavo,21624,10303,11321,8598,3734,4864,4021,1595,2426
Murtosa,5443,2693,2750,2597,1114,1483,1326,540,786
Oliveira do Bairro,12266,5880,6386,5514,2366,3148,2880,1165,1715
Ovar,30335,14629,15706,12071,5279,6792,5425,2223,3202
Sever do Vouga,5539,2729,2810,3278,1446,1832,1714,707,1007
Vagos,12096,5885,6211,5561,2440,3121,2812,1147,1665
Região de Coimbra,224740,107955,116785,122316,52025,70291,63060,24858,38202
Arganil,5365,2653,2712,3668,1597,2071,2059,821,1238
Cantanhede,16814,8093,8721,10443,4481,5962,5540,2183,3357
Coimbra,74981,35407,39574,36120,14999,21121,17606,6814,10792
Condeixa-a-Nova,9042,4255,4787,3869,1589,2280,2006,759,1247
Figueira da Foz,30031,14364,15667,16835,7287,9548,8448,3407,5041
Góis,1746,853,893,1437,606,831,827,307,520
Lousã,9110,4380,4730,3945,1731,2214,2002,818,1184
Mealhada,10236,4962,5274,5094,2183,2911,2657,1077,1580
Mira,5908,2860,3048,3751,1594,2157,2002,810,1192
Miranda do Corvo,6260,3069,3191,3238,1389,1849,1715,657,1058
Montemor-o-Velho,12967,6330,6637,6427,2782,3645,3441,1394,2047
Mortágua,4239,2094,2145,3169,1392,1777,1649,692,957
Oliveira do Hospital,9841,4805,5036,5554,2391,3163,2927,1166,1761
Pampilhosa da Serra,1718,871,847,1895,802,1093,1104,424,680
Penacova,6465,3182,3283,4213,1763,2450,2167,822,1345
Penela,2695,1348,1347,1725,732,993,990,383,607
Soure,8150,3984,4166,5813,2472,3341,3178,1244,1934
Tábua,5523,2701,2822,3351,1470,1881,1816,724,1092
Vila Nova de Poiares,3649,1744,1905,1769,765,1004,926,356,570
Região de Leiria,149728,72715,77013,72814,31902,40912,36821,15040,21781
Alvaiázere,2871,1408,1463,2315,953,1362,1270,468,802
Ansião,5576,2748,2828,3776,1604,2172,2104,839,1265
Batalha,8258,3987,4271,3611,1653,1958,1762,766,996
Castanheira de Pêra,1205,589,616,1014,437,577,539,206,333
Figueiró dos Vinhos,2515,1231,1284,1870,784,1086,962,356,606
Leiria,69429,33509,35920,29081,12785,16296,14299,5886,8413
Marinha Grande,20875,10161,10714,9202,4144,5058,4296,1850,2446
Pedrógão Grande,1619,801,818,1220,525,695,653,238,415
Pombal,25311,12316,12995,14901,6474,8427,7886,3196,4690
Porto de Mós,12069,5965,6104,5824,2543,3281,3050,1235,1815
Viseu Dão Lafões,126599,60562,66037,72155,31237,40918,37273,14981,22292
Aguiar da Beira,2372,1154,1218,1989,854,1135,1085,442,643
Carregal do Sal,4312,2089,2223,2875,1225,1650,1474,597,877
Castro Daire,6619,3276,3343,4456,1905,2551,2326,915,1411
Mangualde,9016,4358,4658,5426,2405,3021,2808,1131,1677
Nelas,6254,2989,3265,4048,1734,2314,2099,835,1264
Oliveira de Frades,4997,2439,2558,2379,1020,1359,1233,482,751
Penalva do Castelo,3324,1629,1695,2575,1120,1455,1398,572,826
Santa Comba Dão,5016,2400,2616,3476,1522,1954,1827,744,1083
São Pedro do Sul,7132,3485,3647,4991,2131,2860,2581,1012,1569
Sátão,5357,2579,2778,3381,1458,1923,1801,708,1093
Tondela,12575,6032,6543,8293,3596,4697,4465,1819,2646
Vila Nova de Paiva,2239,1088,1151,1514,662,852,809,308,501
Viseu,52689,24755,27934,23732,10314,13418,11699,4732,6967
Vouzela,4697,2289,2408,3020,1291,1729,1668,684,984
Beira Baixa,38683,18999,19684,27077,11765,15312,14957,5941,9016
Castelo Branco,26568,12698,13870,14926,6531,8395,7748,3095,4653
Idanha-a-Nova,3447,1783,1664,3546,1511,2035,2170,857,1313
Oleiros,2067,1073,994,2265,976,1289,1317,524,793
Penamacor,2025,1083,942,2111,920,1191,1311,524,787
Proença-a-Nova,3257,1698,1559,2739,1180,1559,1492,559,933
Vila Velha de Ródão,1319,664,655,1490,647,843,919,382,537
Médio Tejo,113717,55456,58261,66758,28134,38624,35852,13706,22146
Abrantes,16776,8342,8434,10726,4547,6179,5689,2207,3482
Alcanena,6210,3050,3160,3567,1536,2031,1812,727,1085
Constância,1972,955,1017,989,428,561,503,185,318
Entroncamento,10949,5184,5765,4301,1820,2481,2306,909,1397
Ferreira do Zêzere,3721,1832,1889,2531,1065,1466,1398,534,864
Mação,2751,1426,1325,2670,1133,1537,1647,641,1006
Ourém,22606,10976,11630,12010,4901,7109,6514,2380,4134
Sardoal,1760,887,873,1145,483,662,621,232,389
Sertã,7131,3507,3624,4644,2038,2606,2511,969,1542
Tomar,17901,8620,9281,11185,4651,6534,5851,2214,3637
Torres Novas,16997,8252,8745,9725,4147,5578,5126,1997,3129
Vila de Rei,1399,696,703,1324,551,773,821,299,522
Vila Nova da Barquinha,3544,1729,1815,1941,834,1107,1053,412,641
Beiras e Serra da Estrela,101770,50080,51690,69541,29853,39688,37341,14578,22763
Almeida,2526,1280,1246,2560,1068,1492,1523,579,944
Belmonte,3044,1503,1541,2023,873,1150,1136,446,690
Celorico da Beira,3080,1501,1579,2295,999,1296,1273,509,764
Covilhã,23255,11393,11862,13985,5984,8001,6943,2662,4281
Figueira de Castelo Rodrigo,2288,1152,1136,1952,836,1116,1131,450,681
Fornos de Algodres,2042,1013,1029,1597,663,934,943,359,584
Fundão,12797,6329,6468,8659,3751,4908,4652,1819,2833
Gouveia,5439,2632,2807,4673,2008,2665,2567,988,1579
Guarda,21310,10379,10931,10173,4364,5809,5191,2015,3176
Manteigas,1323,653,670,1127,490,637,556,218,338
Mêda,2104,1048,1056,1790,774,1016,1027,411,616
Pinhel,3651,1846,1805,3107,1326,1781,1776,722,1054
Sabugal,4657,2393,2264,5035,2150,2885,3055,1182,1873
Seia,10301,4995,5306,7535,3290,4245,3850,1535,2315
Trancoso,3953,1963,1990,3030,1277,1753,1718,683,1035
A. M. Lisboa,1523899,721099,802800,626427,260254,366173,308514,120878,187636
Alcochete,10449,5047,5402,3438,1507,1931,1665,691,974
Almada,91282,42838,48444,42596,17972,24624,21511,8567,12944
Amadora,91329,42520,48809,38584,15770,22814,19184,7471,11713
Barreiro,39395,18623,20772,20031,8411,11620,9992,4133,5859
Cascais,110542,51277,59265,48956,20186,28770,23868,9327,14541
Lisboa,291145,140033,151112,127655,49088,78567,69176,24267,44909
Loures,106127,50083,56044,44878,18987,25891,21914,8901,13013
Mafra,47190,22944,24246,15588,6874,8714,7530,3142,4388
Moita,34269,16183,18086,14614,6211,8403,6572,2592,3980
Montijo,30642,15126,15516,10520,4413,6107,5116,1966,3150
Odivelas,79770,37677,42093,31382,13229,18153,14807,6002,8805
Oeiras,88136,40966,47170,41739,17058,24681,20906,8335,12571
Palmela,36335,17731,18604,14621,6299,8322,7428,3000,4428
Seixal,87616,40857,46759,36414,15971,20443,16396,7103,9293
Sesimbra,28042,13496,14546,10872,5005,5867,5094,2259,2835
Setúbal,63004,29840,33164,28713,12411,16302,13626,5534,8092
Sintra,213092,100065,113027,69967,29550,40417,32511,12997,19514
Vila Franca de Xira,75534,35793,39741,25859,11312,14547,11218,4591,6627
Alentejo,358780,179652,179128,190438,81981,108457,100362,39715,60647
Alentejo Litoral,51559,27453,24106,25305,11363,13942,12909,5288,7621
Alcácer do Sal,5387,2692,2695,3481,1514,1967,1717,672,1045
Grândola,7118,3792,3326,3793,1724,2069,2020,861,1159
Odemira,17407,10303,7104,6696,3071,3625,3628,1532,2096
Santiago do Cacém,13985,6885,7100,8112,3646,4466,4019,1632,2387
Sines,7662,3781,3881,3223,1408,1815,1525,591,934
Baixo Alentejo,57667,29556,28111,31464,13530,17934,16385,6309,10076
Aljustrel,4472,2332,2140,2532,1103,1429,1236,473,763
Almodôvar,3243,1670,1573,2163,969,1194,1153,499,654
Alvito,1086,532,554,659,286,373,364,137,227
Barrancos,727,372,355,380,158,222,212,74,138
Beja,17376,8782,8594,7809,3256,4553,3995,1471,2524
Castro Verde,3556,1794,1762,1861,797,1064,946,344,602
Cuba,2226,1146,1080,1133,488,645,632,248,384
Ferreira do Alentejo,3889,2101,1788,2222,949,1273,1114,433,681
Mértola,2921,1546,1375,2280,1001,1279,1255,495,760
Moura,6317,3201,3116,3494,1470,2024,1801,670,1131
Ourique,2290,1163,1127,1635,752,883,919,400,519
Serpa,6974,3605,3369,3868,1699,2169,1994,784,1210
Vidigueira,2590,1312,1278,1428,602,826,764,281,483
Lezíria do Tejo,120863,59395,61468,60986,26016,34970,31582,12454,19128
Almeirim,11208,5406,5802,5642,2409,3233,2951,1194,1757
Alpiarça,3368,1627,1741,2050,846,1204,1051,391,660
Azambuja,11515,6115,5400,5080,2202,2878,2571,1053,1518
Benavente,16097,7791,8306,5950,2568,3382,2910,1191,1719
Cartaxo,12086,5877,6209,5862,2559,3303,2990,1223,1767
Chamusca,4157,2105,2052,2697,1162,1535,1451,580,871
Coruche,8135,3977,4158,5729,2458,3271,3151,1227,1924
Golegã,2678,1314,1364,1562,647,915,821,317,504
Rio Maior,10989,5490,5499,5074,2181,2893,2584,1038,1546
Salvaterra de Magos,10911,5371,5540,5844,2533,3311,2980,1165,1815
Santarém,29719,14322,15397,15496,6451,9045,8122,3075,5047
Alto Alentejo,51041,25078,25963,31236,13325,17911,17293,6802,10491
Alter do Chão,1385,674,711,1063,444,619,640,235,405
Arronches,1368,711,657,875,374,501,548,223,325
Avis,1811,903,908,1234,527,707,674,271,403
Campo Maior,4017,1959,2058,1917,830,1087,955,392,563
Castelo de Vide,1452,708,744,1110,485,625,647,253,394
Crato,1401,694,707,1274,514,760,748,280,468
Elvas,10564,5105,5459,5014,2135,2879,2648,1032,1616
Fronteira,1349,661,688,965,404,561,524,196,328
Gavião,1438,724,714,1416,585,831,910,343,567
Marvão,1427,706,721,1065,481,584,610,255,355
Monforte,1388,675,713,866,372,494,529,217,312
Nisa,2581,1326,1255,2384,1004,1380,1418,535,883
Ponte de Sor,7631,3825,3806,4484,1910,2574,2453,954,1499
Portalegre,11188,5404,5784,6155,2698,3457,3144,1303,1841
Sousel,2041,1003,1038,1414,562,852,845,313,532
Alentejo Central,77650,38170,39480,41447,17747,23700,22193,8862,13331
Alandroal,2473,1277,1196,1578,672,906,942,384,558
Arraiolos,3383,1722,1661,1889,826,1063,1008,405,603
Borba,3245,1631,1614,1864,852,1012,1049,440,609
Estremoz,6428,3135,3293,3659,1557,2102,2187,864,1323
Évora,28208,13469,14739,12710,5347,7363,6135,2398,3737
Montemor-o-Novo,7771,3853,3918,4774,2072,2702,2693,1100,1593
Mora,1828,899,929,1589,699,890,885,358,527
Mourão,1140,604,536,656,297,359,354,148,206
Portel,2880,1470,1410,1632,692,940,872,349,523
Redondo,3211,1649,1562,1749,744,1005,954,370,584
Reguengos de Monsaraz,5041,2509,2532,2641,1115,1526,1415,540,875
Vendas Novas,5420,2664,2756,3344,1440,1904,1864,793,1071
Viana do Alentejo,2727,1350,1377,1381,573,808,803,299,504
Vila Viçosa,3895,1938,1957,1981,861,1120,1032,414,618
Algarve,245625,118268,127357,111857,51284,60573,52448,22459,29989
Albufeira,25377,12198,13179,8211,3820,4391,3510,1504,2006
Alcoutim,968,505,463,1179,527,652,695,302,393
Aljezur,3147,1578,1569,1630,770,860,861,381,480
Castro Marim,3051,1506,1545,2103,1015,1088,1036,460,576
Faro,36324,17283,19041,14972,6465,8507,7125,2889,4236
Lagoa,12386,5982,6404,5620,2631,2989,2470,1057,1413
Lagos,17413,8332,9081,8396,3906,4490,3679,1590,2089
Loulé,38213,18279,19934,17040,7878,9162,8229,3609,4620
Monchique,2599,1316,1283,1839,898,941,996,451,545
Olhão,23195,11255,11940,10299,4693,5606,4758,2053,2705
Portimão,31580,14998,16582,13502,6046,7456,6240,2649,3591
São Brás de Alportel,5721,2735,2986,2936,1312,1624,1483,607,876
Silves,19669,9684,9985,9443,4381,5062,4620,1933,2687
Tavira,13626,6699,6927,8170,3898,4272,3785,1703,2082
Vila do Bispo,2947,1460,1487,1571,734,837,769,339,430
Vila Real de Santo António,9409,4458,4951,4946,2310,2636,2192,932,1260
R. A. Açores,134374,66171,68203,39840,17040,22800,17194,6290,10904
Santa Maria,3057,1506,1551,963,386,577,408,138,270
Vila do Porto,3057,1506,1551,963,386,577,408,138,270
São Miguel,76631,37609,39022,19120,8124,10996,8023,2834,5189
Lagoa (R.A.A.),8138,4008,4130,1833,787,1046,758,271,487
Nordeste,2369,1188,1181,923,409,514,445,161,284
Ponta Delgada,39213,19006,20207,10342,4297,6045,4351,1525,2826
Povoação,3271,1627,1644,1017,447,570,450,169,281
Ribeira Grande,17719,8849,8870,3427,1449,1978,1387,459,928
Vila Franca do Campo,5921,2931,2990,1578,735,843,632,249,383
Terceira,30046,14805,15241,10251,4404,5847,4382,1624,2758
Angra do Heroísmo,18937,9345,9592,6603,2820,3783,2903,1060,1843
Vila da Praia da Vitória,11109,5460,5649,3648,1584,2064,1479,564,915
Graciosa,2165,1069,1096,912,400,512,422,160,262
Santa Cruz da Graciosa,2165,1069,1096,912,400,512,422,160,262
São Jorge,4605,2300,2305,1870,822,1048,918,373,545
Calheta (R.A.A.),1818,906,912,837,371,466,425,180,245
Velas,2787,1394,1393,1033,451,582,493,193,300
Pico,7691,3845,3846,3082,1322,1760,1463,541,922
Lajes do Pico,2303,1155,1148,1094,475,619,533,199,334
Madalena,3534,1765,1769,1291,547,744,613,228,385
São Roque do Pico,1854,925,929,697,300,397,317,114,203
Faial,7972,3881,4091,2891,1249,1642,1234,470,764
Horta,7972,3881,4091,2891,1249,1642,1234,470,764
Flores,1971,1029,942,688,304,384,319,140,179
Lajes das Flores,806,429,377,288,128,160,133,61,72
Santa Cruz das Flores,1165,600,565,400,176,224,186,79,107
Corvo,236,127,109,63,29,34,25,10,15
Corvo,236,127,109,63,29,34,25,10,15
R. A. Madeira,140442,67510,72932,50769,19719,31050,22900,7658,15242
Calheta (R.A.M.),5707,2732,2975,2785,1010,1775,1400,443,957
Câmara de Lobos,18086,8826,9260,4919,1870,3049,2046,649,1397
Funchal,58950,27928,31022,23211,9109,14102,10421,3646,6775
Machico,10986,5500,5486,4105,1633,2472,1802,602,1200
Ponta do Sol,4494,2127,2367,1825,701,1124,904,288,616
Porto Moniz,1272,624,648,753,243,510,372,99,273
Ribeira Brava,6848,3229,3619,2660,944,1716,1283,372,911
Santa Cruz,25155,12157,12998,6308,2600,3708,2663,922,1741
Santana,3349,1634,1715,1895,675,1220,983,284,699
São Vicente,2537,1227,1310,1324,494,830,630,202,428
Porto Santo,3058,1526,1532,984,440,544,396,151,245
