,"Medical doctors, Total (N.º)","Medical doctors, Specialists (N.º)","Medical doctors, Non-specialists (N.º)","Specialist medical doctors, General surgery (N.º)","Specialist medical doctors, Stomatology (N.º)","Specialist medical doctors, Gynaecology and obstetrics (N.º)","Specialist medical doctors, Family and general medicine (N.º)","Specialist medical doctors, Ophthalmology (N.º)","Specialist medical doctors, Orthopaedics (N.º)","Specialist medical doctors, Paediatrics (N.º)","Specialist medical doctors, Psychiatry (N.º)"
Portugal,58735,36145,22590,1831,581,1850,8198,1140,1315,2284,1294
Continente,56535,34862,21673,1758,567,1781,7861,1113,1274,2210,1260
Norte,20602,12004,8598,574,162,592,2963,332,459,788,432
Alto Minho,957,482,475,18,5,21,183,13,13,32,13
Arcos de Valdevez,42,24,18,2,0,1,14,0,0,0,0
Caminha,86,45,41,2,0,1,16,0,2,5,2
Melgaço,20,12,8,0,0,0,8,0,0,0,0
Monção,62,28,34,0,0,2,14,1,1,0,0
Paredes de Coura,13,4,9,0,0,0,3,0,0,0,0
Ponte da Barca,30,16,14,0,0,0,11,1,0,1,1
Ponte de Lima,120,46,74,1,1,1,26,0,2,5,2
Valença,30,10,20,0,0,1,8,0,0,0,0
Viana do Castelo,527,281,246,13,4,15,77,11,8,21,8
Vila Nova de Cerveira,27,16,11,0,0,0,6,0,0,0,0
Cávado,2346,1162,1184,51,13,61,323,28,60,65,48
Amares,53,24,29,1,1,0,7,1,2,1,2
Barcelos,377,137,240,2,2,5,49,3,4,9,7
Braga,1643,885,758,43,10,50,236,23,47,51,33
Esposende,167,77,90,4,0,5,20,1,5,4,2
Terras de Bouro,10,2,8,0,0,0,1,0,0,0,0
Vila Verde,96,37,59,1,0,1,10,0,2,0,4
Ave,1570,713,857,36,0,36,260,16,22,41,15
Cabeceiras de Basto,43,16,27,0,0,1,10,0,0,0,1
Fafe,184,65,119,2,0,1,32,2,3,2,2
Guimarães,686,351,335,16,0,22,119,7,7,26,7
Mondim de Basto,12,4,8,0,0,0,3,0,0,0,0
Póvoa de Lanhoso,42,19,23,0,0,0,7,0,1,1,1
Vieira do Minho,18,7,11,0,0,0,5,0,0,0,0
Vila Nova de Famalicão,509,220,289,16,0,12,71,2,10,12,3
Vizela,76,31,45,2,0,0,13,5,1,0,1
A. M. Porto,13363,8593,4770,409,137,443,1783,256,326,584,333
Arouca,32,15,17,0,2,0,9,0,0,1,0
Espinho,229,145,84,4,1,10,40,1,9,19,4
Gondomar,748,410,338,17,4,16,125,12,11,30,12
Maia,990,612,378,20,8,25,147,13,18,48,14
Matosinhos,1734,1163,571,51,12,56,233,30,56,82,43
Oliveira de Azeméis,177,85,92,5,0,2,34,1,4,8,2
Paredes,197,83,114,6,2,5,20,0,2,4,2
Porto,5168,3792,1376,181,65,214,547,141,147,223,177
Póvoa de Varzim,373,205,168,14,1,14,57,2,8,19,6
Santa Maria da Feira,448,204,244,10,5,12,61,7,6,17,4
Santo Tirso,278,134,144,4,0,3,34,2,5,14,4
São João da Madeira,93,49,44,3,2,3,18,3,2,0,1
Trofa,140,60,80,3,0,1,31,0,2,2,1
Vale de Cambra,83,34,49,1,3,1,13,1,1,5,1
Valongo,354,183,171,11,4,7,54,2,7,12,4
Vila do Conde,403,237,166,18,4,9,73,11,6,23,6
Vila Nova de Gaia,1916,1182,734,61,24,65,287,30,42,77,52
Alto Tâmega,317,149,168,7,1,7,58,2,8,9,0
Boticas,7,4,3,0,0,0,1,0,0,0,0
Chaves,226,110,116,6,0,6,37,1,7,9,0
Montalegre,14,5,9,1,0,0,2,0,1,0,0
Ribeira de Pena,7,4,3,0,1,0,3,0,0,0,0
Valpaços,33,13,20,0,0,0,7,1,0,0,0
Vila Pouca de Aguiar,30,13,17,0,0,1,8,0,0,0,0
Tâmega e Sousa,925,359,566,18,2,8,161,3,10,24,11
Amarante,156,59,97,5,0,1,25,0,3,5,1
Baião,23,8,15,1,0,0,6,0,0,0,0
Castelo de Paiva,20,9,11,0,0,0,6,0,0,0,0
Celorico de Basto,31,14,17,2,0,0,7,0,0,0,0
Cinfães,22,8,14,2,0,0,4,0,0,1,0
Felgueiras,134,41,93,1,1,0,18,0,2,2,2
Lousada,73,31,42,2,0,0,13,0,0,1,0
Marco de Canaveses,89,35,54,1,0,1,19,2,0,3,1
Paços de Ferreira,143,57,86,1,1,2,22,1,1,6,2
Penafiel,214,95,119,3,0,4,41,0,4,6,5
Resende,20,2,18,0,0,0,0,0,0,0,0
Douro,706,342,364,22,2,13,116,9,10,24,6
Alijó,12,4,8,0,0,0,3,0,0,0,0
Armamar,5,2,3,0,0,0,2,0,0,0,0
Carrazeda de Ansiães,8,1,7,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,3,0,3,0,0,0,0,0,0,0,0
Lamego,118,42,76,3,0,0,21,1,1,2,0
Mesão Frio,11,1,10,0,0,0,1,0,0,0,0
Moimenta da Beira,26,10,16,0,0,0,7,0,0,1,0
Murça,8,2,6,1,0,0,1,0,0,0,0
Penedono,3,2,1,0,0,0,2,0,0,0,0
Peso da Régua,43,21,22,0,0,1,10,0,0,0,1
Sabrosa,6,2,4,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,9,2,7,0,0,0,1,0,0,1,0
São João da Pesqueira,11,6,5,0,0,0,4,0,0,0,1
Sernancelhe,8,3,5,0,0,0,3,0,0,0,0
Tabuaço,5,1,4,0,0,0,1,0,0,0,0
Tarouca,17,5,12,0,0,0,4,0,0,1,0
Torre de Moncorvo,13,2,11,0,0,0,2,0,0,0,0
Vila Nova de Foz Côa,14,2,12,0,0,1,0,0,0,0,0
Vila Real,386,234,152,18,2,11,54,8,9,19,4
Terras de Trás-os-Montes,418,204,214,13,2,3,79,5,10,9,6
Alfândega da Fé,9,5,4,0,0,0,1,0,0,0,0
Bragança,196,97,99,7,2,2,31,2,3,3,4
Macedo de Cavaleiros,47,23,24,2,0,0,9,0,6,0,0
Miranda do Douro,16,6,10,0,0,0,5,0,0,0,0
Mirandela,101,54,47,4,0,1,21,2,0,4,2
Mogadouro,18,9,9,0,0,0,7,0,1,1,0
Vila Flor,8,4,4,0,0,0,2,1,0,0,0
Vimioso,8,1,7,0,0,0,1,0,0,0,0
Vinhais,15,5,10,0,0,0,2,0,0,1,0
Centro,12053,7254,4799,363,116,368,2004,202,273,390,263
Oeste,839,495,344,25,7,16,190,9,15,31,8
Alcobaça,91,38,53,1,0,1,19,0,0,3,1
Alenquer,76,42,34,0,1,0,23,1,2,2,0
Arruda dos Vinhos,42,20,22,0,0,1,8,0,1,1,1
Bombarral,24,14,10,0,0,0,6,0,0,2,0
Cadaval,11,3,8,0,0,0,1,0,0,0,1
Caldas da Rainha,205,137,68,8,1,5,39,6,4,13,3
Lourinhã,49,31,18,1,0,0,17,0,0,2,0
Nazaré,29,17,12,1,0,1,10,0,0,0,1
Óbidos,14,8,6,1,0,0,4,0,0,0,0
Peniche,46,29,17,1,1,1,17,0,0,1,0
Sobral de Monte Agraço,21,14,7,1,1,0,4,0,0,0,0
Torres Vedras,231,142,89,11,3,7,42,2,8,7,1
Região de Aveiro,1416,827,589,37,14,35,291,23,27,61,23
Águeda,134,65,69,4,3,2,25,3,2,5,2
Albergaria-a-Velha,75,35,40,0,0,1,15,0,2,4,1
Anadia,98,49,49,5,0,0,15,2,4,4,1
Aveiro,522,358,164,19,5,23,112,11,6,22,12
Estarreja,61,33,28,0,0,0,21,0,1,2,0
Ílhavo,136,76,60,4,1,2,20,2,2,5,3
Murtosa,20,13,7,1,0,0,8,0,0,0,0
Oliveira do Bairro,64,32,32,2,0,2,13,1,0,1,0
Ovar,220,127,93,2,4,4,47,4,8,15,2
Sever do Vouga,22,10,12,0,0,0,4,0,0,0,2
Vagos,64,29,35,0,1,1,11,0,2,3,0
Região de Coimbra,5899,3793,2106,181,75,224,743,125,158,186,168
Arganil,13,10,3,0,0,0,6,0,0,0,0
Cantanhede,122,68,54,5,1,5,23,0,0,4,7
Coimbra,4830,3196,1634,148,66,199,545,113,135,162,143
Condeixa-a-Nova,103,66,37,5,1,3,14,1,1,3,4
Figueira da Foz,403,241,162,14,3,10,65,5,14,12,5
Góis,2,0,2,0,0,0,0,0,0,0,0
Lousã,37,13,24,0,0,1,5,1,0,0,0
Mealhada,70,40,30,3,2,2,17,1,0,2,1
Mira,51,20,31,2,0,0,12,0,0,1,0
Miranda do Corvo,34,16,18,0,1,0,5,0,2,1,1
Montemor-o-Velho,63,38,25,1,1,0,9,0,3,1,4
Mortágua,29,17,12,0,0,0,10,2,3,0,0
Oliveira do Hospital,39,22,17,2,0,0,14,1,0,0,1
Pampilhosa da Serra,2,0,2,0,0,0,0,0,0,0,0
Penacova,19,11,8,0,0,1,3,0,0,0,1
Penela,15,7,8,1,0,0,4,0,0,0,0
Soure,40,17,23,0,0,3,6,1,0,0,1
Tábua,21,8,13,0,0,0,3,0,0,0,0
Vila Nova de Poiares,6,3,3,0,0,0,2,0,0,0,0
Região de Leiria,878,492,386,28,6,18,191,14,21,27,14
Alvaiázere,11,4,7,0,0,0,4,0,0,0,0
Ansião,19,7,12,0,0,0,4,0,1,0,0
Batalha,30,14,16,0,0,1,8,0,1,0,0
Castanheira de Pêra,2,1,1,0,0,0,1,0,0,0,0
Figueiró dos Vinhos,12,8,4,0,0,0,5,1,1,0,0
Leiria,581,360,221,22,4,16,122,11,16,25,12
Marinha Grande,58,23,35,3,1,0,5,0,1,1,0
Pedrógão Grande,3,1,2,0,0,0,1,0,0,0,0
Pombal,126,61,65,3,1,1,33,2,0,1,2
Porto de Mós,36,13,23,0,0,0,8,0,1,0,0
Viseu Dão Lafões,1245,712,533,38,5,45,231,14,24,33,24
Aguiar da Beira,8,4,4,0,0,0,3,0,0,0,0
Carregal do Sal,16,8,8,0,0,0,6,0,0,0,1
Castro Daire,23,7,16,0,0,0,3,1,0,0,1
Mangualde,46,24,22,0,0,1,12,0,1,2,0
Nelas,42,20,22,0,0,2,11,0,1,1,0
Oliveira de Frades,20,6,14,0,0,0,5,0,0,1,0
Penalva do Castelo,16,6,10,0,0,1,1,0,0,0,0
Santa Comba Dão,29,19,10,0,1,1,10,0,1,1,0
São Pedro do Sul,67,32,35,0,1,1,19,1,0,0,0
Sátão,28,12,16,1,0,0,6,1,0,2,0
Tondela,73,35,38,4,0,0,13,0,1,1,1
Vila Nova de Paiva,6,2,4,0,0,0,2,0,0,0,0
Viseu,855,529,326,33,3,39,137,11,19,25,20
Vouzela,16,8,8,0,0,0,3,0,1,0,1
Beira Baixa,315,200,115,18,2,6,73,1,7,13,6
Castelo Branco,277,179,98,18,1,6,58,0,7,12,5
Idanha-a-Nova,9,6,3,0,1,0,4,1,0,0,0
Oleiros,5,0,5,0,0,0,0,0,0,0,0
Penamacor,5,5,0,0,0,0,5,0,0,0,0
Proença-a-Nova,13,7,6,0,0,0,5,0,0,0,0
Vila Velha de Ródão,6,3,3,0,0,0,1,0,0,1,1
Médio Tejo,582,296,286,16,1,6,124,8,10,17,4
Abrantes,104,66,38,4,0,2,24,1,3,4,1
Alcanena,21,10,11,0,0,0,6,0,0,1,0
Constância,5,3,2,0,0,0,0,0,1,2,0
Entroncamento,77,38,39,1,0,2,19,0,0,3,0
Ferreira do Zêzere,5,0,5,0,0,0,0,0,0,0,0
Mação,5,3,2,0,0,0,1,0,0,0,0
Ourém,66,31,35,2,0,0,18,0,1,1,2
Sardoal,10,6,4,0,0,0,1,2,0,0,0
Sertã,20,8,12,0,0,0,7,0,0,0,0
Tomar,113,64,49,7,0,0,27,3,1,3,0
Torres Novas,137,63,74,2,1,2,19,2,4,3,1
Vila de Rei,7,0,7,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,12,4,8,0,0,0,2,0,0,0,0
Beiras e Serra da Estrela,879,439,440,20,6,18,161,8,11,22,16
Almeida,19,8,11,0,0,1,4,0,1,0,0
Belmonte,11,3,8,0,1,0,1,0,0,0,0
Celorico da Beira,6,2,4,0,0,0,1,0,0,0,0
Covilhã,260,135,125,5,0,10,43,3,3,7,4
Figueira de Castelo Rodrigo,13,3,10,1,0,0,2,0,0,0,0
Fornos de Algodres,15,8,7,0,0,0,5,0,0,0,1
Fundão,73,36,37,2,1,1,18,0,0,1,0
Gouveia,30,18,12,1,1,0,14,0,0,0,0
Guarda,314,170,144,10,2,5,40,4,6,11,7
Manteigas,7,4,3,0,0,0,3,0,0,0,0
Mêda,8,1,7,0,0,0,1,0,0,0,0
Pinhel,20,10,10,0,0,0,7,1,0,0,0
Sabugal,14,5,9,0,0,0,4,0,0,0,1
Seia,66,29,37,1,0,1,15,0,1,3,3
Trancoso,23,7,16,0,1,0,3,0,0,0,0
A. M. Lisboa,19640,13129,6511,658,268,686,2169,497,434,875,509
Alcochete,70,47,23,5,2,3,9,1,1,4,1
Almada,852,525,327,12,13,35,130,10,17,32,15
Amadora,615,345,270,23,5,10,76,16,8,18,13
Barreiro,269,159,110,16,2,4,55,6,3,9,3
Cascais,1714,1084,630,66,27,43,193,32,48,74,33
Lisboa,9824,6997,2827,343,146,393,875,304,210,481,337
Loures,727,498,229,19,15,26,97,17,19,41,13
Mafra,237,137,100,7,2,6,30,5,5,7,3
Moita,83,48,35,1,0,2,13,3,1,4,0
Montijo,154,85,69,3,1,4,21,4,4,6,1
Odivelas,551,318,233,11,6,19,80,10,8,17,8
Oeiras,1844,1307,537,68,26,78,187,47,47,90,35
Palmela,225,141,84,6,3,8,30,4,9,5,5
Seixal,415,242,173,13,3,11,77,8,9,16,3
Sesimbra,105,61,44,0,1,1,19,0,3,1,4
Setúbal,625,399,226,30,5,14,101,11,20,28,14
Sintra,1063,578,485,25,10,24,130,14,19,33,16
Vila Franca de Xira,267,158,109,10,1,5,46,5,3,9,5
Alentejo,2284,1390,894,103,12,65,438,45,61,85,32
Alentejo Litoral,207,101,106,11,1,1,36,1,1,4,5
Alcácer do Sal,10,4,6,0,0,0,1,1,0,0,0
Grândola,22,13,9,1,0,0,6,0,0,1,0
Odemira,37,6,31,1,0,0,4,0,0,0,1
Santiago do Cacém,102,59,43,9,1,1,15,0,0,2,4
Sines,36,19,17,0,0,0,10,0,1,1,0
Baixo Alentejo,327,179,148,19,0,9,61,6,8,13,5
Aljustrel,13,4,9,1,0,0,3,0,0,0,0
Almodôvar,12,2,10,0,0,0,1,0,0,0,0
Alvito,6,1,5,0,0,0,0,1,0,0,0
Barrancos,1,0,1,0,0,0,0,0,0,0,0
Beja,204,135,69,16,0,9,34,4,8,11,4
Castro Verde,8,4,4,0,0,0,2,1,0,0,0
Cuba,10,6,4,2,0,0,3,0,0,1,0
Ferreira do Alentejo,6,3,3,0,0,0,3,0,0,0,0
Mértola,5,2,3,0,0,0,2,0,0,0,0
Moura,27,8,19,0,0,0,6,0,0,0,0
Ourique,5,2,3,0,0,0,2,0,0,0,0
Serpa,22,9,13,0,0,0,3,0,0,0,1
Vidigueira,8,3,5,0,0,0,2,0,0,1,0
Lezíria do Tejo,665,433,232,24,4,26,140,9,21,27,4
Almeirim,46,30,16,2,1,2,10,0,1,4,0
Alpiarça,10,5,5,0,0,1,2,1,0,0,0
Azambuja,25,18,7,0,0,1,8,0,0,2,1
Benavente,45,28,17,3,0,0,6,1,2,0,0
Cartaxo,57,39,18,1,0,2,15,1,2,7,0
Chamusca,11,7,4,0,0,0,3,0,1,0,0
Coruche,34,22,12,0,1,1,10,0,1,0,0
Golegã,8,6,2,0,0,0,2,0,2,0,0
Rio Maior,39,19,20,1,0,1,7,0,0,2,0
Salvaterra de Magos,33,13,20,0,1,0,7,0,0,0,0
Santarém,357,246,111,17,1,18,70,6,12,12,3
Alto Alentejo,414,245,169,23,2,14,76,11,15,13,6
Alter do Chão,4,3,1,0,0,0,2,0,0,0,1
Arronches,5,4,1,0,0,0,2,0,1,1,0
Avis,5,2,3,0,0,0,2,0,0,0,0
Campo Maior,52,24,28,2,0,5,6,1,4,0,0
Castelo de Vide,11,4,7,1,0,0,1,0,0,1,0
Crato,6,2,4,0,0,0,0,0,2,0,0
Elvas,150,96,54,9,1,3,23,7,8,4,0
Fronteira,5,4,1,0,0,0,3,0,0,0,0
Gavião,2,2,0,0,0,0,1,0,0,0,0
Marvão,7,5,2,1,0,0,3,0,0,0,0
Monforte,7,4,3,0,1,0,3,0,0,0,0
Nisa,8,5,3,0,0,0,3,0,0,1,0
Ponte de Sor,28,10,18,0,0,0,7,0,0,0,0
Portalegre,120,78,42,10,0,6,18,3,0,6,5
Sousel,4,2,2,0,0,0,2,0,0,0,0
Alentejo Central,671,432,239,26,5,15,125,18,16,28,12
Alandroal,7,5,2,1,0,0,2,0,0,0,1
Arraiolos,10,7,3,0,0,0,2,1,0,0,0
Borba,14,9,5,0,0,0,8,0,0,1,0
Estremoz,34,13,21,0,0,0,7,0,0,1,0
Évora,496,341,155,22,5,13,76,17,16,26,8
Montemor-o-Novo,29,18,11,0,0,0,8,0,0,0,0
Mora,6,3,3,0,0,0,1,0,0,0,1
Mourão,2,1,1,0,0,0,1,0,0,0,0
Portel,6,1,5,0,0,0,1,0,0,0,0
Redondo,6,4,2,0,0,0,3,0,0,0,1
Reguengos de Monsaraz,15,10,5,1,0,1,5,0,0,0,1
Vendas Novas,21,9,12,2,0,0,6,0,0,0,0
Viana do Alentejo,6,0,6,0,0,0,0,0,0,0,0
Vila Viçosa,19,11,8,0,0,1,5,0,0,0,0
Algarve,1956,1085,871,60,9,70,287,37,47,72,24
Albufeira,102,50,52,1,0,1,22,2,1,3,0
Alcoutim,8,2,6,1,0,0,1,0,0,0,0
Aljezur,17,3,14,0,0,0,2,0,0,0,0
Castro Marim,15,4,11,0,0,1,3,0,0,0,0
Faro,708,446,262,28,3,40,87,17,16,30,11
Lagoa,83,36,47,1,0,2,9,3,1,2,2
Lagos,105,58,47,6,0,2,18,1,1,5,1
Loulé,192,98,94,3,2,5,27,2,5,8,2
Monchique,5,0,5,0,0,0,0,0,0,0,0
Olhão,114,67,47,2,0,1,22,3,5,4,1
Portimão,381,206,175,16,3,12,44,8,13,15,4
São Brás de Alportel,48,27,21,0,0,1,8,0,2,3,1
Silves,63,19,44,0,0,2,7,0,1,1,0
Tavira,69,37,32,1,1,2,18,0,2,1,1
Vila do Bispo,4,3,1,0,0,0,2,1,0,0,0
Vila Real de Santo António,42,29,13,1,0,1,17,0,0,0,1
R. A. Açores,929,559,370,26,10,29,141,11,20,35,17
Santa Maria,13,8,5,0,0,0,5,0,0,0,0
Vila do Porto,13,8,5,0,0,0,5,0,0,0,0
São Miguel,594,354,240,17,3,17,81,8,12,23,12
Lagoa (R.A.A.),36,25,11,0,0,2,6,0,1,1,0
Nordeste,7,4,3,0,1,0,1,0,0,0,0
Ponta Delgada,467,292,175,16,2,15,60,7,9,20,11
Povoação,11,6,5,0,0,0,3,0,1,0,1
Ribeira Grande,57,21,36,1,0,0,8,1,1,2,0
Vila Franca do Campo,16,6,10,0,0,0,3,0,0,0,0
Terceira,216,132,84,6,5,9,28,2,5,12,2
Angra do Heroísmo,159,104,55,5,5,7,17,2,5,9,2
Vila da Praia da Vitória,57,28,29,1,0,2,11,0,0,3,0
Graciosa,4,2,2,0,0,0,2,0,0,0,0
Santa Cruz da Graciosa,4,2,2,0,0,0,2,0,0,0,0
São Jorge,20,11,9,0,1,1,4,0,1,0,1
Calheta (R.A.A.),3,2,1,0,0,0,1,0,0,0,0
Velas,17,9,8,0,1,1,3,0,1,0,1
Pico,24,13,11,0,0,0,11,0,0,0,0
Lajes do Pico,10,4,6,0,0,0,3,0,0,0,0
Madalena,6,4,2,0,0,0,3,0,0,0,0
São Roque do Pico,8,5,3,0,0,0,5,0,0,0,0
Faial,52,37,15,3,1,2,8,1,2,0,2
Horta,52,37,15,3,1,2,8,1,2,0,2
Flores,4,1,3,0,0,0,1,0,0,0,0
Lajes das Flores,1,0,1,0,0,0,0,0,0,0,0
Santa Cruz das Flores,3,1,2,0,0,0,1,0,0,0,0
Corvo,2,1,1,0,0,0,1,0,0,0,0
Corvo,2,1,1,0,0,0,1,0,0,0,0
R. A. Madeira,1271,724,547,47,4,40,196,16,21,39,17
Calheta (R.A.M.),12,4,8,0,0,0,3,0,0,0,0
Câmara de Lobos,59,24,35,0,0,0,10,1,1,5,1
Funchal,917,575,342,38,3,36,137,15,16,26,12
Machico,43,15,28,1,0,0,6,0,0,0,0
Ponta do Sol,13,4,9,0,0,0,4,0,0,0,0
Porto Moniz,8,2,6,0,0,0,1,0,0,1,0
Ribeira Brava,28,5,23,0,0,0,1,0,0,0,1
Santa Cruz,167,86,81,8,1,4,29,0,3,7,3
Santana,7,1,6,0,0,0,1,0,0,0,0
São Vicente,7,5,2,0,0,0,2,0,1,0,0
Porto Santo,10,3,7,0,0,0,2,0,0,0,0
