,"Live births, Total, MF (N.º)","Live births, Total, M (N.º)","Live births, Total, F (N.º)","Live births, Outside marriage, Total (N.º)","Live births, Outside marriage, Cohabitant parents (N.º)","Deaths, Total, MF (N.º)","Deaths, Total, M (N.º)","Deaths, Total, F (N.º)","Deaths, Aged under 1 year, F (N.º)"
Portugal,79582,40762,38820,47785,33658,124802,62694,62108,191
Continente,75795,38856,36939,45559,32074,119558,60048,59510,180
Norte,24825,12769,12056,13336,9221,37113,18735,18378,51
Alto Minho,1394,714,680,747,614,3191,1491,1700,1
Arcos de Valdevez,110,57,53,58,52,359,155,204,0
Caminha,86,53,33,58,48,232,102,130,0
Melgaço,28,13,15,17,12,177,73,104,0
Monção,79,39,40,44,37,299,123,176,0
Paredes de Coura,42,21,21,23,21,134,73,61,0
Ponte da Barca,57,30,27,26,21,193,96,97,0
Ponte de Lima,270,138,132,112,79,475,212,263,0
Valença,101,47,54,68,57,199,110,89,0
Viana do Castelo,567,283,284,303,255,985,481,504,1
Vila Nova de Cerveira,54,33,21,38,32,138,66,72,0
Cávado,3058,1587,1471,1424,1059,3470,1710,1760,6
Amares,132,74,58,61,43,185,101,84,0
Barcelos,756,382,374,332,273,1017,502,515,3
Braga,1508,786,722,737,517,1386,689,697,1
Esposende,283,152,131,128,101,328,153,175,1
Terras de Bouro,33,20,13,16,8,88,44,44,0
Vila Verde,346,173,173,150,117,466,221,245,1
Ave,2952,1517,1435,1441,990,3665,1894,1771,8
Cabeceiras de Basto,98,47,51,47,33,178,96,82,0
Fafe,311,163,148,171,124,469,242,227,0
Guimarães,1147,611,536,539,354,1270,638,632,4
Mondim de Basto,25,15,10,15,9,68,38,30,1
Póvoa de Lanhoso,130,66,64,60,52,230,106,124,0
Vieira do Minho,64,29,35,34,20,176,107,69,0
Vila Nova de Famalicão,993,503,490,480,347,1105,583,522,1
Vizela,184,83,101,95,51,169,84,85,2
A. M. Porto,12700,6531,6169,7248,4891,17277,8731,8546,26
Arouca,125,66,59,58,51,221,115,106,0
Espinho,200,93,107,127,86,387,184,203,0
Gondomar,1217,586,631,735,486,1711,895,816,1
Maia,974,508,466,577,412,1068,560,508,3
Matosinhos,1190,616,574,707,465,1675,829,846,6
Oliveira de Azeméis,428,226,202,232,176,676,357,319,1
Paredes,674,351,323,342,207,617,336,281,0
Porto,1830,932,898,1031,641,3075,1462,1613,2
Póvoa de Varzim,467,234,233,247,172,590,295,295,0
Santa Maria da Feira,935,496,439,533,369,1248,636,612,0
Santo Tirso,426,231,195,224,145,759,377,382,2
São João da Madeira,154,89,65,98,70,232,125,107,0
Trofa,313,170,143,168,129,345,176,169,1
Vale de Cambra,122,57,65,60,52,250,132,118,1
Valongo,758,390,368,464,311,748,397,351,3
Vila do Conde,592,332,260,279,197,809,384,425,0
Vila Nova de Gaia,2295,1154,1141,1366,922,2866,1471,1395,6
Alto Tâmega,386,208,178,234,190,1312,681,631,1
Boticas,24,14,10,15,12,86,46,40,0
Chaves,173,97,76,112,88,504,260,244,0
Montalegre,44,25,19,18,15,163,83,80,0
Ribeira de Pena,30,15,15,18,17,73,42,31,1
Valpaços,58,29,29,39,36,295,146,149,0
Vila Pouca de Aguiar,57,28,29,32,22,191,104,87,0
Tâmega e Sousa,2768,1404,1364,1304,774,3707,1943,1764,5
Amarante,301,157,144,136,62,511,263,248,1
Baião,77,38,39,41,30,222,126,96,0
Castelo de Paiva,84,41,43,40,21,163,82,81,0
Celorico de Basto,95,50,45,46,37,227,113,114,1
Cinfães,108,57,51,69,42,230,115,115,0
Felgueiras,377,190,187,171,103,436,219,217,1
Lousada,354,186,168,147,85,332,187,145,0
Marco de Canaveses,344,170,174,146,87,405,221,184,1
Paços de Ferreira,427,210,217,218,129,421,222,199,1
Penafiel,549,279,270,257,153,624,326,298,0
Resende,52,26,26,33,25,136,69,67,0
Douro,1018,512,506,561,423,2659,1323,1336,4
Alijó,46,21,25,27,21,187,96,91,0
Armamar,28,16,12,15,9,96,38,58,0
Carrazeda de Ansiães,20,6,14,11,8,107,51,56,0
Freixo de Espada à Cinta,18,9,9,12,11,77,36,41,1
Lamego,124,65,59,68,39,349,174,175,0
Mesão Frio,14,6,8,7,2,55,25,30,0
Moimenta da Beira,64,27,37,34,28,129,58,71,0
Murça,21,11,10,14,12,91,39,52,0
Penedono,10,7,3,7,7,42,17,25,0
Peso da Régua,80,37,43,49,41,210,104,106,1
Sabrosa,19,11,8,6,4,77,55,22,0
Santa Marta de Penaguião,28,14,14,13,10,111,53,58,0
São João da Pesqueira,40,21,19,23,20,105,51,54,0
Sernancelhe,34,14,20,21,17,83,46,37,0
Tabuaço,32,17,15,18,13,68,33,35,1
Tarouca,48,30,18,27,20,89,48,41,0
Torre de Moncorvo,36,18,18,27,21,119,59,60,0
Vila Nova de Foz Côa,30,20,10,17,13,130,70,60,0
Vila Real,326,162,164,165,127,534,270,264,1
Terras de Trás-os-Montes,549,296,253,377,280,1832,962,870,0
Alfândega da Fé,21,13,8,16,13,105,58,47,0
Bragança,206,106,100,146,106,472,238,234,0
Macedo de Cavaleiros,84,42,42,55,43,226,131,95,0
Miranda do Douro,26,10,16,19,15,143,73,70,0
Mirandela,99,56,43,62,46,336,191,145,0
Mogadouro,34,18,16,24,22,171,82,89,0
Vila Flor,29,24,5,22,14,120,66,54,0
Vimioso,16,6,10,12,9,85,37,48,0
Vinhais,34,21,13,21,12,174,86,88,0
Centro,14891,7583,7308,8881,6960,31555,15668,15887,34
Oeste,2776,1397,1379,1795,1321,4994,2481,2513,8
Alcobaça,361,167,194,218,156,770,396,374,2
Alenquer,402,198,204,258,192,526,256,270,1
Arruda dos Vinhos,107,61,46,53,39,205,97,108,0
Bombarral,102,58,44,70,48,210,117,93,0
Cadaval,79,47,32,59,45,244,114,130,0
Caldas da Rainha,327,160,167,219,161,717,345,372,0
Lourinhã,204,105,99,133,94,376,186,190,2
Nazaré,123,67,56,82,57,216,111,105,0
Óbidos,90,42,48,63,46,188,88,100,0
Peniche,210,103,107,154,118,368,189,179,1
Sobral de Monte Agraço,75,34,41,51,40,139,70,69,0
Torres Vedras,696,355,341,435,325,1035,512,523,2
Região de Aveiro,2737,1402,1335,1594,1266,4324,2232,2092,4
Águeda,306,151,155,181,140,544,284,260,0
Albergaria-a-Velha,155,68,87,87,74,319,158,161,0
Anadia,158,83,75,99,81,398,205,193,0
Aveiro,641,329,312,365,290,874,441,433,3
Estarreja,186,85,101,101,77,360,207,153,0
Ílhavo,322,169,153,194,161,413,223,190,1
Murtosa,96,51,45,53,45,136,63,73,0
Oliveira do Bairro,168,90,78,105,85,279,147,132,0
Ovar,460,246,214,261,194,567,283,284,0
Sever do Vouga,70,38,32,40,33,163,84,79,0
Vagos,175,92,83,108,86,271,137,134,0
Região de Coimbra,2759,1390,1369,1565,1262,6214,3048,3166,3
Arganil,65,33,32,42,37,245,130,115,0
Cantanhede,220,106,114,126,100,526,262,264,0
Coimbra,1022,513,509,547,427,1711,840,871,2
Condeixa-a-Nova,107,49,58,54,52,180,81,99,0
Figueira da Foz,347,182,165,209,160,853,419,434,1
Góis,11,6,5,7,6,93,39,54,0
Lousã,104,53,51,74,59,165,87,78,0
Mealhada,120,48,72,75,57,261,130,131,0
Mira,77,35,42,38,32,195,100,95,0
Miranda do Corvo,67,40,27,32,26,195,99,96,0
Montemor-o-Velho,170,86,84,91,73,355,164,191,0
Mortágua,53,29,24,29,27,139,67,72,0
Oliveira do Hospital,121,65,56,77,69,286,155,131,0
Pampilhosa da Serra,13,5,8,8,7,116,48,68,0
Penacova,61,37,24,31,23,220,112,108,0
Penela,25,10,15,10,8,114,55,59,0
Soure,80,49,31,42,35,263,124,139,0
Tábua,61,29,32,52,47,208,92,116,0
Vila Nova de Poiares,35,15,20,21,17,89,44,45,0
Região de Leiria,2057,1049,1008,1200,948,3546,1847,1699,3
Alvaiázere,40,24,16,22,22,133,69,64,0
Ansião,69,34,35,33,29,219,103,116,0
Batalha,104,55,49,51,41,166,82,84,0
Castanheira de Pêra,10,6,4,7,6,57,28,29,0
Figueiró dos Vinhos,24,13,11,17,12,115,64,51,0
Leiria,988,498,490,566,435,1267,676,591,3
Marinha Grande,264,129,135,168,138,425,218,207,0
Pedrógão Grande,18,5,13,12,9,73,41,32,0
Pombal,363,202,161,210,170,794,413,381,0
Porto de Mós,177,83,94,114,86,297,153,144,0
Viseu Dão Lafões,1579,795,784,879,696,3673,1806,1867,7
Aguiar da Beira,30,13,17,15,13,155,73,82,0
Carregal do Sal,53,26,27,33,24,131,63,68,0
Castro Daire,67,34,33,28,19,215,113,102,0
Mangualde,99,52,47,56,46,288,136,152,0
Nelas,65,37,28,39,31,187,99,88,1
Oliveira de Frades,60,26,34,39,31,117,57,60,0
Penalva do Castelo,25,14,11,13,9,142,69,73,0
Santa Comba Dão,74,33,41,41,29,185,92,93,0
São Pedro do Sul,67,37,30,34,31,241,118,123,0
Sátão,66,28,38,35,19,176,72,104,0
Tondela,155,83,72,96,77,458,220,238,2
Vila Nova de Paiva,24,13,11,11,8,96,40,56,0
Viseu,732,363,369,408,336,1137,568,569,4
Vouzela,62,36,26,31,23,145,86,59,0
Beira Baixa,480,242,238,320,254,1455,686,769,3
Castelo Branco,355,187,168,226,183,799,386,413,3
Idanha-a-Nova,43,13,30,33,22,219,91,128,0
Oleiros,20,14,6,15,13,84,37,47,0
Penamacor,10,5,5,8,5,116,62,54,0
Proença-a-Nova,35,15,20,23,19,168,81,87,0
Vila Velha de Ródão,17,8,9,15,12,69,29,40,0
Médio Tejo,1361,726,635,843,652,3657,1722,1935,5
Abrantes,166,89,77,116,91,615,298,317,2
Alcanena,70,31,39,45,29,222,112,110,0
Constância,22,10,12,14,13,52,27,25,0
Entroncamento,150,76,74,94,78,215,104,111,1
Ferreira do Zêzere,48,25,23,22,16,161,80,81,0
Mação,28,16,12,20,12,160,73,87,0
Ourém,326,166,160,170,133,627,304,323,2
Sardoal,18,7,11,15,12,58,20,38,0
Sertã,78,40,38,45,37,226,98,128,0
Tomar,209,127,82,144,107,615,277,338,0
Torres Novas,174,98,76,121,93,526,248,278,0
Vila de Rei,25,10,15,12,10,81,33,48,0
Vila Nova da Barquinha,47,31,16,25,21,99,48,51,0
Beiras e Serra da Estrela,1142,582,560,685,561,3692,1846,1846,1
Almeida,12,7,5,8,5,164,69,95,0
Belmonte,31,11,20,24,22,91,50,41,0
Celorico da Beira,29,15,14,19,17,129,73,56,0
Covilhã,260,123,137,174,143,685,351,334,0
Figueira de Castelo Rodrigo,33,20,13,19,16,136,72,64,0
Fornos de Algodres,18,13,5,14,10,115,59,56,0
Fundão,162,88,74,86,68,433,225,208,1
Gouveia,49,28,21,34,26,230,99,131,0
Guarda,268,134,134,137,109,553,282,271,0
Manteigas,19,9,10,11,10,66,30,36,0
Mêda,14,7,7,11,9,90,47,43,0
Pinhel,26,15,11,14,11,177,96,81,0
Sabugal,48,20,28,32,30,268,121,147,0
Seia,125,65,60,79,64,404,201,203,0
Trancoso,48,27,21,23,21,151,71,80,0
A. M. Lisboa,26725,13737,12988,16786,11216,33284,16727,16557,78
Alcochete,152,74,78,95,73,165,93,72,0
Almada,1562,807,755,1006,649,2223,1090,1133,7
Amadora,1725,901,824,1148,674,1915,978,937,6
Barreiro,647,330,317,446,299,1075,577,498,2
Cascais,1710,898,812,1022,668,2408,1206,1202,5
Lisboa,5398,2805,2593,2884,1936,7693,3655,4038,18
Loures,2058,1030,1028,1339,909,2331,1210,1121,5
Mafra,745,378,367,460,362,790,386,404,3
Moita,675,359,316,511,326,854,445,409,1
Montijo,569,307,262,363,241,643,346,297,1
Odivelas,1648,843,805,946,656,1582,830,752,7
Oeiras,1432,735,697,833,586,1872,929,943,1
Palmela,580,298,282,387,259,896,453,443,1
Seixal,1464,733,731,980,687,1744,890,854,2
Sesimbra,429,242,187,286,202,563,285,278,0
Setúbal,983,501,482,676,442,1680,838,842,4
Sintra,3723,1871,1852,2600,1673,3500,1809,1691,12
Vila Franca de Xira,1225,625,600,804,574,1350,707,643,3
Alentejo,5235,2713,2522,3723,2832,11744,5819,5925,10
Alentejo Litoral,752,415,337,493,411,1485,765,720,0
Alcácer do Sal,64,31,33,41,38,246,121,125,0
Grândola,108,63,45,76,63,249,112,137,0
Odemira,269,144,125,149,125,380,216,164,0
Santiago do Cacém,183,101,82,129,104,430,227,203,0
Sines,128,76,52,98,81,180,89,91,0
Baixo Alentejo,969,499,470,737,595,2174,1072,1102,2
Aljustrel,72,39,33,52,45,158,92,66,1
Almodôvar,57,26,31,46,38,120,64,56,0
Alvito,20,11,9,13,12,60,30,30,0
Barrancos,12,7,5,10,10,35,17,18,0
Beja,310,160,150,220,172,552,268,284,0
Castro Verde,47,27,20,36,30,109,58,51,0
Cuba,36,19,17,33,26,111,47,64,0
Ferreira do Alentejo,70,26,44,60,41,139,75,64,1
Mértola,42,25,17,33,24,151,76,75,0
Moura,131,58,73,102,83,229,101,128,0
Ourique,28,14,14,21,16,122,54,68,0
Serpa,101,58,43,78,69,281,144,137,0
Vidigueira,43,29,14,33,29,107,46,61,0
Lezíria do Tejo,1695,898,797,1163,836,3493,1737,1756,5
Almeirim,155,97,58,106,76,346,164,182,2
Alpiarça,42,23,19,33,26,121,65,56,0
Azambuja,150,72,78,102,64,294,160,134,0
Benavente,220,110,110,156,111,354,183,171,0
Cartaxo,145,73,72,110,77,327,158,169,0
Chamusca,39,21,18,29,23,161,77,84,0
Coruche,126,63,63,84,70,339,165,174,0
Golegã,43,24,19,31,25,104,41,63,1
Rio Maior,188,102,86,118,94,275,148,127,0
Salvaterra de Magos,166,86,80,116,79,333,169,164,1
Santarém,421,227,194,278,191,839,407,432,1
Alto Alentejo,690,336,354,522,373,2070,1027,1043,2
Alter do Chão,21,13,8,17,13,76,31,45,0
Arronches,15,9,6,10,9,71,27,44,0
Avis,28,14,14,25,21,85,43,42,0
Campo Maior,67,40,27,58,38,134,64,70,1
Castelo de Vide,17,10,7,11,9,81,46,35,0
Crato,10,8,2,6,2,98,48,50,0
Elvas,162,68,94,128,89,380,198,182,1
Fronteira,14,7,7,7,5,62,25,37,0
Gavião,14,5,9,8,6,89,38,51,0
Marvão,24,9,15,19,12,82,37,45,0
Monforte,18,10,8,13,10,51,27,24,0
Nisa,20,12,8,12,10,173,85,88,0
Ponte de Sor,87,48,39,73,57,261,132,129,0
Portalegre,155,67,88,98,61,330,172,158,0
Sousel,38,16,22,37,31,97,54,43,0
Alentejo Central,1129,565,564,808,617,2522,1218,1304,1
Alandroal,32,15,17,25,20,102,52,50,0
Arraiolos,45,27,18,33,24,118,54,64,0
Borba,53,28,25,32,30,116,55,61,0
Estremoz,106,54,52,77,61,235,116,119,0
Évora,426,212,214,287,202,696,342,354,0
Montemor-o-Novo,106,45,61,67,52,315,156,159,0
Mora,12,2,10,10,7,119,54,65,1
Mourão,31,17,14,26,21,49,16,33,0
Portel,42,21,21,29,23,99,44,55,0
Redondo,48,28,20,39,33,104,54,50,0
Reguengos de Monsaraz,85,46,39,72,60,178,88,90,0
Vendas Novas,64,32,32,51,34,166,79,87,0
Viana do Alentejo,31,17,14,24,21,118,54,64,0
Vila Viçosa,48,21,27,36,29,107,54,53,0
Algarve,4119,2054,2065,2833,1845,5862,3099,2763,7
Albufeira,453,237,216,285,186,388,206,182,3
Alcoutim,7,4,3,6,6,75,37,38,0
Aljezur,46,25,21,37,29,97,44,53,0
Castro Marim,46,21,25,37,26,96,48,48,0
Faro,593,288,305,419,269,795,414,381,1
Lagoa,224,106,118,166,106,260,145,115,0
Lagos,258,125,133,178,111,417,224,193,0
Loulé,687,342,345,460,296,962,533,429,1
Monchique,39,21,18,33,27,124,55,69,0
Olhão,363,177,186,266,161,540,276,264,0
Portimão,584,293,291,388,242,734,390,344,1
São Brás de Alportel,102,55,47,70,55,140,74,66,0
Silves,321,165,156,213,153,508,281,227,1
Tavira,199,102,97,136,96,400,208,192,0
Vila do Bispo,57,30,27,45,41,82,45,37,0
Vila Real de Santo António,140,63,77,94,41,244,119,125,0
R. A. Açores,2043,1019,1024,1108,864,2365,1227,1138,5
Santa Maria,56,25,31,40,36,61,30,31,0
Vila do Porto,56,25,31,40,36,61,30,31,0
São Miguel,1230,617,613,647,489,1202,629,573,5
Lagoa (R.A.A.),135,68,67,56,35,146,87,59,0
Nordeste,27,14,13,17,15,56,27,29,0
Ponta Delgada,621,301,320,341,260,602,304,298,4
Povoação,45,19,26,21,18,58,27,31,0
Ribeira Grande,331,169,162,173,130,241,130,111,1
Vila Franca do Campo,71,46,25,39,31,99,54,45,0
Terceira,428,218,210,225,165,558,268,290,0
Angra do Heroísmo,260,128,132,140,102,354,167,187,0
Vila da Praia da Vitória,168,90,78,85,63,204,101,103,0
Graciosa,29,15,14,21,16,43,26,17,0
Santa Cruz da Graciosa,29,15,14,21,16,43,26,17,0
São Jorge,55,28,27,28,25,106,60,46,0
Calheta (R.A.A.),21,11,10,10,9,36,24,12,0
Velas,34,17,17,18,16,70,36,34,0
Pico,101,47,54,56,51,149,76,73,0
Lajes do Pico,32,13,19,17,15,47,22,25,0
Madalena,47,24,23,27,26,68,35,33,0
São Roque do Pico,22,10,12,12,10,34,19,15,0
Faial,110,51,59,64,58,191,107,84,0
Horta,110,51,59,64,58,191,107,84,0
Flores,29,16,13,23,20,49,26,23,0
Lajes das Flores,7,5,2,6,5,25,15,10,0
Santa Cruz das Flores,22,11,11,17,15,24,11,13,0
Corvo,5,2,3,4,4,6,5,1,0
Corvo,5,2,3,4,4,6,5,1,0
R. A. Madeira,1744,887,857,1118,720,2875,1416,1459,6
Calheta (R.A.M.),67,34,33,38,24,170,76,94,1
Câmara de Lobos,270,136,134,195,121,285,138,147,4
Funchal,720,372,348,482,303,1322,655,667,0
Machico,111,51,60,57,39,195,99,96,1
Ponta do Sol,62,32,30,35,22,102,51,51,0
Porto Moniz,10,4,6,1,1,32,17,15,0
Ribeira Brava,92,50,42,40,26,150,65,85,0
Santa Cruz,330,165,165,221,143,374,187,187,0
Santana,28,16,12,19,14,101,45,56,0
São Vicente,21,10,11,12,9,90,53,37,0
Porto Santo,33,17,16,18,18,54,30,24,0
