,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,162119,75594,86525,12036982,2553370,9483612,364527,100795,263732
Continente,154004,71797,82207,11442680,2427219,9015461,347254,96218,251036
Norte,53650,25408,28242,3925786,866738,3059048,114629,31874,82756
Alto Minho,3087,1453,1634,224951,47321,177630,6160,1546,4614
Arcos de Valdevez,240,115,125,17656,3934,13722,422,111,311
Caminha,190,85,105,13656,2640,11016,383,89,295
Melgaço,52,20,32,3771,653,3118,90,16,74
Monção,169,72,97,11915,2257,9658,268,62,206
Paredes de Coura,108,51,57,7938,1983,5955,196,59,137
Ponte da Barca,146,68,78,10805,2159,8646,238,62,176
Ponte de Lima,619,287,332,47291,9781,37510,1299,336,963
Valença,178,87,91,12941,2395,10546,304,76,228
Viana do Castelo,1254,605,649,89122,19610,69512,2704,678,2026
Vila Nova de Cerveira,131,63,68,9856,1909,7947,254,56,198
Cávado,6618,3160,3458,486013,110886,375127,14520,4057,10463
Amares,265,125,140,19435,4549,14886,515,157,359
Barcelos,1722,834,888,125721,30479,95242,3318,960,2358
Braga,3233,1542,1691,235773,53046,182727,7894,2193,5701
Esposende,587,280,307,44437,9405,35032,1309,342,967
Terras de Bouro,71,35,36,5403,1229,4174,126,26,99
Vila Verde,740,344,396,55244,12178,43066,1358,379,979
Ave,6798,3314,3484,492416,117698,374718,13849,3980,9869
Cabeceiras de Basto,200,90,110,14245,2792,11453,319,77,242
Fafe,692,329,363,49804,11159,38645,1319,327,992
Guimarães,2700,1337,1363,197087,48215,148872,5600,1563,4037
Mondim de Basto,40,16,24,2583,514,2069,65,16,49
Póvoa de Lanhoso,294,143,151,21731,4864,16867,518,139,379
Vieira do Minho,136,64,72,10408,2137,8271,236,58,177
Vila Nova de Famalicão,2304,1122,1182,165362,40563,124799,5017,1591,3427
Vizela,432,213,219,31196,7454,23742,776,209,566
A. M. Porto,27138,12782,14356,1990830,434473,1556357,62273,17547,44726
Arouca,302,156,146,21726,5459,16267,584,178,406
Espinho,404,181,223,29776,5991,23785,896,219,677
Gondomar,2627,1207,1420,191958,40300,151658,5422,1474,3948
Maia,2113,1029,1084,151892,35894,115998,5041,1559,3482
Matosinhos,2571,1197,1374,190656,40412,150244,6927,1931,4997
Oliveira de Azeméis,1000,488,512,71304,17336,53968,2000,611,1389
Paredes,1471,679,792,109511,22456,87055,2656,727,1928
Porto,3339,1529,1810,251123,52886,198237,9940,2774,7166
Póvoa de Varzim,1014,470,544,74864,16037,58827,2146,572,1574
Santa Maria da Feira,2127,1032,1095,155972,35498,120474,4453,1238,3215
Santo Tirso,1003,497,506,72365,17626,54739,2097,627,1470
São João da Madeira,319,150,169,23659,4846,18813,654,179,475
Trofa,700,338,362,50662,12230,38432,1540,469,1071
Vale de Cambra,302,146,156,21168,5186,15982,625,185,440
Valongo,1683,780,903,123717,26713,97004,3543,1000,2543
Vila do Conde,1337,636,701,97713,21080,76633,3097,836,2261
Vila Nova de Gaia,4826,2267,2559,352764,74523,278241,10652,2968,7683
Alto Tâmega,786,359,427,56491,11090,45401,1365,327,1038
Boticas,43,19,24,3500,583,2917,91,20,70
Chaves,355,163,192,25223,5178,20045,642,167,475
Montalegre,82,36,46,6204,1104,5100,151,32,119
Ribeira de Pena,61,32,29,3972,936,3036,91,28,63
Valpaços,128,56,72,8989,1608,7381,184,32,152
Vila Pouca de Aguiar,117,53,64,8603,1681,6922,206,48,159
Tâmega e Sousa,5985,2837,3148,436545,97323,339222,10311,2921,7390
Amarante,680,311,369,49390,10609,38781,1187,333,854
Baião,190,90,100,13268,2777,10491,304,84,220
Castelo de Paiva,172,79,93,11849,2284,9565,263,74,189
Celorico de Basto,176,82,94,12941,2773,10168,303,77,226
Cinfães,202,93,109,14701,3248,11453,316,94,221
Felgueiras,906,443,463,66562,16889,49673,1540,486,1054
Lousada,808,396,412,58440,14384,44056,1375,409,966
Marco de Canaveses,657,313,344,47547,10143,37404,1080,308,771
Paços de Ferreira,962,448,514,71707,15862,55845,1763,469,1294
Penafiel,1099,521,578,79888,16664,63224,1965,537,1428
Resende,133,61,72,10252,1690,8562,217,49,168
Douro,2081,970,1111,152716,30991,121725,3945,991,2954
Alijó,79,35,44,6086,932,5154,143,28,115
Armamar,66,28,38,4495,768,3727,103,25,77
Carrazeda de Ansiães,53,27,26,3505,868,2637,71,20,50
Freixo de Espada à Cinta,33,15,18,2117,427,1690,45,11,35
Lamego,265,120,145,20242,3948,16294,496,114,383
Mesão Frio,35,19,16,2560,634,1926,55,18,37
Moimenta da Beira,127,58,69,9834,1882,7952,241,53,188
Murça,45,20,25,3633,715,2918,77,18,59
Penedono,25,12,13,1694,295,1399,28,7,21
Peso da Régua,176,77,99,13724,2622,11102,371,114,256
Sabrosa,42,24,18,2420,589,1831,52,15,37
Santa Marta de Penaguião,49,26,23,3457,745,2712,100,19,82
São João da Pesqueira,85,36,49,6016,1121,4895,139,35,104
Sernancelhe,71,31,40,5432,897,4535,110,21,89
Tabuaço,46,21,25,3531,705,2826,79,21,58
Tarouca,83,43,40,5802,1277,4525,130,37,93
Torre de Moncorvo,76,33,43,5647,853,4794,111,24,87
Vila Nova de Foz Côa,63,32,31,4520,1022,3498,125,34,91
Vila Real,662,313,349,48001,10691,37310,1469,377,1092
Terras de Trás-os-Montes,1157,533,624,85824,16956,68868,2206,505,1701
Alfândega da Fé,49,22,27,3827,604,3223,93,15,78
Bragança,429,196,233,32063,6369,25694,950,223,726
Macedo de Cavaleiros,155,72,83,11158,2150,9008,240,55,185
Miranda do Douro,63,26,37,5331,1034,4297,116,27,89
Mirandela,215,99,116,16005,2751,13254,385,85,300
Mogadouro,69,33,36,4778,1258,3520,119,28,91
Vila Flor,63,30,33,4287,767,3520,102,16,86
Vimioso,35,18,17,2329,530,1799,40,13,27
Vinhais,79,37,42,6046,1493,4553,161,43,118
Centro,32155,15325,16830,2366042,519103,1846939,66705,18925,47780
Oeste,5753,2713,3040,425945,89639,336306,11747,3242,8505
Alcobaça,795,386,409,58795,12662,46133,1590,481,1109
Alenquer,830,399,431,60525,12950,47575,1796,515,1280
Arruda dos Vinhos,231,103,128,17663,3844,13819,640,170,470
Bombarral,208,95,113,15116,2761,12355,386,91,296
Cadaval,167,80,87,11747,2391,9356,300,87,212
Caldas da Rainha,638,298,340,48365,10042,38323,1252,354,898
Lourinhã,395,190,205,28539,6348,22191,710,211,499
Nazaré,234,108,126,16707,3167,13540,375,88,288
Óbidos,195,95,100,13659,3002,10657,373,105,268
Peniche,446,207,239,33713,7234,26479,854,213,641
Sobral de Monte Agraço,165,82,83,12650,3073,9577,389,114,275
Torres Vedras,1449,670,779,108466,22165,86301,3081,813,2268
Região de Aveiro,5857,2790,3067,432208,94358,337850,12368,3641,8727
Águeda,709,341,368,50512,11233,39279,1335,395,940
Albergaria-a-Velha,363,166,197,27025,5457,21568,666,185,481
Anadia,319,153,166,24638,5567,19071,651,186,465
Aveiro,1333,627,706,99683,20819,78864,3239,920,2319
Estarreja,416,201,215,31122,6758,24364,811,237,574
Ílhavo,654,307,347,47785,10099,37686,1364,406,959
Murtosa,196,95,101,14636,3224,11412,396,133,263
Oliveira do Bairro,369,176,193,26903,5851,21052,697,202,495
Ovar,946,455,491,70357,16190,54167,2178,647,1532
Sever do Vouga,156,77,79,11230,2571,8659,279,85,194
Vagos,396,192,204,28317,6589,21728,750,245,505
Região de Coimbra,6043,2921,3122,447517,101895,345622,13768,3917,9852
Arganil,122,59,63,9617,2251,7366,215,60,156
Cantanhede,470,232,238,35977,8450,27527,1026,320,706
Coimbra,2154,1028,1126,159077,36435,122642,5905,1662,4244
Condeixa-a-Nova,233,108,125,17596,3780,13816,554,145,409
Figueira da Foz,734,354,380,53308,11426,41882,1464,411,1053
Góis,25,14,11,1882,556,1326,46,15,31
Lousã,262,126,136,19356,4750,14606,567,168,398
Mealhada,261,135,126,18535,4193,14342,560,154,406
Mira,170,82,88,12891,2953,9938,356,97,260
Miranda do Corvo,138,64,74,10995,2355,8640,272,75,197
Montemor-o-Velho,419,193,226,32653,7130,25523,942,256,686
Mortágua,129,71,58,8880,2250,6630,237,72,165
Oliveira do Hospital,287,135,152,20665,4222,16443,468,123,344
Pampilhosa da Serra,26,13,13,1901,421,1480,43,11,32
Penacova,139,72,67,9808,2611,7197,257,82,175
Penela,67,32,35,5049,1176,3873,123,34,90
Soure,189,94,95,13501,3389,10112,351,121,231
Tábua,150,74,76,10667,2347,8320,233,62,170
Vila Nova de Poiares,68,35,33,5159,1200,3959,149,50,99
Região de Leiria,4490,2157,2333,330987,74014,256973,9512,2837,6675
Alvaiázere,70,33,37,5110,1271,3839,134,45,89
Ansião,154,73,81,11856,2856,9000,310,85,225
Batalha,279,135,144,20512,4818,15694,649,185,463
Castanheira de Pêra,26,15,11,1738,517,1221,43,18,25
Figueiró dos Vinhos,43,19,24,2826,539,2287,55,15,40
Leiria,2161,1029,1132,159231,35112,124119,4894,1425,3469
Marinha Grande,588,287,301,42667,9964,32703,1164,394,770
Pedrógão Grande,29,13,16,1799,308,1491,32,7,25
Pombal,773,370,403,58613,12667,45946,1513,431,1082
Porto de Mós,367,183,184,26635,5962,20673,717,231,486
Viseu Dão Lafões,3466,1639,1827,253555,56276,197279,6862,1882,4981
Aguiar da Beira,67,32,35,4954,1299,3655,125,41,84
Carregal do Sal,112,52,60,8031,1829,6202,197,62,135
Castro Daire,130,60,70,9630,2081,7549,208,55,152
Mangualde,217,106,111,14817,3422,11395,348,109,239
Nelas,173,83,90,11840,2620,9220,325,92,233
Oliveira de Frades,138,65,73,10490,2294,8196,250,68,182
Penalva do Castelo,60,26,34,4439,820,3619,117,22,95
Santa Comba Dão,162,84,78,11344,2805,8539,302,104,199
São Pedro do Sul,155,73,82,10853,2341,8512,248,70,178
Sátão,121,53,68,9306,1812,7494,244,57,187
Tondela,367,177,190,26704,6132,20572,680,186,494
Vila Nova de Paiva,53,27,26,3445,708,2737,71,18,53
Viseu,1573,738,835,117868,26071,91797,3503,930,2573
Vouzela,138,63,75,9834,2042,7792,244,67,178
Beira Baixa,987,469,518,71516,15068,56448,1777,486,1291
Castelo Branco,711,347,364,51048,11093,39955,1292,372,920
Idanha-a-Nova,85,32,53,6245,918,5327,125,20,106
Oleiros,41,21,20,2957,642,2315,81,19,62
Penamacor,27,12,15,1993,393,1600,44,10,34
Proença-a-Nova,76,35,41,5861,1302,4559,165,40,125
Vila Velha de Ródão,47,22,25,3412,720,2692,69,24,45
Médio Tejo,3122,1476,1646,226708,48951,177757,5882,1658,4224
Abrantes,355,170,185,25271,5694,19577,672,197,475
Alcanena,160,71,89,11108,2129,8979,288,63,224
Constância,53,23,30,3974,843,3131,105,31,75
Entroncamento,334,161,173,24532,5643,18889,689,223,466
Ferreira do Zêzere,108,52,56,8518,1587,6931,184,43,140
Mação,81,41,40,5502,1356,4146,127,35,92
Ourém,732,346,386,54341,11532,42809,1393,404,989
Sardoal,26,13,13,1764,370,1394,41,10,32
Sertã,189,84,105,13819,2705,11114,287,74,212
Tomar,465,220,245,33164,7059,26105,928,248,681
Torres Novas,460,223,237,33125,7643,25482,859,239,620
Vila de Rei,48,21,27,3574,677,2897,77,18,60
Vila Nova da Barquinha,111,51,60,8016,1713,6303,233,73,160
Beiras e Serra da Estrela,2437,1160,1277,177606,38902,138704,4788,1262,3526
Almeida,33,18,15,2334,712,1622,60,21,39
Belmonte,64,30,34,4668,941,3727,113,25,88
Celorico da Beira,73,35,38,4691,943,3748,98,29,69
Covilhã,587,278,309,43738,9864,33874,1271,333,938
Figueira de Castelo Rodrigo,67,33,34,4577,1089,3488,105,32,73
Fornos de Algodres,42,17,25,3112,518,2594,61,13,48
Fundão,351,164,187,26394,5295,21099,652,164,489
Gouveia,93,40,53,6996,1168,5828,132,27,106
Guarda,536,252,284,38736,8528,30208,1256,322,934
Manteigas,52,28,24,3816,973,2843,99,33,65
Mêda,35,15,20,2607,423,2184,59,14,46
Pinhel,67,34,33,4056,946,3110,89,29,60
Sabugal,92,43,49,7174,1499,5675,193,42,151
Seia,260,130,130,19187,4691,14496,457,139,318
Trancoso,85,43,42,5520,1312,4208,143,40,103
A. M. Lisboa,49252,22434,26818,3742872,763427,2979445,129831,35991,93841
Alcochete,293,136,157,22782,4731,18051,922,253,669
Almada,2653,1167,1486,206463,39386,167077,6485,1693,4792
Amadora,3128,1376,1752,240315,45601,194714,7072,1859,5214
Barreiro,1139,512,627,85511,16847,68664,2357,640,1717
Cascais,3065,1395,1670,234402,48261,186141,8858,2411,6447
Lisboa,9712,4399,5313,747649,156951,590698,34034,9855,24178
Loures,3749,1727,2022,286254,57525,228729,8982,2402,6580
Mafra,1615,796,819,115779,27333,88446,4029,1260,2769
Moita,1141,495,646,86979,16314,70665,2208,585,1622
Montijo,1144,512,632,86659,17179,69480,2823,782,2041
Odivelas,2841,1310,1531,215202,45204,169998,7209,1985,5224
Oeiras,2772,1296,1476,209779,45750,164029,9098,2639,6458
Palmela,1116,533,583,83942,19074,64868,2704,835,1868
Seixal,2750,1253,1497,205709,41465,164244,6285,1690,4596
Sesimbra,880,394,486,66152,13866,52286,2058,554,1504
Setúbal,1857,842,1015,139413,27051,112362,4242,1162,3080
Sintra,6873,3103,3770,521324,100781,420543,14617,3784,10833
Vila Franca de Xira,2524,1188,1336,188558,40108,148450,5850,1602,4248
Alentejo,11081,5140,5941,807532,166134,641398,21212,5851,15361
Alentejo Litoral,1435,663,772,108860,21204,87656,3081,864,2216
Alcácer do Sal,146,63,83,11044,2048,8996,300,73,227
Grândola,222,98,124,17568,3487,14081,489,109,380
Odemira,441,209,232,33102,6334,26768,805,205,600
Santiago do Cacém,383,185,198,28853,6141,22712,949,313,636
Sines,243,108,135,18293,3194,15099,539,165,373
Baixo Alentejo,1904,881,1023,138617,27352,111265,3392,970,2422
Aljustrel,139,69,70,10124,2175,7949,239,88,152
Almodôvar,94,41,53,7070,1314,5756,224,77,147
Alvito,42,21,21,3219,686,2533,86,32,54
Barrancos,20,9,11,1551,210,1341,30,6,25
Beja,587,271,316,45078,9124,35954,1168,308,860
Castro Verde,108,55,53,8226,2121,6105,266,113,153
Cuba,88,42,46,6087,1262,4825,143,36,108
Ferreira do Alentejo,107,45,62,7599,1178,6421,164,37,127
Mértola,73,38,35,4806,1085,3721,111,36,75
Moura,262,115,147,18011,3162,14849,326,77,250
Ourique,70,34,36,4968,1082,3886,127,50,77
Serpa,217,102,115,15172,2917,12255,349,82,267
Vidigueira,97,39,58,6706,1036,5670,157,30,127
Lezíria do Tejo,3684,1703,1981,266719,55591,211128,7178,1999,5179
Almeirim,337,152,185,24806,5194,19612,658,206,453
Alpiarça,98,44,54,7025,1409,5616,173,42,131
Azambuja,336,158,178,22500,5164,17336,566,176,390
Benavente,500,225,275,36041,7537,28504,1015,284,731
Cartaxo,352,156,196,26240,5221,21019,689,168,520
Chamusca,95,44,51,6510,1294,5216,171,44,127
Coruche,247,110,137,18254,3461,14793,491,124,367
Golegã,96,44,52,6657,1297,5360,168,38,130
Rio Maior,396,195,201,27943,6319,21624,722,218,503
Salvaterra de Magos,364,177,187,25844,5666,20178,703,215,489
Santarém,863,398,465,64899,13029,51870,1821,483,1339
Alto Alentejo,1567,705,862,114469,22924,91545,2739,718,2021
Alter do Chão,47,21,26,2804,501,2303,57,14,44
Arronches,39,20,19,2489,730,1759,63,22,40
Avis,46,18,28,3429,547,2882,76,17,59
Campo Maior,169,76,93,12543,2457,10086,281,67,214
Castelo de Vide,32,14,18,2393,390,2003,60,12,48
Crato,24,13,11,1361,329,1032,35,10,25
Elvas,372,160,212,27863,4819,23044,602,150,452
Fronteira,36,14,22,2420,499,1921,68,22,46
Gavião,33,14,19,2920,688,2232,83,25,58
Marvão,47,22,25,3793,1055,2738,87,32,55
Monforte,44,21,23,3271,661,2610,81,16,66
Nisa,52,23,29,3680,782,2898,85,25,59
Ponte de Sor,188,83,105,13887,2419,11468,309,78,232
Portalegre,365,169,196,26179,5877,20302,743,199,543
Sousel,73,37,36,5437,1170,4267,110,29,80
Alentejo Central,2491,1188,1303,178867,39063,139804,4822,1300,3523
Alandroal,72,34,38,6147,1187,4960,142,36,106
Arraiolos,112,56,56,7650,1729,5921,200,55,144
Borba,92,41,51,6141,1188,4953,136,33,103
Estremoz,242,113,129,16908,3578,13330,443,110,334
Évora,986,481,505,69781,16241,53540,2158,617,1541
Montemor-o-Novo,218,98,120,15731,3297,12434,426,109,317
Mora,35,17,18,2196,654,1542,57,22,35
Mourão,32,15,17,2380,459,1921,41,10,31
Portel,90,46,44,6268,1367,4901,137,38,99
Redondo,90,40,50,6220,1237,4983,136,32,104
Reguengos de Monsaraz,191,91,100,14811,3047,11764,331,85,246
Vendas Novas,146,64,82,11352,2284,9068,291,64,227
Viana do Alentejo,82,39,43,5821,1214,4607,135,41,94
Vila Viçosa,103,53,50,7461,1581,5880,189,48,142
Algarve,7866,3490,4376,600448,111817,488631,14877,3578,11299
Albufeira,817,348,469,64134,11125,53009,1513,355,1158
Alcoutim,19,7,12,1551,210,1341,29,7,22
Aljezur,62,30,32,4692,1045,3647,101,34,66
Castro Marim,79,31,48,5388,866,4522,130,30,100
Faro,1226,562,664,90882,18017,72865,2380,598,1782
Lagoa,425,181,244,33341,5546,27795,812,169,643
Lagos,440,202,238,34337,6526,27811,862,220,642
Loulé,1241,516,725,94970,15969,79001,2420,563,1856
Monchique,78,35,43,6769,1399,5370,148,32,116
Olhão,735,343,392,55448,11217,44231,1329,335,994
Portimão,1124,501,623,87265,16847,70418,2257,561,1696
São Brás de Alportel,198,96,102,14524,3174,11350,385,105,279
Silves,665,290,375,50709,8930,41779,1247,265,981
Tavira,360,168,192,26347,5479,20868,621,157,464
Vila do Bispo,85,35,50,6634,1011,5623,145,25,120
Vila Real de Santo António,312,145,167,23457,4456,19001,498,120,379
R. A. Açores,4403,2009,2394,323878,65857,258021,9099,2304,6795
Santa Maria,109,52,57,8673,1734,6939,315.64265,121.14559,194
Vila do Porto,109,52,57,8673,1734,6939,316,121,194
São Miguel,2653,1214,1439,190911,38346,152565,5134.6618,1274.89163,3860
Lagoa (R.A.A.),315,141,174,22392,4384,18008,538,138,400
Nordeste,51,24,27,3155,658,2497,81,16,64
Ponta Delgada,1283,590,693,93946,19305,74641,2880,748,2132
Povoação,91,38,53,6715,1238,5477,164,37,127
Ribeira Grande,744,343,401,52755,10433,42322,1192,274,918
Vila Franca do Campo,169,78,91,11948,2328,9620,280,62,218
Terceira,913,415,498,68840,14411,54429,2072.90445,528.21181,1545
Angra do Heroísmo,566,261,305,41425,8727,32698,1265,322,943
Vila da Praia da Vitória,347,154,193,27415,5684,21731,808,206,601
Graciosa,65,26,39,5677,947,4730,139.9482,30.045840000000002,110
Santa Cruz da Graciosa,65,26,39,5677,947,4730,140,30,110
São Jorge,141,68,73,10654,2170,8484,260.65239,60.85781,200
Calheta (R.A.A.),53,24,29,4028,735,3293,100,17,83
Velas,88,44,44,6626,1435,5191,161,44,117
Pico,219,96,123,15226,2909,12317,425.28013999999996,74.83952,350
Lajes do Pico,76,33,43,5324,895,4429,144,26,118
Madalena,97,43,54,6641,1408,5233,187,34,153
São Roque do Pico,46,20,26,3261,606,2655,94,14,80
Faial,243,110,133,18813,4016,14797,602.2379,151.85685,450
Horta,243,110,133,18813,4016,14797,602,152,450
Flores,243,110,133,18813,4016,14797,602.2379,151.85685,450
Lajes das Flores,17,...,...,0,...,...,40,...,...
Santa Cruz das Flores,37,19,18,3409,945,2464,92,40,52
Corvo,6,...,...,573,...,...,15.85458,...,...
Corvo,6,...,...,0,...,...,16,...,...
R. A. Madeira,3526,1675,1851,259668,57124,202544,7643,2077,5566
Calheta (R.A.M.),108,50,58,7685,1411,6274,185,40,145
Câmara de Lobos,586,269,317,44706,9221,35485,985,255,730
Funchal,1386,642,744,102780,22146,80634,3577,945,2632
Machico,242,120,122,16603,3920,12683,424,116,308
Ponta do Sol,110,54,56,7848,1634,6214,169,43,126
Porto Moniz,14,7,7,996,190,806,23,7,16
Ribeira Brava,192,93,99,13971,3346,10625,352,105,247
Santa Cruz,714,346,368,52909,12126,40783,1564,444,1121
Santana,57,30,27,4424,1119,3305,113,30,83
São Vicente,49,25,24,2976,753,2223,72,23,49
Porto Santo,68,39,29,4770,1258,3512,177,67,109
