,"Estabelecimentos, Total, 2022/2023 (N.º)","Estabelecimentos, Público, 2022/2023 (N.º)","Estabelecimentos, Privado, 2022/2023 (N.º)","Docentes, Total, 2022/2023 (N.º)","Docentes, Público, 2022/2023 (N.º)","Docentes, Privado, 2022/2023 (N.º)","Alunas/os inscritas/os, Total, 2022/2023 (N.º)","Alunas/os inscritas/os, Público, 2022/2023 (N.º)","Alunas/os inscritas/os, Privado, 2022/2023 (N.º)","Alunas/os diplomadas/os, Total, 2021/2022 (N.º)","Alunas/os diplomadas/os, Público, 2021/2022 (N.º)","Alunas/os diplomadas/os, Privado, 2021/2022 (N.º)"
Portugal,287,190,97,40183,31737,8446,446028,359397,86631,89640,72126,17514
Continente,271,176,95,39416,31033,8383,439056,352847,86209,88402,70938,17464
Norte,95,48,47,13349,9786,3563,149623,111347,38276,32181,23618,8563
Alto Minho,6,6,0,461,461,0,4928,4928,0,1018,1018,0
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,1,1,0,36,36,0,348,348,0,95,95,0
Monção,0,0,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,55,55,0,523,523,0,125,125,0
Valença,1,1,0,48,48,0,524,524,0,136,136,0
Viana do Castelo,3,3,0,322,322,0,3533,3533,0,662,662,0
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,10,7,3,1619,1514,105,28138,26892,1246,7183,6911,272
Amares,1,0,1,52,0,52,389,0,389,57,0,57
Barcelos,4,4,0,513,513,0,4555,4555,0,747,747,0
Braga,5,3,2,1054,1001,53,23194,22337,857,6379,6164,215
Esposende,0,0,0,0,0,0,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0,0,0,0,0
Ave,4,0,4,687,540,147,2438,0,2438,616,0,616
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Fafe,2,0,2,72,0,72,827,0,827,198,0,198
Guimarães,0,0,0,540,540,0,0,0,0,0,0,0
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,0,2,75,0,75,1611,0,1611,418,0,418
Vizela,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,60,23,37,9046,5791,3255,91393,57730,33663,19770,12278,7492
Arouca,0,0,0,0,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,0,0,0,0,0,0,0,0
Maia,3,0,3,431,0,431,5543,0,5543,1287,0,1287
Matosinhos,3,1,2,321,228,93,6328,5084,1244,1203,889,314
Oliveira de Azeméis,2,1,1,178,62,116,636,440,196,178,120,58
Paredes,2,0,2,441,0,441,2095,0,2095,648,0,648
Porto,40,19,21,6794,4926,1868,71750,50282,21468,15304,10878,4426
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,1,0,1,48,0,48,574,0,574,139,0,139
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,0,0,0,0,0,0
Trofa,0,0,0,0,0,0,0,0,0,0,0,0
Vale de Cambra,0,0,0,0,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Conde,2,2,0,169,169,0,1924,1924,0,391,391,0
Vila Nova de Gaia,7,0,7,664,406,258,2543,0,2543,620,0,620
Alto Tâmega,1,0,1,12,2,10,317,0,317,59,0,59
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,1,0,1,12,2,10,317,0,317,59,0,59
Montalegre,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,3,1,2,202,156,46,2485,1873,612,427,303,124
Amarante,0,0,0,0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,0,0,0
Felgueiras,1,1,0,156,156,0,1873,1873,0,303,303,0
Lousada,0,0,0,0,0,0,0,0,0,0,0,0
Marco de Canaveses,0,0,0,0,0,0,0,0,0,0,0,0
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0,0
Penafiel,2,0,2,46,0,46,612,0,612,124,0,124
Resende,0,0,0,0,0,0,0,0,0,0,0,0
Douro,6,6,0,654,654,0,9111,9111,0,1525,1525,0
Alijó,0,0,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
Lamego,1,1,0,66,66,0,667,667,0,126,126,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real,5,5,0,588,588,0,8444,8444,0,1399,1399,0
Terras de Trás-os-Montes,5,5,0,668,668,0,10813,10813,0,1583,1583,0
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,4,4,0,566,566,0,8923,8923,0,1323,1323,0
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
Mirandela,1,1,0,102,102,0,1890,1890,0,260,260,0
Mogadouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0,0
Centro,53,45,8,8273,7809,464,93027,89655,3372,19153,18549,604
Oeste,2,2,0,321,321,0,3269,3269,0,804,804,0
Alcobaça,0,0,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,1,1,0,170,170,0,1748,1748,0,395,395,0
Lourinhã,0,0,0,0,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,1,1,0,151,151,0,1521,1521,0,409,409,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,0,0,0,0,0,0,0,0,0,0,0,0
Região de Aveiro,5,4,1,1441,1325,116,15916,15523,393,3521,3437,84
Águeda,1,1,0,94,94,0,983,983,0,221,221,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0,0,0
Anadia,0,0,0,0,0,0,0,0,0,0,0,0
Aveiro,4,3,1,1347,1231,116,14933,14540,393,3300,3216,84
Estarreja,0,0,0,0,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,0,0,0,0,0,0,0,0,0,0,0,0
Sever do Vouga,0,0,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,20,18,2,3279,3091,188,38833,37157,1676,8336,7996,340
Arganil,0,0,0,0,0,0,0,0,0,0,0,0
Cantanhede,0,0,0,0,0,0,0,0,0,0,0,0
Coimbra,19,17,2,3224,3036,188,38156,36480,1676,8228,7888,340
Condeixa-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,0,0,0,0,0,0,0,0
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0,0,0
Mealhada,0,0,0,0,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,1,0,55,55,0,677,677,0,108,108,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,4,3,1,930,880,50,10227,9778,449,2014,1990,24
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Leiria,3,3,0,884,880,4,9778,9778,0,2007,1990,17
Marinha Grande,1,0,1,46,0,46,449,0,449,7,0,7
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,8,4,4,529,419,110,6009,5155,854,1100,944,156
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,8,4,4,529,419,110,6009,5155,854,1100,944,156
Vouzela,0,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,6,6,0,450,450,0,4534,4534,0,846,846,0
Castelo Branco,5,5,0,410,410,0,3997,3997,0,744,744,0
Idanha-a-Nova,1,1,0,40,40,0,537,537,0,102,102,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,3,3,0,218,218,0,2509,2509,0,363,363,0
Abrantes,1,1,0,0,0,0,471,471,0,57,57,0
Alcanena,0,0,0,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0,0,0
Tomar,2,2,0,218,218,0,2038,2038,0,306,306,0
Torres Novas,0,0,0,0,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,5,5,0,1105,1105,0,11730,11730,0,2169,2169,0
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,1,1,0,845,845,0,8177,8177,0,1651,1651,0
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0,0,0,0
Guarda,3,3,0,246,246,0,3256,3256,0,478,478,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0
Seia,1,1,0,14,14,0,297,297,0,40,40,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,91,54,37,15012,10875,4137,166405,123636,42769,31659,23687,7972
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0
Almada,7,2,5,1155,599,556,11491,7489,4002,1953,1341,612
Amadora,1,1,0,76,76,0,409,409,0,121,121,0
Barreiro,1,1,0,94,94,0,650,650,0,111,111,0
Cascais,3,2,1,745,559,186,8080,7606,474,2054,1956,98
Lisboa,65,38,27,11632,8492,3140,131696,95490,36206,24953,17994,6959
Loures,0,0,0,0,0,0,0,0,0,0,0,0
Mafra,0,0,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0,0
Odivelas,1,0,1,68,0,68,745,0,745,138,0,138
Oeiras,6,4,2,361,251,110,5578,4369,1209,1041,876,165
Palmela,0,0,0,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0
Setúbal,4,4,0,752,752,0,7198,7198,0,1278,1278,0
Sintra,3,2,1,129,52,77,558,425,133,10,10,0
Vila Franca de Xira,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo,20,19,1,1657,1595,62,18918,18163,755,3433,3264,169
Alentejo Litoral,0,0,0,0,0,0,0,0,0,0,0,0
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0,0
Sines,0,0,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,4,4,0,283,283,0,3110,3110,0,651,651,0
Aljustrel,0,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0,0
Beja,4,4,0,283,283,0,3110,3110,0,651,651,0
Castro Verde,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,6,5,1,457,395,62,5297,4542,755,966,797,169
Almeirim,0,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,1,1,0,99,99,0,1047,1047,0,220,220,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0,0
Santarém,5,4,1,358,296,62,4250,3495,755,746,577,169
Alto Alentejo,4,4,0,260,260,0,2643,2643,0,447,447,0
Alter do Chão,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,45,45,0,470,470,0,89,89,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0,0,0
Portalegre,3,3,0,215,215,0,2173,2173,0,358,358,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,6,6,0,657,657,0,7868,7868,0,1369,1369,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0,0,0
Évora,6,6,0,657,657,0,7868,7868,0,1369,1369,0
Montemor-o-Novo,0,0,0,0,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0,0
Algarve,12,10,2,1125,968,157,11083,10046,1037,1976,1820,156
Albufeira,0,0,0,0,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,9,9,0,968,968,0,9629,9629,0,1756,1756,0
Lagoa,0,0,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0,0,0,0,0
Loulé,0,0,0,0,0,0,0,0,0,0,0,0
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0,0,0
Portimão,2,1,1,115,0,115,1167,417,750,188,64,124
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,1,0,1,42,0,42,287,0,287,32,0,32
Tavira,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Açores,8,8,0,287,287,0,2961,2961,0,445,445,0
Santa Maria,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0,0,0
São Miguel,5,5,0,248,248,0,2551,2551,0,386,386,0
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,5,5,0,248,248,0,2551,2551,0,386,386,0
Povoação,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0,0,0
Terceira,3,3,0,39,39,0,410,410,0,59,59,0
Angra do Heroísmo,3,3,0,39,39,0,410,410,0,59,59,0
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0,0,0
Faial,0,0,0,0,0,0,0,0,0,0,0,0
Horta,0,0,0,0,0,0,0,0,0,0,0,0
Flores,0,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,8,6,2,480,417,63,4011,3589,422,793,743,50
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0,0,0
Funchal,8,6,2,480,417,63,4011,3589,422,793,743,50
Machico,0,0,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0,0
