,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Portugal,2210,2101,109,4404,3669,735,17962,12854,5108,50082,35571,14511
Continente,1596,1487,109,4146,3411,735,16720,11615,5105,48295,33802,14493
Norte,513,445,68,1895,1328,567,6909,3505,3404,16687,8681,8006
Alto Minho,4,2,2,63,19,44,239,37,202,950,362,588
Arcos de Valdevez,0,0,0,7,0,7,11,0,11,72,0,72
Caminha,0,0,0,5,0,5,8,0,8,23,0,23
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,33,0,33,87,0,87
Paredes de Coura,0,0,0,0,0,0,0,0,0,17,0,17
Ponte da Barca,2,0,2,21,0,21,58,0,58,120,0,120
Ponte de Lima,0,0,0,23,14,9,19,0,19,181,34,147
Valença,0,0,0,0,0,0,5,5,0,28,28,0
Viana do Castelo,2,2,0,7,5,2,105,32,73,422,300,122
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,48,46,2,92,68,24,610,267,343,1691,899,792
Amares,0,0,0,4,4,0,8,8,0,46,46,0
Barcelos,0,0,0,14,0,14,177,28,149,243,55,188
Braga,27,27,0,50,50,0,308,196,112,1072,678,394
Esposende,3,3,0,3,3,0,35,35,0,109,94,15
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,18,16,2,21,11,10,82,0,82,221,26,195
Ave,43,24,19,110,92,18,422,209,213,1282,806,476
Cabeceiras de Basto,2,0,2,2,0,2,37,0,37,66,16,50
Fafe,8,0,8,0,0,0,66,0,66,143,0,143
Guimarães,10,1,9,23,22,1,119,75,44,378,258,120
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,53,35,18,69,36,33
Vieira do Minho,0,0,0,0,0,0,0,0,0,24,24,0
Vila Nova de Famalicão,22,22,0,69,69,0,100,86,14,423,406,17
Vizela,1,1,0,16,1,15,47,13,34,179,66,113
A. M. Porto,283,259,24,908,812,96,3203,2047,1156,8046,4386,3660
Arouca,0,0,0,0,0,0,33,11,22,91,0,91
Espinho,15,15,0,26,24,2,62,0,62,107,0,107
Gondomar,12,12,0,41,40,1,175,125,50,395,248,147
Maia,0,0,0,22,0,22,120,38,82,313,165,148
Matosinhos,50,42,8,131,120,11,389,278,111,674,481,193
Oliveira de Azeméis,0,0,0,14,14,0,99,83,16,184,173,11
Paredes,5,0,5,50,16,34,189,66,123,482,112,370
Porto,30,27,3,138,129,9,491,299,192,2071,1040,1031
Póvoa de Varzim,0,0,0,16,16,0,81,81,0,232,232,0
Santa Maria da Feira,12,12,0,185,185,0,462,337,125,816,574,242
Santo Tirso,21,21,0,3,3,0,56,56,0,210,210,0
São João da Madeira,0,0,0,27,27,0,80,80,0,222,222,0
Trofa,0,0,0,13,13,0,37,37,0,88,72,16
Vale de Cambra,0,0,0,0,0,0,0,0,0,27,27,0
Valongo,1,0,1,6,2,4,175,49,126,361,82,279
Vila do Conde,0,0,0,7,2,5,62,20,42,137,54,83
Vila Nova de Gaia,137,130,7,229,221,8,692,487,205,1636,694,942
Alto Tâmega,12,12,0,52,44,8,194,123,71,395,305,90
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,10,10,0,51,43,8,127,71,56,268,193,75
Montalegre,0,0,0,0,0,0,0,0,0,15,15,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,1,1,0,0,0,0,42,27,15,55,55,0
Vila Pouca de Aguiar,1,1,0,1,1,0,25,25,0,57,42,15
Tâmega e Sousa,72,63,9,340,226,114,1346,493,853,2315,994,1321
Amarante,1,1,0,53,53,0,85,85,0,211,173,38
Baião,0,0,0,0,0,0,15,0,15,105,40,65
Castelo de Paiva,0,0,0,80,0,80,222,0,222,136,0,136
Celorico de Basto,0,0,0,6,6,0,14,14,0,32,32,0
Cinfães,0,0,0,2,2,0,22,6,16,124,47,77
Felgueiras,0,0,0,32,28,4,148,78,70,318,184,134
Lousada,0,0,0,20,20,0,59,21,38,190,157,33
Marco de Canaveses,1,1,0,29,29,0,135,49,86,193,80,113
Paços de Ferreira,35,32,3,60,48,12,258,112,146,269,48,221
Penafiel,35,29,6,58,40,18,368,128,240,704,200,504
Resende,0,0,0,0,0,0,20,0,20,33,33,0
Douro,14,4,10,149,15,134,442,178,264,956,570,386
Alijó,0,0,0,0,0,0,17,17,0,23,23,0
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
Lamego,0,0,0,7,7,0,125,100,25,240,240,0
Mesão Frio,0,0,0,0,0,0,0,0,0,15,15,0
Moimenta da Beira,1,1,0,0,0,0,45,11,34,90,76,14
Murça,0,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,2,2,0,5,5,0,17,17,0,53,53,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,2,0,2,26,0,26,86,0,86,110,0,110
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real,9,1,8,111,3,108,152,33,119,425,163,262
Terras de Trás-os-Montes,37,35,2,181,52,129,453,151,302,1052,359,693
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,23,23,0,41,35,6,194,121,73,355,215,140
Macedo de Cavaleiros,1,0,1,29,0,29,29,0,29,109,50,59
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
Mirandela,13,12,1,98,17,81,176,30,146,469,94,375
Mogadouro,0,0,0,13,0,13,54,0,54,119,0,119
Vila Flor,0,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0,0
Centro,185,155,30,789,670,119,3686,2576,1110,11190,7687,3503
Oeste,10,9,1,61,57,4,449,389,60,1651,1490,161
Alcobaça,1,0,1,5,4,1,101,72,29,266,178,88
Alenquer,0,0,0,5,5,0,64,64,0,203,203,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,3,3,0,1,1,0,36,36,0,83,83,0
Cadaval,1,1,0,3,3,0,10,10,0,38,38,0
Caldas da Rainha,2,2,0,38,38,0,97,97,0,419,419,0
Lourinhã,3,3,0,2,2,0,17,17,0,192,156,36
Nazaré,0,0,0,3,0,3,50,36,14,53,16,37
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,44,27,17,73,73,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,24,24,0
Torres Vedras,0,0,0,4,4,0,30,30,0,300,300,0
Região de Aveiro,63,53,10,314,298,16,992,601,391,2332,1521,811
Águeda,1,1,0,100,100,0,209,209,0,422,421,1
Albergaria-a-Velha,0,0,0,16,16,0,2,2,0,29,29,0
Anadia,0,0,0,32,32,0,27,27,0,98,98,0
Aveiro,55,52,3,83,75,8,360,204,156,912,536,376
Estarreja,0,0,0,20,20,0,89,27,62,116,96,20
Ílhavo,0,0,0,9,9,0,54,54,0,150,150,0
Murtosa,0,0,0,0,0,0,0,0,0,9,0,9
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,7,0,7,54,46,8,198,25,173,453,60,393
Sever do Vouga,0,0,0,0,0,0,19,19,0,95,95,0
Vagos,0,0,0,0,0,0,34,34,0,48,36,12
Região de Coimbra,25,10,15,149,96,53,735,462,273,2446,1435,1011
Arganil,0,0,0,32,32,0,39,39,0,191,191,0
Cantanhede,0,0,0,1,1,0,8,8,0,100,100,0
Coimbra,23,9,14,63,35,28,434,275,159,1194,694,500
Condeixa-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,17,13,4,74,47,27,277,101,176
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,1,0,1,17,0,17,20,0,20,112,32,80
Mealhada,0,0,0,0,0,0,34,12,22,51,23,28
Mira,0,0,0,0,0,0,0,0,0,18,0,18
Miranda do Corvo,0,0,0,0,0,0,0,0,0,16,16,0
Montemor-o-Velho,0,0,0,0,0,0,13,0,13,42,0,42
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,1,0,6,6,0,49,49,0,134,117,17
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,4,0,4,13,0,13,54,0,54
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,32,32,0,126,111,15
Tábua,0,0,0,9,9,0,0,0,0,35,35,0
Vila Nova de Poiares,0,0,0,0,0,0,19,0,19,96,15,81
Região de Leiria,4,4,0,14,5,9,326,224,102,1182,608,574
Alvaiázere,0,0,0,0,0,0,9,0,9,10,10,0
Ansião,0,0,0,0,0,0,8,0,8,93,35,58
Batalha,0,0,0,0,0,0,22,22,0,97,97,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Leiria,0,0,0,10,1,9,162,109,53,501,263,238
Marinha Grande,1,1,0,0,0,0,62,49,13,208,120,88
Pedrógão Grande,0,0,0,0,0,0,8,0,8,80,0,80
Pombal,3,3,0,4,4,0,55,44,11,193,83,110
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,5,5,0,83,77,6,445,311,134,1143,886,257
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,26,26,0
Castro Daire,0,0,0,0,0,0,54,54,0,83,83,0
Mangualde,1,1,0,1,1,0,52,52,0,94,76,18
Nelas,0,0,0,0,0,0,0,0,0,14,14,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,13,13,0
São Pedro do Sul,0,0,0,12,12,0,53,53,0,154,112,42
Sátão,0,0,0,0,0,0,0,0,0,11,11,0
Tondela,0,0,0,6,0,6,56,25,31,72,20,52
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,4,4,0,64,64,0,230,127,103,676,531,145
Vouzela,0,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,13,13,0,35,35,0,114,94,20,280,233,47
Castelo Branco,13,13,0,35,35,0,105,85,20,246,199,47
Idanha-a-Nova,0,0,0,0,0,0,9,9,0,34,34,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,1,1,0,48,41,7,338,281,57,1425,1018,407
Abrantes,0,0,0,0,0,0,78,78,0,235,213,22
Alcanena,0,0,0,0,0,0,7,7,0,72,72,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,16,16,0,16,0,16,157,0,157
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,5,0,5,55,19,36,244,146,98
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,19,19,0,67,47,20
Tomar,1,1,0,8,8,0,115,115,0,498,482,16
Torres Novas,0,0,0,19,17,2,48,43,5,152,58,94
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,64,60,4,85,61,24,287,214,73,731,496,235
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,19,19,0,0,0,0,8,8,0
Celorico da Beira,0,0,0,0,0,0,11,11,0,12,12,0
Covilhã,29,26,3,21,15,6,92,61,31,223,198,25
Figueira de Castelo Rodrigo,0,0,0,0,0,0,7,7,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,1,1,0,29,29,0,83,70,13
Gouveia,0,0,0,0,0,0,0,0,0,0,0,0
Guarda,34,34,0,33,26,7,133,106,27,274,152,122
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,23,23,0
Sabugal,0,0,0,0,0,0,0,0,0,19,19,0
Seia,1,0,1,11,0,11,15,0,15,75,0,75
Trancoso,0,0,0,0,0,0,0,0,0,14,14,0
A. M. Lisboa,729,728,1,1130,1118,12,4498,4307,191,14534,12616,1918
Alcochete,0,0,0,0,0,0,0,0,0,44,44,0
Almada,25,25,0,24,24,0,132,118,14,714,467,247
Amadora,49,49,0,99,99,0,504,504,0,1528,1528,0
Barreiro,81,81,0,54,54,0,163,163,0,487,487,0
Cascais,64,64,0,69,69,0,264,264,0,652,652,0
Lisboa,46,45,1,152,147,5,889,795,94,3401,2298,1103
Loures,104,104,0,99,97,2,169,163,6,557,441,116
Mafra,0,0,0,0,0,0,101,79,22,257,170,87
Moita,20,20,0,55,55,0,104,104,0,313,313,0
Montijo,0,0,0,15,12,3,78,67,11,233,185,48
Odivelas,30,30,0,31,31,0,226,226,0,585,585,0
Oeiras,5,5,0,20,20,0,151,151,0,419,419,0
Palmela,0,0,0,0,0,0,13,0,13,154,0,154
Seixal,23,23,0,123,121,2,726,695,31,1412,1262,150
Sesimbra,0,0,0,16,16,0,11,11,0,137,137,0
Setúbal,63,63,0,89,89,0,271,271,0,981,981,0
Sintra,155,155,0,186,186,0,413,413,0,1794,1781,13
Vila Franca de Xira,64,64,0,98,98,0,283,283,0,866,866,0
Alentejo,134,124,10,284,256,28,1265,884,381,3869,2902,967
Alentejo Litoral,22,19,3,27,25,2,127,114,13,507,429,78
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Grândola,17,17,0,17,17,0,25,25,0,96,96,0
Odemira,3,0,3,2,0,2,10,0,10,32,0,32
Santiago do Cacém,2,2,0,7,7,0,63,63,0,307,307,0
Sines,0,0,0,1,1,0,29,26,3,72,26,46
Baixo Alentejo,56,56,0,58,57,1,229,147,82,708,564,144
Aljustrel,0,0,0,0,0,0,11,11,0,46,46,0
Almodôvar,0,0,0,0,0,0,58,58,0,96,96,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,10,10,0
Beja,31,31,0,27,26,1,136,54,82,403,259,144
Castro Verde,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,16,16,0
Mértola,0,0,0,0,0,0,17,17,0,42,42,0
Moura,12,12,0,15,15,0,5,5,0,55,55,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,13,13,0,16,16,0,2,2,0,29,29,0
Vidigueira,0,0,0,0,0,0,0,0,0,11,11,0
Lezíria do Tejo,22,18,4,130,115,15,470,363,107,1325,991,334
Almeirim,0,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,8,8,0,34,34,0,102,102,0,197,197,0
Benavente,0,0,0,0,0,0,29,13,16,62,28,34
Cartaxo,0,0,0,0,0,0,6,6,0,50,50,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,1,0,1,0,0,0,6,0,6,17,0,17
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,10,10,0,21,21,0,36,36,0,111,111,0
Salvaterra de Magos,0,0,0,13,12,1,60,31,29,203,106,97
Santarém,3,0,3,62,48,14,231,175,56,685,499,186
Alto Alentejo,13,11,2,27,23,4,228,136,92,488,289,199
Alter do Chão,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,16,0,16,11,0,11
Campo Maior,2,0,2,4,0,4,45,15,30,169,15,154
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,11,11,0,12,12,0,42,42,0,104,87,17
Fronteira,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,16,16,0
Ponte de Sor,0,0,0,0,0,0,11,11,0,35,35,0
Portalegre,0,0,0,11,11,0,84,68,16,136,136,0
Sousel,0,0,0,0,0,0,30,0,30,17,0,17
Alentejo Central,21,20,1,42,36,6,211,124,87,841,629,212
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,1,1,0,0,0,0,4,4,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,5,5,0,23,23,0,105,90,15
Évora,21,20,1,31,27,4,100,86,14,458,370,88
Montemor-o-Novo,0,0,0,0,0,0,36,0,36,100,49,51
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,18,0,18,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,35,18,17
Reguengos de Monsaraz,0,0,0,2,0,2,19,0,19,51,10,41
Vendas Novas,0,0,0,3,3,0,8,8,0,49,49,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,7,7,0,39,39,0
Algarve,35,35,0,48,39,9,362,343,19,2015,1916,99
Albufeira,0,0,0,0,0,0,31,31,0,107,107,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,16,16,0,13,13,0,48,48,0,381,381,0
Lagoa,0,0,0,0,0,0,16,16,0,32,32,0
Lagos,0,0,0,6,6,0,34,34,0,130,130,0
Loulé,0,0,0,10,1,9,49,30,19,389,310,79
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,17,17,0,2,2,0,57,57,0,152,152,0
Portimão,2,2,0,16,16,0,79,79,0,458,458,0
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,25,25,0,138,118,20
Tavira,0,0,0,0,0,0,0,0,0,88,88,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,1,1,0,23,23,0,140,140,0
R. A. Açores,42,42,0,101,101,0,566,566,0,516,501,15
Santa Maria,0,0,0,0,0,0,6,6,0,8,8,0
Vila do Porto,0,0,0,0,0,0,6,6,0,8,8,0
São Miguel,32,32,0,71,71,0,418,418,0,273,258,15
Lagoa (R.A.A.),1,1,0,19,19,0,71,71,0,57,57,0
Nordeste,0,0,0,0,0,0,13,13,0,3,3,0
Ponta Delgada,11,11,0,21,21,0,180,180,0,118,118,0
Povoação,0,0,0,8,8,0,35,35,0,19,4,15
Ribeira Grande,20,20,0,14,14,0,104,104,0,69,69,0
Vila Franca do Campo,0,0,0,9,9,0,15,15,0,7,7,0
Terceira,10,10,0,23,23,0,108,108,0,182,182,0
Angra do Heroísmo,10,10,0,15,15,0,67,67,0,94,94,0
Vila da Praia da Vitória,0,0,0,8,8,0,41,41,0,88,88,0
Graciosa,0,0,0,0,0,0,0,0,0,5,5,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,5,5,0
São Jorge,0,0,0,0,0,0,0,0,0,5,5,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,2,2,0
Velas,0,0,0,0,0,0,0,0,0,3,3,0
Pico,0,0,0,6,6,0,15,15,0,10,10,0
Lajes do Pico,0,0,0,1,1,0,4,4,0,5,5,0
Madalena,0,0,0,3,3,0,5,5,0,2,2,0
São Roque do Pico,0,0,0,2,2,0,6,6,0,3,3,0
Faial,0,0,0,1,1,0,12,12,0,23,23,0
Horta,0,0,0,1,1,0,12,12,0,23,23,0
Flores,0,0,0,0,0,0,2,2,0,8,8,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,4,4,0
Santa Cruz das Flores,0,0,0,0,0,0,2,2,0,4,4,0
Corvo,0,0,0,0,0,0,5,5,0,2,2,0
Corvo,0,0,0,0,0,0,5,5,0,2,2,0
R. A. Madeira,572,572,0,157,157,0,676,673,3,1271,1268,3
Calheta (R.A.M.),96,96,0,0,0,0,0,0,0,23,23,0
Câmara de Lobos,136,136,0,8,8,0,30,30,0,96,96,0
Funchal,71,71,0,106,106,0,524,521,3,893,890,3
Machico,80,80,0,17,17,0,36,36,0,75,75,0
Ponta do Sol,98,98,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,13,13,0,0,0,0,0,0,0,61,61,0
Santa Cruz,0,0,0,26,26,0,75,75,0,104,104,0
Santana,36,36,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,42,42,0,0,0,0,11,11,0,19,19,0
