,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Portugal,781247,239676,25443,36582,23393,31614,23707,45218,5243,22226,12995
Continente,764349,237575,25140,36312,23126,31533,23632,43566,5220,21648,12775
Norte,119385,59226,3168,3067,1349,4008,1069,1934,172,4487,1546
Alto Minho,9187,3761,172,158,144,131,29,300,11,213,330
Arcos de Valdevez,393,127,3,18,4,4,2,28,0,15,14
Caminha,747,207,4,26,7,10,1,35,1,24,8
Melgaço,182,92,3,1,0,0,0,1,0,5,1
Monção,1014,473,39,7,12,1,2,12,2,30,11
Paredes de Coura,208,50,0,0,1,1,1,26,2,2,2
Ponte da Barca,163,54,1,10,0,0,0,16,0,18,7
Ponte de Lima,669,259,7,1,6,12,7,37,1,23,6
Valença,1263,559,19,21,16,5,1,32,1,12,6
Viana do Castelo,3815,1775,84,72,85,81,11,79,4,72,275
Vila Nova de Cerveira,733,165,12,2,13,17,4,34,0,12,0
Cávado,19947,11665,537,269,307,680,126,183,26,474,157
Amares,533,298,12,1,5,7,0,18,4,7,35
Barcelos,2149,1146,84,88,23,112,14,12,1,60,11
Braga,14915,9192,388,175,262,517,111,79,13,318,74
Esposende,1301,499,27,3,5,16,1,36,4,48,19
Terras de Bouro,92,17,1,0,1,1,0,15,0,6,0
Vila Verde,957,513,25,2,11,27,0,23,4,35,18
Ave,8088,3924,302,156,99,232,82,77,11,339,47
Cabeceiras de Basto,169,34,5,1,2,3,1,11,1,23,0
Fafe,534,281,8,10,7,13,0,6,0,46,8
Guimarães,3307,1580,61,84,59,135,51,20,3,89,12
Mondim de Basto,59,27,1,0,0,2,0,1,0,9,1
Póvoa de Lanhoso,441,186,7,22,23,5,1,7,0,36,0
Vieira do Minho,164,45,2,0,0,7,0,6,3,14,0
Vila Nova de Famalicão,3102,1576,216,37,7,62,29,25,4,106,26
Vizela,312,195,2,2,1,5,0,1,0,16,0
A. M. Porto,69038,35237,1739,1244,445,2470,576,1201,101,2834,552
Arouca,150,83,1,0,3,0,2,2,0,8,2
Espinho,937,363,39,9,21,17,0,15,0,50,5
Gondomar,3718,2107,99,94,49,184,33,41,5,143,54
Maia,4541,2637,213,143,25,157,35,51,2,111,85
Matosinhos,7373,4076,129,100,33,148,43,190,4,256,47
Oliveira de Azeméis,1295,695,98,6,24,28,12,15,2,28,1
Paredes,1158,610,44,6,4,43,1,5,2,44,3
Porto,23312,10569,194,548,116,702,246,560,34,545,165
Póvoa de Varzim,3069,1783,93,15,15,37,6,25,1,231,5
Santa Maria da Feira,2228,1030,145,38,31,62,4,16,11,85,38
Santo Tirso,758,361,35,4,6,22,6,7,2,73,6
São João da Madeira,1208,729,84,4,3,42,2,6,4,54,8
Trofa,1021,482,87,13,6,14,1,9,4,29,49
Vale de Cambra,551,370,40,3,5,12,1,5,0,18,9
Valongo,2095,1266,85,25,12,72,8,23,3,58,14
Vila do Conde,3252,1119,52,16,9,52,9,44,0,837,4
Vila Nova de Gaia,12372,6957,301,220,83,878,167,187,27,264,57
Alto Tâmega,1479,572,59,6,35,29,3,18,0,116,5
Boticas,51,18,0,0,0,0,0,2,0,9,4
Chaves,835,379,23,3,19,19,1,4,0,57,0
Montalegre,111,30,10,2,0,2,1,4,0,9,0
Ribeira de Pena,102,34,0,0,4,2,0,2,0,7,0
Valpaços,193,60,17,1,7,4,1,5,0,17,0
Vila Pouca de Aguiar,187,51,9,0,5,2,0,1,0,17,1
Tâmega e Sousa,4315,1951,152,44,65,164,41,99,12,177,246
Amarante,558,223,22,5,35,24,5,41,1,21,2
Baião,143,46,2,0,2,0,1,14,1,7,0
Castelo de Paiva,190,57,0,0,1,5,0,0,0,7,61
Celorico de Basto,126,38,1,1,1,2,0,0,0,6,0
Cinfães,192,75,3,5,2,9,0,5,2,6,0
Felgueiras,547,253,17,10,5,13,4,2,1,9,20
Lousada,638,284,13,4,1,30,9,3,2,20,154
Marco de Canaveses,619,236,35,2,8,38,6,15,2,22,0
Paços de Ferreira,532,327,5,7,2,14,0,1,1,39,1
Penafiel,709,401,54,10,5,29,15,16,2,31,8
Resende,61,11,0,0,3,0,1,2,0,9,0
Douro,2954,1089,116,83,170,97,22,35,3,205,22
Alijó,89,20,0,0,7,6,0,0,0,12,0
Armamar,84,16,2,1,0,0,0,1,0,7,0
Carrazeda de Ansiães,154,33,0,1,0,0,0,0,0,10,0
Freixo de Espada à Cinta,118,7,2,0,10,6,0,0,0,9,0
Lamego,174,52,8,2,6,15,1,7,0,10,1
Mesão Frio,26,4,0,0,1,1,1,1,0,6,0
Moimenta da Beira,177,57,16,17,0,3,0,1,0,11,2
Murça,62,21,3,0,0,4,4,0,0,6,1
Penedono,24,9,0,2,1,0,0,0,0,8,0
Peso da Régua,110,44,5,7,3,1,4,2,0,13,6
Sabrosa,41,16,0,1,1,0,0,6,0,8,0
Santa Marta de Penaguião,69,5,0,7,42,0,0,0,0,3,0
São João da Pesqueira,116,22,2,24,24,0,0,0,0,2,4
Sernancelhe,69,17,5,0,4,0,0,0,0,7,1
Tabuaço,56,21,5,1,0,6,0,0,0,8,0
Tarouca,69,31,3,1,1,0,1,1,0,12,0
Torre de Moncorvo,95,15,1,0,2,3,0,4,0,10,0
Vila Nova de Foz Côa,151,20,35,0,44,1,1,1,0,5,0
Vila Real,1270,679,29,19,24,51,10,11,3,58,7
Terras de Trás-os-Montes,4377,1027,91,1107,84,205,190,21,8,129,187
Alfândega da Fé,155,9,0,0,5,2,0,0,0,7,0
Bragança,2713,672,35,930,16,168,151,11,4,47,142
Macedo de Cavaleiros,304,57,20,0,4,2,13,2,1,15,5
Miranda do Douro,124,48,3,3,1,0,0,1,0,5,0
Mirandela,637,126,28,172,8,21,26,3,3,23,40
Mogadouro,122,33,0,0,1,7,0,1,0,13,0
Vila Flor,190,25,5,2,43,1,0,0,0,8,0
Vimioso,68,30,0,0,1,0,0,1,0,5,0
Vinhais,64,27,0,0,5,4,0,2,0,6,0
Centro,108355,39475,6356,1892,3052,3519,1728,7891,681,3067,1138
Oeste,26835,9093,1593,207,1057,603,494,1828,441,601,151
Alcobaça,3278,833,271,39,60,52,10,329,28,122,9
Alenquer,3723,1985,301,39,139,197,256,20,71,53,21
Arruda dos Vinhos,807,540,43,7,57,5,1,5,11,26,2
Bombarral,778,160,55,10,73,55,2,76,5,21,1
Cadaval,498,102,46,7,8,2,2,57,17,9,1
Caldas da Rainha,4755,1456,291,27,54,121,123,579,52,95,25
Lourinhã,1961,579,136,5,75,23,17,139,19,42,3
Nazaré,1290,311,27,5,21,13,1,76,10,29,51
Óbidos,1131,90,43,5,25,3,5,306,5,12,1
Peniche,1753,477,58,38,50,27,47,105,6,43,13
Sobral de Monte Agraço,481,310,31,12,16,10,3,6,8,15,5
Torres Vedras,6380,2250,291,13,479,95,27,130,209,134,19
Região de Aveiro,16704,6963,872,249,166,607,350,191,55,544,308
Águeda,1963,863,139,29,18,41,42,18,5,36,25
Albergaria-a-Velha,813,331,90,4,4,21,19,11,8,17,6
Anadia,901,316,85,15,10,19,0,21,5,20,22
Aveiro,6885,3035,279,139,35,382,188,55,19,270,103
Estarreja,751,175,21,5,10,8,7,5,0,25,3
Ílhavo,1672,720,71,18,39,42,79,15,6,47,11
Murtosa,244,70,6,1,5,0,0,6,0,5,0
Oliveira do Bairro,1161,509,82,8,15,22,0,12,5,31,81
Ovar,1225,572,59,12,19,26,3,33,5,60,4
Sever do Vouga,307,139,23,10,8,34,8,7,2,9,5
Vagos,782,233,17,8,3,12,4,8,0,24,48
Região de Coimbra,20589,6717,721,467,381,734,270,2286,42,566,185
Arganil,860,74,9,1,4,3,0,397,0,6,0
Cantanhede,854,430,70,11,22,4,6,20,1,42,9
Coimbra,9034,3457,215,367,134,556,228,145,8,286,123
Condeixa-a-Nova,405,193,57,11,5,16,0,9,0,12,0
Figueira da Foz,3366,1262,187,25,60,52,6,99,8,99,16
Góis,291,9,2,0,1,0,0,180,0,1,0
Lousã,609,106,11,5,28,24,0,198,1,12,1
Mealhada,411,199,59,4,21,15,1,9,11,4,3
Mira,403,222,14,5,4,9,0,8,6,8,0
Miranda do Corvo,410,65,6,7,5,8,20,134,2,13,5
Montemor-o-Velho,395,102,21,7,13,9,1,19,1,10,17
Mortágua,387,176,4,4,3,7,0,75,0,4,3
Oliveira do Hospital,939,99,8,1,41,10,2,247,0,29,4
Pampilhosa da Serra,41,2,0,0,2,0,0,23,0,1,0
Penacova,213,46,4,1,0,4,1,84,0,7,3
Penela,452,35,11,5,10,3,3,191,3,4,1
Soure,330,108,25,9,23,3,1,45,1,10,0
Tábua,777,48,3,2,3,8,1,265,0,14,0
Vila Nova de Poiares,412,84,15,2,2,3,0,138,0,4,0
Região de Leiria,17728,7561,1819,327,586,291,94,1184,73,489,95
Alvaiázere,509,21,11,3,1,1,3,321,0,7,0
Ansião,446,58,20,8,10,6,2,196,0,16,1
Batalha,730,310,184,7,38,10,0,10,3,13,12
Castanheira de Pêra,148,28,4,1,2,0,0,67,0,3,1
Figueiró dos Vinhos,298,23,2,0,2,1,0,139,0,19,0
Leiria,8580,4573,846,118,156,196,73,102,26,223,42
Marinha Grande,3206,1151,323,115,71,43,10,26,19,92,13
Pedrógão Grande,662,27,0,9,5,0,0,256,1,3,1
Pombal,2149,1018,221,19,288,16,3,37,10,55,19
Porto de Mós,1000,352,208,47,13,18,3,30,14,58,6
Viseu Dão Lafões,7014,3594,338,99,111,237,40,216,17,257,108
Aguiar da Beira,45,12,7,0,1,2,0,0,0,10,0
Carregal do Sal,237,98,5,1,13,2,0,35,0,6,0
Castro Daire,175,71,9,1,1,3,10,8,0,29,1
Mangualde,441,227,31,0,3,4,3,6,3,11,0
Nelas,294,126,12,2,3,23,7,8,1,17,2
Oliveira de Frades,470,299,20,1,34,7,2,11,1,9,1
Penalva do Castelo,71,19,2,1,0,1,0,3,0,8,0
Santa Comba Dão,326,56,6,6,24,12,0,42,3,18,2
São Pedro do Sul,339,140,9,2,2,14,2,13,0,9,28
Sátão,117,36,7,0,1,0,0,4,0,12,0
Tondela,499,193,8,18,3,17,1,37,0,17,9
Vila Nova de Paiva,51,18,0,1,4,1,0,1,0,11,0
Viseu,3781,2224,211,66,22,147,15,39,9,99,52
Vouzela,168,75,11,0,0,4,0,9,0,1,13
Beira Baixa,4201,918,153,156,170,160,198,750,1,88,61
Castelo Branco,2597,729,109,131,114,137,175,258,1,65,9
Idanha-a-Nova,581,30,9,18,33,13,20,112,0,4,51
Oleiros,174,23,1,3,1,5,0,59,0,6,0
Penamacor,418,9,7,0,6,1,0,216,0,4,0
Proença-a-Nova,246,74,16,0,9,2,1,58,0,9,0
Vila Velha de Ródão,185,53,11,4,7,2,2,47,0,0,1
Médio Tejo,9161,2884,699,152,497,548,112,922,44,320,76
Abrantes,712,237,46,16,99,37,11,39,4,25,2
Alcanena,466,162,82,18,26,22,8,2,13,18,1
Constância,55,14,0,1,8,7,0,7,0,4,0
Entroncamento,1352,653,59,53,26,255,45,9,3,68,10
Ferreira do Zêzere,450,52,11,2,9,3,0,179,2,10,0
Mação,197,45,2,3,19,3,0,43,0,8,2
Ourém,2865,1044,387,21,217,106,17,40,11,59,11
Sardoal,83,12,5,0,4,1,0,6,0,3,0
Sertã,651,78,3,1,3,27,1,220,0,14,31
Tomar,1351,268,49,26,25,55,27,316,3,61,6
Torres Novas,768,255,53,9,53,24,1,39,8,40,7
Vila de Rei,91,15,1,1,3,2,2,15,0,5,6
Vila Nova da Barquinha,120,49,1,1,5,6,0,7,0,5,0
Beiras e Serra da Estrela,6123,1745,161,235,84,339,170,514,8,202,154
Almeida,107,32,11,4,6,0,0,0,2,12,0
Belmonte,111,33,4,1,0,0,0,4,0,14,0
Celorico da Beira,169,30,2,0,4,1,0,55,0,6,0
Covilhã,1880,772,35,88,10,279,17,13,3,26,8
Figueira de Castelo Rodrigo,44,10,4,1,4,0,0,1,0,5,0
Fornos de Algodres,79,14,3,0,1,0,0,25,0,3,0
Fundão,1472,343,15,2,14,9,25,269,1,25,13
Gouveia,246,28,5,9,1,7,1,30,0,13,0
Guarda,1046,254,58,110,19,26,122,12,2,35,101
Manteigas,56,22,1,0,0,3,0,2,0,2,7
Mêda,41,4,2,0,3,0,0,0,0,10,0
Pinhel,91,18,13,0,6,3,2,0,0,12,0
Sabugal,145,27,1,2,10,4,0,10,0,11,0
Seia,518,140,4,16,1,7,3,89,0,13,24
Trancoso,118,18,3,2,5,0,0,4,0,15,1
A. M. Lisboa,382616,109352,8291,28782,10324,22638,19068,10378,2020,11088,9863
Alcochete,1440,391,53,9,277,77,7,44,9,32,6
Almada,19198,7601,322,1973,278,1134,321,324,108,417,650
Amadora,26980,6767,507,5904,579,1743,3035,319,55,466,1019
Barreiro,6890,2459,75,831,50,836,609,63,29,178,280
Cascais,36381,11937,894,896,953,593,975,2560,325,781,92
Lisboa,118104,22077,1393,2124,1664,2920,1430,4621,133,5447,951
Loures,23910,5964,727,2011,760,2329,2143,135,120,465,2573
Mafra,6979,3381,289,39,261,98,21,304,87,153,25
Moita,5432,1396,78,802,84,834,926,62,22,165,298
Montijo,6663,2406,155,64,881,499,44,60,86,143,48
Odivelas,23766,6306,874,908,544,2581,1969,274,81,447,643
Oeiras,15751,6580,371,1446,311,518,222,278,106,468,87
Palmela,3789,1388,157,86,408,204,38,127,71,134,20
Seixal,15066,5684,195,2296,230,1391,468,178,61,251,1436
Sesimbra,3620,1561,100,121,139,145,17,125,84,88,22
Setúbal,10975,5327,322,499,722,685,85,229,150,349,45
Sintra,47607,13687,1382,8011,1660,5226,6187,611,377,846,1414
Vila Franca de Xira,10065,4440,397,762,523,825,571,64,116,258,254
Alentejo,44357,10083,2224,718,3197,723,389,1434,539,1592,108
Alentejo Litoral,16394,1768,507,221,635,71,20,439,134,151,5
Alcácer do Sal,489,94,15,9,125,5,0,25,11,17,0
Grândola,935,390,19,10,93,7,2,30,2,26,0
Odemira,12287,345,366,9,133,10,5,335,91,34,1
Santiago do Cacém,1436,372,55,32,193,26,1,39,13,36,3
Sines,1247,567,52,161,91,23,12,10,17,38,1
Baixo Alentejo,5526,930,277,117,533,71,175,384,81,223,14
Aljustrel,217,52,26,3,9,2,3,11,4,11,0
Almodôvar,271,70,18,3,6,5,1,18,3,8,1
Alvito,82,13,10,16,2,4,0,7,0,0,0
Barrancos,23,4,0,0,6,0,1,0,0,2,0
Beja,2080,472,114,65,132,41,146,14,38,108,7
Castro Verde,242,45,15,2,12,4,0,19,5,15,0
Cuba,381,23,16,9,62,4,3,2,4,4,2
Ferreira do Alentejo,742,52,10,1,126,3,8,64,15,11,0
Mértola,184,41,6,5,7,1,4,30,0,7,0
Moura,220,23,4,3,83,2,3,0,0,28,4
Ourique,427,36,10,0,6,3,0,204,2,8,0
Serpa,482,72,17,3,53,1,6,12,3,15,0
Vidigueira,175,27,31,7,29,1,0,3,7,6,0
Lezíria do Tejo,13867,4683,1075,106,1159,414,124,257,165,787,49
Almeirim,1094,312,54,12,170,28,2,18,7,46,0
Alpiarça,344,46,23,0,116,5,2,6,0,8,0
Azambuja,1490,729,179,11,46,54,26,27,18,18,9
Benavente,2439,975,188,11,203,71,6,19,56,446,11
Cartaxo,1163,517,112,6,24,19,4,33,13,32,2
Chamusca,129,33,4,0,26,2,1,3,0,16,1
Coruche,377,99,48,1,21,8,0,10,2,22,0
Golegã,141,13,5,2,12,2,0,8,0,15,1
Rio Maior,2026,569,160,15,81,32,15,49,18,29,4
Salvaterra de Magos,664,303,42,9,33,23,1,16,0,29,2
Santarém,4000,1087,260,39,427,170,67,68,51,126,19
Alto Alentejo,3175,782,106,92,414,55,29,200,70,136,19
Alter do Chão,123,41,0,0,63,3,0,0,4,2,0
Arronches,75,4,0,1,8,0,2,18,5,6,0
Avis,64,18,0,0,15,0,1,5,2,3,0
Campo Maior,245,55,3,1,96,1,0,1,30,3,0
Castelo de Vide,145,10,11,0,2,1,0,26,0,3,0
Crato,65,17,3,2,22,0,0,4,2,3,2
Elvas,676,175,35,3,91,19,5,17,16,26,1
Fronteira,81,25,1,0,25,0,0,2,1,0,0
Gavião,22,9,2,0,2,1,0,2,0,3,0
Marvão,234,22,1,0,1,0,0,55,0,0,0
Monforte,43,9,7,1,7,1,0,0,4,3,0
Nisa,105,14,1,1,8,1,0,4,0,8,1
Ponte de Sor,440,172,22,6,20,3,3,14,0,23,0
Portalegre,746,171,20,76,24,25,17,47,6,40,15
Sousel,111,40,0,1,30,0,1,5,0,13,0
Alentejo Central,5395,1920,259,182,456,112,41,154,89,295,21
Alandroal,129,20,7,0,10,1,1,18,1,1,0
Arraiolos,155,31,2,0,10,1,6,15,3,16,0
Borba,120,42,9,2,27,4,4,3,0,8,0
Estremoz,344,83,26,4,95,0,0,34,1,14,0
Évora,2494,1108,113,151,57,81,28,45,23,113,12
Montemor-o-Novo,537,248,21,7,33,9,0,6,1,36,4
Mora,55,7,1,0,17,1,0,3,0,8,1
Mourão,70,3,0,0,12,0,0,4,19,2,0
Portel,137,41,6,1,16,2,0,3,2,6,1
Redondo,183,40,14,1,70,0,0,6,2,7,1
Reguengos de Monsaraz,333,87,21,1,76,2,0,14,32,17,0
Vendas Novas,577,130,29,5,26,9,2,3,3,35,2
Viana do Alentejo,116,44,10,10,2,2,0,0,2,10,0
Vila Viçosa,145,36,0,0,5,0,0,0,0,22,0
Algarve,109636,19439,5101,1853,5204,645,1378,21929,1808,1414,120
Albufeira,16779,3712,1070,270,523,94,483,2751,237,280,27
Alcoutim,243,6,2,4,4,0,0,102,0,3,0
Aljezur,2264,201,48,4,29,3,8,468,12,12,0
Castro Marim,979,54,24,1,24,2,1,155,1,4,1
Faro,10322,2586,746,255,561,74,165,845,240,146,6
Lagoa,5574,692,182,115,67,32,44,1753,42,55,3
Lagos,12165,1500,318,79,448,39,10,3796,156,156,13
Loulé,19364,3793,931,568,1620,136,160,4145,315,244,16
Monchique,934,39,6,4,53,1,0,355,0,3,0
Olhão,5515,845,317,120,270,72,131,792,31,69,10
Portimão,13036,3542,697,228,747,123,261,1437,560,185,22
São Brás de Alportel,1683,225,115,14,20,10,1,637,16,20,1
Silves,7622,1258,295,90,321,31,91,1679,158,97,9
Tavira,7406,496,160,48,324,14,14,1867,28,52,0
Vila do Bispo,2446,154,56,38,45,2,4,824,1,8,9
Vila Real de Santo António,3304,336,134,15,148,12,5,323,11,80,3
R. A. Açores,5105,1021,71,200,43,39,36,262,2,337,14
Santa Maria,204,14,0,2,0,0,0,19,0,2,0
Vila do Porto,204,14,0,2,0,0,0,19,0,2,0
São Miguel,2319,423,29,35,30,17,22,71,0,216,2
Lagoa (R.A.A.),196,32,0,3,3,0,0,6,0,17,0
Nordeste,70,11,0,1,0,0,1,2,0,2,0
Ponta Delgada,1553,292,19,29,22,17,19,35,0,127,2
Povoação,98,13,4,0,2,0,0,6,0,14,0
Ribeira Grande,301,66,6,1,3,0,2,12,0,47,0
Vila Franca do Campo,101,9,0,1,0,0,0,10,0,9,0
Terceira,764,204,17,40,7,11,11,28,0,46,6
Angra do Heroísmo,508,129,9,27,5,8,9,23,0,34,4
Vila da Praia da Vitória,256,75,8,13,2,3,2,5,0,12,2
Graciosa,58,17,0,0,0,0,0,2,0,4,0
Santa Cruz da Graciosa,58,17,0,0,0,0,0,2,0,4,0
São Jorge,161,65,2,2,2,2,2,5,1,12,0
Calheta (R.A.A.),42,17,1,1,2,0,0,3,1,2,0
Velas,119,48,1,1,0,2,2,2,0,10,0
Pico,571,131,9,67,0,2,0,31,1,25,3
Lajes do Pico,179,44,1,3,0,0,0,14,1,2,0
Madalena,238,62,5,34,0,2,0,8,0,16,0
São Roque do Pico,154,25,3,30,0,0,0,9,0,7,3
Faial,833,145,8,47,2,7,0,100,0,25,3
Horta,833,145,8,47,2,7,0,100,0,25,3
Flores,183,16,5,6,2,0,1,6,0,7,0
Lajes das Flores,126,11,2,1,1,0,1,4,0,2,0
Santa Cruz das Flores,57,5,3,5,1,0,0,2,0,5,0
Corvo,12,6,1,1,0,0,0,0,0,0,0
Corvo,12,6,1,1,0,0,0,0,0,0,0
R. A. Madeira,11793,1080,232,70,224,42,39,1390,21,241,206
Calheta (R.A.M.),1178,18,7,0,6,0,1,271,0,5,0
Câmara de Lobos,529,79,3,1,6,0,3,26,0,7,1
Funchal,6032,629,169,53,143,32,25,645,16,155,105
Machico,433,75,14,7,5,1,0,42,0,16,3
Ponta do Sol,553,7,4,1,6,0,0,96,0,6,0
Porto Moniz,100,2,0,0,1,0,0,3,0,1,0
Ribeira Brava,553,28,3,0,1,2,0,49,0,5,0
Santa Cruz,1571,174,25,7,22,3,4,166,1,33,2
Santana,183,15,1,0,1,1,0,12,0,0,32
São Vicente,208,12,0,0,3,1,0,18,0,6,0
Porto Santo,453,41,6,1,30,2,6,62,4,7,63
